# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.214
metadata : {}


# id : NWRW1800000028.214.1.1
직선과 곡선 /누가 마음을 얻을까

직선과	직선/NNG+과/JC
‘굵은	‘/SS+굵/VA+은/ETM
주름’이	주름/NNG+’/SS+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000028.214.5.4
실제로 쏘나타는 수묵화에서 난을 치는 듯한 붓 터치 느낌을 살려 곡선을 넣었다고 한다.

실제로	실제로/MAG
쏘나타는	쏘나타/NNG+는/JX
수묵화에서	수묵화/NNG+에서/JKB
난을	난/NNG+을/JKO
치는	치/VV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
붓	붓/NNG
터치	터치/NNG
느낌을	느낌/NNG+을/JKO
살려	살리/VV+어/EC
곡선을	곡선/NNG+을/JKO
넣었다고	넣/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.214.5.5
그러나 지나치게 혁신적인 디자인 실험 때문에 일부에선 ‘곤충 룩’이라는 혹평까지 들어야 했다.

그러나	그러나/MAJ
지나치게	지나치/VA+게/EC
혁신적인	혁신/NNG+적/XSN+이/VCP+ㄴ/ETM
디자인	디자인/NNG
실험	실험/NNG
때문에	때문/NNB+에/JKB
일부에선	일부/NNG+에서/JKB+ㄴ/JX
‘곤충	‘/SS+곤충/NNG
룩’이라는	룩/NNG+’/SS+이/VCP+라는/ETM
혹평까지	혹평/NNG+까지/JX
들어야	듣/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.214.6.1
구상 한밭대 교수(산업디자인학)는 “기아차의 디자인 철학이 독일 기능주의 미학에 바탕을 두고 있다면, 현대차는 자연과의 합일을 중시하는 동양적인 가치를 추구한다고 볼 수 있다”고 분석했다.

구상	구상/NNP
한밭대	한밭대/NNP
교수(산업디자인학)는	교수/NNG+(/SS+산업/NNG+디자인학/NNG+)/SS+는/JX
“기아차의	“/SS+기아차/NNP+의/JKG
디자인	디자인/NNG
철학이	철학/NNG+이/JKS
독일	독일/NNP
기능주의	기능주의/NNG
미학에	미학/NNG+에/JKB
바탕을	바탕/NNG+을/JKO
두고	두/VV+고/EC
있다면,	있/VX+다면/EC+,/SP
현대차는	현대차/NNP+는/JX
자연과의	자연/NNG+과/JKB+의/JKG
합일을	합일/NNG+을/JKO
중시하는	중시/NNG+하/XSV+는/ETM
동양적인	동양/NNG+적/XSN+이/VCP+ㄴ/ETM
가치를	가치/NNG+를/JKO
추구한다고	추구/NNG+하/XSV+ㄴ다고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.214.7.1
현대차의 이런 콘셉트는 올 하반기 출시될 신형 아반떼와 그랜저로 그대로 이어진다.

현대차의	현대차/NNP+의/JKG
이런	이런/MMD
콘셉트는	콘셉트/NNG+는/JX
올	올/NNG
하반기	하반기/NNG
출시될	출시/NNG+되/XSV+ㄹ/ETM
신형	신형/NNG
아반떼와	아반떼/NNP+와/JC
그랜저로	그랜저/NNP+로/JKB
그대로	그대로/MAG
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.214.7.2
‘바람의 흐름’을 형상화했다는 아반떼 엠디(MD)는 와이에프 쏘나타의 축소판이나 다름없다.

‘바람의	‘/SS+바람/NNG+의/JKG
흐름’을	흐름/NNG+’/SS+을/JKO
형상화했다는	형상/NNG+화/XSN+하/XSV+았/EP+다는/ETM
아반떼	아반떼/NNP
엠디(MD)는	엠디/NNG+(/SS+MD/SL+)/SS+는/JX
와이에프	와이에프/NNP
쏘나타의	쏘나타/NNG+의/JKG
축소판이나	축소판/NNG+이나/JX
다름없다.	다름없/VA+다/EF+./SF


# id : NWRW1800000028.214.7.3
다만 붓을 쥔 손에 힘을 뺀 듯, 옆 라인 주름은 한층 누그러졌다.

다만	다만/MAG
붓을	붓/NNG+을/JKO
쥔	쥐/VV+ㄴ/ETM
손에	손/NNG+에/JKB
힘을	힘/NNG+을/JKO
뺀	빼/VV+ㄴ/ETM
듯,	듯/NNB+,/SP
옆	옆/NNG
라인	라인/NNG
주름은	주름/NNG+은/JX
한층	한층/MAG
누그러졌다.	누그러지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.214.7.4
문제는 이런 디테일이 한눈에 현대차임을 알아볼 수 있게 하는 ‘브랜드 스토리’와 자연스럽게 연결되지 않는다는 점이다.

문제는	문제/NNG+는/JX
이런	이런/MMD
디테일이	디테일/NNG+이/JKS
한눈에	한눈/NNG+에/JKB
현대차임을	현대차/NNP+이/VCP+ㅁ/ETN+을/JKO
알아볼	알아보/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
하는	하/VX+는/ETM
‘브랜드	‘/SS+브랜드/NNG
스토리’와	스토리/NNG+’/SS+와/JKB
자연스럽게	자연/NNG+스럽/XSA+게/EC
연결되지	연결/NNG+되/XSV+지/EC
않는다는	않/VX+는다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.214.8.1
디자인 칼럼니스트인 장진택씨는 “명쾌한 논리로 디자인 전략을 잘 잡은 기아차와 달리, 현대차의 최근 디자인 콘셉트는 3~4년짜리 단기 처방에 지나지 않는다”고 말했다.

디자인	디자인/NNG
칼럼니스트인	칼럼니스트/NNG+이/VCP+ㄴ/ETM
장진택씨는	장진택/NNP+씨/NNB+는/JX
“명쾌한	“/SS+명쾌하/VA+ㄴ/ETM
논리로	논리/NNG+로/JKB
전략을	전략/NNG+을/JKO
잘	잘/MAG
잡은	잡/VV+은/ETM
기아차와	기아차/NNP+와/JKB
달리,	달리/MAG+,/SP
현대차의	현대차/NNP+의/JKG
최근	최근/NNG
콘셉트는	콘셉트/NNG+는/JX
3~4년짜리	3/SN+~/SO+4/SN+년/NNB+짜리/XSN
단기	단기/NNG
처방에	처방/NNG+에/JKB
지나지	지나/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.214.8.2
새로운 디자인으로 외국시장에서 튀어 보일 수는 있어도, 현대차만의 고유한 매력을 갖고 있진 못하다는 지적이다.

새로운	새롭/VA+ㄴ/ETM
디자인으로	디자인/NNG+으로/JKB
외국시장에서	외국/NNG+시장/NNG+에서/JKB
튀어	튀/VV+어/EC
보일	보이/VV+ㄹ/ETM
수는	수/NNB+는/JX
있어도,	있/VA+어도/EC+,/SP
현대차만의	현대차/NNP+만/JX+의/JKG
고유한	고유/NNG+하/XSA+ㄴ/ETM
매력을	매력/NNG+을/JKO
갖고	갖/VV+고/EC
있진	있/VX+지/EC+ㄴ/JX
못하다는	못하/VX+다는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.214.9.1
브랜드 이미지가 얼마나 중요한지는 국내 다른 완성차업체들을 봐도 알 수 있다.

브랜드	브랜드/NNG
이미지가	이미지/NNG+가/JKS
얼마나	얼마나/MAG
중요한지는	중요/NNG+하/XSA+ㄴ지/EF+는/JX
국내	국내/NNG
다른	다른/MMD
완성차업체들을	완성차업체/NNG+들/XSN+을/JKO
봐도	보/VV+아도/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.214.9.2
선을 기준으로 보면, 지엠대우는 직선, 르노삼성은 곡선에 가깝다고 전문가들은 말한다.

선을	선/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
보면,	보/VV+면/EC+,/SP
지엠대우는	지엠대우/NNP+는/JX
직선,	직선/NNG+,/SP
르노삼성은	르노삼성/NNP+은/JX
곡선에	곡선/NNG+에/JKB
가깝다고	가깝/VA+다고/EC
전문가들은	전문가/NNG+들/XSN+은/JX
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.214.9.3
미국에서 서민 자동차 이미지를 갖고 있는 지엠그룹, 유럽형 세단을 지향하는 르노닛산의 특성이 한국에서도 고스란히 묻어난다는 뜻이다.

미국에서	미국/NNP+에서/JKB
서민	서민/NNG
자동차	자동차/NNG
이미지를	이미지/NNG+를/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
지엠그룹,	지엠그룹/NNP+,/SP
유럽형	유럽/NNP+형/XSN
세단을	세단/NNG+을/JKO
지향하는	지향/NNG+하/XSV+는/ETM
르노닛산의	르노닛산/NNP+의/JKG
특성이	특성/NNG+이/JKS
한국에서도	한국/NNP+에서/JKB+도/JX
고스란히	고스란히/MAG
묻어난다는	묻어나/VV+ㄴ다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.214.10.1
한 완성차업체 디자인 담당 임원은 “유럽에서 직선이 유행일 때 미국에선 전혀 다른 디자인이 시도되는 등 자동차 디자인 흐름이 (직선이나 곡선) 한 방향으로만 가는 건 아니다”라며 “기아차 케이 시리즈의 완성도는 한국 디자인의 발전을 보여주는 예지만 그동안 한국차 디자인을 이끌어온 현대차의 실력도 무시할 수 없다”고 말했다.

한	한/MMN
완성차업체	완성차업체/NNG
디자인	디자인/NNG
담당	담당/NNG
임원은	임원/NNG+은/JX
“유럽에서	“/SS+유럽/NNP+에서/JKB
직선이	직선/NNG+이/JKS
유행일	유행/NNG+이/VCP+ㄹ/ETM
때	때/NNG
미국에선	미국/NNP+에서/JKB+ㄴ/JX
전혀	전혀/MAG
다른	다른/MMD
디자인이	디자인/NNG+이/JKS
시도되는	시도/NNG+되/XSV+는/ETM
등	등/NNB
자동차	자동차/NNG
흐름이	흐름/NNG+이/JKS
(직선이나	(/SS+직선/NNG+이나/JC
곡선)	곡선/NNG+)/SS
방향으로만	방향/NNG+으로/JKB+만/JX
가는	가/VV+는/ETM
건	거/NNB+ㄴ/JX
아니다”라며	아니/VCN+다/EF+”/SS+라며/EC
“기아차	“/SS+기아차/NNP
케이	케이/NNG
시리즈의	시리즈/NNG+의/JKG
완성도는	완성도/NNG+는/JX
한국	한국/NNP
디자인의	디자인/NNG+의/JKG
발전을	발전/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
예지만	예/NNG+이/VCP+지만/EC
그동안	그동안/NNG
한국차	한국/NNP+차/NNG
디자인을	디자인/NNG+을/JKO
이끌어온	이끌/VV+어/EC+오/VX+ㄴ/ETM
현대차의	현대차/NNP+의/JKG
실력도	실력/NNG+도/JX
무시할	무시/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.214.11.1
물론 디자인에 대한 호불호는 ‘취향의 문제’다.

물론	물론/MAG
디자인에	디자인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
호불호는	호불호/NNG+는/JX
‘취향의	‘/SS+취향/NNG+의/JKG
문제’다.	문제/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000028.214.11.2
분명한 것은 소비자들이 알맹이 못지않게 디자인에 주목하고 있다는 점이다.

분명한	분명/MAG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
소비자들이	소비자/NNG+들/XSN+이/JKS
알맹이	알맹이/NNG
못지않게	못지않/VA+게/EC
디자인에	디자인/NNG+에/JKB
주목하고	주목/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.214.11.3
이제 최고 경영자 한마디에 차 디자인이 오락가락하던 시대는 끝났다.

이제	이제/MAG
최고	최고/NNG
경영자	경영자/NNG
한마디에	한마디/NNG+에/JKB
차	차/NNG
디자인이	디자인/NNG+이/JKS
오락가락하던	오락가락/MAG+하/XSV+던/ETM
시대는	시대/NNG+는/JX
끝났다.	끝나/VV+았/EP+다/EF+./SF


