# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.218
metadata : {}


# id : NWRW1800000038.218.1.1
"작년 미스코리아 대회서 심사위원 매수 뒷돈 줬다"

"작년	"/SS+작년/NNG
# id : NWRW1800000038.218.8.2
한국일보는 또 자체 조사 결과 후보자 모친이 B씨에게 접근해 회식비 조로 300만원을 건넸고, 협찬사 2곳의 명의로 서울경제TV에 협찬금을 입금했기 때문에 한국일보나 서울경제TV는 후보자로부터 나온 돈인지 알 수도 없었다고 밝혔다.

한국일보는	한국일보/NNP+는/JX
또	또/MAG
자체	자체/NNG
조사	조사/NNG
결과	결과/NNG
후보자	후보자/NNG
모친이	모친/NNG+이/JKS
B씨에게	B/SL+씨/NNB+에게/JKB
접근해	접근/NNG+하/XSV+아/EC
회식비	회식비/NNG
조로	조/NNB+로/JKB
300만원을	300/SN+만/NR+원/NNB+을/JKO
건넸고,	건네/VV+었/EP+고/EC+,/SP
협찬사	협찬사/NNG
2곳의	2/SN+곳/NNG+의/JKG
명의로	명의/NNG+로/JKB
서울경제TV에	서울경제TV/NNP+에/JKB
협찬금을	협찬금/NNG+을/JKO
입금했기	입금/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
한국일보나	한국일보/NNP+나/JC
서울경제TV는	서울경제TV/NNP+는/JX
후보자로부터	후보자/NNG+로부터/JKB
나온	나오/VV+ㄴ/ETM
돈인지	돈/NNG+이/VCP+ㄴ지/EF
알	알/VV+ㄹ/ETM
수도	수/NNB+도/JX
없었다고	없/VA+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.218.8.3
한국일보는 사건 이후 B씨를 중징계했고, B씨는 책임을 느껴 사직서를 제출했다고 밝혔다.

한국일보는	한국일보/NNP+는/JX
사건	사건/NNG
이후	이후/NNG
B씨를	B/SL+씨/NNB+를/JKO
중징계했고,	중징계/NNG+하/XSV+았/EP+고/EC+,/SP
B씨는	B/SL+씨/NNB+는/JX
책임을	책임/NNG+을/JKO
느껴	느끼/VV+어/EC
사직서를	사직서/NNG+를/JKO
제출했다고	제출/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


