# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.457
metadata : {}


# id : NWRW1800000022.457.1.1
[정부 새해 업무보고] 문화부_영화·음악 불법 다운로드땐 민사 책임 '뉴스 콘텐츠 돈내고 보기' 대폭 확대;'읽기 문화' 확산 위해 시·도별 중학교 10곳 선정 신문 구독 지원키로

[정부	[/SS+정부/NNG
한글박물관	한글박물관/NNP
건립이	건립/NNG+이/JKS
추진되고,	추진/NNG+되/XSV+고/EC+,/SP
광화문	광화문/NNP
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
자리에는	자리/NNG+에/JKB+는/JX
대한민국	대한민국/NNP
역사박물관	역사/NNG+박물관/NNG
건립	건립/NNG
공사가	공사/NNG+가/JKS
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.457.2.3
또 정부 부처간 경계를 허무는 협력 사업이 여러 형태로 펼쳐진다.

또	또/MAG
정부	정부/NNG
부처간	부처/NNG+간/NNB
경계를	경계/NNG+를/JKO
허무는	허물/VV+는/ETM
협력	협력/NNG
사업이	사업/NNG+이/JKS
여러	여러/MMN
형태로	형태/NNG+로/JKB
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.457.3.1
문화체육관광부는 22일 이런 내용을 골자로 한 새해 업무 계획을 이명박 대통령에게 보고했다.

문화체육관광부는	문화/NNG+체육/NNG+관광부/NNG+는/JX
22일	22/SN+일/NNB
이런	이런/MMD
내용을	내용/NNG+을/JKO
골자로	골자/NNG+로/JKB
한	하/VV+ㄴ/ETM
새해	새해/NNG
업무	업무/NNG
계획을	계획/NNG+을/JKO
이명박	이명박/NNP
대통령에게	대통령/NNG+에게/JKB
보고했다.	보고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.457.3.2
'문화 향유 기반 확대' '콘텐츠산업 경쟁력 강화' '선진형 관광·레저산업 육성' '우리 문화의 위상 제고'가 4대 중점 과제였다.

'문화	'/SS+문화/NNG
향유	향유/NNG
기반	기반/NNG
확대'	확대/NNG+'/SS
'콘텐츠산업	'/SS+콘텐츠/NNG+산업/NNG
경쟁력	경쟁력/NNG
강화'	강화/NNG+'/SS
'선진형	'/SS+선진/NNG+형/XSN
관광·레저산업	관광/NNG+·/SP+레저/NNG+산업/NNG
육성'	육성/NNG+'/SS
'우리	'/SS+우리/NP
문화의	문화/NNG+의/JKG
위상	위상/NNG
제고'가	제고/NNG+'/SS+가/JKS
4대	4/SN+대/NNG
중점	중점/NNG
과제였다.	과제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.457.3.3
곽영진 문화체육관광부 기획조정실장은 "문화를 지렛대로 품격 있는 대한민국을 만드는 사업들을 펼쳐 나갈 것"이라고 말했다.

곽영진	곽영진/NNP
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
기획조정실장은	기획/NNG+조정실장/NNG+은/JX
"문화를	"/SS+문화/NNG+를/JKO
지렛대로	지렛대/NNG+로/JKB
품격	품격/NNG
있는	있/VA+는/ETM
대한민국을	대한민국/NNP+을/JKO
만드는	만들/VV+는/ETM
사업들을	사업/NNG+들/XSN+을/JKO
펼쳐	펼치/VV+어/EC
나갈	나가/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.457.4.1
◆저작권 보호와 '읽기 문화' 확산

◆저작권	◆/SW+저작/NNG+권/XSN
보호와	보호/NNG+와/JC
'읽기	'/SS+읽기/NNG
문화'	문화/NNG+'/SS
확산	확산/NNG


# id : NWRW1800000022.457.5.1
불법 콘텐츠의 경우 헤비업로더뿐 아니라 다운로더(내려받는 사람)도 민사 책임을 져야 한다.

불법	불법/NNG
콘텐츠의	콘텐츠/NNG+의/JKG
경우	경우/NNG
헤비업로더뿐	헤비업로더/NNG+뿐/JX
아니라	아니/VCN+라/EC
다운로더(내려받는	다운로더/NNG+(/SS+내려받/VV+는/ETM
사람)도	사람/NNG+)/SS+도/JX
민사	민사/NNG
책임을	책임/NNG+을/JKO
져야	지/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.457.5.2
문화부는 내년 말까지 이와 관련된 법적 규제 도입을 추진한다는 계획이다.

문화부는	문화부/NNG+는/JX
내년	내년/NNG
말까지	말/NNB+까지/JX
이와	이/NP+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
법적	법/NNG+적/XSN
규제	규제/NNG
도입을	도입/NNG+을/JKO
추진한다는	추진/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.457.5.3
현행 저작권법은 개인적 이용을 위한 복제를 허용해 왔으나 불법 복제물이라면 손해배상 등 민사 책임을 물을 수 있다는 것이다.

현행	현행/NNG
저작권법은	저작권법/NNG+은/JX
개인적	개인/NNG+적/XSN
이용을	이용/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
복제를	복제/NNG+를/JKO
허용해	허용/NNG+하/XSV+아/EC
왔으나	오/VX+았/EP+으나/EC
불법	불법/NNG
복제물이라면	복제물/NNG+이/VCP+라면/EC
손해배상	손해/NNG+배상/NNG
등	등/NNB
민사	민사/NNG
책임을	책임/NNG+을/JKO
물을	묻/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.457.6.1
'뉴스는 공짜'라는 그릇된 인식도 바로잡는다.

'뉴스는	'/SS+뉴스/NNG+는/JX
공짜'라는	공짜/NNG+'/SS+이/VCP+라는/ETM
그릇된	그릇/MAG+되/XSV+ㄴ/ETM
인식도	인식/NNG+도/JX
바로잡는다.	바로잡/VV+는다/EF+./SF


# id : NWRW1800000022.457.6.2
문화부는 정부 부처들부터 뉴스 콘텐츠를 제값에 구매해 민간 부문으로 확산시키겠다고 밝혔다.

문화부는	문화부/NNG+는/JX
정부	정부/NNG
부처들부터	부처/NNG+들/XSN+부터/JX
뉴스	뉴스/NNG
콘텐츠를	콘텐츠/NNG+를/JKO
제값에	제값/NNG+에/JKB
구매해	구매/NNG+하/XSV+아/EC
민간	민간/NNG
부문으로	부문/NNG+으로/JKB
확산시키겠다고	확산/NNG+시키/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.457.6.3
또 신문산업을 보호하고 '읽기 문화'를 확산시키기 위해 시·도별로 10개교씩 시범 중학교를 선정해 신문 구독을 지원(47억원)하고, 교사·청소년 대상 NIE 교육 지원(18억원), 신문 구독료 소득공제(1900억원)도 추진한다.

또	또/MAG
신문산업을	신문/NNG+산업/NNG+을/JKO
보호하고	보호/NNG+하/XSV+고/EC
'읽기	'/SS+읽기/NNG
문화'를	문화/NNG+'/SS+를/JKO
확산시키기	확산/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
시·도별로	시·도/NNG+별/XSN+로/JKB
10개교씩	10/SN+개교/NNB+씩/XSN
시범	시범/NNG
중학교를	중학교/NNG+를/JKO
선정해	선정/NNG+하/XSV+아/EC
신문	신문/NNG
구독을	구독/NNG+을/JKO
지원(47억원)하고,	지원/NNG+(/SS+47/SN+억/NR+원/NNB+)/SS+하/VV+고/EC+,/SP
교사·청소년	교사/NNG+·/SP+청소년/NNG
대상	대상/NNG
NIE	NIE/SL
교육	교육/NNG
지원(18억원),	지원/NNG+(/SS+18/SN+억/NR+원/NNB+)/SS+,/SP
구독료	구독료/NNG
소득공제(1900억원)도	소득/NNG+공제/NNG+(/SS+1900/SN+억/NR+원/NNB+)/SS+도/JX
추진한다.	추진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.457.7.1
◆문화 향유와 관광 활성화

◆문화	◆/SW+문화/NNG
향유와	향유/NNG+와/JC
관광	관광/NNG
활성화	활성/NNG+화/XSN


# id : NWRW1800000022.457.8.1
문예진흥기금 193억원을 서울보다 지방에 3배 많이 배분해 지역 문화프로그램을 강화한다.

문예진흥기금	문예/NNG+진흥/NNG+기금/NNG
193억원을	193/SN+억/NR+원/NNB+을/JKO
서울보다	서울/NNP+보다/JKB
지방에	지방/NNG+에/JKB
3배	3/SN+배/NNG
많이	많이/MAG
배분해	배분/NNG+하/XSV+아/EC
지역	지역/NNG
문화프로그램을	문화/NNG+프로그램/NNG+을/JKO
강화한다.	강화/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.457.8.2
국립오페라단·국립발레단 등 5대 국립예술기관의 예산은 올해보다 42% 증가한 294억원으로 확충, 지방 순회를 비롯해 공연을 1200여회(올해는 600여회)로 대폭 늘릴 계획이다.

국립오페라단·국립발레단	국립오페라단/NNP+·/SP+국립발레단/NNP
등	등/NNB
5대	5/SN+대/NNG
국립예술기관의	국립/NNG+예술/NNG+기관/NNG+의/JKG
예산은	예산/NNG+은/JX
올해보다	올해/NNG+보다/JKB
42%	42/SN+%/SW
증가한	증가/NNG+하/XSV+ㄴ/ETM
294억원으로	294/SN+억/NR+원/NNB+으로/JKB
확충,	확충/NNG+,/SP
지방	지방/NNG
순회를	순회/NNG+를/JKO
비롯해	비롯하/VV+아/EC
공연을	공연/NNG+을/JKO
1200여회(올해는	1200/SN+여/XSN+회/NNB+(/SS+올해/NNG+는/JX
600여회)로	600/SN+여/XSN+회/NNB+)/SS+로/JKB
대폭	대폭/MAG
늘릴	늘리/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.457.8.3
소외계층을 찾아가는 문화예술 프로그램, 장애인 문화·체육 프로그램도 확대된다.

소외계층을	소외/NNG+계층/NNG+을/JKO
찾아가는	찾아가/VV+는/ETM
문화예술	문화/NNG+예술/NNG
프로그램,	프로그램/NNG+,/SP
장애인	장애인/NNG
문화·체육	문화/NNG+·/SP+체육/NNG
프로그램도	프로그램/NNG+도/JX
확대된다.	확대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.457.8.4
국립현대미술관과 국립극단의 경쟁력 강화를 위한 법인화도 예정대로 추진된다.

국립현대미술관과	국립현대미술관/NNP+과/JC
국립극단의	국립극단/NNP+의/JKG
경쟁력	경쟁력/NNG
강화를	강화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
법인화도	법인/NNG+화/XSN+도/JX
예정대로	예정/NNG+대로/JX
추진된다.	추진/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.457.9.1
문화부와 행정안전부는 함께 공휴일 제도를 개선한다.

문화부와	문화부/NNG+와/JC
행정안전부는	행정/NNG+안전부/NNG+는/JX
함께	함께/MAG
공휴일	공휴일/NNG
제도를	제도/NNG+를/JKO
개선한다.	개선/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.457.9.2
국민 여행일수가 2일 늘어나면 내수 진작효과가 3조원대에 달할 것으로 추정된다.

국민	국민/NNG
여행일수가	여행/NNG+일수/NNG+가/JKS
2일	2/SN+일/NNB
늘어나면	늘어나/VV+면/EC
내수	내수/NNG
진작효과가	진작/NNG+효과/NNG+가/JKS
3조원대에	3/SN+조/NR+원/NNB+대/XSN+에/JKB
달할	달하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.457.10.1
◆부처간 경계 허물기

◆부처간	◆/SW+부처/NNG+간/NNB
경계	경계/NNG
허물기	허물/VV+기/ETN


# id : NWRW1800000022.457.11.1
이명박 대통령은 이날 업무 보고를 받는 자리에서 "장관들이 내 앞에서는 서로 협력한다고 말하지만 밑으로 내려가면 영역 다툼이 살벌하다"면서 "문화·교육·과학 등은 연관돼 있어 칸막이를 허물어야 한다"고 강조했다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
업무	업무/NNG
보고를	보고/NNG+를/JKO
받는	받/VV+는/ETM
자리에서	자리/NNG+에서/JKB
"장관들이	"/SS+장관/NNG+들/XSN+이/JKS
내	나/NP+의/JKG
앞에서는	앞/NNG+에서/JKB+는/JX
서로	서로/MAG
협력한다고	협력/NNG+하/XSV+ㄴ다고/EC
말하지만	말/NNG+하/XSV+지만/EC
밑으로	밑/NNG+으로/JKB
내려가면	내려가/VV+면/EC
영역	영역/NNG
다툼이	다툼/NNG+이/JKS
살벌하다"면서	살벌/NNG+하/XSA+다/EF+"/SS+면서/EC
"문화·교육·과학	"/SS+문화/NNG+·/SP+교육/NNG+·/SP+과학/NNG
등은	등/NNB+은/JX
연관돼	연관/NNG+되/XSV+어/EC
있어	있/VX+어/EC
칸막이를	칸막이/NNG+를/JKO
허물어야	허물/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.457.12.1
문화부는 올해 노동부와 사회적 일자리 창출, 농림수산식품부와 농어촌 문화 재생 프로젝트, 법무부와 저작권 보호, 교육과학기술부와 문화예술교육 강사 및 체육 지도자 파견 등의 협력 사업을 추진한다.

문화부는	문화부/NNG+는/JX
올해	올해/NNG
노동부와	노동부/NNG+와/JKB
사회적	사회/NNG+적/XSN
일자리	일자리/NNG
창출,	창출/NNG+,/SP
농림수산식품부와	농림/NNG+수산/NNG+식품부/NNG+와/JC
농어촌	농어촌/NNG
문화	문화/NNG
재생	재생/NNG
프로젝트,	프로젝트/NNG+,/SP
법무부와	법무부/NNG+와/JC
저작권	저작/NNG+권/XSN
보호,	보호/NNG+,/SP
교육과학기술부와	교육/NNG+과학/NNG+기술부/NNG+와/JC
문화예술교육	문화/NNG+예술/NNG+교육/NNG
강사	강사/NNG
및	및/MAG
체육	체육/NNG
지도자	지도자/NNG
파견	파견/NNG
등의	등/NNB+의/JKG
협력	협력/NNG
사업을	사업/NNG+을/JKO
추진한다.	추진/NNG+하/XSV+ㄴ다/EF+./SF


