# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.427
metadata : {}


# id : NWRW1800000022.427.1.1
[제주·서울] 제주국제학교 운영에 6개 법인 신청

[제주·서울]	[/SS+제주/NNP+·/SP+서울/NNP+]/SS
만점이며,	만점/NNG+이/VCP+며/EC+,/SP
최고	최고/NNG
득점법인이	득점/NNG+법인/NNG+이/JKS
우선협상대상자로	우선/NNG+협상/NNG+대상자/NNG+로/JKB
선정된다.	선정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.427.8.1
공립인 제주국제학교 건립에는 정부 지원사업비 532억원이 투입되며, 2010년 6월 착공 2011년 8월 준공 예정이다.

공립인	공립/NNG+이/VCP+ㄴ/ETM
제주국제학교	제주국제학교/NNP
건립에는	건립/NNG+에/JKB+는/JX
정부	정부/NNG
지원사업비	지원/NNG+사업비/NNG
532억원이	532/SN+억/NR+원/NNB+이/JKS
투입되며,	투입/NNG+되/XSV+며/EC+,/SP
2010년	2010/SN+년/NNB
6월	6/SN+월/NNB
착공	착공/NNG
2011년	2011/SN+년/NNB
8월	8/SN+월/NNB
준공	준공/NNG
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.427.8.2
초등학교 과정(4~6학년) 180명, 중학교 과정(1~3학년) 216명 등 모두 396명을 선발한다.

초등학교	초등학교/NNG
과정(4~6학년)	과정/NNG+(/SS+4/SN+~/SO+6/SN+학년/NNG+)/SS
180명,	180/SN+명/NNB+,/SP
중학교	중학교/NNG
과정(1~3학년)	과정/NNG+(/SS+1/SN+~/SO+3/SN+학년/NNG+)/SS
216명	216/SN+명/NNB
등	등/NNB
모두	모두/MAG
396명을	396/SN+명/NNB+을/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.427.8.3
단 중학교 3학년 과정은 상급학교 진학 등을 고려해 개교 첫해에는 뽑지 않으며, 정원 이외의 5% 범위 내에서 제주지역 학생을 특별전형으로 선발한다.

단	단/MAJ
중학교	중학교/NNG
3학년	3/SN+학년/NNG
과정은	과정/NNG+은/JX
상급학교	상급/NNG+학교/NNG
진학	진학/NNG
등을	등/NNB+을/JKO
고려해	고려/NNG+하/XSV+아/EC
개교	개교/NNG
첫해에는	첫해/NNG+에/JKB+는/JX
뽑지	뽑/VV+지/EC
않으며,	않/VX+으며/EC+,/SP
정원	정원/NNG
이외의	이외/NNG+의/JKG
5%	5/SN+%/SW
범위	범위/NNG
내에서	내/NNB+에서/JKB
제주지역	제주지역/NNP
학생을	학생/NNG+을/JKO
특별전형으로	특별/NNG+전형/NNG+으로/JKB
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


