# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.254
metadata : {}


# id : NWRW1800000040.254.1.1
‘촛불’ 어떻게 셀까…경찰, 계산법 개선 고심

‘촛불’	‘/SS+촛불/NNG+’/SS
오후	오후/NNG
서울	서울/NNP
종로구	종로구/NNP
서울지방경찰청	서울지방경찰청/NNP
앞에서	앞/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“경찰이	“/SS+경찰/NNG+이/JKS
10일	10/SN+일/NNB
저녁	저녁/NNG
덕수궁	덕수궁/NNP
대한문	대한문/NNP
앞	앞/NNG
건널목	건널목/NNG
한쪽	한쪽/NNG
끝을	끝/NNG+을/JKO
경찰버스로	경찰/NNG+버스/NNG+로/JKB
막아	막/VV+아/EC
촛불문화제에	촛불/NNG+문화제/NNG+에/JKB
참여하려는	참여/NNG+하/XSV+려는/ETM
시민들이	시민/NNG+들/XSN+이/JKS
문화제가	문화제/NNG+가/JKS
열리는	열리/VV+는/ETM
서울광장에	서울광장/NNP+에/JKB
들어오지	들어오/VV+지/EC
못했다”며	못하/VX+았/EP+다/EF+”/SS+며/EC
김정석	김정석/NNP
서울지방경찰청장	서울지방경찰청장/NNG
등	등/NNB
경찰	경찰/NNG
관계자들을	관계자/NNG+들/XSN+을/JKO
고소할	고소/NNG+하/XSV+ㄹ/ETM
방침을	방침/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.254.11.1
대학생들도 다시 행동에 나섰다.

대학생들도	대학/NNG+생/XSN+들/XSN+도/JX
다시	다시/MAG
행동에	행동/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.254.11.2
경희대국제캠퍼스·덕성여대·부산대·서울대·숙명여대·원광대·이화여대·전남대·중앙대안성캠퍼스 등 9개 대학 총학생회는 이날 서울 여의도 새누리당사 앞에서 집회를 열고 △김무성 새누리당 의원, 권영세 주중대사를 국정조사 증인으로 채택할 것 △박근혜 대통령이 직속기관인 국정원과 관련된 일련의 사태에 대해 직접 책임지고 재발 방지책을 마련할 것 등을 요구했다.

경희대국제캠퍼스·덕성여대·부산대·서울대·숙명여대·원광대·이화여대·전남대·중앙대안성캠퍼스	경희대/NNP+국제/NNG+캠퍼스/NNG+·/SP+덕성여대/NNP+·/SP+부산대/NNP+·/SP+서울대/NNP+·/SP+숙명여대/NNP+·/SP+원광대/NNP+·/SP+이화여대/NNP+·/SP+전남대/NNP+·/SP+중앙대/NNP+안성/NNP+캠퍼스/NNG
등	등/NNB
9개	9/SN+개/NNB
대학	대학/NNG
총학생회는	총학생회/NNG+는/JX
이날	이날/NNG
서울	서울/NNP
여의도	여의도/NNP
새누리당사	새누리당사/NNP
앞에서	앞/NNG+에서/JKB
집회를	집회/NNG+를/JKO
열고	열/VV+고/EC
△김무성	△/SW+김무성/NNP
새누리당	새누리당/NNP
의원,	의원/NNG+,/SP
권영세	권영세/NNP
주중대사를	주중/NNG+대사/NNG+를/JKO
국정조사	국정/NNG+조사/NNG
증인으로	증인/NNG+으로/JKB
채택할	채택/NNG+하/XSV+ㄹ/ETM
것	것/NNB
△박근혜	△/SW+박근혜/NNP
대통령이	대통령/NNG+이/JKS
직속기관인	직속/NNG+기관/NNG+이/VCP+ㄴ/ETM
국정원과	국정원/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
일련의	일련/NNG+의/JKG
사태에	사태/NNG+에/JKB
대해	대하/VV+아/EC
직접	직접/MAG
책임지고	책임지/VV+고/EC
재발	재발/NNG
방지책을	방지책/NNG+을/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
등을	등/NNB+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.254.11.3
다음 촛불문화제는 14일 저녁 7시 서울광장에서 시국회의 주최로 열릴 예정이다.

다음	다음/NNG
촛불문화제는	촛불/NNG+문화제/NNG+는/JX
14일	14/SN+일/NNB
저녁	저녁/NNG
7시	7/SN+시/NNB
서울광장에서	서울광장/NNP+에서/JKB
시국회의	시국/NNG+회의/NNG
주최로	주최/NNG+로/JKB
열릴	열리/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


