# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.241
metadata : {}


# id : NWRW1800000052.241.1.1
청년 일자리 더 나빠졌다…음식숙박업이나 임시직

청년	청년/NNG
# id : NWRW1800000052.241.7.3
이는 전년 같은 기간에 견줘 0.7% 포인트 증가한 수치다.

이는	이/NP+는/JX
전년	전년/NNG
같은	같/VA+은/ETM
기간에	기간/NNG+에/JKB
견줘	견주/VV+어/EC
0.7%	0/SN+./SP+7/SN+%/SW
포인트	포인트/NNG
증가한	증가/NNG+하/XSV+ㄴ/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.241.7.4
반면 노동시장 밖에 있는 비경제활동인구는 2.8% 감소했다.

반면	반면/NNG
노동시장	노동/NNG+시장/NNG
밖에	밖/NNG+에/JKB
있는	있/VA+는/ETM
비경제활동인구는	비/XPN+경제/NNG+활동/NNG+인구/NNG+는/JX
2.8%	2/SN+./SP+8/SN+%/SW
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.241.7.5
보고서는 “소극적 구직활동을 하던 청년층이 노동시장으로 빠르게 진입해 취업자가 늘었지만 노동시장 내부여건이 좋지 않아 실업률 또한 증가한 것”이라고 분석했다.

보고서는	보고서/NNG+는/JX
“소극적	“/SS+소극/NNG+적/XSN
구직활동을	구직/NNG+활동/NNG+을/JKO
하던	하/VV+던/ETM
청년층이	청년/NNG+층/XSN+이/JKS
노동시장으로	노동/NNG+시장/NNG+으로/JKB
빠르게	빠르/VA+게/EC
진입해	진입/NNG+하/XSV+아/EC
취업자가	취업자/NNG+가/JKS
늘었지만	늘/VV+었/EP+지만/EC
노동시장	노동/NNG+시장/NNG
내부여건이	내부/NNG+여건/NNG+이/JKS
좋지	좋/VA+지/EC
않아	않/VX+아/EC
실업률	실업/NNG+률/XSN
또한	또한/MAG
증가한	증가/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.241.8.1
청년층 취업이 두드러진 산업은 도소매 및 음식·숙박업이었다.

청년층	청년/NNG+층/XSN
취업이	취업/NNG+이/JKS
두드러진	두드러지/VV+ㄴ/ETM
산업은	산업/NNG+은/JX
도소매	도소매/NNG
및	및/MAG
음식·숙박업이었다.	음식/NNG+·/SP+숙박업/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.241.8.2
이 분야는 지난해 하반기부터 증가세를 보이다가 올해 들어 가파르게 상승했다.

이	이/MMD
분야는	분야/NNG+는/JX
지난해	지난해/NNG
하반기부터	하반기/NNG+부터/JX
증가세를	증가세/NNG+를/JKO
보이다가	보이/VV+다가/EC
올해	올해/NNG
들어	들/VV+어/EC
가파르게	가파르/VA+게/EC
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.241.8.3
청년층 취업자는 서비스업에서 6만명 늘었는데 그중 4만9000명이 음식·숙박업에 속했다.

청년층	청년/NNG+층/XSN
취업자는	취업자/NNG+는/JX
서비스업에서	서비스업/NNG+에서/JKB
6만명	6/SN+만/NR+명/NNB
늘었는데	늘/VV+었/EP+는데/EC
그중	그중/NNG
4만9000명이	4/SN+만/NR+9000/SN+명/NNB+이/JKS
음식·숙박업에	음식/NNG+·/SP+숙박업/NNG+에/JKB
속했다.	속하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.241.8.4
그러나 음식·숙박업은 경기에 영향을 많이 받는데다 임금 수준도 다른 서비스업에 비해 낮은 편이다.

그러나	그러나/MAJ
음식·숙박업은	음식/NNG+·/SP+숙박업/NNG+은/JX
경기에	경기/NNG+에/JKB
영향을	영향/NNG+을/JKO
많이	많이/MAG
받는데다	받/VV+는/ETM+데/NNB+다/JX
임금	임금/NNG
수준도	수준/NNG+도/JX
다른	다른/MMD
서비스업에	서비스업/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
낮은	낮/VA+은/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.241.8.5
또 도소매 및 음식숙박업 상용직 증가분은 매월 평균 5만명 수준에 머물렀지만, 임시직 증가분은 1월 8000명→ 2월 -1000명 → 3월 1만1000명 → 4월 2만2000명 → 5월 3만5000명 → 6월 4만명으로 빠르게 늘어났다.

또	또/MAG
도소매	도소매/NNG
및	및/MAG
음식숙박업	음식/NNG+숙박업/NNG
상용직	상용직/NNG
증가분은	증가/NNG+분/XSN+은/JX
매월	매월/MAG
평균	평균/NNG
5만명	5/SN+만/NR+명/NNB
수준에	수준/NNG+에/JKB
머물렀지만,	머무르/VV+었/EP+지만/EC+,/SP
임시직	임시직/NNG
1월	1/SN+월/NNB
8000명→	8000/SN+명/NNB+→/SW
2월	2/SN+월/NNB
-1000명	-/SO+1000/SN+명/NNB
→	→/SW
3월	3/SN+월/NNB
1만1000명	1/SN+만/NR+1000/SN+명/NNB
4월	4/SN+월/NNB
2만2000명	2/SN+만/NR+2000/SN+명/NNB
5월	5/SN+월/NNB
3만5000명	3/SN+만/NR+5000/SN+명/NNB
6월	6/SN+월/NNB
4만명으로	4/SN+만/NR+명/NNB+으로/JKB
빠르게	빠르/VA+게/EC
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.241.9.1
임금이 높고 상용직을 주로 채용하는 제조업의 경우, 올 상반기에 청년층 고용이 저조했다.

임금이	임금/NNG+이/JKS
높고	높/VA+고/EC
상용직을	상용직/NNG+을/JKO
주로	주로/MAG
채용하는	채용/NNG+하/XSV+는/ETM
제조업의	제조업/NNG+의/JKG
경우,	경우/NNG+,/SP
올	올/NNG
상반기에	상반기/NNG+에/JKB
청년층	청년/NNG+층/XSN
고용이	고용/NNG+이/JKS
저조했다.	저조/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000052.241.9.2
제조업 청년층 취업자 수는 올 상반기에 1만6000명 증가해 지난해 같은 기간(5만2000명)의 3분의1 수준에 머물렀다.

제조업	제조업/NNG
청년층	청년/NNG+층/XSN
취업자	취업자/NNG
수는	수/NNG+는/JX
올	올/NNG
상반기에	상반기/NNG+에/JKB
1만6000명	1/SN+만/NR+6000/SN+명/NNB
증가해	증가/NNG+하/XSV+아/EC
지난해	지난해/NNG
같은	같/VA+은/ETM
기간(5만2000명)의	기간/NNG+(/SS+5/SN+만/NR+2000/SN+명/NNB+)/SS+의/JKG
3분의1	3/SN+분/XSN+의/JKG+1/SN
수준에	수준/NNG+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.241.9.3
제조업 취업자는 2008년 글로벌 금융위기 이후 꾸준히 증가했는데 올해 들어 눈에 띄게 둔화되고 있다.

제조업	제조업/NNG
취업자는	취업자/NNG+는/JX
2008년	2008/SN+년/NNB
글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
꾸준히	꾸준히/MAG
증가했는데	증가/NNG+하/XSV+았/EP+는데/EC
올해	올해/NNG
들어	들/VV+어/EC
눈에	눈/NNG+에/JKB
띄게	띄/VV+게/EC
둔화되고	둔화/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.241.9.4
농업과 건설업에선 청년층 취업자 수가 감소했다.

농업과	농업/NNG+과/JC
건설업에선	건설업/NNG+에서/JKB+ㄴ/JX
청년층	청년/NNG+층/XSN
취업자	취업자/NNG
수가	수/NNG+가/JKS
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.241.10.1
보고서는 “청년층 일자리는 최근 임시·일용직 같이 단기적 일자리, 경기변동에 민감한 서비스 업종을 중심으로 증가하는 추세를 보이고 있고 제조업 청년층 취업자의 감소가 주목된다”고 진단했다.

보고서는	보고서/NNG+는/JX
“청년층	“/SS+청년/NNG+층/XSN
일자리는	일자리/NNG+는/JX
최근	최근/NNG
임시·일용직	임시/NNG+·/SP+일용직/NNG
같이	같이/MAG
단기적	단기/NNG+적/XSN
일자리,	일자리/NNG+,/SP
경기변동에	경기/NNG+변동/NNG+에/JKB
민감한	민감/NNG+하/XSA+ㄴ/ETM
서비스	서비스/NNG
업종을	업종/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
증가하는	증가/NNG+하/XSV+는/ETM
추세를	추세/NNG+를/JKO
보이고	보이/VV+고/EC
있고	있/VX+고/EC
제조업	제조업/NNG
청년층	청년/NNG+층/XSN
취업자의	취업자/NNG+의/JKG
감소가	감소/NNG+가/JKS
주목된다”고	주목/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
진단했다.	진단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.241.10.2
이어 “(청년층의) 노동시장 진입 여부에만 관심을 둘 것이 아니라 이들이 핵심연령층으로 노동시장의 중추 역할을 맡아야 한다는 점을 감안해 지속가능한 일자리를 창출할 수 있는 정책 방향이 필요해 보인다”고 제언했다.

이어	이어/MAG
“(청년층의)	“/SS+(/SS+청년/NNG+층/XSN+의/JKG+)/SS
노동시장	노동/NNG+시장/NNG
진입	진입/NNG
여부에만	여부/NNG+에/JKB+만/JX
관심을	관심/NNG+을/JKO
둘	두/VV+ㄹ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
이들이	이/NP+들/XSN+이/JKS
핵심연령층으로	핵심/NNG+연령/NNG+층/XSN+으로/JKB
노동시장의	노동/NNG+시장/NNG+의/JKG
중추	중추/NNG
역할을	역할/NNG+을/JKO
맡아야	맡/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
점을	점/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
지속가능한	지속/NNG+가능/NNG+하/XSA+ㄴ/ETM
일자리를	일자리/NNG+를/JKO
창출할	창출/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
정책	정책/NNG
방향이	방향/NNG+이/JKS
필요해	필요/NNG+하/XSA+아/EC
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
제언했다.	제언/NNG+하/XSV+았/EP+다/EF+./SF


