# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.98
metadata : {}


# id : NWRW1800000056.98.1.1
틸러슨-트럼프 또 엇박자…“대북 매파 폼페이오로 국무 교체 계획”

틸러슨-트럼프	틸러슨/NNP+-/SO+트럼프/NNP
국무부	국무부/NNG
청사에서	청사/NNG+에서/JKB
한	하/VV+ㄴ/ETM
지그마어	지그마어/NNP
가브리엘	가브리엘/NNP
독일	독일/NNP
외무장관과의	외무/NNG+장관/NNG+과/JKB+의/JKG
회담	회담/NNG
머리발언에서	머리/NNG+발언/NNG+에서/JKB
“우리는	“/SS+우리/NP+는/JX
중국에	중국/NNP+에/JKB
석유를	석유/NNG+를/JKO
더	더/MAG
많이	많이/MAG
제한하라고	제한/NNG+하/XSV+라고/EC
요구하고	요구/NNG+하/XSV+고/EC
있다”면서도	있/VX+다/EF+”/SS+면서/EC+도/JX
“완전히	“/SS+완전히/MAG
석유	석유/NNG
공급을	공급/NNG+을/JKO
중단하라고	중단/NNG+하/XSV+라고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.98.7.1
이런 언급은 전날 니키 헤일리 유엔 주재 미국대사가 안전보장이사회 긴급회의에서 전한 트럼프 대통령의 발언과 결을 달리하는 것이다.

이런	이런/MMD
언급은	언급/NNG+은/JX
전날	전날/NNG
니키	니키/NNP
헤일리	헤일리/NNP
유엔	유엔/NNP
주재	주재/NNG
미국대사가	미국/NNP+대사/NNG+가/JKS
안전보장이사회	안전/NNG+보장/NNG+이사회/NNG
긴급회의에서	긴급회의/NNG+에서/JKB
전한	전하/VV+ㄴ/ETM
트럼프	트럼프/NNP
대통령의	대통령/NNG+의/JKG
발언과	발언/NNG+과/JKB
결을	결/NNG+을/JKO
달리하는	달리/MAG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.98.7.2
헤일리 대사는 “트럼프 대통령이 시진핑 주석에게 (전화를 통해) ‘중국이 대북 유류 공급을 중단해야 하는 지점에 와 있다’고 말했다”고 전했다.

헤일리	헤일리/NNP
대사는	대사/NNG+는/JX
“트럼프	“/SS+트럼프/NNP
대통령이	대통령/NNG+이/JKS
시진핑	시진핑/NNP
주석에게	주석/NNG+에게/JKB
(전화를	(/SS+전화/NNG+를/JKO
통해)	통하/VV+아/EC+)/SS
‘중국이	‘/SS+중국/NNP+이/JKS
대북	대북/NNG
유류	유류/NNG
공급을	공급/NNG+을/JKO
중단해야	중단/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
지점에	지점/NNG+에/JKB
와	오/VV+아/EC
있다’고	있/VX+다/EF+’/SS+고/JKQ
말했다”고	말/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.98.7.3
틸러슨 장관은 ‘상황 진정’에, 트럼프 대통령은 대중국 협상력 높이기에 초점을 맞추고 있음을 알 수 있다.

틸러슨	틸러슨/NNP
장관은	장관/NNG+은/JX
‘상황	‘/SS+상황/NNG
진정’에,	진정/NNG+’/SS+에/JKB+,/SP
트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
대중국	대중국/NNG
협상력	협상력/NNG
높이기에	높이/VV+기/ETN+에/JKB
초점을	초점/NNG+을/JKO
맞추고	맞추/VV+고/EC
있음을	있/VX+음/ETN+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.98.8.1
제임스 매티스 국방장관도 30일 파이즈 사라즈 리비아 총리를 만난 자리에서 북한의 대륙간탄도미사일(ICBM) 발사에 관한 기자들의 질문에 “나는 외교가 작동하지 않았다고 말하지 않겠다.

제임스	제임스/NNP
매티스	매티스/NNP
국방장관도	국방/NNG+장관/NNG+도/JX
30일	30/SN+일/NNB
파이즈	파이즈/NNP
사라즈	사라즈/NNP
리비아	리비아/NNP
총리를	총리/NNG+를/JKO
만난	만나/VV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
북한의	북한/NNP+의/JKG
대륙간탄도미사일(ICBM)	대륙/NNG+간/NNB+탄도/NNG+미사일/NNG+(/SS+ICBM/SL+)/SS
발사에	발사/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
기자들의	기자/NNG+들/XSN+의/JKG
질문에	질문/NNG+에/JKB
“나는	“/SS+나/NP+는/JX
외교가	외교/NNG+가/JKS
작동하지	작동/NNG+하/XSV+지/EC
않았다고	않/VX+았/EP+다고/EC
말하지	말/NNG+하/XSV+지/EC
않겠다.	않/VX+겠/EP+다/EF+./SF


# id : NWRW1800000056.98.8.2
외교적 노력을 계속할 것”이라며 상황 관리에 무게를 실었다.

외교적	외교/NNG+적/XSN
노력을	노력/NNG+을/JKO
계속할	계속/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
상황	상황/NNG
관리에	관리/NNG+에/JKB
무게를	무게/NNG+를/JKO
실었다.	싣/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.98.9.1
한편 <뉴욕 타임스> 등은 존 켈리 백악관 비서실장이 틸러슨 장관을 몇주 안에 폼페이오 국장으로 교체하는 방안을 백악관 관리들과 논의했다고 전했다.

한편	한편/MAG
<뉴욕	</SS+뉴욕/NNP
타임스>	타임스/NNP+>/SS
등은	등/NNB+은/JX
존	존/NNP
켈리	켈리/NNP
백악관	백악관/NNP
비서실장이	비서실장/NNG+이/JKS
틸러슨	틸러슨/NNP
장관을	장관/NNG+을/JKO
몇주	몇/NR+주/NNB
안에	안/NNG+에/JKB
폼페이오	폼페이오/NNP
국장으로	국장/NNG+으로/JKB
교체하는	교체/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
관리들과	관리/NNG+들/XSN+과/JKB
논의했다고	논의/NNG+하/XSV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.98.9.2
이 신문은 “트럼프 대통령이 이런 계획을 최종 승인하지는 않았지만, 국무부에 변화를 줄 준비가 돼 있다”고 덧붙였다.

이	이/MMD
신문은	신문/NNG+은/JX
“트럼프	“/SS+트럼프/NNP
대통령이	대통령/NNG+이/JKS
이런	이런/MMD
계획을	계획/NNG+을/JKO
최종	최종/NNG
승인하지는	승인/NNG+하/XSV+지/EC+는/JX
않았지만,	않/VX+았/EP+지만/EC+,/SP
국무부에	국무부/NNG+에/JKB
변화를	변화/NNG+를/JKO
줄	주/VV+ㄹ/ETM
준비가	준비/NNG+가/JKC
돼	되/VV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.98.9.3
틸러슨 장관은 그동안 “트럼프 대통령은 멍청이”라고 발언했다는 보도가 나온 것을 비롯해, 북핵·이란·기후변화 등을 놓고 트럼프 대통령과 다른 입장을 보여 몇달 전부터 교체설이 꾸준히 나돌았다.

틸러슨	틸러슨/NNP
장관은	장관/NNG+은/JX
그동안	그동안/NNG
“트럼프	“/SS+트럼프/NNP
대통령은	대통령/NNG+은/JX
멍청이”라고	멍청이/NNG+”/SS+라고/JKQ
발언했다는	발언/NNG+하/XSV+았/EP+다는/ETM
보도가	보도/NNG+가/JKS
나온	나오/VV+ㄴ/ETM
것을	것/NNB+을/JKO
비롯해,	비롯하/VV+아/EC+,/SP
북핵·이란·기후변화	북핵/NNG+·/SP+이란/NNP+·/SP+기후/NNG+변화/NNG
등을	등/NNB+을/JKO
놓고	놓/VV+고/EC
트럼프	트럼프/NNP
대통령과	대통령/NNG+과/JC
다른	다르/VA+ㄴ/ETM
입장을	입장/NNG+을/JKO
보여	보이/VV+어/EC
몇달	몇/NR+달/NNB
전부터	전/NNG+부터/JX
교체설이	교체설/NNG+이/JKS
꾸준히	꾸준히/MAG
나돌았다.	나돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.98.10.1
폼페이오 국장은 일주일에 3~4차례씩 트럼프 대통령에게 대면 보고를 하며 개인적 친밀감을 쌓아온 것으로 알려졌다.

폼페이오	폼페이오/NNP
국장은	국장/NNG+은/JX
일주일에	일주일/NNG+에/JKB
3~4차례씩	3/SN+~/SO+4/SN+차례/NNG+씩/XSN
트럼프	트럼프/NNP
대통령에게	대통령/NNG+에게/JKB
대면	대면/NNG
보고를	보고/NNG+를/JKO
하며	하/VV+며/EC
개인적	개인/NNG+적/XSN
친밀감을	친밀감/NNG+을/JKO
쌓아온	쌓/VV+아/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.98.10.2
그는 강경 보수 성향의 풀뿌리 조직인 ‘티파티’ 출신의 하원의원을 지냈으며, 북한이나 이란에 대한 정책과 관련해 행정부 내 대표적 매파로 꼽힌다.

그는	그/NP+는/JX
강경	강경/NNG
보수	보수/NNG
성향의	성향/NNG+의/JKG
풀뿌리	풀뿌리/NNG
조직인	조직/NNG+이/VCP+ㄴ/ETM
‘티파티’	‘/SS+티파티/NNP+’/SS
출신의	출신/NNG+의/JKG
하원의원을	하원/NNG+의원/NNG+을/JKO
지냈으며,	지내/VV+었/EP+으며/EC+,/SP
북한이나	북한/NNP+이나/JC
이란에	이란/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
정책과	정책/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
행정부	행정부/NNG
내	내/NNB
대표적	대표/NNG+적/XSN
매파로	매파/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.98.10.3
특히 지난 7월 한 안보 포럼에서 “미국 정부 관점에서 가장 중요한 일은 북한의 핵개발 능력과 핵개발 의도가 있는 인물을 떼어놓는 것”이라며 ‘김정은 정권 교체’를 시사하기도 했다.

특히	특히/MAG
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
한	한/MMN
안보	안보/NNG
포럼에서	포럼/NNG+에서/JKB
“미국	“/SS+미국/NNP
정부	정부/NNG
관점에서	관점/NNG+에서/JKB
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
일은	일/NNG+은/JX
북한의	북한/NNP+의/JKG
핵개발	핵/NNG+개발/NNG
능력과	능력/NNG+과/JC
의도가	의도/NNG+가/JKS
있는	있/VA+는/ETM
인물을	인물/NNG+을/JKO
떼어놓는	떼/VV+어/EC+놓/VX+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
‘김정은	‘/SS+김정은/NNP
정권	정권/NNG
교체’를	교체/NNG+’/SS+를/JKO
시사하기도	시사/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


