# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.174
metadata : {}


# id : NWRW1800000046.174.1.1
"北韓동포 돕기 교회가 앞장서자"

"北韓동포	"/SS+北韓/SH+동포/NNG
이루자"고	이루/VV+자/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.174.6.4
박근혜 대통령은 김종덕 문화체육관광부 장관이 대신 읽은 축사를 통해 "한국 교회의 뜨거운 기도가 한반도의 휴전선을 걷어내고 평화통일로 나가는 초석이 될 것으로 믿는다"고 말했다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
김종덕	김종덕/NNP
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
장관이	장관/NNG+이/JKS
대신	대신/NNG
읽은	읽/VV+은/ETM
축사를	축사/NNG+를/JKO
통해	통하/VV+아/EC
"한국	"/SS+한국/NNP
교회의	교회/NNG+의/JKG
뜨거운	뜨겁/VA+ㄴ/ETM
기도가	기도/NNG+가/JKS
한반도의	한반도/NNP+의/JKG
휴전선을	휴전선/NNG+을/JKO
걷어내고	걷/VV+어/EC+내/VX+고/EC
평화통일로	평화/NNG+통일/NNG+로/JKB
나가는	나가/VV+는/ETM
초석이	초석/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
믿는다"고	믿/VV+는다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.174.7.1
참석자들은 평화통일을 위한 한국 교회 선언문 낭독과 실천강령 제창 후 팸플릿에 인쇄된 태극기를 펼쳐들고 '우리의 소원'을 합창하며 기도회를 마쳤다.

참석자들은	참석자/NNG+들/XSN+은/JX
평화통일을	평화/NNG+통일/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
한국	한국/NNP
교회	교회/NNG
선언문	선언문/NNG
낭독과	낭독/NNG+과/JC
실천강령	실천/NNG+강령/NNG
제창	제창/NNG
후	후/NNG
팸플릿에	팸플릿/NNG+에/JKB
인쇄된	인쇄/NNG+되/XSV+ㄴ/ETM
태극기를	태극기/NNG+를/JKO
펼쳐들고	펼치/VV+어/EC+들/VV+고/EC
'우리의	'/SS+우리/NP+의/JKG
소원'을	소원/NNG+'/SS+을/JKO
합창하며	합창/NNG+하/XSV+며/EC
기도회를	기도회/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


