# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.196
metadata : {}


# id : NWRW1800000053.196.1.1
[단독]비위 징계없이 퇴직 사립교원, 국공립 4배

[단독]비위	[/SS+단독/NNG+]/SS+비위/NNG
17개	17/SN+개/NNB
시도교육청으로부터	시도/NNG+교육청/NNG+으로부터/JKB
제출받은	제출/NNG+받/XSV+은/ETM
‘2013∼2017년	‘/SS+2013/SN+∼/SO+2017/SN+년/NNB
초중고교	초중고교/NNG
감사	감사/NNG
현황’을	현황/NNG+’/SS+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
사립학교	사립/NNG+학교/NNG
교원에게	교원/NNG+에게/JKB
내려진	내려지/VV+ㄴ/ETM
징계	징계/NNG
처분	처분/NNG
중	중/NNB
‘퇴직불문’으로	‘/SS+퇴직/NNG+불문/NNG+’/SS+으로/JKB
처리된	처리/NNG+되/XSV+ㄴ/ETM
경우가	경우/NNG+가/JKS
47건에	47/SN+건/NNB+에/JKB
달한	달하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.196.4.2
이는 국공립학교에서 11건에 그친 것과 비교하면 4배가 넘는 수치다.

이는	이/NP+는/JX
국공립학교에서	국공립/NNG+학교/NNG+에서/JKB
11건에	11/SN+건/NNB+에/JKB
그친	그치/VV+ㄴ/ETM
것과	것/NNB+과/JKB
비교하면	비교/NNG+하/XSV+면/EC
4배가	4/SN+배/NNG+가/JKS
넘는	넘/VV+는/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.196.4.3
퇴직불문은 근무 중에 문제가 발생했지만 징계 절차가 시작되기 전에 퇴직했기 때문에 아무런 불이익을 받지 않는다.

퇴직불문은	퇴직/NNG+불문/NNG+은/JX
근무	근무/NNG
중에	중/NNB+에/JKB
문제가	문제/NNG+가/JKS
발생했지만	발생/NNG+하/XSV+았/EP+지만/EC
징계	징계/NNG
절차가	절차/NNG+가/JKS
시작되기	시작/NNG+되/XSV+기/ETN
전에	전/NNG+에/JKB
퇴직했기	퇴직/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
아무런	아무런/MMD
불이익을	불/XPN+이익/NNG+을/JKO
받지	받/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000053.196.5.1
2017년 기준 전국 사립 초중고교가 1717개로 전국 초중고교의 14%에 불과하다는 점을 고려하면 사립학교에서 비위를 저지르더라도 징계를 받기 전에 퇴직하는 비율이 공립에 비해 지나치게 높다는 지적이 나온다.

2017년	2017/SN+년/NNB
기준	기준/NNG
전국	전국/NNG
사립	사립/NNG
초중고교가	초중고교/NNG+가/JKS
1717개로	1717/SN+개/NNB+로/JKB
초중고교의	초중고교/NNG+의/JKG
14%에	14/SN+%/SW+에/JKB
불과하다는	불과/MAG+하/XSA+다는/ETM
점을	점/NNG+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
사립학교에서	사립/NNG+학교/NNG+에서/JKB
비위를	비위/NNG+를/JKO
저지르더라도	저지르/VV+더라도/EC
징계를	징계/NNG+를/JKO
받기	받/VV+기/ETN
전에	전/NNG+에/JKB
퇴직하는	퇴직/NNG+하/XSV+는/ETM
비율이	비율/NNG+이/JKS
공립에	공립/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
지나치게	지나치/VA+게/EC
높다는	높/VA+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.196.6.1
또 시도교육청이 중징계를 요구했을 때 해당 교원이 실제 중징계로 이어진 경우는 국공립에 비해 사립학교가 현저히 낮은 것으로 나타났다.

또	또/MAG
시도교육청이	시도/NNG+교육청/NNG+이/JKS
중징계를	중징계/NNG+를/JKO
요구했을	요구/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
해당	해당/NNG
교원이	교원/NNG+이/JKS
실제	실제/NNG
중징계로	중징계/NNG+로/JKB
이어진	이어지/VV+ㄴ/ETM
경우는	경우/NNG+는/JX
국공립에	국공립/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
사립학교가	사립/NNG+학교/NNG+가/JKS
현저히	현저히/MAG
낮은	낮/VA+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.196.6.2
2013∼2017년 전국 시도교육청이 사립학교 교직원 261명에 대해 중징계하도록 해당 학교법인에 요구했지만 이 중 실제로 파면 해임 강등 정직 등 중징계를 받은 교원은 47.5%인 124명(절차가 진행 중인 경우는 미포함)에 불과했다.

2013∼2017년	2013/SN+∼/SO+2017/SN+년/NNB
전국	전국/NNG
시도교육청이	시도/NNG+교육청/NNG+이/JKS
사립학교	사립/NNG+학교/NNG
교직원	교직원/NNG
261명에	261/SN+명/NNB+에/JKB
대해	대하/VV+아/EC
중징계하도록	중징계/NNG+하/XSV+도록/EC
해당	해당/NNG
학교법인에	학교/NNG+법인/NNG+에/JKB
요구했지만	요구/NNG+하/XSV+았/EP+지만/EC
이	이/MMD
중	중/NNB
실제로	실제로/MAG
파면	파면/NNG
해임	해임/NNG
강등	강등/NNG
정직	정직/NNG
등	등/NNB
중징계를	중징계/NNG+를/JKO
받은	받/VV+은/ETM
교원은	교원/NNG+은/JX
47.5%인	47/SN+./SP+5/SN+%/SW+이/VCP+ㄴ/ETM
124명(절차가	124/SN+명/NNB+(/SS+절차/NNG+가/JKS
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
경우는	경우/NNG+는/JX
미포함)에	미/XPN+포함/NNG+)/SS+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000053.196.6.3
반면 국공립의 경우 중징계 결정을 받은 537명 중 86.4%인 464명이 실제 중징계를 받았다.

반면	반면/NNG
국공립의	국공립/NNG+의/JKG
경우	경우/NNG
중징계	중징계/NNG
결정을	결정/NNG+을/JKO
받은	받/VV+은/ETM
537명	537/SN+명/NNB
중	중/NNB
86.4%인	86/SN+./SP+4/SN+%/SW+이/VCP+ㄴ/ETM
464명이	464/SN+명/NNB+이/JKS
실제	실제/NNG
중징계를	중징계/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.196.7.1
사립학교가 국공립에 비해 교육청의 요구를 잘 따르지 않는 것은 교육청은 징계 요구만 할 수 있을 뿐 실제로 징계권한은 해당 학교 법인에 있기 때문이다.

사립학교가	사립/NNG+학교/NNG+가/JKS
국공립에	국공립/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
교육청의	교육청/NNG+의/JKG
요구를	요구/NNG+를/JKO
잘	잘/MAG
따르지	따르/VV+지/EC
않는	않/VX+는/ETM
것은	것/NNB+은/JX
교육청은	교육청/NNG+은/JX
징계	징계/NNG
요구만	요구/NNG+만/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
뿐	뿐/NNB
실제로	실제로/MAG
징계권한은	징계/NNG+권한/NNG+은/JX
해당	해당/NNG
학교	학교/NNG
법인에	법인/NNG+에/JKB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.196.7.2
사립학교에서는 시도교육청의 처분 요구를 바로 이행하지 않고 시간을 끄는 사례도 많은 것으로 나타났다.

사립학교에서는	사립/NNG+학교/NNG+에서/JKB+는/JX
시도교육청의	시도/NNG+교육청/NNG+의/JKG
처분	처분/NNG
요구를	요구/NNG+를/JKO
바로	바로/MAG
이행하지	이행/NNG+하/XSV+지/EC
않고	않/VX+고/EC
시간을	시간/NNG+을/JKO
끄는	끌/VV+는/ETM
사례도	사례/NNG+도/JX
많은	많/VA+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.196.7.3
2016년 서울 지역의 사립학교는 서울시교육청으로부터 총 718건의 징계 및 행정처분 요청을 받았지만 현재까지 결론이 나지 않은 채 진행 중인 경우가 41건에 달했다.

2016년	2016/SN+년/NNB
서울	서울/NNP
지역의	지역/NNG+의/JKG
사립학교는	사립/NNG+학교/NNG+는/JX
서울시교육청으로부터	서울시교육청/NNP+으로부터/JKB
총	총/MMA
718건의	718/SN+건/NNB+의/JKG
징계	징계/NNG
및	및/MAG
행정처분	행정/NNG+처분/NNG
요청을	요청/NNG+을/JKO
받았지만	받/VV+았/EP+지만/EC
현재까지	현재/NNG+까지/JX
결론이	결론/NNG+이/JKS
나지	나/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
경우가	경우/NNG+가/JKS
41건에	41/SN+건/NNB+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.196.7.4
공립학교에서 4건이 진행 중인 것과 비교하면 큰 차이를 보인다.

공립학교에서	공립/NNG+학교/NNG+에서/JKB
4건이	4/SN+건/NNB+이/JKS
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것과	것/NNB+과/JKB
비교하면	비교/NNG+하/XSV+면/EC
큰	크/VA+ㄴ/ETM
차이를	차이/NNG+를/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


