# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.171
metadata : {}


# id : NWRW1800000032.171.1.1
김현, 고향 목포에서 되살아나다

김현,	김현/NNP+,/SP
배치되었다.	배치/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.171.7.2
정면으로는 1993년에 완간된 김현 문학전집 전 16권과 김영태·이제하·김승옥씨가 그린 김현 캐리커처, 고은·최인훈씨가 고인에게 써 준 글씨와 황지우 시인이 직접 제작해 선물한 목판화 등이 전시되었다.

정면으로는	정면/NNG+으로/JKB+는/JX
1993년에	1993/SN+년/NNB+에/JKB
완간된	완간/NNG+되/XSV+ㄴ/ETM
김현	김현/NNP
문학전집	문학/NNG+전집/NNG
전	전/MMN
16권과	16/SN+권/NNB+과/JC
김영태·이제하·김승옥씨가	김영태/NNP+·/SP+이제하/NNP+·/SP+김승옥/NNP+씨/NNB+가/JKS
그린	그리/VV+ㄴ/ETM
캐리커처,	캐리커처/NNG+,/SP
고은·최인훈씨가	고은/NNP+·/SP+최인훈/NNP+씨/NNB+가/JKS
고인에게	고인/NNG+에게/JKB
써	쓰/VV+어/EC
준	주/VX+ㄴ/ETM
글씨와	글씨/NNG+와/JC
황지우	황지우/NNP
시인이	시인/NNG+이/JKS
직접	직접/MAG
제작해	제작/NNG+하/XSV+아/EC
선물한	선물/NNG+하/XSV+ㄴ/ETM
목판화	목판화/NNG
등이	등/NNB+이/JKS
전시되었다.	전시/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.171.7.3
오른쪽 구석에는 전시 내역과 수장고에 보관된 유품 등을 확인할 수 있는 터치스크린 ‘김현을 만나다’가 설치되었다.

오른쪽	오른쪽/NNG
구석에는	구석/NNG+에/JKB+는/JX
전시	전시/NNG
내역과	내역/NNG+과/JC
수장고에	수장고/NNG+에/JKB
보관된	보관/NNG+되/XSV+ㄴ/ETM
유품	유품/NNG
등을	등/NNB+을/JKO
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
터치스크린	터치스크린/NNG
‘김현을	‘/SS+김현/NNP+을/JKO
만나다’가	만나/VV+다/EF+’/SS+가/JKS
설치되었다.	설치/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.171.8.1
이런 자료들이 김현 문학의 바깥(=맥락)을 보여준다면, 둥근 방 모양을 한 전시관 속의 전시관 ‘김현, 바다의 몸’은 김현 문학의 속살에 할애된다.

이런	이런/MMD
자료들이	자료/NNG+들/XSN+이/JKS
김현	김현/NNP
문학의	문학/NNG+의/JKG
바깥(=맥락)을	바깥/NNG+(/SS+=/SW+맥락/NNG+)/SS+을/JKO
보여준다면,	보이/VV+어/EC+주/VX+ㄴ다면/EC+,/SP
둥근	둥글/VA+ㄴ/ETM
방	방/NNG
모양을	모양/NNG+을/JKO
한	하/VV+ㄴ/ETM
전시관	전시관/NNG
속의	속/NNG+의/JKG
‘김현,	‘/SS+김현/NNP+,/SP
바다의	바다/NNG+의/JKG
몸’은	몸/NNG+’/SS+은/JX
속살에	속살/NNG+에/JKB
할애된다.	할애/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.171.8.2
김현의 원고와 저서, 옷과 신발, 학창 시절 생활기록부와 성적표, 김치수·이청준·오생근 등 동료들 및 세계적인 문학 이론가 르네 지라르와 주고받은 편지, 그리고 말년에 병상에서 쓴 일지와 메모까지 그의 체취를 전해 주는 유품들이 관람객을 맞이한다.

김현의	김현/NNP+의/JKG
원고와	원고/NNG+와/JC
저서,	저서/NNG+,/SP
옷과	옷/NNG+과/JC
신발,	신발/NNG+,/SP
학창	학창/NNG
시절	시절/NNG
생활기록부와	생활/NNG+기록부/NNG+와/JC
성적표,	성적표/NNG+,/SP
김치수·이청준·오생근	김치수/NNP+·/SP+이청준/NNP+·/SP+오생근/NNP
등	등/NNB
동료들	동료/NNG+들/XSN
및	및/MAG
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
문학	문학/NNG
이론가	이론가/NNG
르네	르네/NNP
지라르와	지라르/NNP+와/JKB
주고받은	주고받/VV+은/ETM
편지,	편지/NNG+,/SP
그리고	그리고/MAJ
말년에	말년/NNG+에/JKB
병상에서	병상/NNG+에서/JKB
쓴	쓰/VV+ㄴ/ETM
일지와	일지/NNG+와/JC
메모까지	메모/NNG+까지/JX
그의	그/NP+의/JKG
체취를	체취/NNG+를/JKO
전해	전하/VV+아/EC
주는	주/VX+는/ETM
유품들이	유품/NNG+들/XSN+이/JKS
관람객을	관람객/NNG+을/JKO
맞이한다.	맞이하/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.171.8.3
벽에는 김현의 책에서 따온 문장들이 새겨졌으며 방 안 스크린에서는 고인의 생전 모습과 음성, 문우들의 회고 인터뷰 등을 담은 영상물이 흘러나온다.

벽에는	벽/NNG+에/JKB+는/JX
김현의	김현/NNP+의/JKG
책에서	책/NNG+에서/JKB
따온	따오/VV+ㄴ/ETM
문장들이	문장/NNG+들/XSN+이/JKS
새겨졌으며	새기/VV+어/EC+지/VX+었/EP+으며/EC
방	방/NNG
안	안/NNG
스크린에서는	스크린/NNG+에서/JKB+는/JX
고인의	고인/NNG+의/JKG
생전	생전/NNG
모습과	모습/NNG+과/JC
음성,	음성/NNG+,/SP
문우들의	문우/NNG+들/XSN+의/JKG
회고	회고/NNG
인터뷰	인터뷰/NNG
등을	등/NNB+을/JKO
담은	담/VV+은/ETM
영상물이	영상물/NNG+이/JKS
흘러나온다.	흘러나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.171.9.1
김현 전시관은 계단을 통해 아래층의 박화성 전시관과 바로 연결된다.

김현	김현/NNP
전시관은	전시관/NNG+은/JX
계단을	계단/NNG+을/JKO
통해	통하/VV+아/EC
아래층의	아래층/NNG+의/JKG
박화성	박화성/NNP
전시관과	전시관/NNG+과/JKB
바로	바로/MAG
연결된다.	연결/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.171.9.2
2007년에 개관한 목포문학관은 1층에 한국 근대문단 최초의 여성 소설가 박화성(1903~1988)과 극예술의 선구자 김우진(1897~1926)의 전시관이, 2층에 김현 전시관과 함께 극작가 차범석(1924~2006)의 전시관이 마련되어 있어, 한국 현대문학의 토대를 쌓고 기틀을 다진 목포 출신 문인들의 숨결을 느낄 수 있도록 되어 있다.

2007년에	2007/SN+년/NNB+에/JKB
개관한	개관/NNG+하/XSV+ㄴ/ETM
목포문학관은	목포문학관/NNP+은/JX
1층에	1/SN+층/NNG+에/JKB
한국	한국/NNP
근대문단	근대/NNG+문단/NNG
최초의	최초/NNG+의/JKG
여성	여성/NNG
소설가	소설가/NNG
박화성(1903~1988)과	박화성/NNP+(/SS+1903/SN+~/SO+1988/SN+)/SS+과/JC
극예술의	극예술/NNG+의/JKG
선구자	선구자/NNG
김우진(1897~1926)의	김우진/NNP+(/SS+1897/SN+~/SO+1926/SN+)/SS+의/JKG
전시관이,	전시관/NNG+이/JKS+,/SP
2층에	2/SN+층/NNG+에/JKB
김현	김현/NNP
전시관과	전시관/NNG+과/JKB
함께	함께/MAG
극작가	극작가/NNG
차범석(1924~2006)의	차범석/NNP+(/SS+1924/SN+~/SO+2006/SN+)/SS+의/JKG
전시관이	전시관/NNG+이/JKS
마련되어	마련/NNG+되/XSV+어/EC
있어,	있/VX+어/EC+,/SP
현대문학의	현대/NNG+문학/NNG+의/JKG
토대를	토대/NNG+를/JKO
쌓고	쌓/VV+고/EC
기틀을	기틀/NNG+을/JKO
다진	다지/VV+ㄴ/ETM
목포	목포/NNP
출신	출신/NNG
문인들의	문인/NNG+들/XSN+의/JKG
숨결을	숨결/NNG+을/JKO
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
되어	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.171.10.1
30일 개관식에는 김현과 함께 잡지 <문학과 지성>을 창간하고 출판사 문학과지성사를 설립한 김병익과 김치수 두 평론가를 비롯해 시인 정현종·김광규·김형영·황지우·장석주·나희덕씨, 소설가 김원일·이인성·정찬씨, 평론가 박이문·홍정선·권오룡·정과리·이광호·김형중·이수형씨, 음악학자 서우석씨와 정치학자 정문길씨, 그리고 정종득 목포시장과 고석규 목포대 총장 등 80여명이 참석했다.

30일	30/SN+일/NNB
개관식에는	개관식/NNG+에/JKB+는/JX
김현과	김현/NNP+과/JKB
함께	함께/MAG
잡지	잡지/NNG
<문학과	</SS+문학/NNG+과/JC
지성>을	지성/NNG+>/SS+을/JKO
창간하고	창간/NNG+하/XSV+고/EC
출판사	출판사/NNG
문학과지성사를	문학과지성사/NNP+를/JKO
설립한	설립/NNG+하/XSV+ㄴ/ETM
김병익과	김병익/NNP+과/JC
김치수	김치수/NNP
두	두/MMN
평론가를	평론가/NNG+를/JKO
비롯해	비롯하/VV+아/EC
시인	시인/NNG
정현종·김광규·김형영·황지우·장석주·나희덕씨,	정현종/NNP+·/SP+김광규/NNP+·/SP+김형영/NNP+·/SP+황지우/NNP+·/SP+장석주/NNP+·/SP+나희덕/NNP+씨/NNB+,/SP
소설가	소설가/NNG
김원일·이인성·정찬씨,	김원일/NNP+·/SP+이인성/NNP+·/SP+정찬/NNP+씨/NNB+,/SP
평론가	평론가/NNG
박이문·홍정선·권오룡·정과리·이광호·김형중·이수형씨,	박이문/NNP+·/SP+홍정선/NNP+·/SP+권오룡/NNP+·/SP+정과리/NNP+·/SP+이광호/NNP+·/SP+김형중/NNP+·/SP+이수형/NNP+씨/NNB+,/SP
음악학자	음악학자/NNG
서우석씨와	서우석/NNP+씨/NNB+와/JC
정치학자	정치학자/NNG
정문길씨,	정문길/NNP+씨/NNB+,/SP
그리고	그리고/MAJ
정종득	정종득/NNP
목포시장과	목포/NNP+시장/NNG+과/JC
고석규	고석규/NNP
목포대	목포대/NNP
총장	총장/NNG
등	등/NNB
80여명이	80/SN+여/XSN+명/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.171.11.1
김현의 대학 동기인 김치수 교수는 “김현 문학 전시관에서 고인의 치열했던 삶과 뜨거웠던 문학을 다시 만날 수 있게 되었다”며 “오늘은 20여년 전 작고한 김현이 고향 목포에서 다시 태어나는 역사적인 순간”이라고 감격스러워했다.

김현의	김현/NNP+의/JKG
대학	대학/NNG
동기인	동기/NNG+이/VCP+ㄴ/ETM
김치수	김치수/NNP
교수는	교수/NNG+는/JX
“김현	“/SS+김현/NNP
문학	문학/NNG
전시관에서	전시관/NNG+에서/JKB
고인의	고인/NNG+의/JKG
치열했던	치열/NNG+하/XSA+았/EP+던/ETM
삶과	삶/NNG+과/JC
뜨거웠던	뜨겁/VA+었/EP+던/ETM
문학을	문학/NNG+을/JKO
다시	다시/MAG
만날	만나/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
되었다”며	되/VV+었/EP+다/EF+”/SS+며/EC
“오늘은	“/SS+오늘/NNG+은/JX
20여년	20/SN+여/XSN+년/NNB
전	전/NNG
작고한	작고/NNG+하/XSV+ㄴ/ETM
김현이	김현/NNP+이/JKS
고향	고향/NNG
목포에서	목포/NNP+에서/JKB
태어나는	태어나/VV+는/ETM
역사적인	역사/NNG+적/XSN+이/VCP+ㄴ/ETM
순간”이라고	순간/NNG+”/SS+이라고/JKQ
감격스러워했다.	감격/NNG+스럽/XSA+어/EC+하/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.171.11.2
시인 정현종씨도 “문학관은 전시된 자료도 중요하지만 전시 공간과 자료의 배치도 하나의 예술작품이어야 하는데, 김현 전시관은 그의 문학 세계를 잘 이해하는 이들이 참여해서 아름답게 꾸며진 것이 마음에 든다”고 말했다.

시인	시인/NNG
정현종씨도	정현종/NNP+씨/NNB+도/JX
“문학관은	“/SS+문학관/NNG+은/JX
전시된	전시/NNG+되/XSV+ㄴ/ETM
자료도	자료/NNG+도/JX
중요하지만	중요/NNG+하/XSA+지만/EC
전시	전시/NNG
공간과	공간/NNG+과/JC
자료의	자료/NNG+의/JKG
배치도	배치/NNG+도/JX
하나의	하나/NR+의/JKG
예술작품이어야	예술/NNG+작품/NNG+이/VCP+어야/EC
하는데,	하/VX+는데/EC+,/SP
김현	김현/NNP
전시관은	전시관/NNG+은/JX
그의	그/NP+의/JKG
문학	문학/NNG
세계를	세계/NNG+를/JKO
잘	잘/MAG
이해하는	이해/NNG+하/XSV+는/ETM
이들이	이/NNB+들/XSN+이/JKS
참여해서	참여/NNG+하/XSV+아서/EC
아름답게	아름답/VA+게/EC
꾸며진	꾸미/VV+어/EC+지/VX+ㄴ/ETM
것이	것/NNB+이/JKS
마음에	마음/NNG+에/JKB
든다”고	들/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.171.12.1
한편 이날 개관식에 이어서는 ‘김현 문학 학술 심포지엄’이 열렸다.

한편	한편/MAG
이날	이날/NNG
개관식에	개관식/NNG+에/JKB
이어서는	잇/VV+어서/EC+는/JX
‘김현	‘/SS+김현/NNP
문학	문학/NNG
학술	학술/NNG
심포지엄’이	심포지엄/NNG+’/SS+이/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.171.12.2
정과리(연세대 국문과 교수)씨가 ‘김현의 고향: 진도 혹은 목포’라는 제목으로 , 한순미(전남대 인문한국연구교수)씨가 ‘바다, 몸, 구멍: “씌어지지 않은” 바다’라는 제목으로 발표를 했다.

정과리(연세대	정과리/NNP+(/SS+연세대/NNP
국문과	국문과/NNG
교수)씨가	교수/NNG+)/SS+씨/NNB+가/JKS
‘김현의	‘/SS+김현/NNP+의/JKG
고향:	고향/NNG+:/SP
진도	진도/NNP
혹은	혹은/MAG
목포’라는	목포/NNP+’/SS+이/VCP+라는/ETM
제목으로	제목/NNG+으로/JKB
,	,/SP
한순미(전남대	한순미/NNP+(/SS+전남대/NNP
인문한국연구교수)씨가	인문/NNG+한국/NNP+연구/NNG+교수/NNG+)/SS+씨/NNB+가/JKS
‘바다,	‘/SS+바다/NNG+,/SP
몸,	몸/NNG+,/SP
구멍:	구멍/NNG+:/SP
“씌어지지	“/SS+씌/VV+어/EC+지/VX+지/EC
않은”	않/VX+은/ETM+”/SS
바다’라는	바다/NNG+’/SS+이/VCP+라는/ETM
발표를	발표/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.171.13.1
김현은 전남 진도에서 태어나 일곱살 때 목포로 이사해 성장했다.

김현은	김현/NNP+은/JX
전남	전남/NNP
진도에서	진도/NNP+에서/JKB
태어나	태어나/VV+아/EC
일곱살	일곱/NR+살/NNB
때	때/NNG
목포로	목포/NNP+로/JKB
이사해	이사/NNG+하/XSV+아/EC
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.171.13.2
1962년 <자유문학>에 ‘나르시스 시론’을 발표하면서 등단한 이래 1990년 6월27일 타계할 때까지 ‘공감의 비평’으로 알려진 정교하고 미려한 평론으로 문학비평의 수준을 한 차원 높인 것으로 평가받는다.

1962년	1962/SN+년/NNB
<자유문학>에	</SS+자유/NNG+문학/NNG+>/SS+에/JKB
‘나르시스	‘/SS+나르시스/NNP
시론’을	시론/NNG+’/SS+을/JKO
발표하면서	발표/NNG+하/XSV+면서/EC
등단한	등단/NNG+하/XSV+ㄴ/ETM
이래	이래/NNB
1990년	1990/SN+년/NNB
6월27일	6/SN+월/NNB+27/SN+일/NNB
타계할	타계/NNG+하/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
‘공감의	‘/SS+공감/NNG+의/JKG
비평’으로	비평/NNG+’/SS+으로/JKB
알려진	알려지/VV+ㄴ/ETM
정교하고	정교하/VA+고/EC
미려한	미려하/VA+ㄴ/ETM
평론으로	평론/NNG+으로/JKB
문학비평의	문학/NNG+비평/NNG+의/JKG
수준을	수준/NNG+을/JKO
한	한/MMN
차원	차원/NNG
높인	높이/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
평가받는다.	평가/NNG+받/XSV+는다/EF+./SF


