# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.26
metadata : {}


# id : NWRW1800000056.26.1.1
“경제민주화, 국회만 쳐다보지 말고 하위 법령 개정부터”

“경제민주화,	“/SS+경제/NNG+민주/NNG+화/XSN+,/SP
소수주주권 행사요건 완화대상 법인 확대와 재벌 총수일가 일감몰아주기 규제대상 확대 등이 우선 과제로 제시됐다.

소수주주권	소수/NNG+주주/NNG+권/XSN
행사요건	행사/NNG+요건/NNG
완화대상	완화/NNG+대상/NNG
법인	법인/NNG
확대와	확대/NNG+와/JC
재벌	재벌/NNG
총수일가	총수/NNG+일가/NNG
일감몰아주기	일감/NNG+몰아주기/NNG
규제대상	규제/NNG+대상/NNG
확대	확대/NNG
등이	등/NNB+이/JKS
우선	우선/MAG
과제로	과제/NNG+로/JKB
제시됐다.	제시/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.26.6.1
경제개혁연대는 9일 ‘시행령 등 하위규정 개정을 통한 경제민주화 실천 방안’ 보고서를 내고 “20대 국회가 개원한 지 1년이 지났지만 경제민주화 입법 성과가 저조하고, 여소야대 의석분포와 법안심사소위 전원일치 관행 등 보수적인 법안심사 관행을 감안할 때 앞으로도 법안 제개정이 쉽지 않을 것”이라며 “문재인 정부가 시행령 등 하위 규정 개정으로 경제민주화 정책을 진전시켜야 한다”고 강조했다.

경제개혁연대는	경제/NNG+개혁/NNG+연대/NNG+는/JX
9일	9/SN+일/NNB
‘시행령	‘/SS+시행령/NNG
등	등/NNB
하위규정	하위/NNG+규정/NNG
개정을	개정/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
경제민주화	경제/NNG+민주/NNG+화/XSN
실천	실천/NNG
방안’	방안/NNG+’/SS
보고서를	보고서/NNG+를/JKO
내고	내/VV+고/EC
“20대	“/SS+20/SN+대/NNB
국회가	국회/NNG+가/JKS
개원한	개원/NNG+하/XSV+ㄴ/ETM
지	지/NNB
1년이	1/SN+년/NNB+이/JKS
지났지만	지나/VV+았/EP+지만/EC
입법	입법/NNG
성과가	성과/NNG+가/JKS
저조하고,	저조/NNG+하/XSA+고/EC+,/SP
여소야대	여소/NNG+야대/NNG
의석분포와	의석/NNG+분포/NNG+와/JC
법안심사소위	법안/NNG+심사/NNG+소위/NNG
전원일치	전원일치/NNG
관행	관행/NNG
보수적인	보수/NNG+적/XSN+이/VCP+ㄴ/ETM
법안심사	법안/NNG+심사/NNG
관행을	관행/NNG+을/JKO
감안할	감안/NNG+하/XSV+ㄹ/ETM
때	때/NNG
앞으로도	앞/NNG+으로/JKB+도/JX
법안	법안/NNG
제개정이	제개정/NNG+이/JKS
쉽지	쉽/VA+지/EC
않을	않/VX+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“문재인	“/SS+문재인/NNP
정부가	정부/NNG+가/JKS
시행령	시행령/NNG
하위	하위/NNG
규정	규정/NNG
개정으로	개정/NNG+으로/JKB
정책을	정책/NNG+을/JKO
진전시켜야	진전/NNG+시키/XSV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.26.7.1
보고서는 이사회 독립성 강화, 주주권 강화, 이해관계자 정보공개 강화, 회계·감사 투명성 강화, 일감몰아주기 등 내부거래 규제 강화, 중소기업 보호 등 7개 주제별로 상법, 공정거래법, 금융관련법, 세법 등의 시행령 및 하부 규정과 관련된 36개 과제를 제시했다.

보고서는	보고서/NNG+는/JX
이사회	이사회/NNG
독립성	독립/NNG+성/XSN
강화,	강화/NNG+,/SP
주주권	주주/NNG+권/XSN
이해관계자	이해관계자/NNG
정보공개	정보/NNG+공개/NNG
회계·감사	회계/NNG+·/SP+감사/NNG
투명성	투명/NNG+성/XSN
일감몰아주기	일감/NNG+몰아주기/NNG
등	등/NNB
내부거래	내부/NNG+거래/NNG
규제	규제/NNG
중소기업	중소기업/NNG
보호	보호/NNG
7개	7/SN+개/NNB
주제별로	주제/NNG+별/XSN+로/JKB
상법,	상법/NNG+,/SP
공정거래법,	공정/NNG+거래법/NNG+,/SP
금융관련법,	금융/NNG+관련/NNG+법/NNG+,/SP
세법	세법/NNG
등의	등/NNB+의/JKG
시행령	시행령/NNG
및	및/MAG
하부	하부/NNG
규정과	규정/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
36개	36/SN+개/NNB
과제를	과제/NNG+를/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.26.8.1
보고서가 제시한 핵심과제를 보면, 주주제안권·이사·감사 해임청구권·회계장부열람권 등 소수주주권 행사를 활성화해 총수일가와 경영진에 대한 견제를 강화하기 위한 ‘소수주주 지분요건 완화대상 법인 기준’을 현행 상법 시행령상 자본금 1천억원 이상 상장기업에서 자산총액 5천억원 이상으로 확대할 것을 제안했다.

보고서가	보고서/NNG+가/JKS
제시한	제시/NNG+하/XSV+ㄴ/ETM
핵심과제를	핵심/NNG+과제/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
주주제안권·이사·감사	주주/NNG+제안/NNG+권/XSN+·/SP+이사/NNG+·/SP+감사/NNG
해임청구권·회계장부열람권	해임/NNG+청구/NNG+권/XSN+·/SP+회계/NNG+장부/NNG+열람/NNG+권/XSN
등	등/NNB
소수주주권	소수/NNG+주주/NNG+권/XSN
행사를	행사/NNG+를/JKO
활성화해	활성/NNG+화/XSN+하/XSV+아/EC
총수일가와	총수/NNG+일가/NNG+와/JC
경영진에	경영진/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
견제를	견제/NNG+를/JKO
강화하기	강화/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
‘소수주주	‘/SS+소수/NNG+주주/NNG
지분요건	지분/NNG+요건/NNG
완화대상	완화/NNG+대상/NNG
법인	법인/NNG
기준’을	기준/NNG+’/SS+을/JKO
현행	현행/NNG
상법	상법/NNG
시행령상	시행령/NNG+상/XSN
자본금	자본금/NNG
1천억원	1/SN+천억/NR+원/NNB
이상	이상/NNG
상장기업에서	상장/NNG+기업/NNG+에서/JKB
자산총액	자산/NNG+총액/NNG
5천억원	5/SN+천억/NR+원/NNB
이상으로	이상/NNG+으로/JKB
확대할	확대/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.26.8.2
이렇게 되면 소수주주권 행사가 상대적으로 쉬운 법인이 지난해 말 기준 151개에서 336개로 두배 이상 늘어나게 된다.

이렇게	이렇/VA+게/EC
되면	되/VV+면/EC
소수주주권	소수/NNG+주주/NNG+권/XSN
행사가	행사/NNG+가/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
쉬운	쉽/VA+ㄴ/ETM
법인이	법인/NNG+이/JKS
지난해	지난해/NNG
말	말/NNB
기준	기준/NNG
151개에서	151/SN+개/NNB+에서/JKB
336개로	336/SN+개/NNB+로/JKB
두배	두/MMN+배/NNG
이상	이상/NNG
늘어나게	늘어나/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.26.8.3
또 독립적 사외이사와 감사위원을 선임하기 위한 집중투표제의 청구요건 완화대상 법인도 현행 자산총액 2조원 이상 상장사에서 5천억원 이상으로 확대할 것을 제안했다.

또	또/MAG
독립적	독립/NNG+적/XSN
사외이사와	사외/NNG+이사/NNG+와/JC
감사위원을	감사/NNG+위원/NNG+을/JKO
선임하기	선임/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
집중투표제의	집중/NNG+투표/NNG+제/XSN+의/JKG
청구요건	청구/NNG+요건/NNG
완화대상	완화/NNG+대상/NNG
법인도	법인/NNG+도/JX
현행	현행/NNG
자산총액	자산/NNG+총액/NNG
2조원	2/SN+조/NR+원/NNB
이상	이상/NNG
상장사에서	상장사/NNG+에서/JKB
5천억원	5/SN+천억/NR+원/NNB
이상으로	이상/NNG+으로/JKB
확대할	확대/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.26.8.4
이 경우 적용법인이 148개에서 336개로 역시 두배 이상 늘어난다.

이	이/MMD
경우	경우/NNG
적용법인이	적용/NNG+법인/NNG+이/JKS
148개에서	148/SN+개/NNB+에서/JKB
336개로	336/SN+개/NNB+로/JKB
역시	역시/MAG
두배	두/MMN+배/NNG
이상	이상/NNG
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.26.8.5
이어 사외이사 과반수 선임과 감사위원·사외이사 후보추천위원회 설치를 의무화하는 대형 상장법인의 기준도 현행 자산 2조원에서 1조원으로 확대할 것을 제안했다.

이어	이어/MAG
사외이사	사외/NNG+이사/NNG
과반수	과반수/NNG
선임과	선임/NNG+과/JC
감사위원·사외이사	감사/NNG+위원/NNG+·/SP+사외/NNG+이사/NNG
후보추천위원회	후보/NNG+추천/NNG+위원회/NNG
설치를	설치/NNG+를/JKO
의무화하는	의무/NNG+화/XSN+하/XSV+는/ETM
대형	대형/NNG
상장법인의	상장/NNG+법인/NNG+의/JKG
기준도	기준/NNG+도/JX
현행	현행/NNG
자산	자산/NNG
2조원에서	2/SN+조/NR+원/NNB+에서/JKB
1조원으로	1/SN+조/NR+원/NNB+으로/JKB
확대할	확대/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.26.9.1
보고서는 또 일감몰아주기 규제 강화를 위해 규제대상 상장법인의 총수일가(대주주) 지분요건을 현행 30%에서 비상장법인과 마찬가지로 20%로 확대하고, 총수일가 지분계산을 할 때 직접 보유지분 뿐만 아니라 계열사를 통한 간접지분도 포함시킬 것을 제안했다.

보고서는	보고서/NNG+는/JX
또	또/MAG
일감몰아주기	일감/NNG+몰아주기/NNG
규제	규제/NNG
강화를	강화/NNG+를/JKO
위해	위하/VV+아/EC
규제대상	규제/NNG+대상/NNG
상장법인의	상장/NNG+법인/NNG+의/JKG
총수일가(대주주)	총수/NNG+일가/NNG+(/SS+대/XPN+주주/NNG+)/SS
지분요건을	지분/NNG+요건/NNG+을/JKO
현행	현행/NNG
30%에서	30/SN+%/SW+에서/JKB
비상장법인과	비/XPN+상장/NNG+법인/NNG+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
20%로	20/SN+%/SW+로/JKB
확대하고,	확대/NNG+하/XSV+고/EC+,/SP
총수일가	총수/NNG+일가/NNG
지분계산을	지분/NNG+계산/NNG+을/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
직접	직접/NNG
보유지분	보유/NNG+지분/NNG
뿐만	뿐/JX+만/JX
아니라	아니/VCN+라/EC
계열사를	계열사/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
간접지분도	간접/NNG+지분/NNG+도/JX
포함시킬	포함/NNG+시키/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.26.9.2
또 효율성·긴급성·보안성 등 3대 예외인정 기준을 엄격히 제한하고, 계열분리 요건을 강화해 친족기업에 대해서도 일감몰아주기 규제가 가능하도록 하자고 제안했다.

또	또/MAG
효율성·긴급성·보안성	효율/NNG+성/XSN+·/SP+긴급/NNG+성/XSN+·/SP+보안/NNG+성/XSN
등	등/NNB
3대	3/SN+대/NNG
예외인정	예외/NNG+인정/NNG
기준을	기준/NNG+을/JKO
엄격히	엄격히/MAG
제한하고,	제한/NNG+하/XSV+고/EC+,/SP
계열분리	계열/NNG+분리/NNG
요건을	요건/NNG+을/JKO
강화해	강화/NNG+하/XSV+아/EC
친족기업에	친족/NNG+기업/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
일감몰아주기	일감/NNG+몰아주기/NNG
규제가	규제/NNG+가/JKS
가능하도록	가능/NNG+하/XSA+도록/EC
하자고	하/VX+자고/EC
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.26.9.3
보고서는 이와 함께 분식회계의 당사자인 개인에 대한 과징금을 대폭 높이기 위해 이들에 대한 과징금을 회사에 부과한 과징금에 연동시키고, 중소기업과 벤처기업이 기술개발 목적 등으로 공동행위를 할 수 있도록 예외인정하는 방안도 제안했다.

보고서는	보고서/NNG+는/JX
이와	이/NP+와/JKB
함께	함께/MAG
분식회계의	분식/NNG+회계/NNG+의/JKG
당사자인	당사자/NNG+이/VCP+ㄴ/ETM
개인에	개인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
과징금을	과징금/NNG+을/JKO
대폭	대폭/MAG
높이기	높이/VV+기/ETN
위해	위하/VV+아/EC
이들에	이/NP+들/XSN+에/JKB
회사에	회사/NNG+에/JKB
부과한	부과/NNG+하/XSV+ㄴ/ETM
과징금에	과징금/NNG+에/JKB
연동시키고,	연동/NNG+시키/XSV+고/EC+,/SP
중소기업과	중소기업/NNG+과/JC
벤처기업이	벤처/NNG+기업/NNG+이/JKS
기술개발	기술/NNG+개발/NNG
목적	목적/NNG
등으로	등/NNB+으로/JKB
공동행위를	공동/NNG+행위/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
예외인정하는	예외/NNG+인정/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


