# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.381
metadata : {}


# id : NWRW1800000021.381.1.1
[부동산 특집]수도권 대규모 재건축단지 주목!

[부동산	[/SS+부동산/NNG
초중고교가	초중고교/NNG+가/JKS
개교	개교/NNG
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.381.6.5
지하철 분당선 수내역과 인접해있고 판교 나들목이 가깝다.

지하철	지하철/NNG
분당선	분당선/NNP
수내역과	수내역/NNP+과/JKB
인접해있고	인접/NNG+하/XSV+아/EC+있/VX+고/EC
판교	판교/NNP
나들목이	나들목/NNG+이/JKS
가깝다.	가깝/VA+다/EF+./SF


# id : NWRW1800000021.381.7.1
대림건설이 시공한 아파트 두 개 대단지가 다음 달 나란히 입주를 앞두고 있다.

대림건설이	대림건설/NNP+이/JKS
시공한	시공/NNG+하/XSV+ㄴ/ETM
아파트	아파트/NNG
두	두/MMN
개	개/NNB
대단지가	대/XPN+단지/NNG+가/JKS
다음	다음/NNG
달	달/NNG
나란히	나란히/MAG
입주를	입주/NNG+를/JKO
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.381.7.2
경기 고양시 원당주공1단지 아파트를 재건축한 원당 e편한세상 1486채가 다음 달 문을 연다.

경기	경기/NNP
고양시	고양시/NNP
원당주공1단지	원당주공1단지/NNP
아파트를	아파트/NNG+를/JKO
재건축한	재/XPN+건축/NNG+하/XSV+ㄴ/ETM
원당	원당/NNP
e편한세상	e편한세상/NNG
1486채가	1486/SN+채/NNB+가/JKS
다음	다음/NNG
달	달/NNG
문을	문/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.381.7.3
15∼26층 21개동 규모에 82∼178m²의 평형대로 구성돼 있다.

15∼26층	15/SN+∼/SO+26/SN+층/NNG
21개동	21/SN+개/NNB+동/NNB
규모에	규모/NNG+에/JKB
82∼178m²의	82/SN+∼/SO+178/SN+m²/SW+의/JKG
평형대로	평/NNB+형/XSN+대/XSN+로/JKB
구성돼	구성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.381.7.4
주변에 고양시청 등 원당동의 기존 생활기반을 그대로 활용할 수 있다는 장점이 있다.

주변에	주변/NNG+에/JKB
고양시청	고양시청/NNP
등	등/NNB
원당동의	원당동/NNP+의/JKG
기존	기존/NNG
생활기반을	생활/NNG+기반/NNG+을/JKO
그대로	그대로/MAG
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
장점이	장점/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.381.7.5
고양시생활체육공원과 마상근린공원 등 녹지시설도 풍부하다는 것도 특징이다.

고양시생활체육공원과	고양시생활체육공원/NNP+과/JC
마상근린공원	마상근린공원/NNP
등	등/NNB
녹지시설도	녹지/NNG+시설/NNG+도/JX
풍부하다는	풍부하/VA+다는/ETM
것도	것/NNB+도/JX
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.381.7.6
지하철 3호선 원당역이 단지 인근에 있고 자동차를 이용하면 서울 외곽순환도로와 행주대로를 통해 서울로 오고 갈 수 있다.

지하철	지하철/NNG
3호선	3/SN+호선/NNB
원당역이	원당역/NNP+이/JKS
단지	단지/NNG
인근에	인근/NNG+에/JKB
있고	있/VA+고/EC
자동차를	자동차/NNG+를/JKO
이용하면	이용/NNG+하/XSV+면/EC
서울	서울/NNP
외곽순환도로와	외곽순환도로/NNP+와/JC
행주대로를	행주대로/NNP+를/JKO
통해	통하/VV+아/EC
서울로	서울/NNP+로/JKB
오고	오/VV+고/EC
갈	가/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.381.8.1
경기 광명시 하안동 광명e편한세상센트레빌 2815채도 다음 달 입주한다.

경기	경기/NNP
광명시	광명시/NNP
하안동	하안동/NNP
광명e편한세상센트레빌	광명/NNP+e편한세상센트레빌/NNG
2815채도	2815/SN+채/NNB+도/JX
다음	다음/NNG
달	달/NNG
입주한다.	입주/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.381.8.2
13∼33개층의 27개 동 85∼178m²가 들어서 중형부터 대형까지 다양하게 구성돼 있다.

13∼33개층의	13/SN+∼/SO+33/SN+개/NNB+층/NNG+의/JKG
27개	27/SN+개/NNB
동	동/NNB
85∼178m²가	85/SN+∼/SO+178/SN+m²/SW+가/JKS
들어서	들어서/VV+어/EC
중형부터	중형/NNG+부터/JX
대형까지	대형/NNG+까지/JX
다양하게	다양/NNG+하/XSA+게/EC
구성돼	구성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.381.8.3
주변에 도덕산과 하안공원, 철산공원 등이 있고 대형마트도 여러 곳 들어서 있다.

주변에	주변/NNG+에/JKB
도덕산과	도덕산/NNP+과/JC
하안공원,	하안공원/NNP+,/SP
철산공원	철산공원/NNP
등이	등/NNB+이/JKS
있고	있/VA+고/EC
대형마트도	대형/NNG+마트/NNG+도/JX
여러	여러/MMN
곳	곳/NNG
들어서	들어서/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.381.9.1
○ 마산시 메트로시티 2000여 채 입주

○	○/SW
마산시	마산시/NNP
메트로시티	메트로시티/NNG
2000여	2000/SN+여/XSN
채	채/NNB
입주	입주/NNG


# id : NWRW1800000021.381.10.1
지방에서는 1만327채가 입주를 앞두고 있다.

지방에서는	지방/NNG+에서/JKB+는/JX
1만327채가	1/SN+만/NR+327/SN+채/NNB+가/JKS
입주를	입주/NNG+를/JKO
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.381.10.2
이 중 충남이 3개 단지 2222채로 가장 많고 △경남 2939채 △울산 1115채 △부산 872채 △전남 832채 △전북 654채 △강원 581채 △경북 561채 △충북 452채 △광주 99채 순이다.

이	이/MMD
중	중/NNB
충남이	충남/NNP+이/JKS
3개	3/SN+개/NNB
단지	단지/NNG
2222채로	2222/SN+채/NNB+로/JKB
가장	가장/MAG
많고	많/VA+고/EC
△경남	△/SW+경남/NNP
2939채	2939/SN+채/NNB
△울산	△/SW+울산/NNP
1115채	1115/SN+채/NNB
△부산	△/SW+부산/NNP
872채	872/SN+채/NNB
△전남	△/SW+전남/NNP
832채	832/SN+채/NNB
△전북	△/SW+전북/NNP
654채	654/SN+채/NNB
△강원	△/SW+강원/NNP
581채	581/SN+채/NNB
△경북	△/SW+경북/NNP
561채	561/SN+채/NNB
△충북	△/SW+충북/NNP
452채	452/SN+채/NNB
△광주	△/SW+광주/NNP
99채	99/SN+채/NNB
순이다.	순/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.381.11.1
대구 수성구 범어동에서는 두산건설의 주상복합인 두산위브더제니스가 입주자를 기다리고 있다.

대구	대구/NNP
수성구	수성구/NNP
범어동에서는	범어동/NNP+에서/JKB+는/JX
두산건설의	두산건설/NNP+의/JKG
주상복합인	주상/NNG+복합/NNG+이/VCP+ㄴ/ETM
두산위브더제니스가	두산위브더제니스/NNG+가/JKS
입주자를	입주자/NNG+를/JKO
기다리고	기다리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.381.11.2
161∼323m² 1494채로 구성돼 있다.

161∼323m²	161/SN+∼/SO+323/SN+m²/SW
1494채로	1494/SN+채/NNB+로/JKB
구성돼	구성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.381.11.3
범어공원과 시민체육공원 등 대규모 녹지시설이 있고 대구지하철 2호선 범어역과 대구MBC, 수성구청 등이 있어 주거 환경이 편리하다.

범어공원과	범어공원/NNP+과/JC
시민체육공원	시민체육공원/NNP
등	등/NNB
대규모	대/XPN+규모/NNG
녹지시설이	녹지/NNG+시설/NNG+이/JKS
있고	있/VA+고/EC
대구지하철	대구지하철/NNP
2호선	2/SN+호선/NNB
범어역과	범어역/NNP+과/JC
대구MBC,	대구/NNP+MBC/SL+,/SP
수성구청	수성구청/NNP
등이	등/NNB+이/JKS
있어	있/VA+어/EC
주거	주거/NNG
환경이	환경/NNG+이/JKS
편리하다.	편리/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000021.381.12.1
경남 마산시 양덕동에서는 한림건설과 태영건설이 옛 한일합섬 터에 지은 메트로시티태영데시앙·한림풀에버 2127채가 준공됐다.

경남	경남/NNP
마산시	마산시/NNP
양덕동에서는	양덕동/NNP+에서/JKB+는/JX
한림건설과	한림건설/NNP+과/JC
태영건설이	태영건설/NNP+이/JKS
옛	옛/MMA
한일합섬	한일합섬/NNP
터에	터/NNG+에/JKB
지은	짓/VV+은/ETM
메트로시티태영데시앙·한림풀에버	메트로시티태영데시앙/NNG+·/SP+한림풀에버/NNG
2127채가	2127/SN+채/NNB+가/JKS
준공됐다.	준공/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.381.12.2
21개동에 119∼234m²로 구성돼 있다.

21개동에	21/SN+개/NNB+동/NNB+에/JKB
119∼234m²로	119/SN+∼/SO+234/SN+m²/SW+로/JKB
구성돼	구성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.381.12.3
단지에서 팔용산이 보여 조망이 좋고 단지 인근 도로가 잘 조성돼 있어 마산외곽고속도로 서마산 나들목과, 마산역을 이용하면 주변 도시로 이동하기 편리하다.

단지에서	단지/NNG+에서/JKB
팔용산이	팔용산/NNP+이/JKS
보여	보이/VV+어/EC
조망이	조망/NNG+이/JKS
좋고	좋/VA+고/EC
단지	단지/MAG
인근	인근/NNG
도로가	도로/NNG+가/JKS
잘	잘/MAG
조성돼	조성/NNG+되/XSV+어/EC
있어	있/VX+어/EC
마산외곽고속도로	마산외곽고속도로/NNP
서마산	서마산/NNP
나들목과,	나들목/NNG+과/JC+,/SP
마산역을	마산역/NNP+을/JKO
이용하면	이용/NNG+하/XSV+면/EC
주변	주변/NNG
도시로	도시/NNG+로/JKB
이동하기	이동/NNG+하/XSV+기/ETN
편리하다.	편리/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000021.381.12.4
단지 인근에 홈플러스나 신세계백화점, 마산삼성병원 등 편의시설이 잘 갖춰진 편이라 입주자들이 편리하게 이용할 수 있다.

단지	단지/MAG
인근에	인근/NNG+에/JKB
홈플러스나	홈플러스/NNP+나/JC
신세계백화점,	신세계백화점/NNP+,/SP
마산삼성병원	마산삼성병원/NNP
등	등/NNB
편의시설이	편의/NNG+시설/NNG+이/JKS
잘	잘/MAG
갖춰진	갖추/VV+어/EC+지/VX+ㄴ/ETM
편이라	편/NNB+이/VCP+라/EC
입주자들이	입주자/NNG+들/XSN+이/JKS
편리하게	편리/NNG+하/XSA+게/EC
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.381.12.5
석전초, 양덕초, 마산무학여중, 한일전산여고, 마산무학여고 등 교육환경도 좋은 편이다.

석전초,	석전초/NNP+,/SP
양덕초,	양덕초/NNP+,/SP
마산무학여중,	마산무학여중/NNP+,/SP
한일전산여고,	한일전산여고/NNP+,/SP
마산무학여고	마산무학여고/NNP
등	등/NNB
교육환경도	교육/NNG+환경/NNG+도/JX
좋은	좋/VA+은/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


