# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.257
metadata : {}


# id : NWRW1800000046.257.1.1
[광복 70년… 물건의 추억](13) '특수층 전유물' 같던 초기 삐삐… '신분 사칭범'들마다 허리에 차

[광복	[/SS+광복/NNG
후	후/NNG
반년이	반년/NNG+이/JKC
되도록	되/VV+도록/EC
고관들은	고관/NNG+들/XSN+은/JX
잘	잘/MAG
쓰지	쓰/VV+지/EC
않고	않/VX+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.257.2.5
어떤 관리는 "이런 걸 차고 다녀야 하다니, 자녀들 보기에 쑥스럽게 됐다"고 말했다.

어떤	어떤/MMD
관리는	관리/NNG+는/JX
"이런	"/SS+이런/MMD
걸	거/NNB+ㄹ/JKO
차고	차/VV+고/EC
다녀야	다니/VV+어야/EC
하다니,	하/VX+다니/EF+,/SP
자녀들	자녀/NNG+들/XSN
보기에	보/VV+기/ETN+에/JKB
쑥스럽게	쑥스럽/VA+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.257.3.1
초기의 삐삐란 공직자, 정보기관원, 경찰관, 언론인, 의사 등 특수 직종 종사자들의 전유물처럼 여겨졌다.

초기의	초기/NNG+의/JKG
삐삐란	삐삐/NNG+란/JX
공직자,	공직자/NNG+,/SP
정보기관원,	정보/NNG+기관원/NNG+,/SP
경찰관,	경찰관/NNG+,/SP
언론인,	언론인/NNG+,/SP
의사	의사/NNG
등	등/NNB
특수	특수/NNG
직종	직종/NNG
종사자들의	종사자/NNG+들/XSN+의/JKG
전유물처럼	전유물/NNG+처럼/JKB
여겨졌다.	여기/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.257.3.2
신분 과시용으로 써먹으려다 쇠고랑을 찬 자들도 있었다.

신분	신분/NNG
과시용으로	과시/NNG+용/XSN+으로/JKB
써먹으려다	써먹/VV+으려다/EC
쇠고랑을	쇠고랑/NNG+을/JKO
찬	차/VV+ㄴ/ETM
자들도	자/NNB+들/XSN+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.257.3.3
가짜 기자는 신분증도 없이 무선호출기만 보여주며 여성을 농락했고, 청와대 직원 사칭범도 삐삐로 사람들을 속였다.

가짜	가짜/NNG
기자는	기자/NNG+는/JX
신분증도	신분증/NNG+도/JX
없이	없이/MAG
무선호출기만	무선/NNG+호출기/NNG+만/JX
보여주며	보이/VV+어/EC+주/VX+며/EC
여성을	여성/NNG+을/JKO
농락했고,	농락/NNG+하/XSV+았/EP+고/EC+,/SP
청와대	청와대/NNP
직원	직원/NNG
사칭범도	사칭범/NNG+도/JX
삐삐로	삐삐/NNG+로/JKB
사람들을	사람/NNG+들/XSN+을/JKO
속였다.	속이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.257.4.1
전화해 달라고 소리 내는 게 기능의 전부인데도 초기엔 한 대 값이 요즘 물가로 약 100만원쯤 됐다.

전화해	전화/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
소리	소리/NNG
내는	내/VV+는/ETM
게	거/NNB+이/JKS
기능의	기능/NNG+의/JKG
전부인데도	전부/NNG+이/VCP+ㄴ데/EC+도/JX
초기엔	초기/NNG+에/JKB+ㄴ/JX
한	한/MMN
대	대/NNB
값이	값/NNG+이/JKS
요즘	요즘/NNG
물가로	물가/NNG+로/JKB
약	약/MMA
100만원쯤	100/SN+만/NR+원/NNB+쯤/XSN
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.257.4.2
1983년 초 가입 대수는 단 244대.

1983년	1983/SN+년/NNB
초	초/NNB
가입	가입/NNG
대수는	대수/NNG+는/JX
단	단/MMA
244대.	244/SN+대/NNB+./SF


# id : NWRW1800000046.257.4.3
1984년 8월까지도 전국 1만3861대밖에 안 됐다(조선일보 1984년 8월 24일자).

1984년	1984/SN+년/NNB
8월까지도	8/SN+월/NNB+까지/JX+도/JX
전국	전국/NNG
1만3861대밖에	1/SN+만/NR+3861/SN+대/NNB+밖에/JX
안	안/MAG
됐다(조선일보	되/VV+었/EP+다/EF+(/SS+조선일보/NNP
8월	8/SN+월/NNB
24일자).	24/SN+일자/NNG+)/SS+./SF


# id : NWRW1800000046.257.4.4
올림픽이 열린 1988년 말에야 10만대를 넘어섰고, 1997년 1500만대에 이르며 삐삐 시대는 전성기를 맞았다.

올림픽이	올림픽/NNG+이/JKS
열린	열리/VV+ㄴ/ETM
1988년	1988/SN+년/NNB
말에야	말/NNB+에/JKB+야/JX
10만대를	10/SN+만/NR+대/NNB+를/JKO
넘어섰고,	넘어서/VV+었/EP+고/EC+,/SP
1997년	1997/SN+년/NNB
1500만대에	1500/SN+만/NR+대/NNB+에/JKB
이르며	이르/VV+며/EC
삐삐	삐삐/NNG
시대는	시대/NNG+는/JX
전성기를	전성기/NNG+를/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.257.4.5
번호 표시 기능이 도입되자, 숫자를 조합해 의사를 전하는 기발한 '삐삐 약어(略語)'가 속출했다.

번호	번호/NNG
표시	표시/NNG
기능이	기능/NNG+이/JKS
도입되자,	도입/NNG+되/XSV+자/EC+,/SP
숫자를	숫자/NNG+를/JKO
조합해	조합/NNG+하/XSV+아/EC
의사를	의사/NNG+를/JKO
전하는	전하/VV+는/ETM
기발한	기발하/VA+ㄴ/ETM
'삐삐	'/SS+삐삐/NNG
약어(略語)'가	약어/NNG+(/SS+略語/SH+)/SS+'/SS+가/JKS
속출했다.	속출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.257.4.6
외근 사원들 머리카락을 쭈뼛 서게 만든 직장 상사의 '8282(빨리빨리)'나 연인들끼리 주고받은 '1004(당신은 나의 천사)', '101035(열렬히 사모합니다)' 정도는 기본.

외근	외근/NNG
사원들	사원/NNG+들/XSN
머리카락을	머리카락/NNG+을/JKO
쭈뼛	쭈뼛/MAG
서게	서/VV+게/EC
만든	만들/VV+ㄴ/ETM
직장	직장/NNG
상사의	상사/NNG+의/JKG
'8282(빨리빨리)'나	'/SS+8282/SN+(/SS+빨리빨리/MAG+)/SS+'/SS+나/JC
연인들끼리	연인/NNG+들/XSN+끼리/XSN
주고받은	주고받/VV+은/ETM
'1004(당신은	'/SS+1004/SN+(/SS+당신/NP+은/JX
나의	나/NP+의/JKG
천사)',	천사/NNG+)/SS+'/SS+,/SP
'101035(열렬히	'/SS+101035/SN+(/SS+열렬히/MAG
사모합니다)'	사모/NNG+하/XSV+ㅂ니다/EF+)/SS+'/SS
정도는	정도/NNG+는/JX
기본.	기본/NNG+./SF


# id : NWRW1800000046.257.4.7
약속 장소로 '출발한다'는 뜻의 '2626(이륙이륙)', '도착했다'는 '7676(착륙착륙)', 디지털 문자로 쓴 '38317'을 거꾸로 놓고 읽으면 '사랑한다'는 뜻의 독일어 'LIEBE'가 된다는 것 같은 고난도 약어까지 만들어졌다(조선일보 1996년 2월 3일자).

약속	약속/NNG
장소로	장소/NNG+로/JKB
'출발한다'는	'/SS+출발/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
뜻의	뜻/NNG+의/JKG
'2626(이륙이륙)',	'/SS+2626/SN+(/SS+이륙/NNG+이륙/NNG+)/SS+'/SS+,/SP
'도착했다'는	'/SS+도착/NNG+하/XSV+았/EP+다/EF+'/SS+는/JX
'7676(착륙착륙)',	'/SS+7676/SN+(/SS+착륙/NNG+착륙/NNG+)/SS+'/SS+,/SP
디지털	디지털/NNG
문자로	문자/NNG+로/JKB
쓴	쓰/VV+ㄴ/ETM
'38317'을	'/SS+38317/SN+'/SS+을/JKO
거꾸로	거꾸로/MAG
놓고	놓/VV+고/EC
읽으면	읽/VV+으면/EC
'사랑한다'는	'/SS+사랑/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
독일어	독일어/NNP
'LIEBE'가	'/SS+LIEBE/SL+'/SS+가/JKC
된다는	되/VV+ㄴ다는/ETM
것	것/NNB
같은	같/VA+은/ETM
고난도	고/XPN+난도/NNG
약어까지	약어/NNG+까지/JX
만들어졌다(조선일보	만들/VV+어/EC+지/VX+었/EP+다/EF+(/SS+조선일보/NNP
1996년	1996/SN+년/NNB
2월	2/SN+월/NNB
3일자).	3/SN+일자/NNG+)/SS+./SF


# id : NWRW1800000046.257.4.8
삐삐는 휴대폰처럼 부담 없이 호출하지는 않았다.

삐삐는	삐삐/NNG+는/JX
휴대폰처럼	휴대폰/NNG+처럼/JKB
부담	부담/NNG
없이	없이/MAG
호출하지는	호출/NNG+하/XSV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.257.4.9
상대방을 전화기로 달려가게 만들었기 때문이다.

상대방을	상대방/NNG+을/JKO
전화기로	전화기/NNG+로/JKB
달려가게	달려가/VV+게/EC
만들었기	만들/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.257.4.10
1996년 모 대기업 사원들에게 '하루 몇 건 삐삐 호출을 받느냐'고 물었더니 '1~3건'이 62% 로 가장 많았다.

1996년	1996/SN+년/NNB
모	모/MMD
대기업	대/XPN+기업/NNG
사원들에게	사원/NNG+들/XSN+에게/JKB
'하루	'/SS+하루/NNG
몇	몇/NR
건	건/NNB
삐삐	삐삐/NNG
호출을	호출/NNG+을/JKO
받느냐'고	받/VV+느냐/EF+'/SS+고/JKQ
물었더니	묻/VV+었/EP+더니/EC
'1~3건'이	'/SS+1/SN+~/SO+3/SN+건/NNB+'/SS+이/JKS
62%	62/SN+%/SW
로	로/JKB
가장	가장/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.257.4.11
'안 올 때가 더 많다'도 14%였다(경향신문 1996년 10월 22일자).

'안	'/SS+안/MAG
올	오/VV+ㄹ/ETM
때가	때/NNG+가/JKS
더	더/MAG
많다'도	많/VA+다/EF+'/SS+도/JX
14%였다(경향신문	14/SN+%/SW+이/VCP+었/EP+다/EF+(/SS+경향신문/NNP
1996년	1996/SN+년/NNB
10월	10/SN+월/NNB
22일자).	22/SN+일자/NNG+)/SS+./SF


# id : NWRW1800000046.257.5.1
90년대 말부터 삐삐 사용자는 격감했지만 무선 호출의 시대가 완전히 끝난 것은 아니다.

90년대	90/SN+년대/NNB
말부터	말/NNB+부터/JX
삐삐	삐삐/NNG
사용자는	사용자/NNG+는/JX
격감했지만	격감/NNG+하/XSV+았/EP+지만/EC
무선	무선/NNG
호출의	호출/NNG+의/JKG
시대가	시대/NNG+가/JKS
완전히	완전히/MAG
끝난	끝나/VV+ㄴ/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000046.257.5.2
31일 미래창조과학부 관계자에 따르면, 무선 호출 서비스에는 아직도 3만1633명이 가입돼 있다.

31일	31/SN+일/NNB
미래창조과학부	미래/NNG+창조/NNG+과학부/NNG
관계자에	관계자/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
무선	무선/NNG
호출	호출/NNG
서비스에는	서비스/NNG+에/JKB+는/JX
아직도	아직/MAG+도/JX
3만1633명이	3/SN+만/NR+1633/SN+명/NNB+이/JKS
가입돼	가입/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.257.5.3
'노병(老兵)'처럼, 삐삐는 죽지 않고 조용히 사라져 가고 있다.

'노병(老兵)'처럼,	'/SS+노병/NNG+(/SS+老兵/SH+)/SS+'/SS+처럼/JKB+,/SP
삐삐는	삐삐/NNG+는/JX
죽지	죽/VV+지/EC
않고	않/VX+고/EC
조용히	조용히/MAG
사라져	사라지/VV+어/EC
가고	가/VX+고/EC
있다.	있/VX+다/EF+./SF


