# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.343
metadata : {}


# id : NWRW1800000030.343.1.1
좌파매체들, 박정희 공격 시작 •한나라 "박근혜에 독재 이미지 덧씌우려는 의도"

좌파매체들,	좌파/NNG+매체/NNG+들/XSN+,/SP
"박정희	"/SS+박정희/NNP
10조	10/SN+조/NR
재산도	재산/NNG+도/JX
추적	추적/NNG
중"이라고도	중/NNB+"/SS+이라고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.343.9.1
한겨레신문은 지난달 김재규 전 중앙정보부장의 육성테이프를 입수해 보도하면서 "박 전 대통령이 '서울서 (반독재) 항쟁이 일어나면 직접 발포명령을 하겠다'고 말해"라고 보도했다.

한겨레신문은	한겨레신문/NNP+은/JX
지난달	지난달/NNG
김재규	김재규/NNP
전	전/MMD
중앙정보부장의	중앙정보부장/NNG+의/JKG
육성테이프를	육성/NNG+테이프/NNG+를/JKO
입수해	입수/NNG+하/XSV+아/EC
보도하면서	보도/NNG+하/XSV+면서/EC
"박	"/SS+박/NNP
대통령이	대통령/NNG+이/JKS
'서울서	'/SS+서울/NNP+서/JKB
(반독재)	(/SS+반/XPN+독재/NNG+)/SS
항쟁이	항쟁/NNG+이/JKS
일어나면	일어나/VV+면/EC
직접	직접/MAG
발포명령을	발포/NNG+명령/NNG+을/JKO
하겠다'고	하/VV+겠/EP+다/EF+'/SS+고/JKQ
말해"라고	말/NNG+하/XSV+아/EC+"/SS+라고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.343.9.2
오마이뉴스는 '박정희 권력평가' 시리즈에서 "대통령 비밀 안가(安家)에 다녀간 여자만 200명"이란 제목의 기사를 냈다.

오마이뉴스는	오마이뉴스/NNP+는/JX
'박정희	'/SS+박정희/NNP
권력평가'	권력/NNG+평가/NNG+'/SS
시리즈에서	시리즈/NNG+에서/JKB
"대통령	"/SS+대통령/NNG
비밀	비밀/NNG
안가(安家)에	안가/NNG+(/SS+安家/SH+)/SS+에/JKB
다녀간	다녀가/VV+ㄴ/ETM
여자만	여자/NNG+만/JX
200명"이란	200/SN+명/NNB+"/SS+이/VCP+란/ETM
제목의	제목/NNG+의/JKG
기사를	기사/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.343.10.1
◇친박(親朴) 대응 자제 모드

◇친박(親朴)	◇/SW+친/XPN+박/NNP+(/SS+親朴/SH+)/SS
대응	대응/NNG
자제	자제/NNG
모드	모드/NNG


# id : NWRW1800000030.343.11.1
박 전 대표는 14일 경북 구미에서 열린 박정희 전 대통령 동상 제막식에 참석해 경제개발 5개년 계획을 상징하는 두루마리를 쥔 모습의 박 전 대통령 동상을 한바퀴 돌았다.

박	박/NNP
전	전/MMD
대표는	대표/NNG+는/JX
14일	14/SN+일/NNB
경북	경북/NNP
구미에서	구미/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
박정희	박정희/NNP
대통령	대통령/NNG
동상	동상/NNG
제막식에	제막식/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
경제개발	경제/NNG+개발/NNG
5개년	5/SN+개년/NNB
계획을	계획/NNG+을/JKO
상징하는	상징/NNG+하/XSV+는/ETM
두루마리를	두루마리/NNG+를/JKO
쥔	쥐/VV+ㄴ/ETM
모습의	모습/NNG+의/JKG
동상을	동상/NNG+을/JKO
한바퀴	한/MMN+바퀴/NNB
돌았다.	돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.343.11.2
그는 두루마리에 적힌 박 전 대표의 유시(諭示)를 소리 내서 읽은 뒤 "아버지 생전의 꿈이 압축돼 있네요"라고 했다.

그는	그/NP+는/JX
두루마리에	두루마리/NNG+에/JKB
적힌	적히/VV+ㄴ/ETM
박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
유시(諭示)를	유시/NNG+(/SS+諭示/SH+)/SS+를/JKO
소리	소리/NNG
내서	내/VV+어서/EC
읽은	읽/VV+은/ETM
뒤	뒤/NNG
"아버지	"/SS+아버지/NNG
생전의	생전/NNG+의/JKG
꿈이	꿈/NNG+이/JKS
압축돼	압축/NNG+되/XSV+어/EC
있네요"라고	있/VX+네/EF+요/JX+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.343.11.3
유시는 '평생에 소원이 있다면 우리들 세대에 우리의 조국을 근대화해서 선진 열강과 같이 잘사는 나라를 한번 만들어 보자는 것입니다'라는 내용이다.

유시는	유시/NNG+는/JX
'평생에	'/SS+평생/NNG+에/JKB
소원이	소원/NNG+이/JKS
있다면	있/VA+다면/EC
우리들	우리/NP+들/XSN
세대에	세대/NNG+에/JKB
우리의	우리/NP+의/JKG
조국을	조국/NNG+을/JKO
근대화해서	근대/NNG+화/XSN+하/XSV+아서/EC
선진	선진/NNG
열강과	열강/NNG+과/JKB
같이	같이/MAG
잘사는	잘살/VV+는/ETM
나라를	나라/NNG+를/JKO
한번	한번/MAG
만들어	만들/VV+어/EC
보자는	보/VX+자는/ETM
것입니다'라는	것/NNB+이/VCP+ㅂ니다/EF+'/SS+이/VCP+라는/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.343.11.4
이날 행사엔 8000여명(경찰 추산)이 몰렸고 구미시민 3만2547명이 6억여원을 기탁했다.

이날	이날/NNG
행사엔	행사/NNG+에/JKB+ㄴ/JX
8000여명(경찰	8000/SN+여/XSN+명/NNB+(/SS+경찰/NNG
추산)이	추산/NNG+)/SS+이/JKS
몰렸고	몰리/VV+었/EP+고/EC
구미시민	구미/NNP+시민/NNG
3만2547명이	3/SN+만/NR+2547/SN+명/NNB+이/JKS
6억여원을	6/SN+억/NR+여/XSN+원/NNB+을/JKO
기탁했다.	기탁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.343.12.1
친박 진영은 좌파 매체의 공격에 대해 "박정희 시대의 공과(功過)가 있는데 일부 좌파매체들이 터무니없는 주장만 전하고 있다"면서 "내년 선거를 앞두고 재탕 삼탕의 흑색선전을 하고 있다"고 말했다.

친박	친/XPN+박/NNP
진영은	진영/NNG+은/JX
좌파	좌파/NNG
매체의	매체/NNG+의/JKG
공격에	공격/NNG+에/JKB
대해	대하/VV+아/EC
"박정희	"/SS+박정희/NNP
시대의	시대/NNG+의/JKG
공과(功過)가	공과/NNG+(/SS+功過/SH+)/SS+가/JKS
있는데	있/VA+는데/EC
일부	일부/NNG
좌파매체들이	좌파/NNG+매체/NNG+들/XSN+이/JKS
터무니없는	터무니없/VA+는/ETM
주장만	주장/NNG+만/JX
전하고	전하/VV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"내년	"/SS+내년/NNG
선거를	선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
재탕	재탕/NNG
삼탕의	삼탕/NNG+의/JKG
흑색선전을	흑색선전/NNG+을/JKO
하고	하/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.343.13.1
♣ 바로잡습니다

♣	♣/SW
바로잡습니다	바로잡/VV+습니다/EF


# id : NWRW1800000030.343.14.1
▲본지 15일자 A4면 '좌파매체들 박정희 공격시작' 기사 중 민주평화복지포럼의 대표는 '김부겸 전 의원'이 아니라 '이부영 전 의원'이므로 바로잡습니다.

▲본지	▲/SW+본지/NNG
15일자	15/SN+일자/NNG
A4면	A/SL+4/SN+면/NNG
'좌파매체들	'/SS+좌파/NNG+매체/NNG+들/XSN
박정희	박정희/NNP
공격시작'	공격/NNG+시작/NNG+'/SS
기사	기사/NNG
중	중/NNB
민주평화복지포럼의	민주/NNG+평화/NNG+복지/NNG+포럼/NNG+의/JKG
대표는	대표/NNG+는/JX
'김부겸	'/SS+김부겸/NNP
전	전/MMD
의원'이	의원/NNG+'/SS+이/JKC
아니라	아니/VCN+라/EC
'이부영	'/SS+이부영/NNP
의원'이므로	의원/NNG+'/SS+이/VCP+므로/EC
바로잡습니다.	바로잡/VV+습니다/EF+./SF


# id : NWRW1800000030.343.14.2
민주당 김부겸 의원(경기 군포)은 18대 국회 현역 의원입니다.

민주당	민주당/NNP
김부겸	김부겸/NNP
의원(경기	의원/NNG+(/SS+경기/NNP
군포)은	군포/NNP+)/SS+은/JX
18대	18/SN+대/NNB
국회	국회/NNG
현역	현역/NNG
의원입니다.	의원/NNG+이/VCP+ㅂ니다/EF+./SF


