# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.408
metadata : {}


# id : NWRW1800000048.408.1.1
새정치 7일 원내대표 경선…주류 대 비주류 구도

새정치	새정치/NNP
# id : NWRW1800000048.408.7.1
후보들은 당 쇄신을 위한 대안으로 “정책 홍보를 위한 새로운 경로 개척”(최재성), “공정한 공천룰과 함께 공천 심사위원들의 공정성에 대한 의구심 제거”(김동철), “신진인사를 위해 (전략공천을) 혼합하는 방식 검토”(조정식), “4선 이상 중진의 공천 배제 문제 검토”(이종걸) 등을 제시했다.

후보들은	후보/NNG+들/XSN+은/JX
당	당/NNG
쇄신을	쇄신/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
대안으로	대안/NNG+으로/JKB
“정책	“/SS+정책/NNG
홍보를	홍보/NNG+를/JKO
새로운	새롭/VA+ㄴ/ETM
경로	경로/NNG
개척”(최재성),	개척/NNG+”/SS+(/SS+최재성/NNP+)/SS+,/SP
“공정한	“/SS+공정/NNG+하/XSA+ㄴ/ETM
공천룰과	공천/NNG+룰/NNG+과/JKB
함께	함께/MAG
공천	공천/NNG
심사위원들의	심사/NNG+위원/NNG+들/XSN+의/JKG
공정성에	공정/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
의구심	의구심/NNG
제거”(김동철),	제거/NNG+”/SS+(/SS+김동철/NNP+)/SS+,/SP
“신진인사를	“/SS+신진/NNG+인사/NNG+를/JKO
위해	위하/VV+아/EC
(전략공천을)	(/SS+전략/NNG+공천/NNG+을/JKO+)/SS
혼합하는	혼합/NNG+하/XSV+는/ETM
방식	방식/NNG
검토”(조정식),	검토/NNG+”/SS+(/SS+조정식/NNP+)/SS+,/SP
“4선	“/SS+4/SN+선/NNB
이상	이상/NNG
중진의	중진/NNG+의/JKG
배제	배제/NNG
문제	문제/NNG
검토”(이종걸)	검토/NNG+”/SS+(/SS+이종걸/NNP+)/SS
등을	등/NNB+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.408.7.2
4·29 재보궐 선거 패배 이후 당내 수습책에 대해서는 대부분 후보들은 계파색을 뚜렷하게 드러내기보다는 하나 같이 ‘통합’과 ‘단결’, ‘화합’에 방점을 찍었다.

4·29	4/SN+·/SP+29/SN
재보궐	재/XPN+보궐/NNG
선거	선거/NNG
패배	패배/NNG
이후	이후/NNG
당내	당내/NNG
수습책에	수습책/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
대부분	대/XPN+부분/NNG
후보들은	후보/NNG+들/XSN+은/JX
계파색을	계파/NNG+색/NNG+을/JKO
뚜렷하게	뚜렷하/VA+게/EC
드러내기보다는	드러내/VV+기/ETN+보다/JKB+는/JX
하나	하나/NR
같이	같이/MAG
‘통합’과	‘/SS+통합/NNG+’/SS+과/JC
‘단결’,	‘/SS+단결/NNG+’/SS+,/SP
‘화합’에	‘/SS+화합/NNG+’/SS+에/JKB
방점을	방점/NNG+을/JKO
찍었다.	찍/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.408.7.3
막판까지 결과를 예상하기 힘든 상황 만큼, 결선 투표를 고려한 전략이란 얘기가 나온다.

막판까지	막판/NNG+까지/JX
결과를	결과/NNG+를/JKO
예상하기	예상/NNG+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
상황	상황/NNG
만큼,	만큼/JKB+,/SP
결선	결선/NNG
투표를	투표/NNG+를/JKO
고려한	고려/NNG+하/XSV+ㄴ/ETM
전략이란	전략/NNG+이/VCP+란/ETM
얘기가	얘기/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.408.8.1
현재 당에서는 비주류계 의원들의 전폭적인 지지를 받고 있는 이종걸 후보가 1차 경선을 무난히 통과한 뒤, 주류계의 지원을 받고 있는 최재성, 조정식 후보 중 한 사람과 결선에서 맞붙을 것이란 예상이 나오고 있다.

현재	현재/MAG
당에서는	당/NNG+에서/JKB+는/JX
비주류계	비/XPN+주류/NNG+계/XSN
의원들의	의원/NNG+들/XSN+의/JKG
전폭적인	전폭/NNG+적/XSN+이/VCP+ㄴ/ETM
지지를	지지/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
이종걸	이종걸/NNP
후보가	후보/NNG+가/JKS
1차	1/SN+차/NNB
경선을	경선/NNG+을/JKO
무난히	무난히/MAG
통과한	통과/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
주류계의	주류/NNG+계/XSN+의/JKG
지원을	지원/NNG+을/JKO
최재성,	최재성/NNP+,/SP
조정식	조정식/NNP
후보	후보/NNG
중	중/NNB
한	한/MMN
사람과	사람/NNG+과/JKB
결선에서	결선/NNG+에서/JKB
맞붙을	맞붙/VV+을/ETM
것이란	것/NNB+이/VCP+란/ETM
예상이	예상/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.408.8.2
당의 한 3선 의원은 “내년 총선을 앞두고 ‘의원 유권자들’이 철저히 자기이해에 따른 전략적 투표를 고민하고 있다”며 “눈 따로, 입 따로, 손 따로 움직이는 게 원내대표 선거라지만 이번처럼 결과를 예측하기 힘든 건 처음”이라고 말했다.

당의	당/NNG+의/JKG
한	한/MMN
3선	3/SN+선/NNB
의원은	의원/NNG+은/JX
“내년	“/SS+내년/NNG
총선을	총선/NNG+을/JKO
앞두고	앞두/VV+고/EC
‘의원	‘/SS+의원/NNG
유권자들’이	유권자/NNG+들/XSN+’/SS+이/JKS
철저히	철저히/MAG
자기이해에	자기/NNG+이해/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
전략적	전략/NNG+적/XSN
투표를	투표/NNG+를/JKO
고민하고	고민/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“눈	“/SS+눈/NNG
따로,	따로/MAG+,/SP
입	입/NNG
손	손/NNG
따로	따로/MAG
움직이는	움직이/VV+는/ETM
게	거/NNB+이/JKS
원내대표	원내/NNG+대표/NNG
선거라지만	선거/NNG+이/VCP+라지만/EC
이번처럼	이번/NNG+처럼/JKB
결과를	결과/NNG+를/JKO
예측하기	예측/NNG+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
건	거/NNB+ㄴ/JX
처음”이라고	처음/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.408.9.1
이날 토론회는 ‘더 좋은 미래’와 민주평화국민연대(민평련), 민주당집권을위한모임(민진모), 공감넷 등 당내 의원그룹이 공동주최했다.

이날	이날/NNG
토론회는	토론회/NNG+는/JX
‘더	‘/SS+더/MAG
좋은	좋/VA+은/ETM
미래’와	미래/NNG+’/SS+와/JC
민주평화국민연대(민평련),	민주평화국민연대/NNP+(/SS+민평련/NNP+)/SS+,/SP
민주당집권을위한모임(민진모),	민주당집권을위한모임/NNP+(/SS+민진모/NNP+)/SS+,/SP
공감넷	공감넷/NNP
등	등/NNB
당내	당내/NNG
의원그룹이	의원/NNG+그룹/NNG+이/JKS
공동주최했다.	공동/NNG+주최/NNG+하/XSV+았/EP+다/EF+./SF


