# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.290
metadata : {}


# id : NWRW1800000022.290.1.1
국산 '광부 로봇'이 석탄 캔다 석탄공사, 2012년 개발

국산	국산/NNG
카이스트	카이스트/NNP
등도	등/NNB+도/JX
참여한다.	참여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.290.4.1
김재호 석탄공사 기술연구소장은 "탄광 입구에서 채굴 현장까지 7㎞가량 떨어져 있어 사람이 실제 일하는 시간은 하루 4~5시간에 불과하다"며 "로봇은 계속 막장에 머물러 최대 30%까지 작업량을 늘릴 수 있을 것"이라고 말했다.

김재호	김재호/NNP
석탄공사	석탄공사/NNP
기술연구소장은	기술/NNG+연구소장/NNG+은/JX
"탄광	"/SS+탄광/NNG
입구에서	입구/NNG+에서/JKB
채굴	채굴/NNG
현장까지	현장/NNG+까지/JX
7㎞가량	7/SN+㎞/SW+가량/XSN
떨어져	떨어지/VV+어/EC
있어	있/VX+어/EC
사람이	사람/NNG+이/JKS
실제	실제/NNG
일하는	일/NNG+하/XSV+는/ETM
시간은	시간/NNG+은/JX
하루	하루/NNG
4~5시간에	4/SN+~/SO+5/SN+시간/NNB+에/JKB
불과하다"며	불과/MAG+하/XSA+다/EF+"/SS+며/EC
"로봇은	"/SS+로봇/NNG+은/JX
계속	계속/MAG
막장에	막장/NNG+에/JKB
머물러	머무르/VV+어/EC
최대	최대/NNG
30%까지	30/SN+%/SW+까지/JX
작업량을	작업량/NNG+을/JKO
늘릴	늘리/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.290.5.1
석탄공사가 개발하려는 광부 로봇은 전동드릴로 석탄을 채굴하고 불도저 모양의 장치를 이용해 석탄을 한데 모아 지상으로 이어진 컨베이어 벨트에 싣는 기능을 갖출 예정이다.

석탄공사가	석탄공사/NNP+가/JKS
개발하려는	개발/NNG+하/XSV+려는/ETM
광부	광부/NNG
로봇은	로봇/NNG+은/JX
전동드릴로	전동/NNG+드릴/NNG+로/JKB
석탄을	석탄/NNG+을/JKO
채굴하고	채굴/NNG+하/XSV+고/EC
불도저	불도저/NNG
모양의	모양/NNG+의/JKG
장치를	장치/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
한데	한데/NNG
모아	모으/VV+아/EC
지상으로	지상/NNG+으로/JKB
이어진	이어지/VV+ㄴ/ETM
컨베이어	컨베이어/NNG
벨트에	벨트/NNG+에/JKB
싣는	싣/VV+는/ETM
기능을	기능/NNG+을/JKO
갖출	갖추/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.290.6.1
조관일 사장은 "이번 로봇 개발은 단순 채탄용을 넘어 극한 환경용 원격조종 로봇을 개발하는 좋은 계기가 될 것"이라고 말했다.

조관일	조관일/NNP
사장은	사장/NNG+은/JX
"이번	"/SS+이번/NNG
로봇	로봇/NNG
개발은	개발/NNG+은/JX
단순	단순/NNG
채탄용을	채탄/NNG+용/XSN+을/JKO
넘어	넘/VV+어/EC
극한	극한/NNG
환경용	환경/NNG+용/XSN
원격조종	원격/NNG+조종/NNG
로봇을	로봇/NNG+을/JKO
개발하는	개발/NNG+하/XSV+는/ETM
좋은	좋/VA+은/ETM
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.290.7.1
현재 석탄공사가 운영하는 3개 광산 80여개의 채탄장에는 1900여명의 광부가 일하고 있다.

현재	현재/MAG
석탄공사가	석탄공사/NNP+가/JKS
운영하는	운영/NNG+하/XSV+는/ETM
3개	3/SN+개/NNB
광산	광산/NNG
80여개의	80/SN+여/XSN+개/NNB+의/JKG
채탄장에는	채탄장/NNG+에/JKB+는/JX
1900여명의	1900/SN+여/XSN+명/NNB+의/JKG
광부가	광부/NNG+가/JKS
일하고	일/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.290.7.2
석탄공사는 로봇 광부 개발 완료 시점인 2012년까지 300여명이 정년퇴직하면 로봇으로 이 인원을 대체할 예정이다.

석탄공사는	석탄공사/NNP+는/JX
로봇	로봇/NNG
광부	광부/NNG
개발	개발/NNG
완료	완료/NNG
시점인	시점/NNG+이/VCP+ㄴ/ETM
2012년까지	2012/SN+년/NNB+까지/JX
300여명이	300/SN+여/XSN+명/NNB+이/JKS
정년퇴직하면	정년퇴직/NNG+하/XSV+면/EC
로봇으로	로봇/NNG+으로/JKB
이	이/MMD
인원을	인원/NNG+을/JKO
대체할	대체/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


