# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.285
metadata : {}


# id : NWRW1800000030.285.1.1
[만물상] 자선냄비 속 1억 수표

[만물상]	[/SS+만물상/NNG+]/SS
"천국에 있는 예쁜 천사 ○○야! 너의 해맑은 미소와 윙크하는 예쁜 모습을 생각하면서.

"천국에	"/SS+천국/NNG+에/JKB
있는	있/VA+는/ETM
예쁜	예쁘/VA+ㄴ/ETM
천사	천사/NNG
○○야!	○/SW+○/SW+야/JKV+!/SF
너의	너/NP+의/JKG
해맑은	해맑/VA+은/ETM
미소와	미소/NNG+와/JC
윙크하는	윙크/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
생각하면서.	생각/NNG+하/XSV+면서/EC+./SF


# id : NWRW1800000030.285.3.4
천국에서는 아프지 말고 건강하게 훨훨 날아라!" 아이를 병으로 잃은 듯한 엄마가 내놓은 아이 돌반지였다.

천국에서는	천국/NNG+에서/JKB+는/JX
아프지	아프/VA+지/EC
말고	말/VX+고/EC
건강하게	건강/NNG+하/XSA+게/EC
훨훨	훨훨/MAG
날아라!"	날/VV+아라/EF+!/SF+"/SS
아이를	아이/NNG+를/JKO
병으로	병/NNG+으로/JKB
잃은	잃/VV+은/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
엄마가	엄마/NNG+가/JKS
내놓은	내놓/VV+은/ETM
아이	아이/NNG
돌반지였다.	돌/NNG+반지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.285.4.1
▶구세군 사람들은 자선냄비를 열 때마다 울고 웃는다.

▶구세군	▶/SW+구세군/NNG
사람들은	사람/NNG+들/XSN+은/JX
자선냄비를	자선냄비/NNG+를/JKO
열	열/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
울고	울/VV+고/EC
웃는다.	웃/VV+는다/EF+./SF


# id : NWRW1800000030.285.4.2
1000원 지폐가 가장 많지만 물건도 다양하게 쏟아진다.

1000원	1000/SN+원/NNB
지폐가	지폐/NNG+가/JKS
가장	가장/MAG
많지만	많/VA+지만/EC
물건도	물건/NNG+도/JX
다양하게	다양/NNG+하/XSA+게/EC
쏟아진다.	쏟아지/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.285.4.3
반지부터 황금열쇠까지 금붙이도 많고 헌혈증서, 극장 표, 제주도 왕복 항공권에 로또 복권도 나온다.

반지부터	반지/NNG+부터/JX
황금열쇠까지	황금/NNG+열쇠/NNG+까지/JX
금붙이도	금붙이/NNG+도/JX
많고	많/VA+고/EC
헌혈증서,	헌혈/NNG+증서/NNG+,/SP
극장	극장/NNG
표,	표/NNG+,/SP
제주도	제주도/NNP
왕복	왕복/NNG
항공권에	항공/NNG+권/XSN+에/JKB
로또	로또/NNG
복권도	복권/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.285.4.4
'부모님께 드리려던 선물인데 어려운 이웃에게 주세요'라는 메모와 함께 상품권도 있다.

'부모님께	'/SS+부모/NNG+님/XSN+께/JKB
드리려던	드리/VV+려던/ETM
선물인데	선물/NNG+이/VCP+ㄴ데/EC
어려운	어렵/VA+ㄴ/ETM
이웃에게	이웃/NNG+에게/JKB
주세요'라는	주/VV+시/EP+어요/EF+'/SS+이/VCP+라는/ETM
메모와	메모/NNG+와/JKB
함께	함께/MAG
상품권도	상품/NNG+권/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.285.4.5
종일 한데 서 있는 구세군 드시라며 피로회복 음료도 들어 있다.

종일	종일/MAG
한데	한데/NNG
서	서/VV+어/EC
있는	있/VX+는/ETM
구세군	구세군/NNG
드시라며	드시/VV+라며/EC
피로회복	피로/NNG+회복/NNG
음료도	음료/NNG+도/JX
들어	들/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.285.4.6
베풀고 나누는 마음은 가진 것 많고 적음에 상관없다.

베풀고	베풀/VV+고/EC
나누는	나누/VV+는/ETM
마음은	마음/NNG+은/JX
가진	가지/VV+ㄴ/ETM
것	것/NNB
많고	많/VA+고/EC
적음에	적/VA+음/ETN+에/JKB
상관없다.	상관없/VA+다/EF+./SF


# id : NWRW1800000030.285.5.1
▶자선냄비 기부는 거리에서 이뤄지기에 대개 익명이고 소액이다.

▶자선냄비	▶/SW+자선냄비/NNG
기부는	기부/NNG+는/JX
거리에서	거리/NNG+에서/JKB
이뤄지기에	이뤄지/VV+기에/EC
대개	대개/MAG
익명이고	익명/NNG+이/VCP+고/EC
소액이다.	소액/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.285.5.2
미국에선 미주리주 조플린의 구세군 냄비에 해마다 담기는 10만달러 수표가 최고 기록이다.

미국에선	미국/NNP+에서/JKB+ㄴ/JX
미주리주	미주리주/NNP
조플린의	조플린/NNP+의/JKG
구세군	구세군/NNG
냄비에	냄비/NNG+에/JKB
해마다	해마다/MAG
담기는	담기/VV+는/ETM
10만달러	10/SN+만/NR+달러/NNB
수표가	수표/NNG+가/JKS
최고	최고/NNG
기록이다.	기록/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.285.5.3
수표엔 발행자가 '산타클로스'라고 찍혀 있다.

수표엔	수표/NNG+에/JKB+ㄴ/JX
발행자가	발행자/NNG+가/JKS
'산타클로스'라고	'/SS+산타클로스/NNP+'/SS+라고/JKQ
찍혀	찍히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.285.5.4
기자들이 그의 신원을 밝혀내려 애쓰지만 번번이 실패했다.

기자들이	기자/NNG+들/XSN+이/JKS
그의	그/NP+의/JKG
신원을	신원/NNG+을/JKO
밝혀내려	밝혀내/VV+려/EC
애쓰지만	애쓰/VV+지만/EC
번번이	번번이/MAG
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.285.5.5
수표 발급 은행도 입을 다물고 주민들도 그의 사생활이 지켜지길 원한다.

수표	수표/NNG
발급	발급/NNG
은행도	은행/NNG+도/JX
입을	입/NNG+을/JKO
다물고	다물/VV+고/EC
주민들도	주민/NNG+들/XSN+도/JX
그의	그/NP+의/JKG
사생활이	사생활/NNG+이/JKS
지켜지길	지키/VV+어/EC+지/VX+기/ETN+ㄹ/JKO
원한다.	원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.285.5.6
구세군은 "누군지 모르지만 하나님의 손을 잡고 온 사람"이라고 말한다.

구세군은	구세군/NNG+은/JX
"누군지	"/SS+누구/NP+이/VCP+ㄴ지/EC
모르지만	모르/VV+지만/EC
하나님의	하나님/NNG+의/JKG
손을	손/NNG+을/JKO
잡고	잡/VV+고/EC
온	오/VV+ㄴ/ETM
사람"이라고	사람/NNG+"/SS+이라고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.285.6.1
▶구세군 대한본영은 1928년 12월 서울 명동에 첫 자선냄비를 내걸고 848환을 모아 노숙자들에게 죽을 끓여 먹였다.

▶구세군	▶/SW+구세군/NNG
대한본영은	대한/NNP+본영/NNG+은/JX
1928년	1928/SN+년/NNB
12월	12/SN+월/NNB
서울	서울/NNP
명동에	명동/NNP+에/JKB
첫	첫/MMN
자선냄비를	자선냄비/NNG+를/JKO
내걸고	내걸/VV+고/EC
848환을	848/SN+환/NNB+을/JKO
모아	모으/VV+아/EC
노숙자들에게	노숙자/NNG+들/XSN+에게/JKB
죽을	죽/NNG+을/JKO
끓여	끓이/VV+어/EC
먹였다.	먹이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.285.6.2
그 83년 역사에서 처음으로 1억원 넘는 기부가 나왔다.

그	그/MMD
83년	83/SN+년/NNB
역사에서	역사/NNG+에서/JKB
처음으로	처음/NNG+으로/JKB
1억원	1/SN+억/NR+원/NNB
넘는	넘/VV+는/ETM
기부가	기부/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.285.6.3
지난 4일 명동 우리은행 앞에서 60대 초반 신사가 넣은 1억1000만원짜리 수표다.

지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
명동	명동/NNP
우리은행	우리은행/NNP
앞에서	앞/NNG+에서/JKB
60대	60/SN+대/NNB
초반	초반/NNG
신사가	신사/NNG+가/JKS
넣은	넣/VV+은/ETM
1억1000만원짜리	1/SN+억/NR+1000/SN+만/NR+원/NNB+짜리/XSN
수표다.	수표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.285.6.4
나눔과 베풂의 시간 세밑이 왔다는 것을 정신 번쩍 들도록 깨우쳐 주는 소식이다.

나눔과	나누/VV+ㅁ/ETN+과/JC
베풂의	베풀/VV+ㅁ/ETN+의/JKG
시간	시간/NNG
세밑이	세밑/NNG+이/JKS
왔다는	오/VV+았/EP+다는/ETM
것을	것/NNB+을/JKO
정신	정신/NNG
번쩍	번쩍/MAG
들도록	들/VV+도록/EC
깨우쳐	깨우치/VV+어/EC
주는	주/VX+는/ETM
소식이다.	소식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.285.6.5
이 '천사' 덕분에 올해 자선냄비를 비롯한 이웃 사랑이 더 뜨겁게 끓어 넘칠 것이다.

이	이/MMD
'천사'	'/SS+천사/NNG+'/SS
덕분에	덕분/NNG+에/JKB
올해	올해/NNG
자선냄비를	자선냄비/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
이웃	이웃/NNG
사랑이	사랑/NNG+이/JKS
더	더/MAG
뜨겁게	뜨겁/VA+게/EC
끓어	끓/VV+어/EC
넘칠	넘치/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


