# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.141
metadata : {}


# id : NWRW1800000041.141.1.1
‘웰컴! 프란치스코’ 연예-문화-체육계 스타들 한자리에

‘웰컴!	‘/SS+웰컴/NNG+!/SF
바란다는	바라/VV+ㄴ다는/ETM
내용의	내용/NNG+의/JKG
가사를	가사/NNG+를/JKO
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.141.7.1
4분 분량의 뮤직비디오 연출은 가수 싸이의 신곡 ‘행오버’ 뮤직비디오를 연출한 차은택 감독, 프로듀싱은 영화 ‘광해’를 제작한 영화사 리얼라이즈의 원동연 대표가 맡았다.

4분	4/SN+분/NNB
분량의	분량/NNG+의/JKG
뮤직비디오	뮤직비디오/NNG
연출은	연출/NNG+은/JX
가수	가수/NNG
싸이의	싸이/NNP+의/JKG
신곡	신곡/NNG
‘행오버’	‘/SS+행오버/NNG+’/SS
뮤직비디오를	뮤직비디오/NNG+를/JKO
연출한	연출/NNG+하/XSV+ㄴ/ETM
차은택	차은택/NNP
감독,	감독/NNG+,/SP
프로듀싱은	프로듀싱/NNG+은/JX
영화	영화/NNG
‘광해’를	‘/SS+광해/NNP+’/SS+를/JKO
제작한	제작/NNG+하/XSV+ㄴ/ETM
영화사	영화사/NNG
리얼라이즈의	리얼라이즈/NNP+의/JKG
원동연	원동연/NNP
대표가	대표/NNG+가/JKS
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.141.7.2
차 감독은 가톨릭 신자는 아니지만 제작 취지에 공감해 재능 기부에 나섰다.

차	차/NNP
감독은	감독/NNG+은/JX
가톨릭	가톨릭/NNG
신자는	신자/NNG+는/JX
아니지만	아니/VCN+지만/EC
제작	제작/NNG
취지에	취지/NNG+에/JKB
공감해	공감/NNG+하/XSV+아/EC
재능	재능/NNG
기부에	기부/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.141.7.3
뮤직비디오는 스타들의 자연스러운 모습을 카메라에 담는 방식으로 제작된 것으로 알려졌다.

뮤직비디오는	뮤직비디오/NNG+는/JX
스타들의	스타/NNG+들/XSN+의/JKG
자연스러운	자연/NNG+스럽/XSA+ㄴ/ETM
모습을	모습/NNG+을/JKO
카메라에	카메라/NNG+에/JKB
담는	담/VV+는/ETM
방식으로	방식/NNG+으로/JKB
제작된	제작/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.141.8.1
음원과 영상은 7월 7일 교황방한준비위원회 홈페이지(popekorea.catholic.or.kr)에 공개된다.

음원과	음원/NNG+과/JC
영상은	영상/NNG+은/JX
7월	7/SN+월/NNB
7일	7/SN+일/NNB
교황방한준비위원회	교황/NNG+방한/NNG+준비/NNG+위원회/NNG
홈페이지(popekorea.catholic.or.kr)에	홈페이지/NNG+(/SS+popekorea/SL+./SP+catholic/SL+./SP+or/SL+./SP+kr/SL+)/SS+에/JKB
공개된다.	공개/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.141.8.2
향후 음원사이트를 통해서도 음원을 공개할 예정이며 발생하는 수익은 전액 어려운 이웃을 위해 사용할 계획이다.

향후	향후/NNG
음원사이트를	음원/NNG+사이트/NNG+를/JKO
통해서도	통하/VV+아서/EC+도/JX
음원을	음원/NNG+을/JKO
공개할	공개/NNG+하/XSV+ㄹ/ETM
예정이며	예정/NNG+이/VCP+며/EC
발생하는	발생/NNG+하/XSV+는/ETM
수익은	수익/NNG+은/JX
전액	전액/NNG
어려운	어렵/VA+ㄴ/ETM
이웃을	이웃/NNG+을/JKO
위해	위하/VV+아/EC
사용할	사용/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.141.9.1
프란치스코 교황은 8월 14∼18일 방한해 서울 광화문광장에서 열리는 시복시성식을 집전하고, 대전교구에서 열리는 아시아청년대회에도 참석한다.

프란치스코	프란치스코/NNP
교황은	교황/NNG+은/JX
8월	8/SN+월/NNB
14∼18일	14/SN+∼/SO+18/SN+일/NNB
방한해	방한/NNG+하/XSV+아/EC
서울	서울/NNP
광화문광장에서	광화문광장/NNP+에서/JKB
열리는	열리/VV+는/ETM
시복시성식을	시복/NNG+시성식/NNG+을/JKO
집전하고,	집전/NNG+하/XSV+고/EC+,/SP
대전교구에서	대전/NNP+교구/NNG+에서/JKB
아시아청년대회에도	아시아/NNP+청년/NNG+대회/NNG+에/JKB+도/JX
참석한다.	참석/NNG+하/XSV+ㄴ다/EF+./SF


