# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.213
metadata : {}


# id : NWRW1800000033.213.1.1
[휴지통]‘남자가 커피값 내는 세상’ 트위터 글에 인터넷 발칵

[휴지통]‘남자가	[/SS+휴지통/NNG+]/SS+‘/SS+남자/NNG+가/JKS
글이	글/NNG+이/JKS
양성평등	양성평등/NNG
논쟁까지	논쟁/NNG+까지/JX
불러일으키며	불러일으키/VV+며/EC
인터넷을	인터넷/NNG+을/JKO
뒤흔들었다.	뒤흔들/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.213.4.2
현대카드는 이날 회원 950만 명의 최근 1년간 외식 성향 분석 결과를 내놓으며 “커피전문점에서 남성이 여성보다 평균 40% 이상 많은 금액을 카드로 결제했다”고 발표했다.

현대카드는	현대카드/NNP+는/JX
이날	이날/NNG
회원	회원/NNG
950만	950/SN+만/NR
명의	명/NNB+의/JKG
최근	최근/MAG
1년간	1/SN+년/NNB+간/XSN
외식	외식/NNG
성향	성향/NNG
분석	분석/NNG
결과를	결과/NNG+를/JKO
내놓으며	내놓/VV+으며/EC
“커피전문점에서	“/SS+커피/NNG+전문점/NNG+에서/JKB
남성이	남성/NNG+이/JKS
여성보다	여성/NNG+보다/JKB
평균	평균/NNG
40%	40/SN+%/SW
이상	이상/NNG
많은	많/VA+은/ETM
금액을	금액/NNG+을/JKO
카드로	카드/NNG+로/JKB
결제했다”고	결제/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.213.4.3
20대를 제외한 전 연령대에서 남성들의 커피전문점 이용금액이 여성보다 많았던 것.

20대를	20/SN+대/NNB+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
전	전/MMN
연령대에서	연령대/NNG+에서/JKB
남성들의	남성/NNG+들/XSN+의/JKG
커피전문점	커피/NNG+전문점/NNG
이용금액이	이용/NNG+금액/NNG+이/JKS
여성보다	여성/NNG+보다/JKB
많았던	많/VA+았/EP+던/ETM
것.	것/NNB+./SF


# id : NWRW1800000033.213.5.1
정 사장은 이날 오후 트위터에 ‘식당이나 카페에서 카드사용 통계를 보면 여성 회원의 사용이 더 많은 장소를 찾기가 거의 불가능.

정	정/NNP
사장은	사장/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
트위터에	트위터/NNP+에/JKB
‘식당이나	‘/SS+식당/NNG+이나/JC
카페에서	카페/NNG+에서/JKB
카드사용	카드/NNG+사용/NNG
통계를	통계/NNG+를/JKO
보면	보/VV+면/EC
여성	여성/NNG
회원의	회원/NNG+의/JKG
사용이	사용/NNG+이/JKS
더	더/MAG
많은	많/VA+은/ETM
장소를	장소/NNG+를/JKO
찾기가	찾/VV+기/ETN+가/JKS
거의	거의/MAG
불가능.	불/XPN+가능/NNG+./SF


# id : NWRW1800000033.213.5.2
여성 취향의 장소도 마찬가지.

여성	여성/NNG
취향의	취향/NNG+의/JKG
장소도	장소/NNG+도/JX
마찬가지.	마찬가지/NNG+./SF


# id : NWRW1800000033.213.5.3
이는 남성들의 지불이 압도적으로 더 많기 때문’이라고 자신의 분석을 올렸다.

이는	이/NP+는/JX
남성들의	남성/NNG+들/XSN+의/JKG
지불이	지불/NNG+이/JKS
압도적으로	압도/NNG+적/XSN+으로/JKB
더	더/MAG
많기	많/VA+기/ETN
때문’이라고	때문/NNB+’/SS+이라고/JKQ
자신의	자신/NNG+의/JKG
분석을	분석/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.213.6.1
정 사장의 트윗이 확산되면서 인터넷에는 경제협력개발기구(OECD) 통계, 양성평등 이론까지 등장하며 논쟁이 벌어졌다.

정	정/NNP
사장의	사장/NNG+의/JKG
트윗이	트윗/NNG+이/JKS
확산되면서	확산/NNG+되/XSV+면서/EC
인터넷에는	인터넷/NNG+에/JKB+는/JX
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
통계,	통계/NNG+,/SP
양성평등	양성평등/NNG
이론까지	이론/NNG+까지/JX
등장하며	등장/NNG+하/XSV+며/EC
논쟁이	논쟁/NNG+이/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.213.6.2
한 누리꾼은 “여성들의 명품 구매율이 OECD 1위인데 명품 살 돈으로 (남성에게) 커피 한잔 사라”고 꼬집었다.

한	한/MMN
누리꾼은	누리/NNG+꾼/XSN+은/JX
“여성들의	“/SS+여성/NNG+들/XSN+의/JKG
명품	명품/NNG
구매율이	구매/NNG+율/XSN+이/JKS
OECD	OECD/SL
1위인데	1/SN+위/NNB+이/VCP+ㄴ데/EC
살	사/VV+ㄹ/ETM
돈으로	돈/NNG+으로/JKB
(남성에게)	(/SS+남성/NNG+에게/JKB+)/SS
커피	커피/NNG
한잔	한잔/NNG
사라”고	사/VV+라/EF+”/SS+고/JKQ
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.213.6.3
다른 누리꾼은 “남편 카드를 많이 써서 그렇다”고 반박했다.

다른	다른/MMD
누리꾼은	누리/NNG+꾼/XSN+은/JX
“남편	“/SS+남편/NNG
카드를	카드/NNG+를/JKO
많이	많이/MAG
써서	쓰/VV+어서/EC
그렇다”고	그렇/VA+다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.213.6.4
급기야 현대카드 불매운동까지 언급되자 정 사장은 약 2시간 만에 ‘가벼운 농담했다가 OECD 통계까지 나오는 격론 속에 현카는 여성 민심을 잃고 있다’며 ‘난 여성 편이다’고 썼다.

급기야	급기야/MAG
현대카드	현대카드/NNP
불매운동까지	불매/NNG+운동/NNG+까지/JX
언급되자	언급/NNG+되/XSV+자/EC
정	정/NNP
사장은	사장/NNG+은/JX
약	약/MMA
2시간	2/SN+시간/NNB
만에	만/NNB+에/JKB
‘가벼운	‘/SS+가볍/VA+ㄴ/ETM
농담했다가	농담/NNG+하/XSV+았/EP+다가/EC
OECD	OECD/SL
통계까지	통계/NNG+까지/JX
나오는	나오/VV+는/ETM
격론	격론/NNG
속에	속/NNG+에/JKB
현카는	현카/NNP+는/JX
여성	여성/NNG
민심을	민심/NNG+을/JKO
잃고	잃/VV+고/EC
있다’며	있/VX+다/EF+’/SS+며/EC
‘난	‘/SS+나/NP+ㄴ/JX
편이다’고	편/NNB+이/VCP+다/EF+’/SS+고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


