# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.322
metadata : {}


# id : NWRW1800000046.322.1.1
[창간 95 특집] 공무원年金 개혁 찬성이 57%, 반대의 두배

[창간	[/SS+창간/NNG
40.2%였다.	40/SN+./SP+2/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.322.4.3
이는 연금 개혁으로 인한 노년층의 피해가 젊은 층보다 상대적으로 적을 것으로 예상되기 때문으로 분석된다.

이는	이/NP+는/JX
연금	연금/NNG
개혁으로	개혁/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
노년층의	노년/NNG+층/XSN+의/JKG
피해가	피해/NNG+가/JKS
젊은	젊/VA+은/ETM
층보다	층/NNG+보다/JKB
상대적으로	상대/NNG+적/XSN+으로/JKB
적을	적/VA+을/ETM
것으로	것/NNB+으로/JKB
예상되기	예상/NNG+되/XSV+기/ETN
때문으로	때문/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.322.4.4
직업별로는 공무원과 가장 무관한 자영업자의 찬성(69.0%)이 가장 높았다.

직업별로는	직업/NNG+별/XSN+로/JKB+는/JX
공무원과	공무원/NNG+과/JKB
가장	가장/MAG
무관한	무관하/VA+ㄴ/ETM
자영업자의	자영업자/NNG+의/JKG
찬성(69.0%)이	찬성/NNG+(/SS+69/SN+./SP+0/SN+%/SW+)/SS+이/JKS
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.322.4.5
찬성이 가장 낮은 직업군은 학생(38.9%)이었다.

찬성이	찬성/NNG+이/JKS
가장	가장/MAG
낮은	낮/VA+은/ETM
직업군은	직업군/NNG+은/JX
학생(38.9%)이었다.	학생/NNG+(/SS+38/SN+./SP+9/SN+%/SW+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.322.4.6
이는 상당수 학생이 공무원을 지망하는 현실과 무관치 않아 보인다.

이는	이/NP+는/JX
상당수	상당수/NNG
학생이	학생/NNG+이/JKS
공무원을	공무원/NNG+을/JKO
지망하는	지망/NNG+하/XSV+는/ETM
현실과	현실/NNG+과/JKB
무관치	무관하/VA+지/EC
않아	않/VX+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.322.4.7
또 공무원들이 주로 분포한 사무직(53.9%)보다는 생산직(59.3%)의 찬성률이 높았다.

또	또/MAG
공무원들이	공무원/NNG+들/XSN+이/JKS
주로	주로/MAG
분포한	분포/NNG+하/XSV+ㄴ/ETM
사무직(53.9%)보다는	사무직/NNG+(/SS+53/SN+./SP+9/SN+%/SW+)/SS+보다/JKB+는/JX
생산직(59.3%)의	생산직/NNG+(/SS+59/SN+./SP+3/SN+%/SW+)/SS+의/JKG
찬성률이	찬성/NNG+률/XSN+이/JKS
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.322.4.8
이념 성향별로는 보수층(70.6%)의 찬성률이 진보층(50.1%)보다 높았다.

이념	이념/NNG
성향별로는	성향/NNG+별/XSN+로/JKB+는/JX
보수층(70.6%)의	보수/NNG+층/XSN+(/SS+70/SN+./SP+6/SN+%/SW+)/SS+의/JKG
찬성률이	찬성/NNG+률/XSN+이/JKS
진보층(50.1%)보다	진보/NNG+층/XSN+(/SS+50/SN+./SP+1/SN+%/SW+)/SS+보다/JKB
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.322.5.1
4개 부문 개혁에 대한 찬성 의견도 20대(34.3%)·30대(40.7%) 등 젊은층과 50대(78.3%)와 60대 이상(72.1%) 등 장·노년층의 차이가 컸다.

4개	4/SN+개/NNB
부문	부문/NNG
개혁에	개혁/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
찬성	찬성/NNG
의견도	의견/NNG+도/JX
20대(34.3%)·30대(40.7%)	20/SN+대/NNB+(/SS+34/SN+./SP+3/SN+%/SW+)/SS+·/SP+30/SN+대/NNB+(/SS+40/SN+./SP+7/SN+%/SW+)/SS
등	등/NNB
젊은층과	젊/VA+은/ETM+층/NNG+과/JKB
50대(78.3%)와	50/SN+대/NNB+(/SS+78/SN+./SP+3/SN+%/SW+)/SS+와/JC
60대	60/SN+대/NNB
이상(72.1%)	이상/NNG+(/SS+72/SN+./SP+1/SN+%/SW+)/SS
장·노년층의	장/NNG+·/SP+노년/NNG+층/XSN+의/JKG
차이가	차이/NNG+가/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.322.5.2
직업별로는 공무원 연금 개혁에 대한 의견과 마찬가지로 자영업자의 찬성(68.0%)이 가장 높았고 학생층의 찬성(32.9%)이 가장 낮았다.

직업별로는	직업/NNG+별/XSN+로/JKB+는/JX
공무원	공무원/NNG
연금	연금/NNG
개혁에	개혁/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의견과	의견/NNG+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
자영업자의	자영업자/NNG+의/JKG
찬성(68.0%)이	찬성/NNG+(/SS+68/SN+./SP+0/SN+%/SW+)/SS+이/JKS
가장	가장/MAG
높았고	높/VA+았/EP+고/EC
학생층의	학생/NNG+층/XSN+의/JKG
찬성(32.9%)이	찬성/NNG+(/SS+32/SN+./SP+9/SN+%/SW+)/SS+이/JKS
낮았다.	낮/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.322.5.3
또 사무직과 생산직 중에선 생산직(62.2%)의 찬성이 사무직(50.5%)보다 높았다.

또	또/MAG
사무직과	사무직/NNG+과/JC
생산직	생산직/NNG
중에선	중/NNB+에서/JKB+ㄴ/JX
생산직(62.2%)의	생산직/NNG+(/SS+62/SN+./SP+2/SN+%/SW+)/SS+의/JKG
찬성이	찬성/NNG+이/JKS
사무직(50.5%)보다	사무직/NNG+(/SS+50/SN+./SP+5/SN+%/SW+)/SS+보다/JKB
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.322.5.4
이념 성향별로는 보수층의 찬성률이 76.6%, 진보층의 찬성률이 47.2%로 차이가 29.4%포인트에 달했다.

이념	이념/NNG
성향별로는	성향/NNG+별/XSN+로/JKB+는/JX
보수층의	보수/NNG+층/XSN+의/JKG
찬성률이	찬성/NNG+률/XSN+이/JKS
76.6%,	76/SN+./SP+6/SN+%/SW+,/SP
진보층의	진보/NNG+층/XSN+의/JKG
47.2%로	47/SN+./SP+2/SN+%/SW+로/JKB
차이가	차이/NNG+가/JKS
29.4%포인트에	29/SN+./SP+4/SN+%포인트/NNG+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


