# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.305
metadata : {}


# id : NWRW1800000033.305.1.1
[횡설수설/민동용]폭탄주 마시는 청춘

[횡설수설/민동용]폭탄주	[/SS+횡설수설/NNG+//SP+민동용/NNP+]/SS+폭탄주/NNG
위스키 한 잔에 맥주 한 잔인 셈이니 쓴 위스키를 털어넣고 연이어 맥주로 입가심한다는 말이다.

위스키	위스키/NNG
한	한/MMN
잔에	잔/NNG+에/JKB
맥주	맥주/NNG
잔인	잔/NNG+이/VCP+ㄴ/ETM
셈이니	셈/NNB+이/VCP+니/EC
쓴	쓰/VV+ㄴ/ETM
위스키를	위스키/NNG+를/JKO
털어넣고	털/VV+어/EC+넣/VV+고/EC
연이어	연잇/VV+어/EC
맥주로	맥주/NNG+로/JKB
입가심한다는	입가심/NNG+하/XSV+ㄴ다는/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.305.4.1
▷몇 년 전 할리우드 남성 스타와 친구들의 이야기를 다룬 미국 TV드라마 ‘안투라지’에 주인공들이 사케봄을 마시는 장면이 나왔다.

▷몇	▷/SW+몇/NR
년	년/NNB
전	전/NNG
할리우드	할리우드/NNP
남성	남성/NNG
스타와	스타/NNG+와/JC
친구들의	친구/NNG+들/XSN+의/JKG
이야기를	이야기/NNG+를/JKO
다룬	다루/VV+ㄴ/ETM
미국	미국/NNP
TV드라마	TV/SL+드라마/NNG
‘안투라지’에	‘/SS+안투라지/NNP+’/SS+에/JKB
주인공들이	주인공/NNG+들/XSN+이/JKS
사케봄을	사케봄/NNG+을/JKO
마시는	마시/VV+는/ETM
장면이	장면/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.305.4.2
일본 술 사케에 폭탄을 뜻하는 ‘봄(bomb)’이 붙은 이 술은 맥주에 사케를 집어넣는 것 말고는 폭탄주와 똑같다.

일본	일본/NNP
술	술/NNG
사케에	사케/NNG+에/JKB
폭탄을	폭탄/NNG+을/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
‘봄(bomb)’이	‘/SS+봄/NNG+(/SS+bomb/SL+)/SS+’/SS+이/JKS
붙은	붙/VV+은/ETM
이	이/MMD
술은	술/NNG+은/JX
맥주에	맥주/NNG+에/JKB
사케를	사케/NNG+를/JKO
집어넣는	집어넣/VV+는/ETM
것	것/NNB
말고는	말/VV+고/EC+는/JX
폭탄주와	폭탄주/NNG+와/JKB
똑같다.	똑같/VA+다/EF+./SF


# id : NWRW1800000033.305.4.3
맥주잔에 걸쳐 놓은 젓가락 한 벌 위에 사케잔을 올리고 테이블을 쳐서 아래로 빠뜨려 마신다.

맥주잔에	맥주잔/NNG+에/JKB
걸쳐	걸치/VV+어/EC
놓은	놓/VX+은/ETM
젓가락	젓가락/NNG
한	한/MMN
벌	벌/NNB
위에	위/NNG+에/JKB
사케잔을	사케/NNG+잔/NNG+을/JKO
올리고	올리/VV+고/EC
테이블을	테이블/NNG+을/JKO
쳐서	치/VV+어서/EC
아래로	아래/NNG+로/JKB
빠뜨려	빠뜨리/VV+어/EC
마신다.	마시/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.305.4.4
‘도미노주’를 시연하는 동영상도 인터넷에 떠 있다.

‘도미노주’를	‘/SS+도미노주/NNG+’/SS+를/JKO
시연하는	시연/NNG+하/XSV+는/ETM
동영상도	동영상/NNG+도/JX
인터넷에	인터넷/NNG+에/JKB
떠	뜨/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.305.4.5
한국인에게서 폭탄주를 배웠다는 일본인이 대다수인 걸 보면 사케봄도 폭탄주의 아류 같다.

한국인에게서	한국인/NNG+에게서/JKB
폭탄주를	폭탄주/NNG+를/JKO
배웠다는	배우/VV+었/EP+다는/ETM
일본인이	일본인/NNG+이/JKS
대다수인	대/XPN+다수/NNG+이/VCP+ㄴ/ETM
걸	거/NNB+ㄹ/JKO
보면	보/VV+면/EC
사케봄도	사케봄/NNG+도/JX
폭탄주의	폭탄주/NNG+의/JKG
아류	아류/NNG
같다.	같/VA+다/EF+./SF


# id : NWRW1800000033.305.5.1
▷식품의약품안전청이 조사해보니 30∼50대보다 20대가 폭탄주를 더 즐겨 마신다고 한다.

▷식품의약품안전청이	▷/SW+식품/NNG+의약품/NNG+안전청/NNG+이/JKS
조사해보니	조사/NNG+하/XSV+아/EC+보/VX+니/EC
30∼50대보다	30/SN+∼/SO+50/SN+대/NNB+보다/JKB
20대가	20/SN+대/NNB+가/JKS
폭탄주를	폭탄주/NNG+를/JKO
더	더/MAG
즐겨	즐기/VV+어/EC
마신다고	마시/VV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.305.5.2
심지어 15∼19세의 22.7%도 폭탄주를 마셔본 적이 있다.

심지어	심지어/MAG
15∼19세의	15/SN+∼/SO+19/SN+세/NNB+의/JKG
22.7%도	22/SN+./SP+7/SN+%/SW+도/JX
폭탄주를	폭탄주/NNG+를/JKO
마셔본	마시/VV+어/EC+보/VX+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.305.5.3
최근 미국을 비롯해 독일 프랑스 등지에서는 전통주나 리큐어를 카페인 함유량이 무척 높은 에너지드링크와 섞어 마시는 ‘예거봄’ ‘스키틀봄’도 나왔다.

최근	최근/MAG
미국을	미국/NNP+을/JKO
비롯해	비롯하/VV+아/EC
독일	독일/NNP
프랑스	프랑스/NNP
등지에서는	등지/NNB+에서/JKB+는/JX
전통주나	전통주/NNG+나/JC
리큐어를	리큐어/NNG+를/JKO
카페인	카페인/NNG
함유량이	함유량/NNG+이/JKS
무척	무척/MAG
높은	높/VA+은/ETM
에너지드링크와	에너지/NNG+드링크/NNG+와/JKB
섞어	섞/VV+어/EC
마시는	마시/VV+는/ETM
‘예거봄’	‘/SS+예거봄/NNG+’/SS
‘스키틀봄’도	‘/SS+스키틀봄/NNG+’/SS+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.305.5.4
식약청 조사에서는 이런 ‘변종 폭탄주’를 마셔본 대학생도 적지 않았다.

식약청	식약청/NNG
조사에서는	조사/NNG+에서/JKB+는/JX
이런	이런/MMD
‘변종	‘/SS+변종/NNG
폭탄주’를	폭탄주/NNG+’/SS+를/JKO
마셔본	마시/VV+어/EC+보/VX+ㄴ/ETM
대학생도	대학/NNG+생/XSN+도/JX
적지	적/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.305.5.5
일터의 스트레스를 풀려고 직장인들이 부어 넣듯 하는 폭탄주를 대학생들이 일찍 배우는 것은 씁쓸하다.

일터의	일터/NNG+의/JKG
스트레스를	스트레스/NNG+를/JKO
풀려고	풀/VV+려고/EC
직장인들이	직장인/NNG+들/XSN+이/JKS
부어	붓/VV+어/EC
넣듯	넣/VV+듯/EC
하는	하/VX+는/ETM
폭탄주를	폭탄주/NNG+를/JKO
대학생들이	대학/NNG+생/XSN+들/XSN+이/JKS
일찍	일찍/MAG
배우는	배우/VV+는/ETM
것은	것/NNB+은/JX
씁쓸하다.	씁쓸하/VA+다/EF+./SF


# id : NWRW1800000033.305.5.6
청춘이 아프긴 아픈가 보다.

청춘이	청춘/NNG+이/JKS
아프긴	아프/VA+기/ETN+ㄴ/JX
아픈가	아프/VA+ㄴ가/EF
보다.	보/VX+다/EF+./SF


