# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.28
metadata : {}


# id : NWRW1800000030.28.1.1
獨 '아줌마들의 우상' 레이옌 장관 메르켈 뒤이을 여성 총리 '0순위'

獨	獨/SH
위원회에서	위원회/NNG+에서/JKB
일했던	일/NNG+하/XSV+았/EP+던/ETM
부친	부친/NNG
때문에	때문/NNB+에/JKB
벨기에	벨기에/NNP
브뤼셀에서	브뤼셀/NNP+에서/JKB
태어났다.	태어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.28.5.2
이후 괴팅겐대·뮌스터대·런던정경대(LSE)와 하노버 의대를 거쳐 1992년부터 미국 스탠퍼드대에서 공부했다.

이후	이후/NNG
괴팅겐대·뮌스터대·런던정경대(LSE)와	괴팅겐대/NNP+·/SP+뮌스터대/NNP+·/SP+런던정경대/NNP+(/SS+LSE/SL+)/SS+와/JC
하노버	하노버/NNP
의대를	의대/NNG+를/JKO
거쳐	거치/VV+어/EC
1992년부터	1992/SN+년/NNB+부터/JX
미국	미국/NNP
스탠퍼드대에서	스탠퍼드대/NNP+에서/JKB
공부했다.	공부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.28.5.3
여기서 스탠퍼드 학부생이던 남편을 만나 전업주부의 삶을 살기도 했다.

여기서	여기/NP+서/JKB
스탠퍼드	스탠퍼드/NNP
학부생이던	학부/NNG+생/XSN+이/VCP+던/ETM
남편을	남편/NNG+을/JKO
만나	만나/VV+아/EC
전업주부의	전업주부/NNG+의/JKG
삶을	삶/NNG+을/JKO
살기도	살/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.28.6.1
1990년 아버지를 따라 기민당(CDU)에 입당했지만 2003년 니더작센 주 의회 선거에 선출되면서 정치 활동을 본격 개시했다.

1990년	1990/SN+년/NNB
아버지를	아버지/NNG+를/JKO
따라	따르/VV+아/EC
기민당(CDU)에	기민당/NNP+(/SS+CDU/SL+)/SS+에/JKB
입당했지만	입당/NNG+하/XSV+았/EP+지만/EC
2003년	2003/SN+년/NNB
니더작센	니더작센/NNP
주	주/NNG
의회	의회/NNG
선거에	선거/NNG+에/JKB
선출되면서	선출/NNG+되/XSV+면서/EC
정치	정치/NNG
활동을	활동/NNG+을/JKO
본격	본격/NNG
개시했다.	개시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.28.6.2
메르켈 총리는 주 정부에서 여성·가족·보건부 장관으로 활약하던 그녀를 발탁해 1기 내각의 연방 여성·가족부 장관으로 임명했고, 2009년 2기 내각 때 노동부 장관으로 임명했다.

메르켈	메르켈/NNP
총리는	총리/NNG+는/JX
주	주/NNG
정부에서	정부/NNG+에서/JKB
여성·가족·보건부	여성/NNG+·/SP+가족/NNG+·/SP+보건부/NNG
장관으로	장관/NNG+으로/JKB
활약하던	활약/NNG+하/XSV+던/ETM
그녀를	그녀/NP+를/JKO
발탁해	발탁/NNG+하/XSV+아/EC
1기	1/SN+기/NNG
내각의	내각/NNG+의/JKG
연방	연방/NNG
여성·가족부	여성/NNG+·/SP+가족부/NNG
임명했고,	임명/NNG+하/XSV+았/EP+고/EC+,/SP
2009년	2009/SN+년/NNB
2기	2/SN+기/NNG
내각	내각/NNG
때	때/NNG
노동부	노동부/NNG
임명했다.	임명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.28.6.3
그녀에 대한 메르켈의 신임은 절대적이다.

그녀에	그녀/NP+에/JKB
대한	대하/VV+ㄴ/ETM
메르켈의	메르켈/NNP+의/JKG
신임은	신임/NNG+은/JX
절대적이다.	절대/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000030.28.7.1
여성·가족부 장관 시절 레이옌은 43억유로를 들여 독일 전역에 탁아시스템을 구축했다.

여성·가족부	여성/NNG+·/SP+가족부/NNG
장관	장관/NNG
시절	시절/NNG
레이옌은	레이옌/NNP+은/JX
43억유로를	43/SN+억/NR+유로/NNB+를/JKO
들여	들이/VV+어/EC
독일	독일/NNP
전역에	전역/NNG+에/JKB
탁아시스템을	탁아/NNG+시스템/NNG+을/JKO
구축했다.	구축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.28.7.2
보수 세력의 극렬한 반대에도 북유럽처럼 남자들에게도 2개월씩 추가 출산휴가를 줬다.

보수	보수/NNG
세력의	세력/NNG+의/JKG
극렬한	극렬/NNG+하/XSA+ㄴ/ETM
반대에도	반대/NNG+에/JKB+도/JX
북유럽처럼	북유럽/NNP+처럼/JKB
남자들에게도	남자/NNG+들/XSN+에게/JKB+도/JX
2개월씩	2/SN+개월/NNB+씩/XSN
추가	추가/NNG
출산휴가를	출산/NNG+휴가/NNG+를/JKO
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.28.7.3
"여성을 출산 기계로 만들려 한다"(월터 믹사 가톨릭 주교) 등의 비난에 아랑곳하지 않고 이 정책을 정착시켜 출산율을 높였고 대중의 지지를 얻었다.

"여성을	"/SS+여성/NNG+을/JKO
출산	출산/NNG
기계로	기계/NNG+로/JKB
만들려	만들/VV+려/EC
한다"(월터	하/VX+ㄴ다/EF+"/SS+(/SS+월터/NNP
믹사	믹사/NNP
가톨릭	가톨릭/NNG
주교)	주교/NNG+)/SS
등의	등/NNB+의/JKG
비난에	비난/NNG+에/JKB
아랑곳하지	아랑곳/NNG+하/XSV+지/EC
않고	않/VX+고/EC
이	이/MMD
정책을	정책/NNG+을/JKO
정착시켜	정착/NNG+시키/XSV+어/EC
출산율을	출산/NNG+율/XSN+을/JKO
높였고	높이/VV+었/EP+고/EC
대중의	대중/NNG+의/JKG
지지를	지지/NNG+를/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.28.8.1
레이옌 장관은 이달 초 '통독 이후 최저 실업률'이란 노동부 장관으로서 뿌듯한 성적표를 쥐었다.

레이옌	레이옌/NNP
장관은	장관/NNG+은/JX
이달	이달/NNG
초	초/NNB
'통독	'/SS+통독/NNG
이후	이후/NNG
최저	최저/NNG
실업률'이란	실업/NNG+률/XSN+'/SS+이/VCP+란/ETM
노동부	노동부/NNG
장관으로서	장관/NNG+으로서/JKB
뿌듯한	뿌듯하/VA+ㄴ/ETM
성적표를	성적표/NNG+를/JKO
쥐었다.	쥐/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.28.8.2
그녀의 현재 목표는 실업률을 낮추고 주부 직장인이 더 즐겁게 직장생활을 할 수 있는 환경을 만드는 것이다.

그녀의	그녀/NP+의/JKG
현재	현재/MAG
목표는	목표/NNG+는/JX
실업률을	실업/NNG+률/XSN+을/JKO
낮추고	낮추/VV+고/EC
주부	주부/NNG
직장인이	직장인/NNG+이/JKS
더	더/MAG
즐겁게	즐겁/VA+게/EC
직장생활을	직장/NNG+생활/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
환경을	환경/NNG+을/JKO
만드는	만들/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.28.8.3
그녀는 "아직 독일 여성의 3%는 고통스러운 삶을 살고 있다"고 했다.

그녀는	그녀/NP+는/JX
"아직	"/SS+아직/MAG
독일	독일/NNP
여성의	여성/NNG+의/JKG
3%는	3/SN+%/SW+는/JX
고통스러운	고통/NNG+스럽/XSA+ㄴ/ETM
삶을	삶/NNG+을/JKO
살고	살/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.28.8.4
"일자리의 허수를 줄이고 젊은이들에게 원하는 일자리를 안겨주겠다"는 것도 그녀가 내세운 목표다.

"일자리의	"/SS+일자리/NNG+의/JKG
허수를	허수/NNG+를/JKO
줄이고	줄이/VV+고/EC
젊은이들에게	젊은이/NNG+들/XSN+에게/JKB
원하는	원/NNG+하/XSV+는/ETM
일자리를	일자리/NNG+를/JKO
안겨주겠다"는	안기/VV+어/EC+주/VX+겠/EP+다/EF+"/SS+는/ETM
것도	것/NNB+도/JX
그녀가	그녀/NP+가/JKS
내세운	내세우/VV+ㄴ/ETM
목표다.	목표/NNG+이/VCP+다/EF+./SF


