# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.380
metadata : {}


# id : NWRW1800000038.380.1.1
野의원, 보수 성향 韓國史교과서 著者 조사 논란

野의원,	野/SH+의원/NNG+,/SP
몰두하는	몰두/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKC
아닌지	아니/VCN+ㄴ지/EF
확인하기	확인/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
자료를	자료/NNG+를/JKO
요구했다"고	요구/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.380.7.2
그러나 권희영 교수는 "한국현대사학회 관련자를 겁박해서 교과서의 검정 통과를 좌절시키려는 표적 감사이자 학문 탄압"이라고 말했다.

그러나	그러나/MAJ
권희영	권희영/NNP
교수는	교수/NNG+는/JX
"한국현대사학회	"/SS+한국현대사학회/NNP
관련자를	관련자/NNG+를/JKO
겁박해서	겁박/NNG+하/XSV+아서/EC
교과서의	교과서/NNG+의/JKG
검정	검정/NNG
통과를	통과/NNG+를/JKO
좌절시키려는	좌절/NNG+시키/XSV+려는/ETM
표적	표적/NNG
감사이자	감사/NNG+이/VCP+자/EC
학문	학문/NNG
탄압"이라고	탄압/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.380.8.1
민주당 정청래 의원은 10일 국회 대정부질문에서 정홍원 총리에게 "김구 선생의 항일 독립운동이 항일 테러 활동이냐"고 물었다.

민주당	민주당/NNP
정청래	정청래/NNP
의원은	의원/NNG+은/JX
10일	10/SN+일/NNB
국회	국회/NNG
대정부질문에서	대정부/NNG+질문/NNG+에서/JKB
정홍원	정홍원/NNP
총리에게	총리/NNG+에게/JKB
"김구	"/SS+김구/NNP
선생의	선생/NNG+의/JKG
항일	항일/NNG
독립운동이	독립운동/NNG+이/JKS
테러	테러/NNG
활동이냐"고	활동/NNG+이/VCP+냐/EF+"/SS+고/JKQ
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.380.8.2
정 총리가 "아니다"라고 대답하자 "뉴라이트 교과서에는 이렇게 나와 있고 이것이 통과했다"고 말했다.

정	정/NNP
총리가	총리/NNG+가/JKS
"아니다"라고	"/SS+아니/VCN+다/EF+"/SS+라고/JKQ
대답하자	대답/NNG+하/XSV+자/EC
"뉴라이트	"/SS+뉴라이트/NNG
교과서에는	교과서/NNG+에/JKB+는/JX
이렇게	이렇/VA+게/EC
나와	나오/VV+아/EC
있고	있/VX+고/EC
이것이	이것/NP+이/JKS
통과했다"고	통과/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.380.8.3
그러나 검정 본심사를 통과한 교학사 교과서의 내용은 전혀 공개되지 않았다.

그러나	그러나/MAJ
검정	검정/NNG
본심사를	본심사/NNG+를/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
교학사	교학사/NNP
교과서의	교과서/NNG+의/JKG
내용은	내용/NNG+은/JX
전혀	전혀/MAG
공개되지	공개/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.380.8.4
지난 2일에는 민주당 배재정 대변인이 브리핑에서 이 교과서에 대해 "김구 선생과 안중근 의사를 테러 활동을 한 사람이라고 표현하고 있다고 한다"고 말했다.

지난	지나/VV+ㄴ/ETM
2일에는	2/SN+일/NNB+에/JKB+는/JX
민주당	민주당/NNP
배재정	배재정/NNP
대변인이	대변인/NNG+이/JKS
브리핑에서	브리핑/NNG+에서/JKB
이	이/MMD
교과서에	교과서/NNG+에/JKB
대해	대하/VV+아/EC
"김구	"/SS+김구/NNP
선생과	선생/NNG+과/JC
안중근	안중근/NNP
의사를	의사/NNG+를/JKO
테러	테러/NNG
활동을	활동/NNG+을/JKO
한	하/VV+ㄴ/ETM
사람이라고	사람/NNG+이/VCP+라고/EC
표현하고	표현/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
한다"고	하/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.380.8.5
권희영 교수는 본지 인터뷰에서 "이런 주장은 모두 사실이 아니다"고 밝혔다.

권희영	권희영/NNP
교수는	교수/NNG+는/JX
본지	본지/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
"이런	"/SS+이런/MMD
주장은	주장/NNG+은/JX
모두	모두/MAG
사실이	사실/NNG+이/JKC
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


