# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.32
metadata : {}


# id : NWRW1800000040.32.1.1
기업들 “국면전환 환영, 일감 다시 들어올지…”

기업들	기업/NNG+들/XSN
바이어들에게 신뢰를 주기 위해서는 재발 방지 약속이 필수적”이라고 말했다.

바이어들에게	바이어/NNG+들/XSN+에게/JKB
신뢰를	신뢰/NNG+를/JKO
주기	주/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
재발	재발/NNG
방지	방지/NNG
약속이	약속/NNG+이/JKS
필수적”이라고	필수/NNG+적/XSN+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


