# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.118
metadata : {}


# id : NWRW1800000021.118.1.1
서울 모터쇼에 온 르노그룹 나카무라 부회장

서울	서울/NNP
것이라는	것/NNB+이/VCP+라는/ETM
게	거/NNB+이/JKS
그의	그/NP+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.118.5.1
한국 내 투자와 판매 확대 의지를 묻는 질문에 그는 “이번에 발표한 뉴 SM3도 한국 소비자의 취향에 맞춰 개발된 것”이라며 “앞으로 내놓는 르노삼성차의 라인업도 한국 시장 공략에 초점을 맞추게 될 것”이라고 답했다.

한국	한국/NNP
내	내/NNB
투자와	투자/NNG+와/JC
판매	판매/NNG
확대	확대/NNG
의지를	의지/NNG+를/JKO
묻는	묻/VV+는/ETM
질문에	질문/NNG+에/JKB
그는	그/NP+는/JX
“이번에	“/SS+이번/NNG+에/JKB
발표한	발표/NNG+하/XSV+ㄴ/ETM
뉴	뉴/NNG
SM3도	SM/SL+3/SN+도/JX
소비자의	소비자/NNG+의/JKG
취향에	취향/NNG+에/JKB
맞춰	맞추/VV+어/EC
개발된	개발/NNG+되/XSV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“앞으로	“/SS+앞/NNG+으로/JKB
내놓는	내놓/VV+는/ETM
르노삼성차의	르노삼성차/NNP+의/JKG
라인업도	라인업/NNG+도/JX
시장	시장/NNG
공략에	공략/NNG+에/JKB
초점을	초점/NNG+을/JKO
맞추게	맞추/VV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.118.5.2
이어 “지금은 한국 시장에서 현대차 시장점유율이 단연 높지만 앞으로 우리가 투자를 늘리고 점유율을 높여 강력한 경쟁자가 될 것”이라고 강조했다.

이어	이어/MAG
“지금은	“/SS+지금/NNG+은/JX
한국	한국/NNP
시장에서	시장/NNG+에서/JKB
현대차	현대차/NNP
시장점유율이	시장/NNG+점유/NNG+율/XSN+이/JKS
단연	단연/MAG
높지만	높/VA+지만/EC
앞으로	앞/NNG+으로/JKB
우리가	우리/NP+가/JKS
투자를	투자/NNG+를/JKO
늘리고	늘리/VV+고/EC
점유율을	점유/NNG+율/XSN+을/JKO
높여	높이/VV+어/EC
강력한	강력/NNG+하/XSA+ㄴ/ETM
경쟁자가	경쟁자/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.118.6.1
이와 관련해 나카무라 부회장은 “르노삼성차는 자금에 어려움이 없기 때문에 투자를 계속하고 있다”며 “새로운 프로젝트도 차질 없이 진행하고 있으며 미래를 위한 준비에 모든 역량을 총결집하고 있다”고 말했다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
나카무라	나카무라/NNP
부회장은	부회장/NNG+은/JX
“르노삼성차는	“/SS+르노삼성차/NNP+는/JX
자금에	자금/NNG+에/JKB
어려움이	어려움/NNG+이/JKS
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
투자를	투자/NNG+를/JKO
계속하고	계속/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“새로운	“/SS+새롭/VA+ㄴ/ETM
프로젝트도	프로젝트/NNG+도/JX
차질	차질/NNG
없이	없이/MAG
진행하고	진행/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
미래를	미래/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
준비에	준비/NNG+에/JKB
모든	모든/MMN
역량을	역량/NNG+을/JKO
총결집하고	총결집/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.118.6.2
그는 “글로벌 경제위기를 극복하기 위해 지금은 현금유동성과 철저한 재고 관리를 통한 ‘방어’뿐 아니라 미래를 위한 ‘공격(투자)’도 동시에 진행하고 있다”고 덧붙였다.

그는	그/NP+는/JX
“글로벌	“/SS+글로벌/NNG
경제위기를	경제/NNG+위기/NNG+를/JKO
극복하기	극복/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
지금은	지금/NNG+은/JX
현금유동성과	현금/NNG+유동/NNG+성/XSN+과/JC
철저한	철저/NNG+하/XSA+ㄴ/ETM
재고	재고/NNG
관리를	관리/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
‘방어’뿐	‘/SS+방어/NNG+’/SS+뿐/JX
아니라	아니/VCN+라/EC
미래를	미래/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
‘공격(투자)’도	‘/SS+공격/NNG+(/SS+투자/NNG+)/SS+’/SS+도/JX
동시에	동시/NNG+에/JKB
진행하고	진행/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.118.6.3
GM, 크라이슬러 등 미국 자동차회사의 파산 가능성에 대한 질문에 그는 “미래에 대한 준비가 부족했던 것 같다”고만 짤막하게 답변했다.

GM,	GM/SL+,/SP
크라이슬러	크라이슬러/NNP
등	등/NNB
미국	미국/NNP
자동차회사의	자동차/NNG+회사/NNG+의/JKG
파산	파산/NNG
가능성에	가능/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
질문에	질문/NNG+에/JKB
그는	그/NP+는/JX
“미래에	“/SS+미래/NNG+에/JKB
준비가	준비/NNG+가/JKS
부족했던	부족/NNG+하/XSA+았/EP+던/ETM
것	것/NNB
같다”고만	같/VA+다/EF+”/SS+고/JKQ+만/JX
짤막하게	짤막하/VA+게/EC
답변했다.	답변/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.118.7.1
올해로 계약이 끝나는 르노삼성차의 ‘삼성’ 브랜드 사용 계약과 관련해 그는 “삼성그룹과 현재 협의를 진행 중”이라며 “삼성에 대한 한국민의 애착이 강해 (계약을) 계속 유지하기를 희망한다”고 밝혔다.

올해로	올해/NNG+로/JKB
계약이	계약/NNG+이/JKS
끝나는	끝나/VV+는/ETM
르노삼성차의	르노삼성차/NNP+의/JKG
‘삼성’	‘/SS+삼성/NNP+’/SS
브랜드	브랜드/NNG
사용	사용/NNG
계약과	계약/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
그는	그/NP+는/JX
“삼성그룹과	“/SS+삼성그룹/NNP+과/JKB
현재	현재/MAG
협의를	협의/NNG+를/JKO
진행	진행/NNG
중”이라며	중/NNB+”/SS+이/VCP+라며/EC
“삼성에	“/SS+삼성/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
한국민의	한국민/NNG+의/JKG
애착이	애착/NNG+이/JKS
강해	강하/VA+아/EC
(계약을)	(/SS+계약/NNG+을/JKO+)/SS
계속	계속/MAG
유지하기를	유지/NNG+하/XSV+기/ETN+를/JKO
희망한다”고	희망/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


