# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.43
metadata : {}


# id : NWRW1800000040.43.1.1
청·재벌 회동 앞두고…공정위 ‘재벌총수 봐주기 제재’

청·재벌	청/NA+·/SP+재벌/NNG
경고처분이	경고/NNG+처분/NNG+이/JKS
내려졌다.	내려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.43.9.5
공정위는 매년 자산 5조원 이상의 재벌로부터 계열사 현황 자료를 제출받아, 공정거래법상 상호출자제한 기업집단으로 지정한다.

공정위는	공정위/NNG+는/JX
매년	매년/MAG
자산	자산/NNG
5조원	5/SN+조/NR+원/NNB
이상의	이상/NNG+의/JKG
재벌로부터	재벌/NNG+로부터/JKB
계열사	계열사/NNG
현황	현황/NNG
자료를	자료/NNG+를/JKO
제출받아,	제출/NNG+받/XSV+아/EC+,/SP
공정거래법상	공정/NNG+거래법/NNG+상/XSN
상호출자제한	상호/NNG+출자/NNG+제한/NNG
기업집단으로	기업/NNG+집단/NNG+으로/JKB
지정한다.	지정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.43.10.1
공정위의 이번 경고 처분은 2010년에 벌어진 유사사건인 효성그룹의 공정거래법 위반 건에 대해 검찰에 고발 조처한 것에 견줘볼 때 석연치 않다.

공정위의	공정위/NNG+의/JKG
이번	이번/NNG
경고	경고/NNG
처분은	처분/NNG+은/JX
2010년에	2010/SN+년/NNB+에/JKB
벌어진	벌어지/VV+ㄴ/ETM
유사사건인	유사/NNG+사건/NNG+이/VCP+ㄴ/ETM
효성그룹의	효성그룹/NNP+의/JKG
공정거래법	공정/NNG+거래법/NNG
위반	위반/NNG
건에	건/NNG+에/JKB
대해	대하/VV+아/EC
검찰에	검찰/NNG+에/JKB
고발	고발/NNG
조처한	조처/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
견줘볼	견주/VV+어/EC+보/VX+ㄹ/ETM
때	때/NNG
석연치	석연하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000040.43.10.2
당시 조석래 회장은 계열사 현황 자료를 내면서 트리니티에셋매니지먼트 등 7개 위장 계열사를 누락시켰다.

당시	당시/NNG
조석래	조석래/NNP
회장은	회장/NNG+은/JX
계열사	계열사/NNG
현황	현황/NNG
자료를	자료/NNG+를/JKO
내면서	내/VV+면서/EC
트리니티에셋매니지먼트	트리니티에셋매니지먼트/NNP
등	등/NNB
7개	7/SN+개/NNB
위장	위장/NNG
계열사를	계열사/NNG+를/JKO
누락시켰다.	누락/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.43.10.3
조 회장이 위장계열사 운영과 허위자료 제출로 제재를 받는 것은 두번째인 셈이다.

조	조/NNP
회장이	회장/NNG+이/JKS
위장계열사	위장/NNG+계열사/NNG
운영과	운영/NNG+과/JC
허위자료	허위/NNG+자료/NNG
제출로	제출/NNG+로/JKB
제재를	제재/NNG+를/JKO
받는	받/VV+는/ETM
것은	것/NNB+은/JX
두번째인	두/MMN+번/NNB+째/XSN+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.43.10.4
사건조사를 맡았던 공정위 경쟁정책국이 애초 고발 의견을 제시했으나, 제1소위원회가 제재 수위를 경고로 낮춘 점도 의혹을 뒷받침한다.

사건조사를	사건/NNG+조사/NNG+를/JKO
맡았던	맡/VV+았/EP+던/ETM
공정위	공정위/NNG
경쟁정책국이	경쟁/NNG+정책국/NNG+이/JKS
애초	애초/NNG
고발	고발/NNG
의견을	의견/NNG+을/JKO
제시했으나,	제시/NNG+하/XSV+았/EP+으나/EC+,/SP
제1소위원회가	제/XPN+1/SN+소/XPN+위원회/NNG+가/JKS
제재	제재/NNG
수위를	수위/NNG+를/JKO
경고로	경고/NNG+로/JKB
낮춘	낮추/VV+ㄴ/ETM
점도	점/NNG+도/JX
의혹을	의혹/NNG+을/JKO
뒷받침한다.	뒷받침/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.43.10.5
공정위는 이에 대해 “(조 회장의) 신고누락 회사가 1곳에 불과하고, 누락사실을 자진신고한 점 등이 감안됐다”고 밝혔다.

공정위는	공정위/NNG+는/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
“(조	“/SS+(/SS+조/NNP
회장의)	회장/NNG+의/JKG+)/SS
신고누락	신고/NNG+누락/NNG
회사가	회사/NNG+가/JKS
1곳에	1/SN+곳/NNG+에/JKB
불과하고,	불과/MAG+하/XSA+고/EC+,/SP
누락사실을	누락/NNG+사실/NNG+을/JKO
자진신고한	자진/NNG+신고/NNG+하/XSV+ㄴ/ETM
점	점/NNG
등이	등/NNB+이/JKS
감안됐다”고	감안/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.43.10.6
하지만 이런 해명은 공정위가 2010년 조 회장을 고발한 사유가 이번 사건에도 거의 그대로 적용된다는 점에서 설득력이 낮다.

하지만	하지만/MAJ
이런	이런/MMD
해명은	해명/NNG+은/JX
공정위가	공정위/NNG+가/JKS
2010년	2010/SN+년/NNB
조	조/NNP
회장을	회장/NNG+을/JKO
고발한	고발/NNG+하/XSV+ㄴ/ETM
사유가	사유/NNG+가/JKS
이번	이번/NNG
사건에도	사건/NNG+에/JKB+도/JX
거의	거의/MAG
그대로	그대로/MAG
적용된다는	적용/NNG+되/XSV+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
설득력이	설득력/NNG+이/JKS
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000040.43.10.7
공정위는 당시 계열사 누락신고는 재벌 규제의 실효성을 근본적으로 저해하는 중대한 위법행위이고, 법위반 행위가 20년 이상 장기간 지속됐으며, (조 회장이) 법위반 사실을 사전에 충분히 인지하고 있었다는 점을 고발 사유로 강조했다.

공정위는	공정위/NNG+는/JX
당시	당시/NNG
계열사	계열사/NNG
누락신고는	누락/NNG+신고/NNG+는/JX
재벌	재벌/NNG
규제의	규제/NNG+의/JKG
실효성을	실효/NNG+성/XSN+을/JKO
근본적으로	근본/NNG+적/XSN+으로/JKB
저해하는	저해/NNG+하/XSV+는/ETM
중대한	중대/NNG+하/XSA+ㄴ/ETM
위법행위이고,	위법/NNG+행위/NNG+이/VCP+고/EC+,/SP
법위반	법/NNG+위반/NNG
행위가	행위/NNG+가/JKS
20년	20/SN+년/NNB
이상	이상/NNG
장기간	장기간/NNG
지속됐으며,	지속/NNG+되/XSV+었/EP+으며/EC+,/SP
(조	(/SS+조/NNP
회장이)	회장/NNG+이/JKS+)/SS
사실을	사실/NNG+을/JKO
사전에	사전/NNG+에/JKB
충분히	충분히/MAG
인지하고	인지/NNG+하/XSV+고/EC
있었다는	있/VX+었/EP+다는/ETM
점을	점/NNG+을/JKO
고발	고발/NNG
사유로	사유/NNG+로/JKB
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.43.11.1
공정위는 이같은 솜방망이 제재 사실을 국민에게 아예 감추려 했다는 지적도 받는다.

공정위는	공정위/NNG+는/JX
이같은	이/NP+같/VA+은/ETM
솜방망이	솜방망이/NNG
제재	제재/NNG
사실을	사실/NNG+을/JKO
국민에게	국민/NNG+에게/JKB
아예	아예/MAG
감추려	감추/VV+려/EC
했다는	하/VX+았/EP+다는/ETM
지적도	지적/NNG+도/JX
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000040.43.11.2
공정위 제재내용은 보도자료로 발표하는 게 상례인데, 공정위는 지난 23일 오전 정재찬 부위원장 주재로 열린 홍보대책회의에서는 주간 보도자료 배포계획에 이번 사건을 포함시켰다가, 같은 날 오후에 갑자기 제외시켰다.

공정위	공정위/NNG
제재내용은	제재/NNG+내용/NNG+은/JX
보도자료로	보도/NNG+자료/NNG+로/JKB
발표하는	발표/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
상례인데,	상례/NNG+이/VCP+ㄴ데/EC+,/SP
공정위는	공정위/NNG+는/JX
지난	지나/VV+ㄴ/ETM
23일	23/SN+일/NNB
오전	오전/NNG
정재찬	정재찬/NNP
부위원장	부위원장/NNG
주재로	주재/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
홍보대책회의에서는	홍보/NNG+대책/NNG+회의/NNG+에서/JKB+는/JX
주간	주간/NNG
보도자료	보도/NNG+자료/NNG
배포계획에	배포/NNG+계획/NNG+에/JKB
이번	이번/NNG
사건을	사건/NNG+을/JKO
포함시켰다가,	포함/NNG+시키/XSV+었/EP+다가/EC+,/SP
같은	같/VA+은/ETM
날	날/NNG
오후에	오후/NNG+에/JKB
갑자기	갑자기/MAG
제외시켰다.	제외/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.43.11.3
공정위는 봐주기 의혹이 커지자, 25일 오후 계획에도 없던 참고자료를 부랴부랴 배포했다.

공정위는	공정위/NNG+는/JX
봐주기	봐주/VV+기/ETN
의혹이	의혹/NNG+이/JKS
커지자,	커지/VV+자/EC+,/SP
25일	25/SN+일/NNB
오후	오후/NNG
계획에도	계획/NNG+에/JKB+도/JX
없던	없/VA+던/ETM
참고자료를	참고/NNG+자료/NNG+를/JKO
부랴부랴	부랴부랴/MAG
배포했다.	배포/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.43.12.1
공정위의 이번 재벌 회장들 봐주기 행보에 대해서는 오는 28일 박근혜 대통령이 10대 재벌그룹 총수들과 청와대에서 만나기로 예정된 것을 감안해 대기업 총수들에 대한 고발을 부담스럽게 생각했다는 해석이 많다.

공정위의	공정위/NNG+의/JKG
이번	이번/NNG
재벌	재벌/NNG
회장들	회장/NNG+들/XSN
봐주기	봐주/VV+기/ETN
행보에	행보/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
오는	오/VV+는/ETM
28일	28/SN+일/NNB
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
10대	10/SN+대/NNG
재벌그룹	재벌/NNG+그룹/NNG
총수들과	총수/NNG+들/XSN+과/JKB
청와대에서	청와대/NNP+에서/JKB
만나기로	만나/VV+기/ETN+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
감안해	감안/NNG+하/XSV+아/EC
대기업	대/XPN+기업/NNG
총수들에	총수/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
고발을	고발/NNG+을/JKO
부담스럽게	부담/NNG+스럽/XSA+게/EC
생각했다는	생각/NNG+하/XSV+았/EP+다는/ETM
해석이	해석/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000040.43.12.2
이번 경고조처는 노대래 공정위원장이 최근까지 중대한 공정거래법 위반행위에 대해서는 법인 제재 뿐만 아니라 최고경영자 등 개인에 대한 고발 확대 등 제재의 실효성을 높이겠다고 강조한 것과 정면으로 배치된다.

이번	이번/NNG
경고조처는	경고/NNG+조처/NNG+는/JX
노대래	노대래/NNP
공정위원장이	공정위원장/NNG+이/JKS
최근까지	최근/NNG+까지/JX
중대한	중대/NNG+하/XSA+ㄴ/ETM
공정거래법	공정/NNG+거래법/NNG
위반행위에	위반/NNG+행위/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
법인	법인/NNG
제재	제재/NNG
뿐만	뿐/JX+만/JX
아니라	아니/VCN+라/EC
최고경영자	최고/NNG+경영자/NNG
등	등/NNB
개인에	개인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
고발	고발/NNG
확대	확대/NNG
제재의	제재/NNG+의/JKG
실효성을	실효/NNG+성/XSN+을/JKO
높이겠다고	높이/VV+겠/EP+다고/EC
강조한	강조/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
정면으로	정면/NNG+으로/JKB
배치된다.	배치/NNG+되/XSV+ㄴ다/EF+./SF


