# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.298
metadata : {}


# id : NWRW1800000025.298.1.1
세종연-한경연 통합 ‘배경’ 논란

세종연-한경연	세종연/NNP+-/SO+한경연/NNP
불거졌다.	불거지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.298.3.1
이를 근거로 야당은 정부가 세종연구소를 한국판 보수재단으로 만들려 한다고 주장했다.

이를	이/NP+를/JKO
근거로	근거/NNG+로/JKB
야당은	야당/NNG+은/JX
정부가	정부/NNG+가/JKS
세종연구소를	세종연구소/NNP+를/JKO
한국판	한국판/NNG
보수재단으로	보수/NNG+재단/NNG+으로/JKB
만들려	만들/VV+려/EC
한다고	하/VX+ㄴ다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.298.3.2
김동철 민주당 의원은 “통합 추진 과정에서 양 기관을 해산하고 새로 연구소를 설치한다는 근본적인 취지는 친북적이고 좌경화된 사람들을 (세종연구소에서) 축출하겠다는 것”이라며 “이는 외교부의 유 전 장관과 이용준 전 차관보가 밀실에서 진행한 것”이라고 주장했다.

김동철	김동철/NNP
민주당	민주당/NNP
의원은	의원/NNG+은/JX
“통합	“/SS+통합/NNG
추진	추진/NNG
과정에서	과정/NNG+에서/JKB
양	양/MMN
기관을	기관/NNG+을/JKO
해산하고	해산/NNG+하/XSV+고/EC
새로	새로/MAG
연구소를	연구소/NNG+를/JKO
설치한다는	설치/NNG+하/XSV+ㄴ다는/ETM
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
취지는	취지/NNG+는/JX
친북적이고	친북/NNG+적/XSN+이/VCP+고/EC
좌경화된	좌경/NNG+화/XSN+되/XSV+ㄴ/ETM
사람들을	사람/NNG+들/XSN+을/JKO
(세종연구소에서)	(/SS+세종연구소/NNP+에서/JKB+)/SS
축출하겠다는	축출/NNG+하/XSV+겠/EP+다는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“이는	“/SS+이/NP+는/JX
외교부의	외교부/NNG+의/JKG
유	유/NNP
전	전/MMD
장관과	장관/NNG+과/JC
이용준	이용준/NNP
차관보가	차관보/NNG+가/JKS
밀실에서	밀실/NNG+에서/JKB
진행한	진행/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.298.4.1
이에 대해 증인으로 참석한 공 이사장은 “통합은 적자 문제를 해결하기 위한 것”이라며 “두 연구소가 통합해도 대기업의 이익을 대변하는 것이 아니라 국제경제 연구에서 시너지 효과를 낼 것”이라고 답변했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
증인으로	증인/NNG+으로/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
공	공/NNP
이사장은	이사장/NNG+은/JX
“통합은	“/SS+통합/NNG+은/JX
적자	적자/NNG
문제를	문제/NNG+를/JKO
해결하기	해결/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“두	“/SS+두/MMN
연구소가	연구소/NNG+가/JKS
통합해도	통합/NNG+하/XSV+아도/EC
대기업의	대/XPN+기업/NNG+의/JKG
이익을	이익/NNG+을/JKO
대변하는	대변/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
국제경제	국제/NNG+경제/NNG
연구에서	연구/NNG+에서/JKB
시너지	시너지/NNG
효과를	효과/NNG+를/JKO
낼	내/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
답변했다.	답변/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.298.4.2
그러나 역시 증인으로 참석한 이종석 세종연구소 연구위원(전 통일부 장관)은 “통합 과정에 한국형 헤리티지라는 보수 연구소를 명시했다”며 “중립적인 것을 해야 하는데 그게 어디 가당한 것이냐”고 말했다.

그러나	그러나/MAJ
역시	역시/MAG
증인으로	증인/NNG+으로/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
이종석	이종석/NNP
세종연구소	세종연구소/NNP
연구위원(전	연구/NNG+위원/NNG+(/SS+전/MMD
통일부	통일부/NNG
장관)은	장관/NNG+)/SS+은/JX
“통합	“/SS+통합/NNG
과정에	과정/NNG+에/JKB
한국형	한국/NNP+형/XSN
헤리티지라는	헤리티지/NNG+이/VCP+라는/ETM
보수	보수/NNG
연구소를	연구소/NNG+를/JKO
명시했다”며	명시/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“중립적인	“/SS+중립/NNG+적/XSN+이/VCP+ㄴ/ETM
것을	것/NNB+을/JKO
해야	하/VV+아야/EC
하는데	하/VX+는데/EC
그게	그거/NP+이/JKS
어디	어디/IC
가당한	가당하/VA+ㄴ/ETM
것이냐”고	것/NNB+이/VCP+냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


