# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.214
metadata : {}


# id : NWRW1800000024.214.1.1
나눔·사랑 필요한 곳이면 어디든 가지요

나눔·사랑	나누/VV+ㅁ/ETN+·/SP+사랑/NNG
생각해냈다.	생각/NNG+하/XSV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.214.5.4
이에 따라 최근 버스를 들여와 2천만원의 예산을 들여 가게로 꾸민 것이다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
최근	최근/MAG
버스를	버스/NNG+를/JKO
들여와	들여오/VV+아/EC
2천만원의	2/SN+천만/NR+원/NNB+의/JKG
예산을	예산/NNG+을/JKO
들여	들이/VV+어/EC
가게로	가게/NNG+로/JKB
꾸민	꾸미/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.214.6.1
25일 기증물품을 정리하던 제주경마본부 강정민(36) 대리는 “기존의 방식으로는 운영과 기증 활동에 한계가 있어 시민들과 소통하고, 적극적이고 능동적인 해결을 통해 더 많은 기여 활동을 하기 위해 이동형 가게를 선보이게 됐다”고 말했다.

25일	25/SN+일/NNB
기증물품을	기증/NNG+물품/NNG+을/JKO
정리하던	정리/NNG+하/XSV+던/ETM
제주경마본부	제주경마본부/NNP
강정민(36)	강정민/NNP+(/SS+36/SN+)/SS
대리는	대리/NNG+는/JX
“기존의	“/SS+기존/NNG+의/JKG
방식으로는	방식/NNG+으로/JKB+는/JX
운영과	운영/NNG+과/JC
기증	기증/NNG
활동에	활동/NNG+에/JKB
한계가	한계/NNG+가/JKS
있어	있/VA+어/EC
시민들과	시민/NNG+들/XSN+과/JKB
소통하고,	소통/NNG+하/XSV+고/EC+,/SP
적극적이고	적극/NNG+적/XSN+이/VCP+고/EC
능동적인	능동/NNG+적/XSN+이/VCP+ㄴ/ETM
해결을	해결/NNG+을/JKO
통해	통하/VV+아/EC
더	더/MAG
많은	많/VA+은/ETM
기여	기여/NNG
활동을	활동/NNG+을/JKO
하기	하/VV+기/ETN
위해	위하/VV+아/EC
이동형	이동/NNG+형/XSN
가게를	가게/NNG+를/JKO
선보이게	선보이/VV+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.214.6.2
경마본부는 이 아름다운 가게 버스를 이용해 기증하고자 하는 시민들의 집을 직접 찾아 물품을 수거하고 학교와 기업체 등을 찾아 기증물품을 확보하는 데 힘쓰기로 했다.

경마본부는	경마/NNG+본부/NNG+는/JX
이	이/MMD
아름다운	아름답/VA+ㄴ/ETM
가게	가게/NNG
버스를	버스/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
기증하고자	기증/NNG+하/XSV+고자/EC
하는	하/VX+는/ETM
시민들의	시민/NNG+들/XSN+의/JKG
집을	집/NNG+을/JKO
직접	직접/MAG
찾아	찾/VV+아/EC
물품을	물품/NNG+을/JKO
수거하고	수거/NNG+하/XSV+고/EC
학교와	학교/NNG+와/JC
기업체	기업체/NNG
등을	등/NNB+을/JKO
기증물품을	기증/NNG+물품/NNG+을/JKO
확보하는	확보/NNG+하/XSV+는/ETM
데	데/NNB
힘쓰기로	힘쓰/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.214.7.1
이와 함께 버스의 장점을 살려 제주왕벚꽃·유채꽃잔치 등 크고 작은 축제 현장을 찾아 나설 계획이다.

이와	이/NP+와/JKB
함께	함께/MAG
버스의	버스/NNG+의/JKG
장점을	장점/NNG+을/JKO
살려	살리/VV+어/EC
제주왕벚꽃·유채꽃잔치	제주/NNP+왕벚꽃/NNG+·/SP+유채꽃/NNG+잔치/NNG
등	등/NNB
크고	크/VA+고/EC
작은	작/VA+은/ETM
축제	축제/NNG
현장을	현장/NNG+을/JKO
찾아	찾/VV+아/EC
나설	나서/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.214.7.2
또 매달 기증천사를 선정해 기념품을 제공하는 등 물품 기증도 독려하기로 했다.

또	또/MAG
매달	매달/MAG
기증천사를	기증/NNG+천사/NNG+를/JKO
선정해	선정/NNG+하/XSV+아/EC
기념품을	기념품/NNG+을/JKO
제공하는	제공/NNG+하/XSV+는/ETM
등	등/NNB
물품	물품/NNG
기증도	기증/NNG+도/JX
독려하기로	독려/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.214.7.3
경마본부는 버스에 파란색 우체통도 설치할 방침이다.

경마본부는	경마/NNG+본부/NNG+는/JX
버스에	버스/NNG+에/JKB
파란색	파란색/NNG
우체통도	우체통/NNG+도/JX
설치할	설치/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.214.7.4
시민들이 어려운 이웃이나 청소년들에 대한 사연을 적어놓으면 이를 통해 후원자를 찾아 지원하겠다는 복안에서다.

시민들이	시민/NNG+들/XSN+이/JKS
어려운	어렵/VA+ㄴ/ETM
이웃이나	이웃/NNG+이나/JC
청소년들에	청소년/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
사연을	사연/NNG+을/JKO
적어놓으면	적/VV+어/EC+놓/VX+으면/EC
이를	이/NP+를/JKO
통해	통하/VV+아/EC
후원자를	후원자/NNG+를/JKO
찾아	찾/VV+아/EC
지원하겠다는	지원/NNG+하/XSV+겠/EP+다는/ETM
복안에서다.	복안/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000024.214.8.1
박성호 본부장은 “적극적으로 찾아가는 방식으로 운영하게 될 아름다운 가게의 수익금은 앞으로 도움이 필요한 홀로 사는 노인이나 조손가정 및 한부모 가정 등 결손가정을 대상으로 사랑의 온정을 전달하게 된다”고 말했다.

박성호	박성호/NNP
본부장은	본부장/NNG+은/JX
“적극적으로	“/SS+적극/NNG+적/XSN+으로/JKB
찾아가는	찾아가/VV+는/ETM
방식으로	방식/NNG+으로/JKB
운영하게	운영/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
아름다운	아름답/VA+ㄴ/ETM
가게의	가게/NNG+의/JKG
수익금은	수익금/NNG+은/JX
앞으로	앞/NNG+으로/JKB
도움이	도움/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
홀로	홀로/MAG
사는	살/VV+는/ETM
노인이나	노인/NNG+이나/JC
조손가정	조손/NNG+가정/NNG
및	및/MAG
한부모	한/MMN+부모/NNG
가정	가정/NNG
등	등/NNB
결손가정을	결손/NNG+가정/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
사랑의	사랑/NNG+의/JKG
온정을	온정/NNG+을/JKO
전달하게	전달/NNG+하/XSV+게/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


