# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.193
metadata : {}


# id : NWRW1800000028.193.1.1
“월드컵 한국경기날, 여기로 모여라

“월드컵	“/SS+월드컵/NNG
올린	올리/VV+ㄴ/ETM
아시아드	아시아드/NNP
주경기장과	주/MMA+경기장/NNG+과/JC
해운대	해운대/NNP
백사장,	백사장/NNG+,/SP
롯데백화점	롯데백화점/NNP
광복동지점,	광복동/NNP+지점/NNG+,/SP
부산역	부산역/NNP
광장,	광장/NNG+,/SP
부산대	부산대/NNP
도시철도역	도시/NNG+철도역/NNG
온천천변,	온천/NNG+천변/NNG+,/SP
스포원파크,	스포원파크/NNP+,/SP
태종대유원지	태종대유원지/NNP
광장	광장/NNG
등	등/NNB
시내	시내/NNG
곳곳에서	곳곳/NNG+에서/JKB
대규모	대/XPN+규모/NNG
응원이	응원/NNG+이/JKS
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.193.3.2
국제시장 남포프라자 앞에서도 6월 민주항쟁 기념 문화제와 함께 그리스전 거리응원이 펼쳐진다.

국제시장	국제/NNG+시장/NNG
남포프라자	남포프라자/NNP
앞에서도	앞/NNG+에서/JKB+도/JX
6월	6/SN+월/NNB
민주항쟁	민주/NNG+항쟁/NNG
기념	기념/NNG
문화제와	문화제/NNG+와/JKB
함께	함께/MAG
그리스전	그리스전/NNG
거리응원이	거리/NNG+응원/NNG+이/JKS
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.193.3.3
경남에서는 창원 광장, 진해 진해루, 진주 경상대 교육문화회관센터에 야외응원장이 마련된다.

경남에서는	경남/NNP+에서/JKB+는/JX
창원	창원/NNP
광장,	광장/NNG+,/SP
진해	진해/NNP
진해루,	진해루/NNP+,/SP
진주	진주/NNP
경상대	경상대/NNP
교육문화회관센터에	교육/NNG+문화/NNG+회관/NNG+센터/NNG+에/JKB
야외응원장이	야외/NNG+응원장/NNG+이/JKS
마련된다.	마련/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.193.4.1
대구는 대구시민운동장, 두류공원 코오롱야외음악당, 동성로 대구백화점 앞과 율하공원 등 4곳에서 응원이 펼쳐진다.

대구는	대구/NNP+는/JX
대구시민운동장,	대구시민운동장/NNP+,/SP
두류공원	두류공원/NNP
코오롱야외음악당,	코오롱야외음악당/NNP+,/SP
동성로	동성로/NNP
대구백화점	대구백화점/NNP
앞과	앞/NNG+과/JC
율하공원	율하공원/NNP
등	등/NNB
4곳에서	4/SN+곳/NNG+에서/JKB
응원이	응원/NNG+이/JKS
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.193.4.2
애초 대구시가 대구스타디움과 두류공원 야구장 등에서 대규모 행사를 준비하려고 했으나, 후원기업을 찾지 못해 행사 규모는 줄었다.

애초	애초/NNG
대구시가	대구시/NNP+가/JKS
대구스타디움과	대구스타디움/NNP+과/JC
두류공원	두류공원/NNP
야구장	야구장/NNG
등에서	등/NNB+에서/JKB
대규모	대/XPN+규모/NNG
행사를	행사/NNG+를/JKO
준비하려고	준비/NNG+하/XSV+려고/EC
했으나,	하/VX+았/EP+으나/EC+,/SP
후원기업을	후원/NNG+기업/NNG+을/JKO
찾지	찾/VV+지/EC
못해	못하/VX+아/EC
행사	행사/NNG
규모는	규모/NNG+는/JX
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.193.4.3
경북에서는 포항시 해도공원과 스틸러스 전용경기장, 구미 시민운동장, 영덕 군민운동장 등 시·군 15곳에서 거리응원을 한다.

경북에서는	경북/NNP+에서/JKB+는/JX
포항시	포항시/NNP
해도공원과	해도공원/NNP+과/JC
스틸러스	스틸러스/NNP
전용경기장,	전용/NNG+경기장/NNG+,/SP
구미	구미/NNP
시민운동장,	시민/NNG+운동장/NNG+,/SP
영덕	영덕/NNP
군민운동장	군민/NNG+운동장/NNG
등	등/NNB
시·군	시/NNG+·/SP+군/NNG
15곳에서	15/SN+곳/NNG+에서/JKB
거리응원을	거리/NNG+응원/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.193.5.1
울산에서도 태화강 둔치, 울산대공원 장미계곡, 문수축구경기장, 중구 젊음의 거리, 남구 여천천과 문화예술회관 야외공연장, 동구 구청광장, 북구 화봉공원, 울주군 울주문화예술회관 광장 등 10여곳에서 응원전이 열린다.

울산에서도	울산/NNP+에서/JKB+도/JX
태화강	태화강/NNP
둔치,	둔치/NNG+,/SP
울산대공원	울산대공원/NNP
장미계곡,	장미계곡/NNP+,/SP
문수축구경기장,	문수축구경기장/NNP+,/SP
중구	중구/NNP
젊음의	젊음/NNG+의/JKG
거리,	거리/NNG+,/SP
남구	남구/NNP
여천천과	여천천/NNP+과/JC
문화예술회관	문화/NNG+예술/NNG+회관/NNG
야외공연장,	야외/NNG+공연장/NNG+,/SP
동구	동구/NNP
구청광장,	구청/NNG+광장/NNG+,/SP
북구	북구/NNP
화봉공원,	화봉공원/NNP+,/SP
울주군	울주군/NNP
울주문화예술회관	울주문화예술회관/NNP
광장	광장/NNG
등	등/NNB
10여곳에서	10/SN+여/XSN+곳/NNG+에서/JKB
응원전이	응원전/NNG+이/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.193.5.2
울산시는 물축제(11~13일)가 열리는 태화강 둔치 특설무대에서 한국과 그리스전을 중계하며 응원전을 벌인다.

울산시는	울산시/NNP+는/JX
물축제(11~13일)가	물/NNG+축제/NNG+(/SS+11/SN+~/SO+13/SN+일/NNB+)/SS+가/JKS
열리는	열리/VV+는/ETM
태화강	태화강/NNP
둔치	둔치/NNG
특설무대에서	특설/NNG+무대/NNG+에서/JKB
한국과	한국/NNP+과/JC
그리스전을	그리스전/NNG+을/JKO
중계하며	중계/NNG+하/XSV+며/EC
응원전을	응원전/NNG+을/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.193.5.3
에스케이에너지는 장미축제(4~13일)가 열리는 울산대공원 장미계곡에 특설무대를 마련해 그리스전을 중계한다.

에스케이에너지는	에스케이에너지/NNP+는/JX
장미축제(4~13일)가	장미/NNG+축제/NNG+(/SS+4/SN+~/SO+13/SN+일/NNB+)/SS+가/JKS
열리는	열리/VV+는/ETM
울산대공원	울산대공원/NNP
장미계곡에	장미계곡/NNP+에/JKB
특설무대를	특설/NNG+무대/NNG+를/JKO
마련해	마련/NNG+하/XSV+아/EC
그리스전을	그리스전/NNG+을/JKO
중계한다.	중계/NNG+하/XSV+ㄴ다/EF+./SF


