# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.117
metadata : {}


# id : NWRW1800000054.117.1.1
박정환, 한·중 1위 대결서 커제 격파

박정환,	박정환/NNP+,/SP
지켜온	지키/VV+어/EC+오/VX+ㄴ/ETM
양국	양국/NNG
간판스타들이다.	간판스타/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000054.117.4.1
돌을 가려 박정환이 백을 쥐게 된 것부터 행운이었다.

돌을	돌/NNG+을/JKO
가려	가리/VV+어/EC
박정환이	박정환/NNP+이/JKS
백을	백/NNG+을/JKO
쥐게	쥐/VV+게/EC
된	되/VV+ㄴ/ETM
것부터	것/NNB+부터/JX
행운이었다.	행운/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.117.4.2
커제는 올해 한동안 백으로 22연승을 질주했을 만큼 백번이 강한 기사로 유명하다.

커제는	커제/NNP+는/JX
올해	올해/NNG
한동안	한/XPN+동안/NNG
백으로	백/NNG+으로/JKB
22연승을	22/SN+연승/NNG+을/JKO
질주했을	질주/NNG+하/XSV+았/EP+을/ETM
만큼	만큼/NNB
백번이	백번/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
기사로	기사/NNG+로/JKB
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.117.4.3
박정환은 초반 열세로 출발했으나 중앙 전투에서 멋진 씌움을 구사했고, 여기서 나온 상대 과수를 응징하면서 단숨에 주도권을 장악했다.

박정환은	박정환/NNP+은/JX
초반	초반/NNG
열세로	열세/NNG+로/JKB
출발했으나	출발/NNG+하/XSV+았/EP+으나/EC
중앙	중앙/NNG
전투에서	전투/NNG+에서/JKB
멋진	멋지/VA+ㄴ/ETM
씌움을	씌우/VV+ㅁ/ETN+을/JKO
구사했고,	구사/NNG+하/XSV+았/EP+고/EC+,/SP
여기서	여기/NP+서/JKB
나온	나오/VV+ㄴ/ETM
상대	상대/NNG
과수를	과수/NNG+를/JKO
응징하면서	응징/NNG+하/XSV+면서/EC
단숨에	단숨에/MAG
주도권을	주도/NNG+권/XSN+을/JKO
장악했다.	장악/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.117.4.4
중원 패싸움 결과 우변 흑을 잡는 바꿔치기로 우위에 선 박정환은 커제의 끈질긴 저항을 잘 막아 쾌승했다.

중원	중원/NNG
패싸움	패싸움/NNG
결과	결과/NNG
우변	우변/NNG
흑을	흑/NNG+을/JKO
잡는	잡/VV+는/ETM
바꿔치기로	바꿔치기/NNG+로/JKB
우위에	우위/NNG+에/JKB
선	서/VV+ㄴ/ETM
박정환은	박정환/NNP+은/JX
커제의	커제/NNP+의/JKG
끈질긴	끈질기/VA+ㄴ/ETM
저항을	저항/NNG+을/JKO
잘	잘/MAG
막아	막/VV+아/EC
쾌승했다.	쾌승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.117.5.1
이 승리로 박정환은 커제와의 상대 전적에서 5승4패로 다시 한발 앞서 나가게 됐다.

이	이/MMD
승리로	승리/NNG+로/JKB
박정환은	박정환/NNP+은/JX
커제와의	커제/NNP+와/JKB+의/JKG
상대	상대/NNG
전적에서	전적/NNG+에서/JKB
5승4패로	5/SN+승/NNB+4/SN+패/NNB+로/JKB
다시	다시/MAG
한발	한발/MAG
앞서	앞서/VV+어/EC
나가게	나가/VX+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.117.5.2
지난해 열렸던 인터넷 비공식 10번기(쌍방 5승5패) 성적을 포함하면 10승9패다.

지난해	지난해/NNG
열렸던	열리/VV+었/EP+던/ETM
인터넷	인터넷/NNG
비공식	비/XPN+공식/NNG
10번기(쌍방	10/SN+번/NNB+기/NNG+(/SS+쌍방/NNG
5승5패)	5/SN+승/NNB+5/SN+패/NNB+)/SS
성적을	성적/NNG+을/JKO
포함하면	포함/NNG+하/XSV+면/EC
10승9패다.	10/SN+승/NNB+9/SN+패/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.117.5.3
커제는 메이저급 세계대회서 통산 네 차례 우승했고 올 연말 열릴 신아오배 결승에도 올라 있어 세계 메이저 두 차례 우승에 그쳐온 박정환보다 앞선다.

커제는	커제/NNP+는/JX
메이저급	메이저급/NNG
세계대회서	세계/NNG+대회/NNG+서/JKB
통산	통산/NNG
네	네/MMN
차례	차례/NNG
우승했고	우승/NNG+하/XSV+았/EP+고/EC
올	올/NNG
연말	연말/NNG
열릴	열리/VV+ㄹ/ETM
신아오배	신아오/NNP+배/NNB
결승에도	결승/NNG+에/JKB+도/JX
올라	오르/VV+아/EC
있어	있/VX+어/EC
세계	세계/NNG
메이저	메이저/NNG
두	두/MMN
우승에	우승/NNG+에/JKB
그쳐온	그치/VV+어/EC+오/VX+ㄴ/ETM
박정환보다	박정환/NNP+보다/JKB
앞선다.	앞서/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.117.5.4
하지만 이날 승리로 박정환은 국내외 기전 17연승을 기록해 그 기세가 어디까지 이어질지 주목된다.

하지만	하지만/MAJ
이날	이날/NNG
승리로	승리/NNG+로/JKB
박정환은	박정환/NNP+은/JX
국내외	국내외/NNG
기전	기전/NNG
17연승을	17/SN+연승/NNG+을/JKO
기록해	기록/NNG+하/XSV+아/EC
그	그/MMD
기세가	기세/NNG+가/JKS
어디까지	어디/NP+까지/JX
이어질지	이어지/VV+ㄹ지/EF
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.117.5.5
현재 국제 판도에서 무관(無冠)국인 한국 바둑도 전관(全冠)을 구가 중인 중국에 맞서 반격의 기회를 잡았다.

현재	현재/MAG
국제	국제/NNG
판도에서	판도/NNG+에서/JKB
무관(無冠)국인	무관/NNG+(/SS+無冠/SH+)/SS+국/NA+이/VCP+ㄴ/ETM
한국	한국/NNP
바둑도	바둑/NNG+도/JX
전관(全冠)을	전관/NNG+(/SS+全冠/SH+)/SS+을/JKO
구가	구가/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
중국에	중국/NNP+에/JKB
맞서	맞서/VV+어/EC
반격의	반격/NNG+의/JKG
기회를	기회/NNG+를/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.117.6.1
인공지능과 관련된 두 기사의 올해 행보도 화제가 됐다.

인공지능과	인공/NNG+지능/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
두	두/MMN
기사의	기사/NNG+의/JKG
올해	올해/NNG
행보도	행보/NNG+도/JX
화제가	화제/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.117.6.2
커제는 지난 5월 중국 우전(烏鎭)서 열린 알파고와의 대결서 완패 후 눈물을 뿌렸지만 그 직후 한동안 22연승 가도를 달리는 등 더욱 강해진 모습을 보여왔다.

커제는	커제/NNP+는/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
중국	중국/NNP
우전(烏鎭)서	우전/NNP+(/SS+烏鎭/SH+)/SS+서/JKB
열린	열리/VV+ㄴ/ETM
알파고와의	알파고/NNP+와/JKB+의/JKG
대결서	대결/NNG+서/JKB
완패	완패/NNG
후	후/NNG
눈물을	눈물/NNG+을/JKO
뿌렸지만	뿌리/VV+었/EP+지만/EC
그	그/MMD
직후	직후/NNG
한동안	한/XPN+동안/NNG
22연승	22/SN+연승/NNG
가도를	가도/NNG+를/JKO
달리는	달리/VV+는/ETM
등	등/NNB
더욱	더욱/MAG
강해진	강하/VA+아/EC+지/VX+ㄴ/ETM
모습을	모습/NNG+을/JKO
보여왔다.	보이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.117.6.3
반면 박정환은 3월 딥젠고를 꺾고 월드바둑챔피언십서 우승했고, 알파고가 커제와의 대결을 끝으로 '은퇴'하면서 딥젠고는 세계 최강 인공지능으로 자리 잡았다.

반면	반면/NNG
박정환은	박정환/NNP+은/JX
3월	3/SN+월/NNB
딥젠고를	딥젠고/NNG+를/JKO
꺾고	꺾/VV+고/EC
월드바둑챔피언십서	월드/NNG+바둑/NNG+챔피언십/NNG+서/JKB
우승했고,	우승/NNG+하/XSV+았/EP+고/EC+,/SP
알파고가	알파고/NNP+가/JKS
커제와의	커제/NNP+와/JKB+의/JKG
대결을	대결/NNG+을/JKO
끝으로	끝/NNG+으로/JKB
'은퇴'하면서	'/SS+은퇴/NNG+'/SS+하/XSV+면서/EC
딥젠고는	딥젠고/NNG+는/JX
세계	세계/NNG
최강	최강/NNG
인공지능으로	인공/NNG+지능/NNG+으로/JKB
자리	자리/NNG
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.117.7.1
박정환은 이날 16강전서 동반 승리한 박영훈 9단과 함께 26일 열리는 8강전에 출전한다.

박정환은	박정환/NNP+은/JX
이날	이날/NNG
16강전서	16/SN+강전/NNB+서/JKB
동반	동반/NNG
승리한	승리/NNG+하/XSV+ㄴ/ETM
박영훈	박영훈/NNP
9단과	9/SN+단/NNG+과/JKB
함께	함께/MAG
26일	26/SN+일/NNB
열리는	열리/VV+는/ETM
8강전에	8/SN+강전/NNB+에/JKB
출전한다.	출전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.117.7.2
상대는 천쯔젠(17) 5단.

상대는	상대/NNG+는/JX
천쯔젠(17)	천쯔젠/NNP+(/SS+17/SN+)/SS
5단.	5/SN+단/NNG+./SF


# id : NWRW1800000054.117.7.3
몽백합배엔 180만위안(약 3억원)의 우승 상금이 걸려 있으며 한국 기사는 아직 한 번도 우승하지 못했다.

몽백합배엔	몽백합/NNG+배/NNB+에/JKB+ㄴ/JX
180만위안(약	180/SN+만/NR+위안/NNB+(/SS+약/MMA
3억원)의	3/SN+억/NR+원/NNB+)/SS+의/JKG
우승	우승/NNG
상금이	상금/NNG+이/JKS
걸려	걸리/VV+어/EC
있으며	있/VX+으며/EC
한국	한국/NNP
기사는	기사/NNG+는/JX
아직	아직/MAG
한	한/MMN
번도	번/NNB+도/JX
우승하지	우승/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.117.7.4
박정환과 커제는 내달 22일 중국 후난(湖南)성 펑황(鳳凰)서 벌어지는 남방장성배에서 다시 한번 격돌한다.

박정환과	박정환/NNP+과/JC
커제는	커제/NNP+는/JX
내달	내달/NNG
22일	22/SN+일/NNB
중국	중국/NNP
후난(湖南)성	후난/NNP+(/SS+湖南/SH+)/SS+성/NNG
펑황(鳳凰)서	펑황/NNP+(/SS+鳳凰/SH+)/SS+서/JKB
벌어지는	벌어지/VV+는/ETM
남방장성배에서	남방장성/NNP+배/NNB+에서/JKB
다시	다시/MAG
한번	한/MMN+번/NNB
격돌한다.	격돌/NNG+하/XSV+ㄴ다/EF+./SF


