# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.46
metadata : {}


# id : NWRW1800000025.46.1.1
[밴쿠버 스펀지]위 부담 적게 分단위 식사… 빙속 ‘과학적 밥심’

[밴쿠버	[/SS+밴쿠버/NNP
# id : NWRW1800000025.46.6.4
금메달을 안겨 준 자랑스러운 허벅지(둘레 23인치)는 그러한 식이요법에 엄청난 훈련량이 합쳐진 보물”이라고 강조했다.

금메달을	금메달/NNG+을/JKO
안겨	안기/VV+어/EC
준	주/VX+ㄴ/ETM
자랑스러운	자랑/NNG+스럽/XSA+ㄴ/ETM
허벅지(둘레	허벅지/NNG+(/SS+둘레/NNG
23인치)는	23/SN+인치/NNB+)/SS+는/JX
그러한	그러하/VA+ㄴ/ETM
식이요법에	식이/NNG+요법/NNG+에/JKB
엄청난	엄청나/VA+ㄴ/ETM
훈련량이	훈련량/NNG+이/JKS
합쳐진	합치/VV+어/EC+지/VX+ㄴ/ETM
보물”이라고	보물/NNG+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.46.7.1
비록 이번 대회에서 기대한 메달을 따지 못했지만 올림픽에만 5차례 연속 출전해 후배들에게 귀감이 된 맏형 이규혁(32)도 자기관리 비결 가운데 하나로 식이요법을 꼽는다.

비록	비록/MAG
이번	이번/NNG
대회에서	대회/NNG+에서/JKB
기대한	기대/NNG+하/XSV+ㄴ/ETM
메달을	메달/NNG+을/JKO
따지	따/VV+지/EC
못했지만	못하/VX+았/EP+지만/EC
올림픽에만	올림픽/NNG+에/JKB+만/JX
5차례	5/SN+차례/NNG
연속	연속/NNG
출전해	출전/NNG+하/XSV+아/EC
후배들에게	후배/NNG+들/XSN+에게/JKB
귀감이	귀감/NNG+이/JKC
된	되/VV+ㄴ/ETM
맏형	맏/XPN+형/NNG
이규혁(32)도	이규혁/NNP+(/SS+32/SN+)/SS+도/JX
자기관리	자기/NNG+관리/NNG
비결	비결/NNG
가운데	가운데/NNG
하나로	하나/NR+로/JKB
식이요법을	식이/NNG+요법/NNG+을/JKO
꼽는다.	꼽/VV+는다/EF+./SF


# id : NWRW1800000025.46.7.2
이규혁은 보디빌딩 선수 못지않게 영양소 하나까지 파악해 음식을 먹는 걸로 유명하다.

이규혁은	이규혁/NNP+은/JX
보디빌딩	보디빌딩/NNG
선수	선수/NNG
못지않게	못지않/VA+게/EC
영양소	영양소/NNG
하나까지	하나/NR+까지/JX
파악해	파악/NNG+하/XSV+아/EC
음식을	음식/NNG+을/JKO
먹는	먹/VV+는/ETM
걸로	거/NNB+ㄹ로/JKB
유명하다.	유명/NNG+하/XSA+다/EF+./SF


