# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.12
metadata : {}


# id : NWRW1800000032.12.1.1
채권ETF, 수수료 부담 확 줄였다

채권ETF,	채권/NNG+ETF/SL+,/SP
# id : NWRW1800000032.12.5.4
면제 대상 수수료는 거래수수료 0.0028454%와 청산결제수수료 0.0004446% 등 모두 0.0032900%이다.

면제	면제/NNG
대상	대상/NNG
수수료는	수수료/NNG+는/JX
거래수수료	거래/NNG+수수료/NNG
0.0028454%와	0/SN+./SP+0028454/SN+%/SW+와/JC
청산결제수수료	청산/NNG+결제/NNG+수수료/NNG
0.0004446%	0/SN+./SP+0004446/SN+%/SW
등	등/NNB
모두	모두/MAG
0.0032900%이다.	0/SN+./SP+0032900/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000032.12.5.5
다른 주식상품과 공통으로 사용하는 ‘프로세스 이용료’는 이번 면제 대상에서 제외된다.

다른	다른/MMD
주식상품과	주식/NNG+상품/NNG+과/JKB
공통으로	공통/NNG+으로/JKB
사용하는	사용/NNG+하/XSV+는/ETM
‘프로세스	‘/SS+프로세스/NNG
이용료’는	이용료/NNG+’/SS+는/JX
이번	이번/NNG
면제	면제/NNG
대상에서	대상/NNG+에서/JKB
제외된다.	제외/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.12.5.6
거래소는 증권예탁결제원, 금융투자협회 등 유관기관의 관련 수수료도 동시 면제를 추진하고 있다.

거래소는	거래소/NNG+는/JX
증권예탁결제원,	증권예탁결제원/NNP+,/SP
금융투자협회	금융투자협회/NNP
등	등/NNB
유관기관의	유관/NNG+기관/NNG+의/JKG
관련	관련/NNG
수수료도	수수료/NNG+도/JX
동시	동시/NNG
면제를	면제/NNG+를/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.12.6.1
보통 채권 현물 거래단위는 100억원 이상이라 개인들이 들어가기 불가능한 시장이다.

보통	보통/MAG
채권	채권/NNG
현물	현물/NNG
거래단위는	거래/NNG+단위/NNG+는/JX
100억원	100/SN+억/NR+원/NNB
이상이라	이상/NNG+이/VCP+라/EC
개인들이	개인/NNG+들/XSN+이/JKS
들어가기	들어가/VV+기/ETN
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
시장이다.	시장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.12.6.2
채권이티에프는 거래단위를 소액(주당 10만원)으로 설정하고 있어서 개인 투자자들의 채권시장 참여를 돕는 기능이 있다.

채권이티에프는	채권/NNG+이티에프/NNG+는/JX
거래단위를	거래/NNG+단위/NNG+를/JKO
소액(주당	소액/NNG+(/SS+주당/NNG
10만원)으로	10/SN+만/NR+원/NNB+)/SS+으로/JKB
설정하고	설정/NNG+하/XSV+고/EC
있어서	있/VX+어서/EC
개인	개인/NNG
투자자들의	투자자/NNG+들/XSN+의/JKG
채권시장	채권/NNG+시장/NNG
참여를	참여/NNG+를/JKO
돕는	돕/VV+는/ETM
기능이	기능/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.12.7.1
지난 2월 말 현재 거래소에 상장된 채권이티에프는 국고채 5종목(케이비증권 케이스타, 삼성 코덱스, 한국투자 킨덱스, 우리투자 코세프, 미래에셋 타이거), 통안채 1종목(우리투자), 단기자금 1종목(우리투자) 등 모두 7종으로 순자산 총액은 1조2467억원이다.

지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
말	말/NNB
현재	현재/MAG
거래소에	거래소/NNG+에/JKB
상장된	상장/NNG+되/XSV+ㄴ/ETM
채권이티에프는	채권/NNG+이티에프/NNG+는/JX
국고채	국고채/NNG
5종목(케이비증권	5/SN+종목/NNG+(/SS+케이비증권/NNP
케이스타,	케이스타/NNP+,/SP
삼성	삼성/NNP
코덱스,	코덱스/NNP+,/SP
한국투자	한국투자/NNP
킨덱스,	킨덱스/NNP+,/SP
우리투자	우리투자/NNP
코세프,	코세프/NNP+,/SP
미래에셋	미래에셋/NNP
타이거),	타이거/NNP+)/SS+,/SP
통안채	통안채/NNG
1종목(우리투자),	1/SN+종목/NNG+(/SS+우리투자/NNP+)/SS+,/SP
단기자금	단기/NNG+자금/NNG
1종목(우리투자)	1/SN+종목/NNG+(/SS+우리투자/NNP+)/SS
등	등/NNB
모두	모두/MAG
7종으로	7/SN+종/NNG+으로/JKB
순자산	순자산/NNG
총액은	총액/NNG+은/JX
1조2467억원이다.	1/SN+조/NR+2467/SN+억/NR+원/NNB+이/VCP+다/EF+./SF


