# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.189
metadata : {}


# id : NWRW1800000030.189.1.1
든든하다 김동욱! 인삼공사戰 21점, 삼성 4연승 이끌어

든든하다	든든하/VA+다/EF
않겠다고	않/VX+겠/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.189.3.1
김동욱은 2011년과 함께 시작된 삼성의 연승 행진을 이끌고 있다.

김동욱은	김동욱/NNP+은/JX
2011년과	2011/SN+년/NNB+과/JKB
함께	함께/MAG
시작된	시작/NNG+되/XSV+ㄴ/ETM
삼성의	삼성/NNP+의/JKG
연승	연승/NNG
행진을	행진/NNG+을/JKO
이끌고	이끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.189.3.2
지난 1일 오리온스와의 경기에서 경기 종료 0.1초를 남긴 87―87 동점 상황에서 버저비터를 성공시키는 등 23득점으로 팀에 승리를 안겼다.

지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
오리온스와의	오리온스/NNP+와/JKB+의/JKG
경기에서	경기/NNG+에서/JKB
경기	경기/NNG
종료	종료/NNG
0.1초를	0/SN+./SP+1/SN+초/NNB+를/JKO
남긴	남기/VV+ㄴ/ETM
87―87	87/SN+―/SS+87/SN
동점	동점/NNG
상황에서	상황/NNG+에서/JKB
버저비터를	버저비터/NNG+를/JKO
성공시키는	성공/NNG+시키/XSV+는/ETM
등	등/NNB
23득점으로	23/SN+득점/NNG+으로/JKB
팀에	팀/NNG+에/JKB
승리를	승리/NNG+를/JKO
안겼다.	안기/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.189.4.1
이어진 세 경기에서도 팀 공격을 이끌며 최근 네 경기에서 평균 17.5점을 올리고 있다.

이어진	이어지/VV+ㄴ/ETM
세	세/MMN
경기에서도	경기/NNG+에서/JKB+도/JX
팀	팀/NNG
공격을	공격/NNG+을/JKO
이끌며	이끌/VV+며/EC
최근	최근/MAG
네	네/MMN
경기에서	경기/NNG+에서/JKB
평균	평균/NNG
17.5점을	17/SN+./SP+5/SN+점/NNB+을/JKO
올리고	올리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.189.4.2
6일에도 그는 필드골 11개 중 8개를 넣는 정확한 슈팅을 앞세워 21점을 기록, 종아리 부상으로 결장한 '하프코리언' 이승준의 공백을 완벽하게 메웠다.

6일에도	6/SN+일/NNB+에/JKB+도/JX
그는	그/NP+는/JX
필드골	필드/NNG+골/NNG
11개	11/SN+개/NNB
중	중/NNB
8개를	8/SN+개/NNB+를/JKO
넣는	넣/VV+는/ETM
정확한	정확/NNG+하/XSA+ㄴ/ETM
슈팅을	슈팅/NNG+을/JKO
앞세워	앞세우/VV+어/EC
21점을	21/SN+점/NNB+을/JKO
기록,	기록/NNG+,/SP
종아리	종아리/NNG
부상으로	부상/NNG+으로/JKB
결장한	결장/NNG+하/XSV+ㄴ/ETM
'하프코리언'	'/SS+하프/NNG+코리언/NNG+'/SS
이승준의	이승준/NNP+의/JKG
공백을	공백/NNG+을/JKO
완벽하게	완벽/NNG+하/XSA+게/EC
메웠다.	메우/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.189.5.1
삼성의 성적이 김동욱의 활약 여부에 달려 있다는 얘기가 나올 수밖에 없는 상황이다.

삼성의	삼성/NNP+의/JKG
성적이	성적/NNG+이/JKS
김동욱의	김동욱/NNP+의/JKG
활약	활약/NNG
여부에	여부/NNG+에/JKB
달려	달리/VV+어/EC
있다는	있/VX+다는/ETM
얘기가	얘기/NNG+가/JKS
나올	나오/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.189.5.2
삼성은 광저우 아시안게임 대표팀에 세 명의 주전을 보냈지만 '식스맨' 김동욱이 경기당 평균 14.5점을 넣는 활약을 해 11월 30일까지 10승2패로 선두를 달렸다.

삼성은	삼성/NNP+은/JX
광저우	광저우/NNP
아시안게임	아시안/NNP+게임/NNG
대표팀에	대표/NNG+팀/NNG+에/JKB
세	세/MMN
명의	명/NNB+의/JKG
주전을	주전/NNG+을/JKO
보냈지만	보내/VV+었/EP+지만/EC
'식스맨'	'/SS+식스맨/NNG+'/SS
김동욱이	김동욱/NNP+이/JKS
경기당	경기/NNG+당/XSN
평균	평균/NNG
14.5점을	14/SN+./SP+5/SN+점/NNB+을/JKO
넣는	넣/VV+는/ETM
활약을	활약/NNG+을/JKO
해	하/VV+아/EC
11월	11/SN+월/NNB
30일까지	30/SN+일/NNB+까지/JX
10승2패로	10/SN+승/NNB+2/SN+패/NNB+로/JKB
선두를	선두/NNG+를/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.189.6.1
하지만 대표 선수들이 돌아오고 벤치로 밀려난 김동욱이 12월 29일까지 12게임에서 경기당 평균 6.6점을 넣는 부진을 겪자 삼성은 4위(13승11패)까지 떨어졌다.

하지만	하지만/MAJ
대표	대표/NNG
선수들이	선수/NNG+들/XSN+이/JKS
돌아오고	돌아오/VV+고/EC
벤치로	벤치/NNG+로/JKB
밀려난	밀려나/VV+ㄴ/ETM
김동욱이	김동욱/NNP+이/JKS
12월	12/SN+월/NNB
29일까지	29/SN+일/NNB+까지/JX
12게임에서	12/SN+게임/NNG+에서/JKB
경기당	경기/NNG+당/XSN
평균	평균/NNG
6.6점을	6/SN+./SP+6/SN+점/NNB+을/JKO
넣는	넣/VV+는/ETM
부진을	부진/NNG+을/JKO
겪자	겪/VV+자/EC
삼성은	삼성/NNP+은/JX
4위(13승11패)까지	4/SN+위/NNB+(/SS+13/SN+승/NNB+11/SN+패/NNB+)/SS+까지/JX
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.189.6.2
그러다 최근 주전 포워드 이규섭의 컨디션 난조로 김동욱이 주전 자리를 되찾으며 삼성이 다시 상승세를 타기 시작한 것이다.

그러다	그러/VV+다/EC
최근	최근/MAG
주전	주전/NNG
포워드	포워드/NNG
이규섭의	이규섭/NNP+의/JKG
컨디션	컨디션/NNG
난조로	난조/NNG+로/JKB
김동욱이	김동욱/NNP+이/JKS
자리를	자리/NNG+를/JKO
되찾으며	되찾/VV+으며/EC
삼성이	삼성/NNP+이/JKS
다시	다시/MAG
상승세를	상승세/NNG+를/JKO
타기	타/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.189.7.1
안준호 삼성 감독은 "공수 능력을 모두 갖춘 김동욱이 최근 승리의 숨은 공신"이라며 "지금처럼 묵묵히 해준다면 팀의 플레이오프 진출에 많은 도움이 될 것"이라고 했다.

안준호	안준호/NNP
삼성	삼성/NNP
감독은	감독/NNG+은/JX
"공수	"/SS+공수/NNG
능력을	능력/NNG+을/JKO
모두	모두/MAG
갖춘	갖추/VV+ㄴ/ETM
김동욱이	김동욱/NNP+이/JKS
최근	최근/MAG
승리의	승리/NNG+의/JKG
숨은	숨/VV+은/ETM
공신"이라며	공신/NNG+"/SS+이/VCP+라며/EC
"지금처럼	"/SS+지금/NNG+처럼/JKB
묵묵히	묵묵히/MAG
해준다면	하/VV+아/EC+주/VX+ㄴ다면/EC
팀의	팀/NNG+의/JKG
플레이오프	플레이오프/NNG
진출에	진출/NNG+에/JKB
많은	많/VA+은/ETM
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.189.8.1
전주 경기에선 KCC가 연장 접전 끝에 모비스를 76대73으로 눌렀다.

전주	전주/NNP
경기에선	경기/NNG+에서/JKB+ㄴ/JX
KCC가	KCC/SL+가/JKS
연장	연장/NNG
접전	접전/NNG
끝에	끝/NNG+에/JKB
모비스를	모비스/NNP+를/JKO
76대73으로	76/SN+대/NNB+73/SN+으로/JKB
눌렀다.	누르/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.189.8.2
KCC는 키 221㎝의 '거인' 하승진이 27점에 15리바운드로 골밑을 든든히 지키며 역전승을 일궜다.

KCC는	KCC/SL+는/JX
키	키/NNG
221㎝의	221/SN+㎝/SW+의/JKG
'거인'	'/SS+거인/NNG+'/SS
하승진이	하승진/NNP+이/JKS
27점에	27/SN+점/NNB+에/JKB
15리바운드로	15/SN+리바운드/NNG+로/JKB
골밑을	골/NNG+밑/NNG+을/JKO
든든히	든든히/MAG
지키며	지키/VV+며/EC
역전승을	역전승/NNG+을/JKO
일궜다.	일구/VV+었/EP+다/EF+./SF


