# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.210
metadata : {}


# id : NWRW1800000029.210.1.1
자살 KAIST 교수 논문 국제학술지 표지논문에

자살	자살/NNG
생체재료학회로부터	생체재료학회/NNP+로부터/JKB
‘클렘슨상’	‘/SS+클렘슨/NNP+상/NNG+’/SS
등을	등/NNB+을/JKO
수상해	수상/NNG+하/XSV+아/EC
바이오	바이오/NNG
재료	재료/NNG
분야의	분야/NNG+의/JKG
세계	세계/NNG
최고	최고/NNG
석학으로	석학/NNG+으로/JKB
평가받았지만	평가/NNG+받/XSV+았/EP+지만/EC
연구비	연구비/NNG
유용	유용/NNG
혐의를	혐의/NNG+를/JKO
받게	받/VV+게/EC
되자	되/VV+자/EC
지난달	지난달/NNG
10일	10/SN+일/NNB
대전	대전/NNP
자택에서	자택/NNG+에서/JKB
자살했다.	자살/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.210.8.1
한편 P 교수의 부인인 S 씨는 11일 학내 커뮤니티 사이트에 올린 ‘총장님을 비롯한 모든 KAIST인들께’라는 A4용지 두 장 분량의 글에서 “학자에게 명예와 자존심은 목숨과 같다.

한편	한편/MAG
P	P/SL
교수의	교수/NNG+의/JKG
부인인	부인/NNG+이/VCP+ㄴ/ETM
S	S/SL
씨는	씨/NNB+는/JX
11일	11/SN+일/NNB
학내	학내/NNG
커뮤니티	커뮤니티/NNG
사이트에	사이트/NNG+에/JKB
올린	올리/VV+ㄴ/ETM
‘총장님을	‘/SS+총장/NNG+님/XSN+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
모든	모든/MMN
KAIST인들께’라는	KAIST인/NNG+들/XSN+께/JKB+’/SS+이/VCP+라는/ETM
A4용지	A/SL+4/SN+용지/NNG
두	두/MMN
장	장/NNB
분량의	분량/NNG+의/JKG
글에서	글/NNG+에서/JKB
“학자에게	“/SS+학자/NNG+에게/JKB
명예와	명예/NNG+와/JC
자존심은	자존심/NNG+은/JX
목숨과	목숨/NNG+과/JKB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000029.210.8.2
남편이 모욕감에 힘들어했다”며 비통함을 표시했다.

남편이	남편/NNG+이/JKS
모욕감에	모욕감/NNG+에/JKB
힘들어했다”며	힘들/VA+어/EC+하/VX+았/EP+다/EF+”/SS+며/EC
비통함을	비통/NNG+하/XSA+ㅁ/ETN+을/JKO
표시했다.	표시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.210.8.3
그는 이어 “암묵적으로 교수와 학생들의 동의 아래 시행돼 온 랩(Lab)비 문제는 제도적인 것이었다”며 학교의 구조적 문제를 지적했다.

그는	그/NP+는/JX
이어	이어/MAG
“암묵적으로	“/SS+암묵/NNG+적/XSN+으로/JKB
교수와	교수/NNG+와/JC
학생들의	학생/NNG+들/XSN+의/JKG
동의	동의/NNG
아래	아래/NNG
시행돼	시행/NNG+되/XSV+어/EC
온	오/VX+ㄴ/ETM
랩(Lab)비	랩/NNG+(/SS+Lab/SL+)/SS+비/NA
문제는	문제/NNG+는/JX
제도적인	제도/NNG+적/XSN+이/VCP+ㄴ/ETM
것이었다”며	것/NNB+이/VCP+었/EP+다/EF+”/SS+며/EC
학교의	학교/NNG+의/JKG
구조적	구조/NNG+적/XSN
문제를	문제/NNG+를/JKO
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.210.8.4
또 “KAIST로부터 남편의 일과 관련해 어떤 경위 설명도 듣지 못했다”며 비판했다.

또	또/MAG
“KAIST로부터	“/SS+KAIST/SL+로부터/JKB
남편의	남편/NNG+의/JKG
일과	일/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
어떤	어떤/MMD
경위	경위/NNG
설명도	설명/NNG+도/JX
듣지	듣/VV+지/EC
못했다”며	못하/VX+았/EP+다/EF+”/SS+며/EC
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.210.8.5
그러면서도 “남편이 학생들과 함께하며 학교에서 인정을 받았을 때 가장 빛나고 행복해 보였기 때문에 KAIST를 원망하며 살고 싶지는 않다”고 끝을 맺었다.

그러면서도	그러/VV+면서/EC+도/JX
“남편이	“/SS+남편/NNG+이/JKS
학생들과	학생/NNG+들/XSN+과/JKB
함께하며	함께/MAG+하/XSV+며/EC
학교에서	학교/NNG+에서/JKB
인정을	인정/NNG+을/JKO
받았을	받/VV+았/EP+을/ETM
때	때/NNG
가장	가장/MAG
빛나고	빛나/VV+고/EC
행복해	행복/NNG+하/XSA+아/EC
보였기	보이/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
KAIST를	KAIST/SL+를/JKO
원망하며	원망/NNG+하/XSV+며/EC
살고	살/VV+고/EC
싶지는	싶/VX+지/EC+는/JX
않다”고	않/VX+다/EF+”/SS+고/JKQ
끝을	끝/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


