# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.317
metadata : {}


# id : NWRW1800000025.317.1.1
개인 보증보험 연대보증인 안세워도 된다

개인	개인/NNG
보증계약에	보증/NNG+계약/NNG+에/JKB
연대보증인이	연대/NNG+보증인/NNG+이/JKS
세워져	세우/VV+어/EC+지/VX+어/EC
연대보증에	연대/NNG+보증/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의존도가	의존도/NNG+가/JKS
매우	매우/MAG
높았다”며	높/VA+았/EP+다/EF+”/SS+며/EC
“이번	“/SS+이번/NNG
개선안이	개선안/NNG+이/JKS
시행되면	시행/NNG+되/XSV+면/EC
연대보증을	연대/NNG+보증/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
보증계약이	보증/NNG+계약/NNG+이/JKS
18%가량	18/SN+%/SW+가량/XSN
줄어들	줄어들/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.317.5.1
보증보험은 빚을 대신 갚아줄 보증인을 세우는 대신 보증보험회사에 보험료를 내고 이 회사가 빚보증을 서는 제도다.

보증보험은	보증/NNG+보험/NNG+은/JX
빚을	빚/NNG+을/JKO
대신	대신/NNG
갚아줄	갚/VV+아/EC+주/VX+ㄹ/ETM
보증인을	보증인/NNG+을/JKO
세우는	세우/VV+는/ETM
보증보험회사에	보증/NNG+보험/NNG+회사/NNG+에/JKB
보험료를	보험료/NNG+를/JKO
내고	내/VV+고/EC
이	이/MMD
회사가	회사/NNG+가/JKS
빚보증을	빚보증/NNG+을/JKO
서는	서/VV+는/ETM
제도다.	제도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.317.5.2
하지만 보증보험회사와 보증보험을 맺는 과정에서도 연대보증인을 요구해와 이를 개선해야 한다는 지적이 많았다.

하지만	하지만/MAJ
보증보험회사와	보증/NNG+보험/NNG+회사/NNG+와/JKB
보증보험을	보증/NNG+보험/NNG+을/JKO
맺는	맺/VV+는/ETM
과정에서도	과정/NNG+에서/JKB+도/JX
연대보증인을	연대/NNG+보증인/NNG+을/JKO
요구해와	요구/NNG+하/XSV+아/EC+오/VX+아/EC
이를	이/NP+를/JKO
개선해야	개선/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.317.6.1
개선안에 따르면 개인이 보증보험에 가입할 때는 연대보증제도가 완전히 폐지된다.

개선안에	개선안/NNG+에/JKB
따르면	따르/VV+면/EC
개인이	개인/NNG+이/JKS
보증보험에	보증/NNG+보험/NNG+에/JKB
가입할	가입/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
연대보증제도가	연대/NNG+보증/NNG+제도/NNG+가/JKS
완전히	완전히/MAG
폐지된다.	폐지/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.317.6.2
다만 외상 판매대금에 대한 지급이나 수수료를 비롯한 각종 대금 지급과 관련한 보증보험은 앞으로도 계속 연대보증인을 세워야 한다.

다만	다만/MAG
외상	외상/NNG
판매대금에	판매/NNG+대금/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지급이나	지급/NNG+이나/JC
수수료를	수수료/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
각종	각종/NNG
대금	대금/NNG
지급과	지급/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
보증보험은	보증/NNG+보험/NNG+은/JX
앞으로도	앞/NNG+으로/JKB+도/JX
계속	계속/MAG
연대보증인을	연대/NNG+보증인/NNG+을/JKO
세워야	세우/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.317.7.1
기업 보증계약은 연대보증을 허용하되 연대보증인의 범위를 기업의 대표이사나 이사 및 이들의 배우자나 직계가족 등 해당 회사의 경영과 밀접한 관련이 있는 사람으로 제한하기로 했다.

기업	기업/NNG
보증계약은	보증/NNG+계약/NNG+은/JX
연대보증을	연대/NNG+보증/NNG+을/JKO
허용하되	허용/NNG+하/XSV+되/EC
연대보증인의	연대/NNG+보증인/NNG+의/JKG
범위를	범위/NNG+를/JKO
기업의	기업/NNG+의/JKG
대표이사나	대표/NNG+이사/NNG+나/JC
이사	이사/NNG
및	및/MAG
이들의	이/NP+들/XSN+의/JKG
배우자나	배우자/NNG+나/JC
직계가족	직계/NNG+가족/NNG
등	등/NNB
해당	해당/NNG
회사의	회사/NNG+의/JKG
경영과	경영/NNG+과/JKB
밀접한	밀접/NNG+하/XSA+ㄴ/ETM
관련이	관련/NNG+이/JKS
있는	있/VA+는/ETM
사람으로	사람/NNG+으로/JKB
제한하기로	제한/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.317.7.2
또 기업들이 빌리는 돈 전부에 대해 연대보증을 서는 것이 아니라 기업이 갚을 수 있는 능력을 초과한 금액에 대해서만 연대보증을 세우는 부분연대보증제도가 도입된다.

또	또/MAG
기업들이	기업/NNG+들/XSN+이/JKS
빌리는	빌리/VV+는/ETM
돈	돈/NNG
전부에	전부/NNG+에/JKB
대해	대하/VV+아/EC
연대보증을	연대/NNG+보증/NNG+을/JKO
서는	서/VV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
기업이	기업/NNG+이/JKS
갚을	갚/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
능력을	능력/NNG+을/JKO
초과한	초과/NNG+하/XSV+ㄴ/ETM
금액에	금액/NNG+에/JKB
대해서만	대하/VV+아서/EC+만/JX
세우는	세우/VV+는/ETM
부분연대보증제도가	부분/NNG+연대/NNG+보증/NNG+제도/NNG+가/JKS
도입된다.	도입/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.317.7.3
예를 들어 1000만 원을 갖고 있는 기업이 2000만 원의 빚에 대해 보증계약을 할 때 과거에는 연대보증인이 2000만 원 전부에 대해 보증을 서야 했지만 내년부터는 1000만 원만 보증을 서면 된다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
1000만	1000/SN+만/NR
원을	원/NNB+을/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
기업이	기업/NNG+이/JKS
2000만	2000/SN+만/NR
원의	원/NNB+의/JKG
빚에	빚/NNG+에/JKB
대해	대하/VV+아/EC
보증계약을	보증/NNG+계약/NNG+을/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
과거에는	과거/NNG+에/JKB+는/JX
연대보증인이	연대/NNG+보증인/NNG+이/JKS
원	원/NNB
전부에	전부/NNG+에/JKB
보증을	보증/NNG+을/JKO
서야	서/VV+어야/EC
했지만	하/VX+았/EP+지만/EC
내년부터는	내년/NNG+부터/JX+는/JX
원만	원/NNB+만/JX
서면	서/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.317.7.4
또 금감원과 서울보증보험은 연대보증 대신 높은 보험료를 내고 보증보험계약을 하는 방식의 선택요율제도도 함께 시행할 계획이다.

또	또/MAG
금감원과	금감원/NNG+과/JC
서울보증보험은	서울보증보험/NNP+은/JX
연대보증	연대/NNG+보증/NNG
대신	대신/NNG
높은	높/VA+은/ETM
보험료를	보험료/NNG+를/JKO
내고	내/VV+고/EC
보증보험계약을	보증/NNG+보험/NNG+계약/NNG+을/JKO
하는	하/VV+는/ETM
방식의	방식/NNG+의/JKG
선택요율제도도	선택/NNG+요율/NNG+제도/NNG+도/JX
함께	함께/MAG
시행할	시행/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


