# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.240
metadata : {}


# id : NWRW1800000033.240.1.1
[핀 포인트]축구 ‘전북’ 따로, 지자체 ‘전북’ 따로

[핀	[/SS+핀/NNG
전북은 국내 전역은 물론이고 일본 등 외국 팬들도 찾는 구단이다.

전북은	전북/NNP+은/JX
국내	국내/NNG
전역은	전역/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
일본	일본/NNP
등	등/NNB
외국	외국/NNG
팬들도	팬/NNG+들/XSN+도/JX
찾는	찾/VV+는/ETM
구단이다.	구단/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.240.6.1
전문가들은 글로벌 기업 현대자동차가 ‘전북’이라는 이름을 쓰고 K리그를 주름잡고 있다면 지자체도 그에 상응하는 도움을 줘야 한다고 지적한다.

전문가들은	전문가/NNG+들/XSN+은/JX
글로벌	글로벌/NNG
기업	기업/NNG
현대자동차가	현대자동차/NNP+가/JKS
‘전북’이라는	‘/SS+전북/NNP+’/SS+이/VCP+라는/ETM
이름을	이름/NNG+을/JKO
쓰고	쓰/VV+고/EC
K리그를	K/SL+리그/NNG+를/JKO
주름잡고	주름잡/VV+고/EC
있다면	있/VX+다면/EC
지자체도	지자체/NNG+도/JX
그에	그/NP+에/JKB
상응하는	상응/NNG+하/XSV+는/ETM
도움을	도움/NNG+을/JKO
줘야	주/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


