# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.376
metadata : {}


# id : NWRW1800000025.376.1.1
[연평도 사격훈련 단행]인천∼서해5도 여객선 운항 전면중단

[연평도	[/SS+연평도/NNP
군과의	군/NNG+과/JKB+의/JKG
협의를	협의/NNG+를/JKO
통해	통하/VV+아/EC
결정한다는	결정/NNG+하/XSV+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.376.3.1
또 해경은 서해 ‘특정해역’(국방상 경비 및 어업활동과 관련한 안전사고 예방을 위해 설정된 조업구역)과 강화도 주변 만도리어장에서의 어선들 조업도 통제했다.

또	또/MAG
해경은	해경/NNG+은/JX
서해	서해/NNP
‘특정해역’(국방상	‘/SS+특정/NNG+해역/NNG+’/SS+(/SS+국방/NNG+상/XSN
경비	경비/NNG
및	및/MAG
어업활동과	어업/NNG+활동/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
안전사고	안전사고/NNG
예방을	예방/NNG+을/JKO
위해	위하/VV+아/EC
설정된	설정/NNG+되/XSV+ㄴ/ETM
조업구역)과	조업/NNG+구역/NNG+)/SS+과/JC
강화도	강화도/NNP
주변	주변/NNG
만도리어장에서의	만도리어장/NNP+에서/JKB+의/JKG
어선들	어선/NNG+들/XSN
조업도	조업/NNG+도/JX
통제했다.	통제/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.376.3.2
군과 해경은 북한의 연평도 포격 도발이 발생한 뒤 북한의 해안포 사거리를 벗어나 비교적 안전한 특정해역에서의 조업을 부분적으로 허가해 왔으나 이날 통제범위를 넓힌 것.

군과	군/NNG+과/JC
해경은	해경/NNG+은/JX
북한의	북한/NNP+의/JKG
연평도	연평도/NNP
포격	포격/NNG
도발이	도발/NNG+이/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
해안포	해안포/NNG
사거리를	사거리/NNG+를/JKO
벗어나	벗어나/VV+아/EC
비교적	비교/NNG+적/XSN
안전한	안전/NNG+하/XSA+ㄴ/ETM
특정해역에서의	특정/NNG+해역/NNG+에서/JKB+의/JKG
조업을	조업/NNG+을/JKO
부분적으로	부분/NNG+적/XSN+으로/JKB
허가해	허가/NNG+하/XSV+아/EC
왔으나	오/VX+았/EP+으나/EC
이날	이날/NNG
통제범위를	통제/NNG+범위/NNG+를/JKO
넓힌	넓히/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.376.4.1
이어 북한이 추가 도발할 경우 서해 5도 주민들의 대피를 신속히 지원하기 위해 특공대원을 승선시킨 경비함 6척을 이들 섬 주변 해역에 배치했다.

이어	이어/MAG
북한이	북한/NNP+이/JKS
추가	추가/NNG
도발할	도발/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
서해	서해/NNP
5도	5/SN+도/NNG
주민들의	주민/NNG+들/XSN+의/JKG
대피를	대피/NNG+를/JKO
신속히	신속히/MAG
지원하기	지원/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
특공대원을	특공대원/NNG+을/JKO
승선시킨	승선/NNG+시키/XSV+ㄴ/ETM
경비함	경비함/NNG
6척을	6/SN+척/NNB+을/JKO
이들	이/NP+들/XSN
섬	섬/NNG
주변	주변/NNG
해역에	해역/NNG+에/JKB
배치했다.	배치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.376.4.2
해경은 서해 5도를 관할하는 인천해경에 가장 높은 비상단계인 갑호비상령을, 동해지방해양경찰청과 속초해경에는 을호비상령을 각각 내려 해상경계근무를 강화하도록 지시했다.

해경은	해경/NNG+은/JX
서해	서해/NNP
5도를	5/SN+도/NNG+를/JKO
관할하는	관할/NNG+하/XSV+는/ETM
인천해경에	인천해경/NNP+에/JKB
가장	가장/MAG
높은	높/VA+은/ETM
비상단계인	비상/NNG+단계/NNG+이/VCP+ㄴ/ETM
갑호비상령을,	갑호/NNG+비상령/NNG+을/JKO+,/SP
동해지방해양경찰청과	동해지방해양경찰청/NNP+과/JC
속초해경에는	속초해경/NNP+에/JKB+는/JX
을호비상령을	을호/NNG+비상령/NNG+을/JKO
각각	각각/MAG
내려	내리/VV+어/EC
해상경계근무를	해상/NNG+경계/NNG+근무/NNG+를/JKO
강화하도록	강화/NNG+하/XSV+도록/EC
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.376.5.1
경찰청도 이날 밤 12시까지 북한과 인접한 인천과 서울, 경기, 강원 등 4개 지방경찰청에 을호비상령을 발령했다.

경찰청도	경찰청/NNG+도/JX
이날	이날/NNG
밤	밤/NNG
12시까지	12/SN+시/NNB+까지/JX
북한과	북한/NNP+과/JKB
인접한	인접/NNG+하/XSV+ㄴ/ETM
인천과	인천/NNP+과/JC
서울,	서울/NNP+,/SP
경기,	경기/NNP+,/SP
강원	강원/NNP
등	등/NNB
4개	4/SN+개/NNB
지방경찰청에	지방/NNG+경찰청/NNG+에/JKB
을호비상령을	을호/NNG+비상령/NNG+을/JKO
발령했다.	발령/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.376.5.2
을호비상령이 발령되면 소속 경찰관의 절반이 비상근무에 들어간다.

을호비상령이	을호/NNG+비상령/NNG+이/JKS
발령되면	발령/NNG+되/XSV+면/EC
소속	소속/NNG
경찰관의	경찰관/NNG+의/JKG
절반이	절반/NNG+이/JKS
비상근무에	비상근무/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.376.5.3
경찰청은 비상령이 내려지지 않은 다른 지방청에도 경계를 강화하고, 비상상황이 발생할 경우 즉각 출동할 수 있는 태세를 유지하도록 지시했다.

경찰청은	경찰청/NNG+은/JX
비상령이	비상령/NNG+이/JKS
내려지지	내려지/VV+지/EC
않은	않/VX+은/ETM
다른	다른/MMD
지방청에도	지방청/NNG+에/JKB+도/JX
경계를	경계/NNG+를/JKO
강화하고,	강화/NNG+하/XSV+고/EC+,/SP
비상상황이	비상/NNG+상황/NNG+이/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
즉각	즉각/MAG
출동할	출동/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
태세를	태세/NNG+를/JKO
유지하도록	유지/NNG+하/XSV+도록/EC
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


