# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.143
metadata : {}


# id : NWRW1800000024.143.1.1
속속 드러나는 ‘멕시코 부실대응’

속속	속속/MAG
28일(현지시각)	28/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.143.4.1
영국 일간 <가디언>은 이날 초기 사망자가 다른 바이러스에 감염됐거나, 방역 체계가 부실한 탓에 치료를 제대로 받지 못했을 수 있다고 지적했다.

영국	영국/NNP
일간	일간/NNG
<가디언>은	</SS+가디언/NNP+>/SS+은/JX
이날	이날/NNG
초기	초기/NNG
사망자가	사망자/NNG+가/JKS
다른	다른/MMD
바이러스에	바이러스/NNG+에/JKB
감염됐거나,	감염/NNG+되/XSV+었/EP+거나/EC+,/SP
방역	방역/NNG
체계가	체계/NNG+가/JKS
부실한	부실/NNG+하/XSA+ㄴ/ETM
탓에	탓/NNG+에/JKB
치료를	치료/NNG+를/JKO
제대로	제대로/MAG
받지	받/VV+지/EC
못했을	못하/VX+았/EP+을/ETM
수	수/NNB
있다고	있/VA+다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.143.4.2
이번 돼지인플루엔자가 발생 초기에는 강력했으나, 변종되면서 강도가 약해졌을 가능성도 제기된다.

이번	이번/NNG
돼지인플루엔자가	돼지/NNG+인플루엔자/NNG+가/JKS
발생	발생/NNG
초기에는	초기/NNG+에/JKB+는/JX
강력했으나,	강력/NNG+하/XSA+았/EP+으나/EC+,/SP
변종되면서	변종/NNG+되/XSV+면서/EC
강도가	강도/NNG+가/JKS
약해졌을	약하/VA+아/EC+지/VX+었/EP+을/ETM
가능성도	가능/NNG+성/XSN+도/JX
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.143.5.1
멕시코 정부의 초기 대응 실패도 주요 원인으로 지목된다.

멕시코	멕시코/NNP
정부의	정부/NNG+의/JKG
초기	초기/NNG
대응	대응/NNG
실패도	실패/NNG+도/JX
주요	주요/NNG
원인으로	원인/NNG+으로/JKB
지목된다.	지목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.143.5.2
멕시코 보건당국은 지난 13일 동부 베라크루스주에서 첫 사망자가 나온 뒤에도 2주간 사망자의 가족에게 치료제를 처방하지 않았다.

멕시코	멕시코/NNP
보건당국은	보건/NNG+당국/NNG+은/JX
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
동부	동부/NNG
베라크루스주에서	베라크루스주/NNP+에서/JKB
첫	첫/MMN
사망자가	사망자/NNG+가/JKS
나온	나오/VV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
2주간	2/SN+주/NNB+간/XSN
사망자의	사망자/NNG+의/JKG
가족에게	가족/NNG+에게/JKB
치료제를	치료제/NNG+를/JKO
처방하지	처방/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.143.5.3
대인간 접촉으로 확산되는 이번 돼지인플루엔자의 확산 차단에 결정적 실수를 저지른 것이다.

대인간	대인간/NNG
접촉으로	접촉/NNG+으로/JKB
확산되는	확산/NNG+되/XSV+는/ETM
이번	이번/NNG
돼지인플루엔자의	돼지/NNG+인플루엔자/NNG+의/JKG
확산	확산/NNG
차단에	차단/NNG+에/JKB
결정적	결정/NNG+적/XSN
실수를	실수/NNG+를/JKO
저지른	저지르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.143.5.4
20일 남편이 숨진 한 여성은 사망 원인이 돼지인플루엔자인지도 통보받지 못했다며, “남편이 쓰던 똑같은 침대에서 이불을 덮고 자고 있다”고 말했다고 <에이피>(AP) 통신이 전했다.

20일	20/SN+일/NNB
남편이	남편/NNG+이/JKS
숨진	숨지/VV+ㄴ/ETM
한	한/MMN
여성은	여성/NNG+은/JX
사망	사망/NNG
원인이	원인/NNG+이/JKS
돼지인플루엔자인지도	돼지/NNG+인플루엔자/NNG+이/VCP+ㄴ지/EF+도/JX
통보받지	통보/NNG+받/XSV+지/EC
못했다며,	못하/VX+았/EP+다며/EC+,/SP
“남편이	“/SS+남편/NNG+이/JKS
쓰던	쓰/VV+던/ETM
똑같은	똑같/VA+은/ETM
침대에서	침대/NNG+에서/JKB
이불을	이불/NNG+을/JKO
덮고	덮/VV+고/EC
자고	자/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
<에이피>(AP)	</SS+에이피/NNP+>/SS+(/SS+AP/SL+)/SS
통신이	통신/NNG+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.143.6.1
멕시코에서 돼지인플루엔자는 이미 2개월 전에 최초로 발병한 것으로 27일 확인됐다.

멕시코에서	멕시코/NNP+에서/JKB
돼지인플루엔자는	돼지/NNG+인플루엔자/NNG+는/JX
이미	이미/MAG
2개월	2/SN+개월/NNB
전에	전/NNG+에/JKB
최초로	최초/NNG+로/JKB
발병한	발병/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
27일	27/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.143.6.2
멕시코 보건당국은 이날 지난 2월 베라크루스주 페로테 지역의 4살배기 소년이 돼지인플루엔자로 치료를 받은 뒤 회복된 바 있다고 밝혔다.

멕시코	멕시코/NNP
보건당국은	보건/NNG+당국/NNG+은/JX
이날	이날/NNG
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
베라크루스주	베라크루스주/NNP
페로테	페로테/NNP
지역의	지역/NNG+의/JKG
4살배기	4/SN+살/NNB+배기/XSN
소년이	소년/NNG+이/JKS
돼지인플루엔자로	돼지/NNG+인플루엔자/NNG+로/JKB
치료를	치료/NNG+를/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
회복된	회복/NNG+되/XSV+ㄴ/ETM
바	바/NNB
있다고	있/VA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.143.6.3
하지만 멕시코 당국은 이달 들어 미국 정부가 돼지인플루엔자 발병을 확인한 뒤에야, 이 소년에 대한 정밀검사를 의뢰했다.

하지만	하지만/MAJ
멕시코	멕시코/NNP
당국은	당국/NNG+은/JX
이달	이달/NNG
들어	들/VV+어/EC
미국	미국/NNP
정부가	정부/NNG+가/JKS
돼지인플루엔자	돼지/NNG+인플루엔자/NNG
발병을	발병/NNG+을/JKO
확인한	확인/NNG+하/XSV+ㄴ/ETM
뒤에야,	뒤/NNG+에/JKB+야/JX+,/SP
이	이/MMD
소년에	소년/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정밀검사를	정밀/NNG+검사/NNG+를/JKO
의뢰했다.	의뢰/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.143.6.4
페로테 지역에선 2월부터 전체 주민의 약 60%가 원인을 알 수 없는 병에 걸려 시위까지 벌어졌지만, 계절감기라는 보건당국의 답변만 돌아왔을 뿐이다.

페로테	페로테/NNP
지역에선	지역/NNG+에서/JKB+ㄴ/JX
2월부터	2/SN+월/NNB+부터/JX
전체	전체/NNG
주민의	주민/NNG+의/JKG
약	약/MMA
60%가	60/SN+%/SW+가/JKS
원인을	원인/NNG+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
병에	병/NNG+에/JKB
걸려	걸리/VV+어/EC
시위까지	시위/NNG+까지/JX
벌어졌지만,	벌어지/VV+었/EP+지만/EC+,/SP
계절감기라는	계절/NNG+감기/NNG+이/VCP+라는/ETM
보건당국의	보건/NNG+당국/NNG+의/JKG
답변만	답변/NNG+만/JX
돌아왔을	돌아오/VV+았/EP+을/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.143.7.1
문남권 한국외국어대 서반아어과 교수는 “멕시코는 관료들의 행정이 상당히 느리고, 공적 보건 시스템이 취약한 탓에 진료가 늦고 대기하는 시간이 길어 평소에도 국민들의 불만이 높다”고 말했다.

문남권	문남권/NNP
한국외국어대	한국외국어대/NNP
서반아어과	서반아어/NNG+과/NNG
교수는	교수/NNG+는/JX
“멕시코는	“/SS+멕시코/NNP+는/JX
관료들의	관료/NNG+들/XSN+의/JKG
행정이	행정/NNG+이/JKS
상당히	상당히/MAG
느리고,	느리/VA+고/EC+,/SP
공적	공/NNG+적/XSN
보건	보건/NNG
시스템이	시스템/NNG+이/JKS
취약한	취약/NNG+하/XSA+ㄴ/ETM
탓에	탓/NNG+에/JKB
진료가	진료/NNG+가/JKS
늦고	늦/VA+고/EC
대기하는	대기/NNG+하/XSV+는/ETM
시간이	시간/NNG+이/JKS
길어	길/VA+어/EC
평소에도	평소/NNG+에/JKB+도/JX
국민들의	국민/NNG+들/XSN+의/JKG
불만이	불만/NNG+이/JKS
높다”고	높/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.143.7.2
호세 앙헬 코르도바 멕시코 보건장관은 “인력 부족으로 아직 치료제를 모두 나눠주지 못했고, 이런 종류의 전염병은 사상 최초”라며, 변종 바이러스에 대응하기 어렵다고 말했다.

호세	호세/NNP
앙헬	앙헬/NNP
코르도바	코르도바/NNP
멕시코	멕시코/NNP
보건장관은	보건/NNG+장관/NNG+은/JX
“인력	“/SS+인력/NNG
부족으로	부족/NNG+으로/JKB
아직	아직/MAG
치료제를	치료제/NNG+를/JKO
모두	모두/MAG
나눠주지	나누/VV+어/EC+주/VX+지/EC
못했고,	못하/VX+았/EP+고/EC+,/SP
이런	이런/MMD
종류의	종류/NNG+의/JKG
전염병은	전염병/NNG+은/JX
사상	사상/NNG
최초”라며,	최초/NNG+”/SS+이/VCP+라며/EC+,/SP
변종	변종/NNG
바이러스에	바이러스/NNG+에/JKB
대응하기	대응/NNG+하/XSV+기/ETN
어렵다고	어렵/VA+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


