# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.226
metadata : {}


# id : NWRW1800000025.226.1.1
‘서울대 졸업’ 장애인 23명중 취업 3명뿐

‘서울대	‘/SS+서울대/NNP
씨(법학과·38)는	씨/NNB+(/SS+법학과/NNG+·/SP+38/SN+)/SS+는/JX
졸업과	졸업/NNG+과/JKB
동시에	동시/NNG+에/JKB
유명	유명/NNG
외국계	외국/NNG+계/XSN
기업에	기업/NNG+에/JKB
입사했다.	입사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.226.3.2
이 기업에서 장애인을 고용하기 위해 학과 사무실에 추천해달라고 요청한 것이 기회가 됐다.

이	이/MMD
기업에서	기업/NNG+에서/JKB
장애인을	장애인/NNG+을/JKO
고용하기	고용/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
학과	학과/NNG
사무실에	사무실/NNG+에/JKB
추천해달라고	추천/NNG+하/XSV+아/EC+달/VX+라고/EC
요청한	요청/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
기회가	기회/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.226.3.3
입학할 때부터 나이가 적지 않았던 그는 누구보다 기뻤다.

입학할	입학/NNG+하/XSV+ㄹ/ETM
때부터	때/NNG+부터/JX
나이가	나이/NNG+가/JKS
적지	적/VA+지/EC
않았던	않/VX+았/EP+던/ETM
그는	그/NP+는/JX
누구보다	누구/NP+보다/JKB
기뻤다.	기쁘/VA+었/EP+다/EF+./SF


# id : NWRW1800000025.226.3.4
그러나 A 씨는 입사한 지 1년 만에 회사를 나왔다.

그러나	그러나/MAJ
A	A/SL
씨는	씨/NNB+는/JX
입사한	입사/NNG+하/XSV+ㄴ/ETM
지	지/NNB
1년	1/SN+년/NNB
만에	만/NNB+에/JKB
회사를	회사/NNG+를/JKO
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.226.3.5
그는 “성과를 내기 위해 빨리빨리 일을 해야 하는데 따라가기가 어려웠다”고 말했다.

그는	그/NP+는/JX
“성과를	“/SS+성과/NNG+를/JKO
내기	내/VV+기/ETN
위해	위하/VV+아/EC
빨리빨리	빨리빨리/MAG
일을	일/NNG+을/JKO
해야	하/VV+아야/EC
하는데	하/VX+는데/EC
따라가기가	따라가/VV+기/ETN+가/JKS
어려웠다”고	어렵/VA+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.226.3.6
A 씨는 “회사가 장애인을 뽑기는 했지만 어떤 일을 시키고 어떤 지원을 해야 하는지 몰랐다”며 “실질적으로 똑같이 일할 기회가 없었다”고 덧붙였다.

A	A/SL
씨는	씨/NNB+는/JX
“회사가	“/SS+회사/NNG+가/JKS
장애인을	장애인/NNG+을/JKO
뽑기는	뽑/VV+기/ETN+는/JX
했지만	하/VX+았/EP+지만/EC
어떤	어떤/MMD
일을	일/NNG+을/JKO
시키고	시키/VV+고/EC
지원을	지원/NNG+을/JKO
해야	하/VV+아야/EC
하는지	하/VX+는지/EF
몰랐다”며	모르/VV+았/EP+다/EF+”/SS+며/EC
“실질적으로	“/SS+실질/NNG+적/XSN+으로/JKB
똑같이	똑같이/MAG
일할	일/NNG+하/XSV+ㄹ/ETM
기회가	기회/NNG+가/JKS
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.226.4.1
시각장애인 B 씨(디자인학부)는 웬만큼 큰 글자가 아니면 읽을 수 없다.

시각장애인	시각/NNG+장애인/NNG
B	B/SL
씨(디자인학부)는	씨/NNB+(/SS+디자인/NNG+학부/NNG+)/SS+는/JX
웬만큼	웬만큼/MAG
큰	크/VA+ㄴ/ETM
글자가	글자/NNG+가/JKC
아니면	아니/VCN+면/EC
읽을	읽/VV+을/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000025.226.4.2
그는 졸업 이후 한 대기업에 입사했다.

그는	그/NP+는/JX
졸업	졸업/NNG
이후	이후/NNG
한	한/MMN
대기업에	대/XPN+기업/NNG+에/JKB
입사했다.	입사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.226.4.3
디자인을 전공한 다른 친구들이 박봉에 열악한 근무여건을 감수하는 것에 비하면 감사한 일이었다.

디자인을	디자인/NNG+을/JKO
전공한	전공/NNG+하/XSV+ㄴ/ETM
다른	다른/MMD
친구들이	친구/NNG+들/XSN+이/JKS
박봉에	박봉/NNG+에/JKB
열악한	열악하/VA+ㄴ/ETM
근무여건을	근무/NNG+여건/NNG+을/JKO
감수하는	감수/NNG+하/XSV+는/ETM
것에	것/NNB+에/JKB
비하면	비/NNG+하/XSV+면/EC
감사한	감사/NNG+하/XSA+ㄴ/ETM
일이었다.	일/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.226.4.4
그러나 그 역시 1년 후 퇴사를 결심했다.

그러나	그러나/MAJ
그	그/NP
역시	역시/MAG
1년	1/SN+년/NNB
후	후/NNG
퇴사를	퇴사/NNG+를/JKO
결심했다.	결심/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.226.4.5
매일 이어지는 야근 때문에 눈에 무리가 오면서 더 일을 하기 어렵다고 판단한 것이다.

매일	매일/MAG
이어지는	이어지/VV+는/ETM
야근	야근/NNG
때문에	때문/NNB+에/JKB
눈에	눈/NNG+에/JKB
무리가	무리/NNG+가/JKS
오면서	오/VV+면서/EC
더	더/MAG
일을	일/NNG+을/JKO
하기	하/VV+기/ETN
어렵다고	어렵/VA+다고/EC
판단한	판단/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.226.4.6
B 씨는 “신입사원은 일단 위에서 시키는 걸 해내야 한다.

B	B/SL
씨는	씨/NNB+는/JX
“신입사원은	“/SS+신입/NNG+사원/NNG+은/JX
일단	일단/MAG
위에서	위/NNG+에서/JKB
시키는	시키/VV+는/ETM
걸	거/NNB+ㄹ/JKO
해내야	해내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.226.4.7
몸 상태가 어떻다고 말할 수가 없었다”고 말했다.

몸	몸/NNG
상태가	상태/NNG+가/JKS
어떻다고	어떻/VA+다고/EC
말할	말/NNG+하/XSV+ㄹ/ETM
수가	수/NNB+가/JKS
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.226.5.1
1990년대 장애인 의무고용 제도가 생긴 뒤 의무고용 비율은 계속 높아지고 있다.

1990년대	1990/SN+년대/NNB
장애인	장애인/NNG
의무고용	의무/NNG+고용/NNG
제도가	제도/NNG+가/JKS
생긴	생기/VV+ㄴ/ETM
뒤	뒤/NNG
비율은	비율/NNG+은/JX
계속	계속/MAG
높아지고	높아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.226.5.2
정부는 지난해 국가·지자체의 장애인 의무고용 비율을 2%에서 3%로 확대했고 올해부터는 민간기업의 장애인 의무고용 비율도 2%에서 2.3%로 확대했다.

정부는	정부/NNG+는/JX
지난해	지난해/NNG
국가·지자체의	국가/NNG+·/SP+지자체/NNG+의/JKG
장애인	장애인/NNG
의무고용	의무/NNG+고용/NNG
비율을	비율/NNG+을/JKO
2%에서	2/SN+%/SW+에서/JKB
3%로	3/SN+%/SW+로/JKB
확대했고	확대/NNG+하/XSV+았/EP+고/EC
올해부터는	올해/NNG+부터/JX+는/JX
민간기업의	민간/NNG+기업/NNG+의/JKG
비율도	비율/NNG+도/JX
2.3%로	2/SN+./SP+3/SN+%/SW+로/JKB
확대했다.	확대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.226.5.3
각 기업이 장애인 의무고용 비율을 맞추려고 하기 때문에 장애인의 취업 기회는 늘어났지만 고학력자도 취업 상태를 유지하기는 여전히 어렵다.

각	각/MMD
기업이	기업/NNG+이/JKS
장애인	장애인/NNG
의무고용	의무/NNG+고용/NNG
비율을	비율/NNG+을/JKO
맞추려고	맞추/VV+려고/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
장애인의	장애인/NNG+의/JKG
취업	취업/NNG
기회는	기회/NNG+는/JX
늘어났지만	늘어나/VV+았/EP+지만/EC
고학력자도	고학력자/NNG+도/JX
상태를	상태/NNG+를/JKO
유지하기는	유지/NNG+하/XSV+기/ETN+는/JX
여전히	여전히/MAG
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000025.226.6.1
서창원 서울대 장애학생지원센터 전문위원은 “고학력 장애인은 의지만 있다면 취업 자체가 어렵지는 않다”며 “하지만 아무리 고학력이라도 막상 취업하면 회사 내에서 구체적인 역할을 확보하지 못해 조기 퇴사로 이어진다”고 말했다.

서창원	서창원/NNP
서울대	서울대/NNP
장애학생지원센터	장애학생지원센터/NNP
전문위원은	전문/NNG+위원/NNG+은/JX
“고학력	“/SS+고/XPN+학력/NNG
장애인은	장애인/NNG+은/JX
의지만	의지/NNG+만/JX
있다면	있/VA+다면/EC
취업	취업/NNG
자체가	자체/NNG+가/JKS
어렵지는	어렵/VA+지/EC+는/JX
않다”며	않/VX+다/EF+”/SS+며/EC
“하지만	“/SS+하지만/MAJ
아무리	아무리/MAG
고학력이라도	고/XPN+학력/NNG+이라도/JX
막상	막상/MAG
취업하면	취업/NNG+하/XSV+면/EC
회사	회사/NNG
내에서	내/NNB+에서/JKB
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
역할을	역할/NNG+을/JKO
확보하지	확보/NNG+하/XSV+지/EC
못해	못하/VX+아/EC
조기	조기/NNG
퇴사로	퇴사/NNG+로/JKB
이어진다”고	이어지/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.226.7.1
장애인들은 “취업을 하고 싶어도 일을 계속할 수 있을까라는 걱정 때문에 애초에 포기하는 경우도 많다”고 말한다.

장애인들은	장애인/NNG+들/XSN+은/JX
“취업을	“/SS+취업/NNG+을/JKO
하고	하/VV+고/EC
싶어도	싶/VX+어도/EC
일을	일/NNG+을/JKO
계속할	계속/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을까라는	있/VA+을까/EF+이/VCP+라는/ETM
걱정	걱정/NNG
때문에	때문/NNB+에/JKB
애초에	애초/NNG+에/JKB
포기하는	포기/NNG+하/XSV+는/ETM
경우도	경우/NNG+도/JX
많다”고	많/VA+다/EF+”/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.226.7.2
이번 조사에서도 23명 중 6명이 진로를 고민하고 있었다.

이번	이번/NNG
조사에서도	조사/NNG+에서/JKB+도/JX
23명	23/SN+명/NNB
중	중/NNB
6명이	6/SN+명/NNB+이/JKS
진로를	진로/NNG+를/JKO
고민하고	고민/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.226.7.3
전문가들은 장애인에게 기회를 주기 위한 대입 특별전형이 발전하기 위해서는 선발 혜택에 그쳐서는 안 된다고 지적한다.

전문가들은	전문가/NNG+들/XSN+은/JX
장애인에게	장애인/NNG+에게/JKB
기회를	기회/NNG+를/JKO
주기	주/VV+기/ETN
위한	위하/VV+ㄴ/ETM
대입	대입/NNG
특별전형이	특별/NNG+전형/NNG+이/JKS
발전하기	발전/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
선발	선발/NNG
혜택에	혜택/NNG+에/JKB
그쳐서는	그치/VV+어서/EC+는/JX
안	안/MAG
된다고	되/VV+ㄴ다고/EC
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.226.7.4
김종인 나사렛대 교수(인간재활학)는 “대졸 이상 장애인 대다수가 학력 수준에 맞는 직종을 택하지 못하고 있다”며 “대학에서 진로 지도를 강화하고 대학과 사업체의 연계 방안을 개발해야 한다”고 말했다.

김종인	김종인/NNP
나사렛대	나사렛대/NNP
교수(인간재활학)는	교수/NNG+(/SS+인간/NNG+재활학/NNG+)/SS+는/JX
“대졸	“/SS+대졸/NNG
이상	이상/NNG
장애인	장애인/NNG
대다수가	대/XPN+다수/NNG+가/JKS
학력	학력/NNG
수준에	수준/NNG+에/JKB
맞는	맞/VV+는/ETM
직종을	직종/NNG+을/JKO
택하지	택하/VV+지/EC
못하고	못하/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“대학에서	“/SS+대학/NNG+에서/JKB
진로	진로/NNG
지도를	지도/NNG+를/JKO
강화하고	강화/NNG+하/XSV+고/EC
대학과	대학/NNG+과/JC
사업체의	사업체/NNG+의/JKG
연계	연계/NNG
방안을	방안/NNG+을/JKO
개발해야	개발/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


