# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.414
metadata : {}


# id : NWRW1800000036.414.1.1
“과학기술 기반 일자리 창출”…박근혜, 창조경제론 제시

“과학기술	“/SS+과학/NNG+기술/NNG
패러다임으로	패러다임/NNG+으로/JKB
창조경제론을	창조/NNG+경제/NNG+론/XSN+을/JKO
제안한다”며	제안/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
미래창조과학부	미래/NNG+창조/NNG+과학부/NNG
신설,	신설/NNG+,/SP
소프트웨어산업	소프트웨어/NNG+산업/NNG
육성,	육성/NNG+,/SP
개방·공유형	개방/NNG+·/SP+공유/NNG+형/XSN
‘창조정부’	‘/SS+창조/NNG+정부/NNG+’/SS
구현,	구현/NNG+,/SP
벤처기업	벤처/NNG+기업/NNG
국외	국외/NNG
진출	진출/NNG
및	및/MAG
젊은층의	젊/VA+은/ETM+층/NNG+의/JKG
취업	취업/NNG
장려	장려/NNG
등을	등/NNB+을/JKO
공약으로	공약/NNG+으로/JKB
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.414.7.2
박 후보는 “창조경제를 통해 경제체질을 다른 나라를 따라가는 ‘추격형’에서 다른 나라에 앞서가는 ‘선도형’으로 바꾸겠다”고 말했다.

박	박/NNP
후보는	후보/NNG+는/JX
“창조경제를	“/SS+창조/NNG+경제/NNG+를/JKO
통해	통하/VV+아/EC
경제체질을	경제/NNG+체질/NNG+을/JKO
다른	다른/MMD
나라를	나라/NNG+를/JKO
따라가는	따라가/VV+는/ETM
‘추격형’에서	‘/SS+추격/NNG+형/XSN+’/SS+에서/JKB
나라에	나라/NNG+에/JKB
앞서가는	앞서/VV+어/EC+가/VV+는/ETM
‘선도형’으로	‘/SS+선도/NNG+형/XSN+’/SS+으로/JKB
바꾸겠다”고	바꾸/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.414.8.1
박 후보는 관광산업과의 융합을 창조경제론의 사례로 제시했다.

박	박/NNP
후보는	후보/NNG+는/JX
관광산업과의	관광/NNG+산업/NNG+과/JKB+의/JKG
융합을	융합/NNG+을/JKO
창조경제론의	창조/NNG+경제/NNG+론/XSN+의/JKG
사례로	사례/NNG+로/JKB
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.414.8.2
특수안경을 착용하고 경복궁을 관람하면 안경에 왕·왕비 등이 나오는 3차원 가상현실이 구현돼 조선시대를 실체로 체험할 수 있다는 내용이다.

특수안경을	특수/NNG+안경/NNG+을/JKO
착용하고	착용/NNG+하/XSV+고/EC
경복궁을	경복궁/NNP+을/JKO
관람하면	관람/NNG+하/XSV+면/EC
안경에	안경/NNG+에/JKB
왕·왕비	왕/NNG+·/SP+왕비/NNG
등이	등/NNB+이/JKS
나오는	나오/VV+는/ETM
3차원	3/SN+차원/NNG
가상현실이	가상/NNG+현실/NNG+이/JKS
구현돼	구현/NNG+되/XSV+어/EC
조선시대를	조선시대/NNG+를/JKO
실체로	실체/NNG+로/JKB
체험할	체험/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.414.8.3
그러나 산업적 관점에서 접근하다 보니, 새누리당이 그동안 강조했던 경제민주화나 복지 등의 주제가 사라졌다는 비판도 나온다.

그러나	그러나/MAJ
산업적	산업/NNG+적/XSN
관점에서	관점/NNG+에서/JKB
접근하다	접근/NNG+하/XSV+다/EC
보니,	보/VX+니/EC+,/SP
새누리당이	새누리당/NNP+이/JKS
그동안	그동안/NNG
강조했던	강조/NNG+하/XSV+았/EP+던/ETM
경제민주화나	경제/NNG+민주/NNG+화/XSN+나/JC
복지	복지/NNG
등의	등/NNB+의/JKG
주제가	주제/NNG+가/JKS
사라졌다는	사라지/VV+었/EP+다는/ETM
비판도	비판/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.414.9.1
문재인 ‘공정경제’

문재인	문재인/NNP
‘공정경제’	‘/SS+공정/NNG+경제/NNG+’/SS


# id : NWRW1800000036.414.10.1
성장·일자리·경제민주화

성장·일자리·경제민주화	성장/NNG+·/SP+일자리/NNG+·/SP+경제/NNG+민주/NNG+화/XSN


# id : NWRW1800000036.414.11.1
‘4두마차 경제론’으로 구체화

‘4두마차	‘/SS+4두마차/NNG
경제론’으로	경제/NNG+론/XSN+’/SS+으로/JKB
구체화	구체/NNG+화/XSN


# id : NWRW1800000036.414.12.1
“성장동력·미래비전 약하다”

“성장동력·미래비전	“/SS+성장/NNG+동력/NNG+·/SP+미래/NNG+비전/NNG
약하다”	약하/VA+다/EF+”/SS


# id : NWRW1800000036.414.13.1
문재인 후보 경제론의 열쇳말은 ‘공정경제’다.

문재인	문재인/NNP
후보	후보/NNG
경제론의	경제/NNG+론/XSN+의/JKG
열쇳말은	열쇳말/NNG+은/JX
‘공정경제’다.	‘/SS+공정/NNG+경제/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000036.414.13.2
문 후보는 경제력 집중과 이로 인한 사회 양극화를 완화하기 위해선 공정한 시장경제 질서가 우선 확립되어야 한다고 본다.

문	문/NNP
후보는	후보/NNG+는/JX
경제력	경제력/NNG
집중과	집중/NNG+과/JC
이로	이/NP+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
사회	사회/NNG
양극화를	양극/NNG+화/XSN+를/JKO
완화하기	완화/NNG+하/XSV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
공정한	공정/NNG+하/XSA+ㄴ/ETM
시장경제	시장/NNG+경제/NNG
질서가	질서/NNG+가/JKS
우선	우선/MAG
확립되어야	확립/NNG+되/XSV+어야/EC
한다고	하/VX+ㄴ다고/EC
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.414.13.3
그런 환경 위에서 국민경제 구성원 모두의 지속가능한 성장 토대가 마련되고, 성장 과실이 고루 분배될 수 있다고 보는 것이다.

그런	그런/MMD
환경	환경/NNG
위에서	위/NNG+에서/JKB
국민경제	국민/NNG+경제/NNG
구성원	구성원/NNG
모두의	모두/NNG+의/JKG
지속가능한	지속/NNG+가능/NNG+하/XSA+ㄴ/ETM
성장	성장/NNG
토대가	토대/NNG+가/JKS
마련되고,	마련/NNG+되/XSV+고/EC+,/SP
과실이	과실/NNG+이/JKS
고루	고루/MAG
분배될	분배/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
보는	보/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.414.13.4
문 후보 쪽 경제 기조는, 성장·일자리·복지·경제민주화가 함께 가는 ‘4두마차 경제론’으로 구체화됐다.

문	문/NNP
후보	후보/NNG
쪽	쪽/NNB
경제	경제/NNG
기조는,	기조/NNG+는/JX+,/SP
성장·일자리·복지·경제민주화가	성장/NNG+·/SP+일자리/NNG+·/SP+복지/NNG+·/SP+경제/NNG+민주/NNG+화/XSN+가/JKS
함께	함께/MAG
가는	가/VV+는/ETM
‘4두마차	‘/SS+4두마차/NNG
경제론’으로	경제/NNG+론/XSN+’/SS+으로/JKB
구체화됐다.	구체/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.414.13.5
문 후보는 재벌 지배구조 개선, 부자감세 철회, 복지 투자 강화 등 경제민주화 및 새로운 복지를 위한 정책을 내놓고 있다.

문	문/NNP
후보는	후보/NNG+는/JX
재벌	재벌/NNG
지배구조	지배/NNG+구조/NNG
개선,	개선/NNG+,/SP
부자감세	부자/NNG+감세/NNG
철회,	철회/NNG+,/SP
복지	복지/NNG
투자	투자/NNG
강화	강화/NNG
등	등/NNB
경제민주화	경제/NNG+민주/NNG+화/XSN
및	및/MAG
새로운	새롭/VA+ㄴ/ETM
복지를	복지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
정책을	정책/NNG+을/JKO
내놓고	내놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.414.13.6
그러나 다른 두 후보에 비해 상대적으로 성장동력이나 미래비전이 약하다는 지적이 있다.

그러나	그러나/MAJ
다른	다른/MMD
두	두/MMN
후보에	후보/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
성장동력이나	성장/NNG+동력/NNG+이나/JC
미래비전이	미래/NNG+비전/NNG+이/JKS
약하다는	약하/VA+다는/ETM
지적이	지적/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.414.14.1
안철수 ‘혁신경제’

안철수	안철수/NNP
‘혁신경제’	‘/SS+혁신/NNG+경제/NNG+’/SS


# id : NWRW1800000036.414.15.1
경제민주화·복지+혁신경제

경제민주화·복지+혁신경제	경제/NNG+민주/NNG+화/XSN+·/SP+복지/NNG++/SW+혁신/NNG+경제/NNG


# id : NWRW1800000036.414.16.1
‘두바퀴 경제’의 선순환 강조

‘두바퀴	‘/SS+두/MMN+바퀴/NNG
경제’의	경제/NNG+’/SS+의/JKG
선순환	선순환/NNG
강조	강조/NNG


# id : NWRW1800000036.414.17.1
“큰 그림뿐 구체성 떨어진다”

“큰	“/SS+크/VA+ㄴ/ETM
그림뿐	그림/NNG+뿐/JX
구체성	구체/NNG+성/XSN
떨어진다”	떨어지/VV+ㄴ다/EF+”/SS


# id : NWRW1800000036.414.18.1
안철수 후보는 혁신경제론을 내세운다.

안철수	안철수/NNP
후보는	후보/NNG+는/JX
혁신경제론을	혁신/NNG+경제/NNG+론/XSN+을/JKO
내세운다.	내세우/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.414.18.2
경제민주화와 복지가 한 바퀴를, 혁신경제가 다른 한 바퀴를 이루고 이를 일자리 창출이라는 체인으로 연결하는 ‘두 바퀴 경제’를 통해 선순환의 경제시스템을 만들겠다는 것이 혁신경제론의 핵심 개념이다.

경제민주화와	경제/NNG+민주/NNG+화/XSN+와/JC
복지가	복지/NNG+가/JKS
한	한/MMN
바퀴를,	바퀴/NNG+를/JKO+,/SP
혁신경제가	혁신/NNG+경제/NNG+가/JKS
다른	다른/MMD
바퀴를	바퀴/NNG+를/JKO
이루고	이루/VV+고/EC
이를	이/NP+를/JKO
일자리	일자리/NNG
창출이라는	창출/NNG+이/VCP+라는/ETM
체인으로	체인/NNG+으로/JKB
연결하는	연결/NNG+하/XSV+는/ETM
‘두	‘/SS+두/MMN
바퀴	바퀴/NNG
경제’를	경제/NNG+’/SS+를/JKO
통해	통하/VV+아/EC
선순환의	선순환/NNG+의/JKG
경제시스템을	경제/NNG+시스템/NNG+을/JKO
만들겠다는	만들/VV+겠/EP+다는/ETM
것이	것/NNB+이/JKS
혁신경제론의	혁신/NNG+경제/NNG+론/XSN+의/JKG
핵심	핵심/NNG
개념이다.	개념/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.414.18.3
안 후보는 지역을 방문할 때도 전략적으로 혁신경제의 성공사례로 꼽을 수 있는 기업과 교육기관, 사회적 기업을 찾는다.

안	안/NNP
후보는	후보/NNG+는/JX
지역을	지역/NNG+을/JKO
방문할	방문/NNG+하/XSV+ㄹ/ETM
때도	때/NNG+도/JX
전략적으로	전략/NNG+적/XSN+으로/JKB
혁신경제의	혁신/NNG+경제/NNG+의/JKG
성공사례로	성공/NNG+사례/NNG+로/JKB
꼽을	꼽/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
기업과	기업/NNG+과/JC
교육기관,	교육/NNG+기관/NNG+,/SP
사회적	사회/NNG+적/XSN
기업을	기업/NNG+을/JKO
찾는다.	찾/VV+는다/EF+./SF


# id : NWRW1800000036.414.18.4
안 후보의 경제 관련 공약은 큰 그림은 있되 모호하고 구체성이 떨어진다는 지적을 받고 있다.

안	안/NNP
후보의	후보/NNG+의/JKG
경제	경제/NNG
관련	관련/NNG
공약은	공약/NNG+은/JX
큰	크/VA+ㄴ/ETM
그림은	그림/NNG+은/JX
있되	있/VA+되/EC
모호하고	모호하/VA+고/EC
구체성이	구체/NNG+성/XSN+이/JKS
떨어진다는	떨어지/VV+ㄴ다는/ETM
지적을	지적/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.414.19.1
지난 16일부터 18일까지 사흘간 <문화방송>(MBC) 라디오 ‘시선집중’을 통해 김종인 새누리당 국민행복추진위원장, 문재인 민주당 후보 캠프에서 경제민주화위원장을 맡고 있는 이정우 경북대 교수, 안철수 대선 후보 쪽의 경제정책을 총괄하는 장하성 고려대 교수 등 세 후보 쪽 경제정책통들과 각각 토론한 김상조 한성대 교수(경제개혁연대소장)는 세 후보의 경제정책에 대해 “박 후보의 정책은 다른 버전의 성장론으로 경제민주화와 복지 담론이 담겨 있지 않아 과거 ‘줄푸세’ 공약을 폐기한 것인지 불투명하다”고 비판했다.

지난	지나/VV+ㄴ/ETM
16일부터	16/SN+일/NNB+부터/JX
18일까지	18/SN+일/NNB+까지/JX
사흘간	사흘/NNG+간/XSN
<문화방송>(MBC)	</SS+문화방송/NNP+>/SS+(/SS+MBC/SL+)/SS
라디오	라디오/NNG
‘시선집중’을	‘/SS+시선/NNG+집중/NNG+’/SS+을/JKO
통해	통하/VV+아/EC
김종인	김종인/NNP
새누리당	새누리당/NNP
국민행복추진위원장,	국민/NNG+행복/NNG+추진/NNG+위원장/NNG+,/SP
문재인	문재인/NNP
민주당	민주당/NNP
후보	후보/NNG
캠프에서	캠프/NNG+에서/JKB
경제민주화위원장을	경제/NNG+민주/NNG+화/XSN+위원장/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
이정우	이정우/NNP
경북대	경북대/NNP
교수,	교수/NNG+,/SP
안철수	안철수/NNP
대선	대선/NNG
쪽의	쪽/NNB+의/JKG
경제정책을	경제/NNG+정책/NNG+을/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
장하성	장하성/NNP
고려대	고려대/NNP
교수	교수/NNG
등	등/NNB
세	세/MMN
쪽	쪽/NNB
경제정책통들과	경제/NNG+정책통/NNG+들/XSN+과/JKB
각각	각각/MAG
토론한	토론/NNG+하/XSV+ㄴ/ETM
김상조	김상조/NNP
한성대	한성대/NNP
교수(경제개혁연대소장)는	교수/NNG+(/SS+경제/NNG+개혁/NNG+연대/NNG+소장/NNG+)/SS+는/JX
후보의	후보/NNG+의/JKG
경제정책에	경제/NNG+정책/NNG+에/JKB
대해	대하/VV+아/EC
“박	“/SS+박/NNP
정책은	정책/NNG+은/JX
다른	다른/MMD
버전의	버전/NNG+의/JKG
성장론으로	성장/NNG+론/XSN+으로/JKB
경제민주화와	경제/NNG+민주/NNG+화/XSN+와/JC
복지	복지/NNG
담론이	담론/NNG+이/JKS
담겨	담기/VV+어/EC
있지	있/VX+지/EC
않아	않/VX+아/EC
과거	과거/NNG
‘줄푸세’	‘/SS+줄푸세/NNG+’/SS
공약을	공약/NNG+을/JKO
폐기한	폐기/NNG+하/XSV+ㄴ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EC
불투명하다”고	불/XPN+투명/NNG+하/XSA+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.414.19.2
또 김 교수는 문 후보의 정책에 대해서는 “대부분의 메뉴를 두루 다루고 있으나 완벽한 통합이 이뤄지지 않았다”는 점을 지적했다.

또	또/MAG
김	김/NNP
교수는	교수/NNG+는/JX
문	문/NNP
후보의	후보/NNG+의/JKG
정책에	정책/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“대부분의	“/SS+대/XPN+부분/NNG+의/JKG
메뉴를	메뉴/NNG+를/JKO
두루	두루/MAG
다루고	다루/VV+고/EC
있으나	있/VX+으나/EC
완벽한	완벽/NNG+하/XSA+ㄴ/ETM
통합이	통합/NNG+이/JKS
이뤄지지	이뤄지/VV+지/EC
않았다”는	않/VX+았/EP+다/EF+”/SS+는/ETM
점을	점/NNG+을/JKO
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.414.19.3
또 안 후보 정책에 대해서는 “여러 사람들이 모여 정책을 내놓기는 했으나 정치경험이 없다”는 이유로 실현 가능성에 의문을 제기하기도 했다.

또	또/MAG
안	안/NNP
후보	후보/NNG
정책에	정책/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“여러	“/SS+여러/MMN
사람들이	사람/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
정책을	정책/NNG+을/JKO
내놓기는	내놓/VV+기/ETN+는/JX
했으나	하/VX+았/EP+으나/EC
정치경험이	정치/NNG+경험/NNG+이/JKS
없다”는	없/VA+다/EF+”/SS+는/ETM
이유로	이유/NNG+로/JKB
실현	실현/NNG
가능성에	가능/NNG+성/XSN+에/JKB
의문을	의문/NNG+을/JKO
제기하기도	제기/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


