# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.259
metadata : {}


# id : NWRW1800000030.259.1.1
[조선일보에 비친 ‘모던 조선’] (28) 열차에 뛰어들어 자살한 동성연애 커플

[조선일보에	[/SS+조선일보/NNP+에/JKB
가정과	가정/NNG+과/JC
학창생활	학창/NNG+생활/NNG
등을	등/NNB+을/JKO
조목조목	조목조목/MAG
따졌다.	따지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.259.4.3
기사는 '출가 후의 고민' '저급한 통속소설 탐독' ' 미국풍에 침윤' 되는 등 당시 인텔리 여성들의 생활상을 자세히 살피면서 자살의 배경과 문제점을 짚었다.

기사는	기사/NNG+는/JX
'출가	'/SS+출가/NNG
후의	후/NNG+의/JKG
고민'	고민/NNG+'/SS
'저급한	'/SS+저급/NNG+하/XSA+ㄴ/ETM
통속소설	통속/NNG+소설/NNG
탐독'	탐독/NNG+'/SS
'	'/SS
미국풍에	미국/NNP+풍/XSN+에/JKB
침윤'	침윤/NNG+'/SS
되는	되/VV+는/ETM
등	등/NNB
당시	당시/NNG
인텔리	인텔리/NNG
여성들의	여성/NNG+들/XSN+의/JKG
생활상을	생활상/NNG+을/JKO
자세히	자세히/MAG
살피면서	살피/VV+면서/EC
자살의	자살/NNG+의/JKG
배경과	배경/NNG+과/JC
문제점을	문제점/NNG+을/JKO
짚었다.	짚/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.259.5.1
조선일보는 또 '부인난(婦人欄)'에선 '철로(鐵路) 우에 쓰러진 젊은 두 가인(佳人)/그들의 죽엄을 어떻케 보나'라는 기획 기사도 실었다.

조선일보는	조선일보/NNP+는/JX
또	또/MAG
'부인난(婦人欄)'에선	'/SS+부인/NNG+난/NNG+(/SS+婦人欄/SH+)/SS+'/SS+에서/JKB+ㄴ/JX
'철로(鐵路)	'/SS+철로/NNG+(/SS+鐵路/SH+)/SS
우에	우/NNG+에/JKB
쓰러진	쓰러지/VV+ㄴ/ETM
젊은	젊/VA+은/ETM
두	두/MMN
가인(佳人)/그들의	가인/NNG+(/SS+佳人/SH+)/SS+//SP+그/NP+들/XSN+의/JKG
죽엄을	죽엄/NNG+을/JKO
어떻케	어떻/VA+케/EC
보나'라는	보/VV+나/EF+'/SS+이/VCP+라는/ETM
기획	기획/NNG
기사도	기사/NNG+도/JX
실었다.	싣/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.259.5.2
숙명여고 교사 김영환(金永煥)은 "그들의 죽음은 너무 이기적"이라고 비난했고, 변호사 이인(李仁)도 "건전한 자의 행동은 아니다"고 일침을 놓았다.

숙명여고	숙명여고/NNP
교사	교사/NNG
김영환(金永煥)은	김영환/NNP+(/SS+金永煥/SH+)/SS+은/JX
"그들의	"/SS+그/NP+들/XSN+의/JKG
죽음은	죽음/NNG+은/JX
너무	너무/MAG
이기적"이라고	이기/NNG+적/XSN+"/SS+이라고/JKQ
비난했고,	비난/NNG+하/XSV+았/EP+고/EC+,/SP
변호사	변호사/NNG
이인(李仁)도	이인/NNP+(/SS+李仁/SH+)/SS+도/JX
"건전한	"/SS+건전/NNG+하/XSA+ㄴ/ETM
자의	자/NNB+의/JKG
행동은	행동/NNG+은/JX
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
일침을	일침/NNG+을/JKO
놓았다.	놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.259.5.3
그러나 이화여고 교사 김창제(金昶濟)는 "찬미할 것은 못 되지만, 경솔하다는 정면 공격은 금물"이라며 동정을 보였다.

그러나	그러나/MAJ
이화여고	이화여고/NNP
교사	교사/NNG
김창제(金昶濟)는	김창제/NNP+(/SS+金昶濟/SH+)/SS+는/JX
"찬미할	"/SS+찬미/NNG+하/XSV+ㄹ/ETM
것은	것/NNB+은/JX
못	못/MAG
되지만,	되/VV+지만/EC+,/SP
경솔하다는	경솔/NNG+하/XSA+다는/ETM
정면	정면/NNG
공격은	공격/NNG+은/JX
금물"이라며	금물/NNG+"/SS+이/VCP+라며/EC
동정을	동정/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.259.5.4
조선일보는 같은 난에서 "자살은 기실 아무것도 해결치 못하는 것"이라며 "자살할 수 있는 힘으로 자기와 자기와 같은 처지에 놓인 사람을 위해 싸우는 길이 곧 인생의 길이요 의무"라며 '자살불가'를 외쳤다.

조선일보는	조선일보/NNP+는/JX
같은	같/VA+은/ETM
난에서	난/NNG+에서/JKB
"자살은	"/SS+자살/NNG+은/JX
기실	기실/MAG
아무것도	아무것/NNG+도/JX
해결치	해결/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"자살할	"/SS+자살/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
힘으로	힘/NNG+으로/JKB
자기와	자기/NNG+와/JKB
처지에	처지/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
사람을	사람/NNG+을/JKO
위해	위하/VV+아/EC
싸우는	싸우/VV+는/ETM
길이	길/NNG+이/JKS
곧	곧/MAG
인생의	인생/NNG+의/JKG
길이요	길/NNG+이/VCP+요/EC
의무"라며	의무/NNG+"/SS+이/VCP+라며/EC
'자살불가'를	'/SS+자살/NNG+불가/NNG+'/SS+를/JKO
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.259.6.1
봄날 달리는 열차에 뛰어든 두 신여성은 오랫동안 강요되어 온 결혼관이 변화되고 있음을 보여주는 상징이었다.

봄날	봄날/NNG
달리는	달리/VV+는/ETM
열차에	열차/NNG+에/JKB
뛰어든	뛰어들/VV+ㄴ/ETM
두	두/MMN
신여성은	신/XPN+여성/NNG+은/JX
오랫동안	오랫동안/NNG
강요되어	강요/NNG+되/XSV+어/EC
온	오/VX+ㄴ/ETM
결혼관이	결혼관/NNG+이/JKS
변화되고	변화/NNG+되/XSV+고/EC
있음을	있/VX+음/ETN+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
상징이었다.	상징/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.259.6.2
아울러 이성과의 자연스러운 교제가 막힌 상황에서 새로운 문물을 배우려는 신여성들이 기숙사 생활을 하면서 자연스럽게 동성애에 빠졌고, 또 만연했음도 보여준다.

아울러	아울러/MAG
이성과의	이성/NNG+과/JKB+의/JKG
자연스러운	자연/NNG+스럽/XSA+ㄴ/ETM
교제가	교제/NNG+가/JKS
막힌	막히/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
새로운	새롭/VA+ㄴ/ETM
문물을	문물/NNG+을/JKO
배우려는	배우/VV+려는/ETM
신여성들이	신/XPN+여성/NNG+들/XSN+이/JKS
기숙사	기숙사/NNG
생활을	생활/NNG+을/JKO
하면서	하/VV+면서/EC
자연스럽게	자연/NNG+스럽/XSA+게/EC
동성애에	동성애/NNG+에/JKB
빠졌고,	빠지/VV+었/EP+고/EC+,/SP
또	또/MAG
만연했음도	만연/NNG+하/XSV+았/EP+음/ETN+도/JX
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.259.6.3
물론 당시의 자료 등을 통해 보면 자살한 두 여성의 '동성연애'는 육체적인 것이라기보다는 '플라토닉 러브'였을 것으로 보인다.

물론	물론/MAG
당시의	당시/NNG+의/JKG
자료	자료/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
보면	보/VV+면/EC
자살한	자살/NNG+하/XSV+ㄴ/ETM
두	두/MMN
여성의	여성/NNG+의/JKG
'동성연애'는	'/SS+동성연애/NNG+'/SS+는/JX
육체적인	육체/NNG+적/XSN+이/VCP+ㄴ/ETM
것이라기보다는	것/NNB+이/VCP+라기/ETN+보다/JKB+는/JX
'플라토닉	'/SS+플라토닉/NNG
러브'였을	러브/NNG+'/SS+이/VCP+었/EP+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


