# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.64
metadata : {}


# id : NWRW1800000052.64.1.1
휴대폰요금 ‘호갱’ 탈피 5계명

휴대폰요금	휴대폰/NNG+요금/NNG
하지만 정부는 이를 해결해 국민들의 가계통신비 부담을 줄이는 정책 추진에 소극적이다.

하지만	하지만/MAJ
정부는	정부/NNG+는/JX
이를	이/NP+를/JKO
해결해	해결/NNG+하/XSV+아/EC
국민들의	국민/NNG+들/XSN+의/JKG
가계통신비	가계/NNG+통신비/NNG
부담을	부담/NNG+을/JKO
줄이는	줄이/VV+는/ETM
정책	정책/NNG
추진에	추진/NNG+에/JKB
소극적이다.	소극/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000052.64.6.1
스스로 호갱 처지에서 벗어나는 손쉬운 방법은 이통사 고객센터로 전화를 걸어 최근 몇달치 음성통화·데이터·문자메시지 이용량을 살펴 현재 가입한 요금제가 적정한지를 점검해달라고 하는 것이다.

스스로	스스로/MAG
호갱	호갱/NNG
처지에서	처지/NNG+에서/JKB
벗어나는	벗어나/VV+는/ETM
손쉬운	손쉽/VA+ㄴ/ETM
방법은	방법/NNG+은/JX
이통사	이통사/NNG
고객센터로	고객/NNG+센터/NNG+로/JKB
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
최근	최근/NNG
몇달치	몇/NR+달/NNB+치/NNB
음성통화·데이터·문자메시지	음성/NNG+통화/NNG+·/SP+데이터/NNG+·/SP+문자/NNG+메시지/NNG
이용량을	이용량/NNG+을/JKO
살펴	살피/VV+어/EC
현재	현재/MAG
가입한	가입/NNG+하/XSV+ㄴ/ETM
요금제가	요금/NNG+제/XSN+가/JKS
적정한지를	적정/NNG+하/XSA+ㄴ지/EF+를/JKO
점검해달라고	점검/NNG+하/XSV+아/EC+달/VX+라고/EC
하는	하/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.64.6.2
실제 이용량보다 비싼 요금제에 가입돼 있다면 적정 요금제를 추천받은 뒤 바꿔달라고 하면 된다.

실제	실제/NNG
이용량보다	이용량/NNG+보다/JKB
비싼	비싸/VA+ㄴ/ETM
요금제에	요금/NNG+제/XSN+에/JKB
가입돼	가입/NNG+되/XSV+어/EC
있다면	있/VX+다면/EC
적정	적정/NNG
요금제를	요금/NNG+제/XSN+를/JKO
추천받은	추천/NNG+받/XSV+은/ETM
뒤	뒤/NNG
바꿔달라고	바꾸/VV+어/EC+달/VX+라고/EC
하면	하/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.64.6.3
선택약정할인(지원금에 상응하는 요금 할인) 대상인데 신청하지 않아 요금 할인을 못 받고 있는 건 아닌지, 약정기간이 끝났는데 재약정하지 않아 할인을 못 받고 있지는 않는지도 점검할 수 있다.

선택약정할인(지원금에	선택/NNG+약정/NNG+할인/NNG+(/SS+지원금/NNG+에/JKB
상응하는	상응/NNG+하/XSV+는/ETM
요금	요금/NNG
할인)	할인/NNG+)/SS
대상인데	대상/NNG+이/VCP+ㄴ데/EC
신청하지	신청/NNG+하/XSV+지/EC
않아	않/VX+아/EC
할인을	할인/NNG+을/JKO
못	못/MAG
받고	받/VV+고/EC
있는	있/VX+는/ETM
건	거/NNB+ㄴ/JX
아닌지,	아니/VCN+ㄴ지/EC+,/SP
약정기간이	약정/NNG+기간/NNG+이/JKS
끝났는데	끝나/VV+았/EP+는데/EC
재약정하지	재/XPN+약정/NNG+하/XSV+지/EC
있지는	있/VX+지/EC+는/JX
않는지도	않/VX+는지/EF+도/JX
점검할	점검/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.64.6.4
통화 내용이 녹음되기 때문에 거짓 안내를 받을 가능성은 적다.

통화	통화/NNG
내용이	내용/NNG+이/JKS
녹음되기	녹음/NNG+되/XSV+기/ETN
때문에	때문/NNB+에/JKB
거짓	거짓/NNG
안내를	안내/NNG+를/JKO
받을	받/VV+을/ETM
가능성은	가능/NNG+성/XSN+은/JX
적다.	적/VA+다/EF+./SF


# id : NWRW1800000052.64.7.1
이통사 지점이나 직영점을 방문해 해결할 수도 있다.

이통사	이통사/NNG
지점이나	지점/NNG+이나/JC
직영점을	직영점/NNG+을/JKO
방문해	방문/NNG+하/XSV+아/EC
해결할	해결/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.64.7.2
휴대폰과 신분증만 있으면 된다.

휴대폰과	휴대폰/NNG+과/JC
신분증만	신분증/NNG+만/JX
있으면	있/VA+으면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.64.7.3
이통사 관계자는 “요금제 ‘피팅’을 받을 때는 일반 대리점이나 유통점보다 지점이나 직영점을 방문하는 게 좋고, 특히 가입 대리점이나 유통점은 피하라”고 권했다.

이통사	이통사/NNG
관계자는	관계자/NNG+는/JX
“요금제	“/SS+요금/NNG+제/XSN
‘피팅’을	‘/SS+피팅/NNG+’/SS+을/JKO
받을	받/VV+을/ETM
때는	때/NNG+는/JX
일반	일반/NNG
대리점이나	대리점/NNG+이나/JC
유통점보다	유통점/NNG+보다/JKB
지점이나	지점/NNG+이나/JC
직영점을	직영점/NNG+을/JKO
방문하는	방문/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
좋고,	좋/VA+고/EC+,/SP
특히	특히/MAG
가입	가입/NNG
유통점은	유통점/NNG+은/JX
피하라”고	피하/VV+라/EF+”/SS+고/JKQ
권했다.	권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.64.8.1
시민·소비자단체들은 “정치권과 정부가 나서서 호갱을 양산하는 구조가 개선될 수 있게 해야 한다”고 지적한다.

시민·소비자단체들은	시민/NNG+·/SP+소비자/NNG+단체/NNG+들/XSN+은/JX
“정치권과	“/SS+정치/NNG+권/XSN+과/JC
정부가	정부/NNG+가/JKS
나서서	나서/VV+어서/EC
호갱을	호갱/NNG+을/JKO
양산하는	양산/NNG+하/XSV+는/ETM
구조가	구조/NNG+가/JKS
개선될	개선/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
해야	하/VX+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.64.8.2
이용량보다 비싼 요금제 가입은 이통사와 대리점들의 수익 극대화 마케팅 탓에 발생한다.

이용량보다	이용량/NNG+보다/JKB
비싼	비싸/VA+ㄴ/ETM
요금제	요금/NNG+제/XSN
가입은	가입/NNG+은/JX
이통사와	이통사/NNG+와/JC
대리점들의	대리점/NNG+들/XSN+의/JKG
수익	수익/NNG
극대화	극대/NNG+화/XSN
마케팅	마케팅/NNG
탓에	탓/NNG+에/JKB
발생한다.	발생/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.64.8.3
이통사들은 가입자를 유치한 대리점에 수수료를 주는데, 고액 요금제일수록 많이 준다.

이통사들은	이통사/NNG+들/XSN+은/JX
가입자를	가입자/NNG+를/JKO
유치한	유치/NNG+하/XSV+ㄴ/ETM
대리점에	대리점/NNG+에/JKB
수수료를	수수료/NNG+를/JKO
주는데,	주/VV+는데/EC+,/SP
고액	고액/NNG
요금제일수록	요금/NNG+제/XSN+이/VCP+ㄹ수록/EC
많이	많이/MAG
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.64.8.4
통신요금 일부(7% 안팎)가 대리점 수입으로 잡히는 것도 고액 요금제 가입을 유도하게 만든다.

통신요금	통신/NNG+요금/NNG
일부(7%	일부/NNG+(/SS+7/SN+%/SW
안팎)가	안팎/NNG+)/SS+가/JKS
대리점	대리점/NNG
수입으로	수입/NNG+으로/JKB
잡히는	잡히/VV+는/ETM
것도	것/NNB+도/JX
고액	고액/NNG
요금제	요금/NNG+제/XSN
가입을	가입/NNG+을/JKO
유도하게	유도/NNG+하/XSV+게/EC
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.64.8.5
한 이통사 유통점 대표는 “고객들은 갑자기 음성통화나 데이터를 많이 써 기본 제공량을 넘기면 ‘요금 폭탄’을 맞을 수 있으니 안전하게 무제한 요금제를 이용하라거나 고액 요금제에 가입하면 단말기 지원금을 많이 받는다고 하는 말에 대부분 넘어간다”고 말했다.

한	한/MMN
이통사	이통사/NNG
유통점	유통점/NNG
대표는	대표/NNG+는/JX
“고객들은	“/SS+고객/NNG+들/XSN+은/JX
갑자기	갑자기/MAG
음성통화나	음성/NNG+통화/NNG+나/JC
데이터를	데이터/NNG+를/JKO
많이	많이/MAG
써	쓰/VV+어/EC
기본	기본/NNG
제공량을	제공량/NNG+을/JKO
넘기면	넘기/VV+면/EC
‘요금	‘/SS+요금/NNG
폭탄’을	폭탄/NNG+’/SS+을/JKO
맞을	맞/VV+을/ETM
수	수/NNB
있으니	있/VA+으니/EC
안전하게	안전/NNG+하/XSA+게/EC
무제한	무/XPN+제한/NNG
요금제를	요금/NNG+제/XSN+를/JKO
이용하라거나	이용/NNG+하/XSV+라/EF+거나/JX
고액	고액/NNG
요금제에	요금/NNG+제/XSN+에/JKB
가입하면	가입/NNG+하/XSV+면/EC
단말기	단말기/NNG
지원금을	지원금/NNG+을/JKO
받는다고	받/VV+는다고/EC
하는	하/VV+는/ETM
말에	말/NNG+에/JKB
대부분	대/XPN+부분/NNG
넘어간다”고	넘어가/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.64.9.1
시민·소비자단체들은 이를 사기 판매에 가깝다고 규정하며 적정 요금제를 추천해 바로잡아야 한다고 지적한다.

시민·소비자단체들은	시민/NNG+·/SP+소비자/NNG+단체/NNG+들/XSN+은/JX
이를	이/NP+를/JKO
사기	사기/NNG
판매에	판매/NNG+에/JKB
가깝다고	가깝/VA+다고/EC
규정하며	규정/NNG+하/XSV+며/EC
적정	적정/NNG
요금제를	요금/NNG+제/XSN+를/JKO
추천해	추천/NNG+하/XSV+아/EC
바로잡아야	바로잡/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.64.9.2
안진걸 참여연대 협동사무처장은 “호갱 논란이 일 때마다 이통사들은 ‘일부 유통점 짓’으로 책임을 돌리는데, 사실이라면 요금청구서를 통해 적정 요금제를 추천해주는 방식으로 해결할 수 있다”고 말했다.

안진걸	안진걸/NNP
참여연대	참여연대/NNP
협동사무처장은	협동/NNG+사무처장/NNG+은/JX
“호갱	“/SS+호갱/NNG
논란이	논란/NNG+이/JKS
일	일/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
이통사들은	이통사/NNG+들/XSN+은/JX
‘일부	‘/SS+일부/NNG
유통점	유통점/NNG
짓’으로	짓/NNG+’/SS+으로/JKB
책임을	책임/NNG+을/JKO
돌리는데,	돌리/VV+는데/EC+,/SP
사실이라면	사실/NNG+이/VCP+라면/EC
요금청구서를	요금/NNG+청구서/NNG+를/JKO
통해	통하/VV+아/EC
적정	적정/NNG
요금제를	요금/NNG+제/XSN+를/JKO
추천해주는	추천/NNG+하/XSV+아/EC+주/VX+는/ETM
방식으로	방식/NNG+으로/JKB
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.64.10.1
하지만 이통사들은 난색을 표한다.

하지만	하지만/MAJ
이통사들은	이통사/NNG+들/XSN+은/JX
난색을	난색/NNG+을/JKO
표한다.	표/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.64.10.2
케이티의 한 임원은 “이동통신 가입자 전체가 이용량에 맞춰 요금제를 선택한다고 가정하면 이통 3사 매출이 연간 3조~4조원 줄어들 것으로 예상된다.

케이티의	케이티/NNP+의/JKG
한	한/MMN
임원은	임원/NNG+은/JX
“이동통신	“/SS+이동/NNG+통신/NNG
가입자	가입자/NNG
전체가	전체/NNG+가/JKS
이용량에	이용량/NNG+에/JKB
맞춰	맞추/VV+어/EC
요금제를	요금/NNG+제/XSN+를/JKO
선택한다고	선택/NNG+하/XSV+ㄴ다고/EC
가정하면	가정/NNG+하/XSV+면/EC
이통	이통/NNG
3사	3사/NNG
매출이	매출/NNG+이/JKS
연간	연간/NNG
3조~4조원	3/SN+조/NR+~/SO+4/SN+조/NR+원/NNB
줄어들	줄어들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.64.10.3
이통사가 자발적으로 이를 시행하면 주주들에 대한 배임에 해당할 수 있다”고 말했다.

이통사가	이통사/NNG+가/JKS
자발적으로	자발/NNG+적/XSN+으로/JKB
이를	이/NP+를/JKO
시행하면	시행/NNG+하/XSV+면/EC
주주들에	주주/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
배임에	배임/NNG+에/JKB
해당할	해당/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


