# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.98
metadata : {}


# id : NWRW1800000049.98.1.1
中, 또 사드 보복… 1월 한국행 부정기 항공편 중단

中,	中/SH+,/SP
한 항공사 관계자는 본보와의 통화에서 “민항국 관계자가 ‘2월에도 부정기편 승인은 나오지 않을 것이며 3월 이후에도 상황을 봐야 알 것’이라고 말했다”고 밝혔다.

한	한/MMN
항공사	항공사/NNG
관계자는	관계자/NNG+는/JX
본보와의	본보/NNG+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“민항국	“/SS+민항국/NNG
관계자가	관계자/NNG+가/JKS
‘2월에도	‘/SS+2/SN+월/NNB+에/JKB+도/JX
부정기편	부정기편/NNG
승인은	승인/NNG+은/JX
나오지	나오/VV+지/EC
않을	않/VX+을/ETM
것이며	것/NNB+이/VCP+며/EC
3월	3/SN+월/NNB
이후에도	이후/NNG+에/JKB+도/JX
상황을	상황/NNG+을/JKO
봐야	보/VV+아야/EC
알	알/VV+ㄹ/ETM
것’이라고	것/NNB+’/SS+이라고/JKQ
말했다”고	말/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.98.5.2
1월 부정기편으로 이미 한국행 관광객을 모집했던 상당수 현지 여행사는 대체 항공편을 찾지 못할 경우 예약 취소가 불가피한 실정이다.

1월	1/SN+월/NNB
부정기편으로	부정기편/NNG+으로/JKB
이미	이미/MAG
한국행	한국행/NNG
관광객을	관광객/NNG+을/JKO
모집했던	모집/NNG+하/XSV+았/EP+던/ETM
상당수	상당수/NNG
현지	현지/NNG
여행사는	여행사/NNG+는/JX
대체	대체/NNG
항공편을	항공편/NNG+을/JKO
찾지	찾/VV+지/EC
못할	못하/VX+ㄹ/ETM
경우	경우/NNG
예약	예약/NNG
취소가	취소/NNG+가/JKS
불가피한	불가피하/VA+ㄴ/ETM
실정이다.	실정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.98.6.1
한중 간 부정기편 운항 편수의 비중은 정기편의 2∼5% 수준으로 높지 않지만 이 같은 조치가 장기화될 조짐이어서 파장이 적지 않을 것으로 보인다.

한중	한중/NNP
간	간/NNB
부정기편	부정기편/NNG
운항	운항/NNG
편수의	편수/NNG+의/JKG
비중은	비중/NNG+은/JX
정기편의	정기편/NNG+의/JKG
2∼5%	2/SN+∼/SO+5/SN+%/SW
수준으로	수준/NNG+으로/JKB
높지	높/VA+지/EC
않지만	않/VX+지만/EC
이	이/NP
같은	같/VA+은/ETM
조치가	조치/NNG+가/JKS
장기화될	장기/NNG+화/XSN+되/XSV+ㄹ/ETM
조짐이어서	조짐/NNG+이/VCP+어서/EC
파장이	파장/NNG+이/JKS
적지	적/VA+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.98.6.2
승인을 받지 못한 1월 노선은 제주항공이 인천∼네이멍구(內蒙古) 자치주 바오터우(包頭)와 어얼둬쓰(鄂爾多斯) 등 6개 노선에 40여 편으로 가장 많다.

승인을	승인/NNG+을/JKO
받지	받/VV+지/EC
못한	못하/VX+ㄴ/ETM
1월	1/SN+월/NNB
노선은	노선/NNG+은/JX
제주항공이	제주항공/NNP+이/JKS
인천∼네이멍구(內蒙古)	인천/NNP+∼/SO+네이멍구/NNP+(/SS+內蒙古/SH+)/SS
자치주	자치주/NNG
바오터우(包頭)와	바오터우/NNP+(/SS+包頭/SH+)/SS+와/JC
어얼둬쓰(鄂爾多斯)	어얼둬쓰/NNP+(/SS+鄂爾多斯/SH+)/SS
등	등/NNB
6개	6/SN+개/NNB
노선에	노선/NNG+에/JKB
40여	40/SN+여/XSN
편으로	편/NNB+으로/JKB
가장	가장/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000049.98.6.3
아시아나항공은 인천∼저장(浙江) 성 닝보(寧波) 등 3개 노선이고, 진에어는 제주∼구이린(桂林) 노선이다.

아시아나항공은	아시아나항공/NNP+은/JX
인천∼저장(浙江)	인천/NNP+∼/SO+저장/NNP+(/SS+浙江/SH+)/SS
성	성/NNG
닝보(寧波)	닝보/NNP+(/SS+寧波/SH+)/SS
등	등/NNB
3개	3/SN+개/NNB
노선이고,	노선/NNG+이/VCP+고/EC+,/SP
진에어는	진에어/NNP+는/JX
제주∼구이린(桂林)	제주/NNP+∼/SO+구이린/NNP+(/SS+桂林/SH+)/SS
노선이다.	노선/NNG+이/VCP+다/EF+./SF


