# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.134
metadata : {}


# id : NWRW1800000045.134.1.1
웃음기 덜어낸 코믹스타 “더하기보다 빼는 과정이었어요”

웃음기	웃음/NNG+기/XSN
‘주유소	‘/SS+주유소/NNG
습격사건’으로	습격/NNG+사건/NNG+’/SS+으로/JKB
얼굴을	얼굴/NNG+을/JKO
알리기	알리/VV+기/ETN
시작해	시작/NNG+하/XSV+아/EC
15년이	15/SN+년/NNB+이/JKS
넘도록	넘/VV+도록/EC
그는	그/NP+는/JX
한	한/MMN
해에	해/NNG+에/JKB
두세	두세/MMN
작품	작품/NNG
이상	이상/NNG
출연하며	출연/NNG+하/XSV+며/EC
쉼	쉬/VV+ㅁ/ETN
없이	없이/MAG
달려	달리/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.134.8.2
지난해는 ‘해적’으로 800만 관객을 넘겼고 ‘삼시세끼’로 화제의 중심에 서기도 했다.

지난해는	지난해/NNG+는/JX
‘해적’으로	‘/SS+해적/NNG+’/SS+으로/JKB
800만	800/SN+만/NR
관객을	관객/NNG+을/JKO
넘겼고	넘기/VV+었/EP+고/EC
‘삼시세끼’로	‘/SS+삼시/NNG+세끼/NNG+’/SS+로/JKB
화제의	화제/NNG+의/JKG
중심에	중심/NNG+에/JKB
서기도	서/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.134.8.3
올해로 마흔다섯인 그에게 50대를 물었다.

올해로	올해/NNG+로/JKB
마흔다섯인	마흔다섯/NR+이/VCP+ㄴ/ETM
그에게	그/NP+에게/JKB
50대를	50/SN+대/NNB+를/JKO
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.134.8.4
“모르겠어요.

“모르겠어요.	“/SS+모르/VV+겠/EP+어요/EF+./SF


# id : NWRW1800000045.134.8.5
요즘이 두렵기도 하거든요.

요즘이	요즘/NNG+이/JKS
두렵기도	두렵/VA+기/ETN+도/JX
하거든요.	하/VX+거든/EF+요/JX+./SF


# id : NWRW1800000045.134.8.6
일로는 좋은 평을 얻고 있는데 실제로는 잘 살고 있는 건가 고민이 많아졌어요.

일로는	일/NNG+로/JKB+는/JX
좋은	좋/VA+은/ETM
평을	평/NNG+을/JKO
얻고	얻/VV+고/EC
있는데	있/VX+는데/EC
실제로는	실제로/MAG+는/JX
잘	잘/MAG
살고	살/VV+고/EC
있는	있/VX+는/ETM
건가	거/NNB+이/VCP+ㄴ가/EF
고민이	고민/NNG+이/JKS
많아졌어요.	많아지/VV+었/EP+어요/EF+./SF


# id : NWRW1800000045.134.8.7
너무 예민 떨지 않았나, 그릇이 큰 사람이 되고 싶다, 그런 생각을 많이 해요.”

너무	너무/MAG
예민	예민/MAG
떨지	떨/VV+지/EC
않았나,	않/VX+았/EP+나/EF+,/SP
그릇이	그릇/NNG+이/JKS
큰	크/VA+ㄴ/ETM
사람이	사람/NNG+이/JKC
되고	되/VV+고/EC
싶다,	싶/VX+다/EF+,/SP
그런	그런/MMD
생각을	생각/NNG+을/JKO
많이	많이/MAG
해요.”	하/VV+아요/EF+./SF+”/SS


# id : NWRW1800000045.134.8.8
꼭 도 닦는 사람 같은 대답이다.

꼭	꼭/MAG
도	도/NNG
닦는	닦/VV+는/ETM
사람	사람/NNG
같은	같/VA+은/ETM
대답이다.	대답/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.134.8.9
조연보다는 주연을 맡고 싶은 욕심은?

조연보다는	조연/NNG+보다/JKB+는/JX
주연을	주연/NNG+을/JKO
맡고	맡/VV+고/EC
싶은	싶/VX+은/ETM
욕심은?	욕심/NNG+은/JX+?/SF


# id : NWRW1800000045.134.8.10
더 강렬한 역할을 맡아 보고 싶은 생각은?

더	더/MAG
강렬한	강렬하/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
맡아	맡/VV+아/EC
보고	보/VX+고/EC
싶은	싶/VX+은/ETM
생각은?	생각/NNG+은/JX+?/SF


# id : NWRW1800000045.134.8.11
“지금도 충분해요.

“지금도	“/SS+지금/NNG+도/JX
충분해요.	충분하/VA+아요/EF+./SF


# id : NWRW1800000045.134.8.12
그냥 이대로 갔으면 좋겠는데 그것도 욕심이겠죠.

그냥	그냥/MAG
이대로	이대로/MAG
갔으면	가/VV+았/EP+으면/EC
좋겠는데	좋/VA+겠/EP+는데/EC
그것도	그것/NP+도/JX
욕심이겠죠.	욕심/NNG+이/VCP+겠/EP+죠/EF+./SF


# id : NWRW1800000045.134.8.13
‘달도 차면 기우나니 얼씨구절씨구 차차차’ 그런 가사 있잖아요.

‘달도	‘/SS+달/NNG+도/JX
차면	차/VV+면/EC
기우나니	기울/VV+나니/EC
얼씨구절씨구	얼씨구절씨구/IC
차차차’	차차차/NNG+’/SS
그런	그런/MMD
가사	가사/NNG
있잖아요.	있/VA+잖아/EF+요/JX+./SF


# id : NWRW1800000045.134.8.14
어찌 됐든 연기를 하면서 있으면 좋겠다는 생각이 있네요.”

어찌	어찌/MAG
됐든	되/VV+었/EP+든/EC
연기를	연기/NNG+를/JKO
하면서	하/VV+면서/EC
있으면	있/VV+으면/EC
좋겠다는	좋/VA+겠/EP+다는/ETM
생각이	생각/NNG+이/JKS
있네요.”	있/VA+네요/EF+./SF+”/SS


