# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.192
metadata : {}


# id : NWRW1800000037.192.1.1
[‘복지첨병’ 사회복지사 그들이 지쳐간다]<下>좌절하는 미래의 첨병들

[‘복지첨병’	[/SS+‘/SS+복지/NNG+첨병/NNG+’/SS
이직률이	이직/NNG+률/XSN+이/JKS
높아진다”고	높아지/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.192.9.1
올겨울 서울 용산구 복지기관에서 실습했던 정모 씨(24)는 전국 1% 안에 드는 수능 성적으로 사회복지학과에 진학할 때까지만 해도 ‘돈보다는 보람을 택하겠다’는 부푼 꿈을 안고 있었다.

올겨울	올겨울/NNG
서울	서울/NNP
용산구	용산구/NNP
복지기관에서	복지/NNG+기관/NNG+에서/JKB
실습했던	실습/NNG+하/XSV+았/EP+던/ETM
정모	정/NNP+모/NP
씨(24)는	씨/NNB+(/SS+24/SN+)/SS+는/JX
전국	전국/NNG
1%	1/SN+%/SW
안에	안/NNG+에/JKB
드는	들/VV+는/ETM
수능	수능/NNG
성적으로	성적/NNG+으로/JKB
사회복지학과에	사회/NNG+복지학과/NNG+에/JKB
진학할	진학/NNG+하/XSV+ㄹ/ETM
때까지만	때/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
‘돈보다는	‘/SS+돈/NNG+보다/JKB+는/JX
보람을	보람/NNG+을/JKO
택하겠다’는	택하/VV+겠/EP+다/EF+’/SS+는/ETM
부푼	부풀/VV+ㄴ/ETM
꿈을	꿈/NNG+을/JKO
안고	안/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.192.9.2
하지만 실습기관에서 만난 사회복지사들마다 “봉급이 적어 생활하기 어렵다”며 울상인 모습을 보자 슬슬 걱정이 됐다.

하지만	하지만/MAJ
실습기관에서	실습/NNG+기관/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
사회복지사들마다	사회/NNG+복지사/NNG+들/XSN+마다/JX
“봉급이	“/SS+봉급/NNG+이/JKS
적어	적/VA+어/EC
생활하기	생활/NNG+하/XSV+기/ETN
어렵다”며	어렵/VA+다/EF+”/SS+며/EC
울상인	울상/NNG+이/VCP+ㄴ/ETM
모습을	모습/NNG+을/JKO
보자	보/VV+자/EC
슬슬	슬슬/MAG
걱정이	걱정/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.192.9.3
정 씨는 “아직도 사회복지사를 하고 싶은 마음은 남아있지만…”이라며 말끝을 흐렸다.

정	정/NNP
씨는	씨/NNB+는/JX
“아직도	“/SS+아직/MAG+도/JX
사회복지사를	사회/NNG+복지사/NNG+를/JKO
하고	하/VV+고/EC
싶은	싶/VX+은/ETM
마음은	마음/NNG+은/JX
남아있지만…”이라며	남/VV+아/EC+있/VX+지만/EC+…/SE+”/SS+이/VCP+라며/EC
말끝을	말끝/NNG+을/JKO
흐렸다.	흐리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.192.10.1
사회적인 인식도 개선해야 한다는 게 전문가들의 견해다.

사회적인	사회/NNG+적/XSN+이/VCP+ㄴ/ETM
인식도	인식/NNG+도/JX
개선해야	개선/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
게	거/NNB+이/JKS
전문가들의	전문가/NNG+들/XSN+의/JKG
견해다.	견해/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.192.10.2
학습비와 휴가비 등 사회복지사의 복지를 지원하는 중부재단의 김세경 팀장은 “복지사를 자원봉사자로 착각해서 쉴 필요도 없다고 생각하는 시민들의 의식 수준이 아쉽다”고 말했다.

학습비와	학습비/NNG+와/JC
휴가비	휴가비/NNG
등	등/NNB
사회복지사의	사회/NNG+복지사/NNG+의/JKG
복지를	복지/NNG+를/JKO
지원하는	지원/NNG+하/XSV+는/ETM
중부재단의	중부/NNG+재단/NNG+의/JKG
김세경	김세경/NNP
팀장은	팀장/NNG+은/JX
“복지사를	“/SS+복지사/NNG+를/JKO
자원봉사자로	자원봉사자/NNG+로/JKB
착각해서	착각/NNG+하/XSV+아서/EC
쉴	쉬/VV+ㄹ/ETM
필요도	필요/NNG+도/JX
없다고	없/VA+다고/EC
생각하는	생각/NNG+하/XSV+는/ETM
시민들의	시민/NNG+들/XSN+의/JKG
의식	의식/NNG
수준이	수준/NNG+이/JKS
아쉽다”고	아쉽/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.192.10.3
이 단체는 한 해 평균 3000만 원의 예산으로 복지사들의 휴가를 지원하는 사업을 9년간 운영해왔다.

이	이/MMD
단체는	단체/NNG+는/JX
한	한/MMN
해	해/NNB
평균	평균/NNG
3000만	3000/SN+만/NR
원의	원/NNB+의/JKG
예산으로	예산/NNG+으로/JKB
복지사들의	복지사/NNG+들/XSN+의/JKG
휴가를	휴가/NNG+를/JKO
지원하는	지원/NNG+하/XSV+는/ETM
사업을	사업/NNG+을/JKO
9년간	9/SN+년/NNB+간/XSN
운영해왔다.	운영/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.192.10.4
근속 3년 이상인 복지사면 신청이 가능하다.

근속	근속/NNG
3년	3/SN+년/NNB
이상인	이상/NNG+이/VCP+ㄴ/ETM
복지사면	복지사/NNG+이/VCP+면/EC
신청이	신청/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000037.192.10.5
3∼4 대 1의 경쟁률을 뚫고 선발되면 안식월을 보낼 수 있다.

3∼4	3/SN+∼/SO+4/SN
대	대/NNB
1의	1/SN+의/JKG
경쟁률을	경쟁/NNG+률/XSN+을/JKO
뚫고	뚫/VV+고/EC
선발되면	선발/NNG+되/XSV+면/EC
안식월을	안식/NNG+월/NNG+을/JKO
보낼	보내/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.192.10.6
해당 복지사가 손을 놓은 업무를 대체할 인력 고용 비용 120만 원을 중부재단에서 지원한다.

해당	해당/NNG
복지사가	복지사/NNG+가/JKS
손을	손/NNG+을/JKO
놓은	놓/VV+은/ETM
업무를	업무/NNG+를/JKO
대체할	대체/NNG+하/XSV+ㄹ/ETM
인력	인력/NNG
고용	고용/NNG
비용	비용/NNG
120만	120/SN+만/NR
원을	원/NNB+을/JKO
중부재단에서	중부/NNG+재단/NNG+에서/JKB
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.192.11.1
사회복지분야 공무원들의 처우를 개선해 복지행정의 질을 높이기 위해서는 모든 업무가 일선 사회복지사에게 몰리는 ‘깔때기 효과’를 없애야 한다는 지적도 나온다.

사회복지분야	사회/NNG+복지/NNG+분야/NNG
공무원들의	공무원/NNG+들/XSN+의/JKG
처우를	처우/NNG+를/JKO
개선해	개선/NNG+하/XSV+아/EC
복지행정의	복지/NNG+행정/NNG+의/JKG
질을	질/NNG+을/JKO
높이기	높이/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
모든	모든/MMN
업무가	업무/NNG+가/JKS
일선	일선/NNG
사회복지사에게	사회/NNG+복지사/NNG+에게/JKB
몰리는	몰리/VV+는/ETM
‘깔때기	‘/SS+깔때기/NNG
효과’를	효과/NNG+’/SS+를/JKO
없애야	없애/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.192.11.2
담당 공무원 수가 절대적으로 부족한 데다 중앙정부, 지자체뿐 아니라 사회복지와 직접 관련이 없는 기관에서도 복지에 관련된 정책을 세우면 실행책임은 모두 일선 사회복지사들에게 떨어지는 게 현실이다.

담당	담당/NNG
공무원	공무원/NNG
수가	수/NNG+가/JKS
절대적으로	절대/NNG+적/XSN+으로/JKB
부족한	부족/NNG+하/XSA+ㄴ/ETM
데다	데/NNB+다/JX
중앙정부,	중앙/NNG+정부/NNG+,/SP
지자체뿐	지자체/NNG+뿐/JX
아니라	아니/VCN+라/EC
사회복지와	사회/NNG+복지/NNG+와/JKB
직접	직접/MAG
관련이	관련/NNG+이/JKS
없는	없/VA+는/ETM
기관에서도	기관/NNG+에서/JKB+도/JX
복지에	복지/NNG+에/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
정책을	정책/NNG+을/JKO
세우면	세우/VV+면/EC
실행책임은	실행/NNG+책임/NNG+은/JX
모두	모두/MAG
일선	일선/NNG
사회복지사들에게	사회/NNG+복지사/NNG+들/XSN+에게/JKB
떨어지는	떨어지/VV+는/ETM
게	거/NNB+이/JKS
현실이다.	현실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.192.11.3
이봉주 교수는 “우선 복지담당 공무원을 늘리는 것이 필요하며 일반 공무원과 업무를 나눠 부담을 줄이는 것도 생각해볼 수 있다”고 말했다.

이봉주	이봉주/NNP
교수는	교수/NNG+는/JX
“우선	“/SS+우선/MAG
복지담당	복지/NNG+담당/NNG
공무원을	공무원/NNG+을/JKO
늘리는	늘리/VV+는/ETM
것이	것/NNB+이/JKS
필요하며	필요/NNG+하/XSA+며/EC
일반	일반/NNG
공무원과	공무원/NNG+과/JC
업무를	업무/NNG+를/JKO
나눠	나누/VV+어/EC
부담을	부담/NNG+을/JKO
줄이는	줄이/VV+는/ETM
것도	것/NNB+도/JX
생각해볼	생각/NNG+하/XSV+아/EC+보/VX+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


