# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.77
metadata : {}


# id : NWRW1800000025.77.1.1
[횡설수설/권순택]룸살롱식 국제결혼

[횡설수설/권순택]룸살롱식	[/SS+횡설수설/NNG+//SP+권순택/NNP+]/SS+룸살롱식/NNG
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.77.2.5
맞선에서 탈락한 수십 명의 여성과 그 가족, 나아가 캄보디아 국민의 자존심에 상처를 주는 무례다.

맞선에서	맞선/NNG+에서/JKB
탈락한	탈락/NNG+하/XSV+ㄴ/ETM
수십	수십/NR
명의	명/NNB+의/JKG
여성과	여성/NNG+과/JC
그	그/MMD
가족,	가족/NNG+,/SP
나아가	나아가/VV+아/EC
캄보디아	캄보디아/NNP
국민의	국민/NNG+의/JKG
자존심에	자존심/NNG+에/JKB
상처를	상처/NNG+를/JKO
주는	주/VV+는/ETM
무례다.	무례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.77.3.1
▷캄보디아 정부가 캄보디아인과 한국인의 결혼을 잠정 중단시켰다.

▷캄보디아	▷/SW+캄보디아/NNP
정부가	정부/NNG+가/JKS
캄보디아인과	캄보디아인/NNG+과/JC
한국인의	한국인/NNG+의/JKG
결혼을	결혼/NNG+을/JKO
잠정	잠정/NNG
중단시켰다.	중단/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.77.3.2
캄보디아에서는 국제결혼 상대의 약 60%가 한국인이다.

캄보디아에서는	캄보디아/NNP+에서/JKB+는/JX
국제결혼	국제결혼/NNG
상대의	상대/NNG+의/JKG
약	약/MMA
60%가	60/SN+%/SW+가/JKS
한국인이다.	한국인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.77.3.3
캄보디아에서 집단 맞선은 불법이다.

캄보디아에서	캄보디아/NNP+에서/JKB
집단	집단/NNG
맞선은	맞선/NNG+은/JX
불법이다.	불법/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.77.3.4
코리안 드림을 찾아 한국인과 결혼하려는 외국인 여성들의 마음에 지울 수 없는 상처를 내는 행위다.

코리안	코리안/NNP
드림을	드림/NNG+을/JKO
찾아	찾/VV+아/EC
한국인과	한국인/NNG+과/JKB
결혼하려는	결혼/NNG+하/XSV+려는/ETM
외국인	외국인/NNG
여성들의	여성/NNG+들/XSN+의/JKG
마음에	마음/NNG+에/JKB
지울	지우/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상처를	상처/NNG+를/JKO
내는	내/VV+는/ETM
행위다.	행위/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.77.3.5
한국도 그들 나라처럼 가난한 시절이 있었다는 점을 생각하면 차마 할 수 없는 짓이다.

한국도	한국/NNP+도/JX
그들	그/NP+들/XSN
나라처럼	나라/NNG+처럼/JKB
가난한	가난/NNG+하/XSA+ㄴ/ETM
시절이	시절/NNG+이/JKS
있었다는	있/VA+었/EP+다는/ETM
점을	점/NNG+을/JKO
생각하면	생각/NNG+하/XSV+면/EC
차마	차마/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
짓이다.	짓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.77.3.6
알선업자들이 한국 남성들의 개인 신상이나 재산을 거짓으로 소개하거나 과장해 이혼과 가정불화로 이어지는 사례도 만만찮다.

알선업자들이	알선/NNG+업자/NNG+들/XSN+이/JKS
한국	한국/NNP
남성들의	남성/NNG+들/XSN+의/JKG
개인	개인/NNG
신상이나	신상/NNG+이나/JC
재산을	재산/NNG+을/JKO
거짓으로	거짓/NNG+으로/JKB
소개하거나	소개/NNG+하/XSV+거나/EC
과장해	과장/NNG+하/XSV+아/EC
이혼과	이혼/NNG+과/JC
가정불화로	가정불화/NNG+로/JKB
이어지는	이어지/VV+는/ETM
사례도	사례/NNG+도/JX
만만찮다.	만만찮/VA+다/EF+./SF


# id : NWRW1800000025.77.3.7
나라망신이다.

나라망신이다.	나라/NNG+망신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.77.4.1
▷한국은 외국계 주민이 100만 명을 넘어섰을 정도로 다문화 다민족 사회로 급변하고 있다.

▷한국은	▷/SW+한국/NNP+은/JX
외국계	외국/NNG+계/XSN
주민이	주민/NNG+이/JKS
100만	100/SN+만/NR
명을	명/NNB+을/JKO
넘어섰을	넘어서/VV+었/EP+을/ETM
정도로	정도/NNG+로/JKB
다문화	다문화/NNG
다민족	다민족/NNG
사회로	사회/NNG+로/JKB
급변하고	급변/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.77.4.2
지난해 전체 결혼의 13.6%에 해당하는 4만3121건이 국제결혼이었다.

지난해	지난해/NNG
전체	전체/NNG
결혼의	결혼/NNG+의/JKG
13.6%에	13/SN+./SP+6/SN+%/SW+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
4만3121건이	4/SN+만/NR+3121/SN+건/NNB+이/JKS
국제결혼이었다.	국제결혼/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.77.4.3
아기 울음소리가 사라졌던 농촌 지역은 외국인 며느리들이 아니면 공동체의 유지조차 어려울 정도로 국제결혼이 보편화했다.

아기	아기/NNG
울음소리가	울음소리/NNG+가/JKS
사라졌던	사라지/VV+었/EP+던/ETM
농촌	농촌/NNG
지역은	지역/NNG+은/JX
외국인	외국인/NNG
며느리들이	며느리/NNG+들/XSN+이/JKC
아니면	아니/VCN+면/EC
공동체의	공동체/NNG+의/JKG
유지조차	유지/NNG+조차/JX
어려울	어렵/VA+ㄹ/ETM
정도로	정도/NNG+로/JKB
국제결혼이	국제결혼/NNG+이/JKS
보편화했다.	보편/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.77.4.4
그런데도 순혈(純血)주의 의식이 강한 우리 사회에는 결혼 이주 여성들에 대한 편견이 여전하다.

그런데도	그렇/VA+ㄴ데/EC+도/JX
순혈(純血)주의	순혈/NNG+(/SS+純血/SH+)/SS+주의/NNG
의식이	의식/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
우리	우리/NP
사회에는	사회/NNG+에/JKB+는/JX
결혼	결혼/NNG
이주	이주/NNG
여성들에	여성/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
편견이	편견/NNG+이/JKS
여전하다.	여전하/VA+다/EF+./SF


# id : NWRW1800000025.77.4.5
보건복지부의 다문화가족 실태조사에 따르면 여성 결혼 이민자의 34.8%가 ‘외국인이라는 이유로 차별 대우를 받은 경험이 있다’고 응답했다.

보건복지부의	보건/NNG+복지부/NNG+의/JKG
다문화가족	다문화/NNG+가족/NNG
실태조사에	실태/NNG+조사/NNG+에/JKB
따르면	따르/VV+면/EC
여성	여성/NNG
결혼	결혼/NNG
이민자의	이민자/NNG+의/JKG
34.8%가	34/SN+./SP+8/SN+%/SW+가/JKS
‘외국인이라는	‘/SS+외국인/NNG+이/VCP+라는/ETM
이유로	이유/NNG+로/JKB
차별	차별/NNG
대우를	대우/NNG+를/JKO
받은	받/VV+은/ETM
경험이	경험/NNG+이/JKS
있다’고	있/VA+다/EF+’/SS+고/JKQ
응답했다.	응답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.77.5.1
▷한국 여성들이 농촌 총각들과 결혼을 기피해 국제결혼은 계속 늘어날 것으로 전망된다.

▷한국	▷/SW+한국/NNP
여성들이	여성/NNG+들/XSN+이/JKS
농촌	농촌/NNG
총각들과	총각/NNG+들/XSN+과/JKB
결혼을	결혼/NNG+을/JKO
기피해	기피/NNG+하/XSV+아/EC
국제결혼은	국제결혼/NNG+은/JX
계속	계속/MAG
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.77.5.2
외국인 이주자들이 한국에 뿌리를 내리려면 우리가 마음의 문을 열어야 한다.

외국인	외국인/NNG
이주자들이	이주자/NNG+들/XSN+이/JKS
한국에	한국/NNP+에/JKB
뿌리를	뿌리/NNG+를/JKO
내리려면	내리/VV+려면/EC
우리가	우리/NP+가/JKS
마음의	마음/NNG+의/JKG
문을	문/NNG+을/JKO
열어야	열/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.77.5.3
다문화가정과 외국인에게 닫혀 있는 사회는 글로벌 시대에 적응하기 어렵다.

다문화가정과	다문화/NNG+가정/NNG+과/JC
외국인에게	외국인/NNG+에게/JKB
닫혀	닫히/VV+어/EC
있는	있/VX+는/ETM
사회는	사회/NNG+는/JX
글로벌	글로벌/NNG
시대에	시대/NNG+에/JKB
적응하기	적응/NNG+하/XSV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000025.77.5.4
신부를 데려올 때도 예의를 갖추고, 데려와서도 한국인과 똑같은 며느리로, 아내로 대접해야만 외국인 여성들이 낯선 땅에 와서 정착할 수 있다.

신부를	신부/NNG+를/JKO
데려올	데려오/VV+ㄹ/ETM
때도	때/NNG+도/JX
예의를	예의/NNG+를/JKO
갖추고,	갖추/VV+고/EC+,/SP
데려와서도	데려오/VV+아서/EC+도/JX
한국인과	한국인/NNG+과/JKB
똑같은	똑같/VA+은/ETM
며느리로,	며느리/NNG+로/JKB+,/SP
아내로	아내/NNG+로/JKB
대접해야만	대접/NNG+하/XSV+아야/EC+만/JX
외국인	외국인/NNG
여성들이	여성/NNG+들/XSN+이/JKS
낯선	낯설/VA+ㄴ/ETM
땅에	땅/NNG+에/JKB
와서	오/VV+아서/EC
정착할	정착/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


