# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.254
metadata : {}


# id : NWRW1800000029.254.1.1
[휴지통]‘Mr.

[휴지통]‘Mr.	[/SS+휴지통/NNG+]/SS+‘/SS+Mr/SL+./SF
해임했다.	해임/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.254.4.2
징계 사유는 정 경위가 의경 모욕, 인터넷 카페에 상관 비난 글 거재, 허위공문서 작성 등 21개였고 천 경사는 비슷한 항목으로 11개였다.

징계	징계/NNG
사유는	사유/NNG+는/JX
정	정/NNP
경위가	경위/NNG+가/JKS
의경	의경/NNG
모욕,	모욕/NNG+,/SP
인터넷	인터넷/NNG
카페에	카페/NNG+에/JKB
상관	상관/NNG
비난	비난/NNG
글	글/NNG
거재,	거재/NNG+,/SP
허위공문서	허위/NNG+공문서/NNG
작성	작성/NNG
등	등/NNB
21개였고	21/SN+개/NNB+이/VCP+었/EP+고/EC
천	천/NNP
경사는	경사/NNG+는/JX
비슷한	비슷하/VA+ㄴ/ETM
항목으로	항목/NNG+으로/JKB
11개였다.	11/SN+개/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.254.5.1
▶본보 8월 22일자 A13면 참조

▶본보	▶/SW+본보/NNG
8월	8/SN+월/NNB
22일자	22/SN+일/NNB+자/NNG
A13면	A/SL+13/SN+면/NNG
참조	참조/NNG


# id : NWRW1800000029.254.6.1
정 경위 등은 “직무 고발돼 조사를 받았고 수사 의견서에는 ‘의경에게 욕설을 했다는 것을 입증할 수 없다’고 적혀 있는데 감찰 서류에는 ‘욕설을 했다’로 조작됐다”며 “징계 사유가 사실이라면 할 말이 없지만 대부분 조작됐거나 부풀려졌다”고 주장했다.

정	정/NNP
경위	경위/NNG
등은	등/NNB+은/JX
“직무	“/SS+직무/NNG
고발돼	고발/NNG+되/XSV+어/EC
조사를	조사/NNG+를/JKO
받았고	받/VV+았/EP+고/EC
수사	수사/NNG
의견서에는	의견서/NNG+에/JKB+는/JX
‘의경에게	‘/SS+의경/NNG+에게/JKB
욕설을	욕설/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
것을	것/NNB+을/JKO
입증할	입증/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다’고	없/VA+다/EF+’/SS+고/JKQ
적혀	적히/VV+어/EC
있는데	있/VX+는데/EC
감찰	감찰/NNG
서류에는	서류/NNG+에/JKB+는/JX
‘욕설을	‘/SS+욕설/NNG+을/JKO
했다’로	하/VV+았/EP+다/EF+’/SS+로/JKB
조작됐다”며	조작/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“징계	“/SS+징계/NNG
사유가	사유/NNG+가/JKS
사실이라면	사실/NNG+이/VCP+라면/EC
할	하/VV+ㄹ/ETM
말이	말/NNG+이/JKS
없지만	없/VA+지만/EC
대부분	대/XPN+부분/NNG
조작됐거나	조작/NNG+되/XSV+었/EP+거나/EC
부풀려졌다”고	부풀리/VV+어/EC+지/VX+었/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.254.6.2
또 이들은 “청렴 동아리 활동을 하며 인사제도 개선, 유류 횡령 의혹 제기 등 상급자들에게 듣기 거북한 ‘쓴소리’를 많이 해 ‘미운털’이 박혀 파면된 것”이라고 주장했다.

또	또/MAG
이들은	이/NP+들/XSN+은/JX
“청렴	“/SS+청렴/NNG
동아리	동아리/NNG
활동을	활동/NNG+을/JKO
하며	하/VV+며/EC
인사제도	인사/NNG+제도/NNG
개선,	개선/NNG+,/SP
유류	유류/NNG
횡령	횡령/NNG
의혹	의혹/NNG
제기	제기/NNG
등	등/NNB
상급자들에게	상급자/NNG+들/XSN+에게/JKB
듣기	듣/VV+기/ETN
거북한	거북하/VA+ㄴ/ETM
‘쓴소리’를	‘/SS+쓴소리/NNG+’/SS+를/JKO
많이	많이/MAG
해	하/VV+아/EC
‘미운털’이	‘/SS+미운털/NNG+’/SS+이/JKS
박혀	박히/VV+어/EC
파면된	파면/NNG+되/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.254.7.1
광주경찰청 관계자는 “의경에게 욕설을 하거나 인터넷 카페에 직속상관을 비난하는 글을 올리고, 허위공문서를 작성하는 등 조직 단합을 저해했다는 증거가 충분하다”며 “같은 식구인 경찰관을 파면하고 해임하는데 허위조사를 했겠느냐”고 반박했다.

광주경찰청	광주경찰청/NNP
관계자는	관계자/NNG+는/JX
“의경에게	“/SS+의경/NNG+에게/JKB
욕설을	욕설/NNG+을/JKO
하거나	하/VV+거나/EC
인터넷	인터넷/NNG
카페에	카페/NNG+에/JKB
직속상관을	직속상관/NNG+을/JKO
비난하는	비난/NNG+하/XSV+는/ETM
글을	글/NNG+을/JKO
올리고,	올리/VV+고/EC+,/SP
허위공문서를	허위/NNG+공문서/NNG+를/JKO
작성하는	작성/NNG+하/XSV+는/ETM
등	등/NNB
조직	조직/NNG
단합을	단합/NNG+을/JKO
저해했다는	저해/NNG+하/XSV+았/EP+다는/ETM
증거가	증거/NNG+가/JKS
충분하다”며	충분하/VA+다/EF+”/SS+며/EC
“같은	“/SS+같/VA+은/ETM
식구인	식구/NNG+이/VCP+ㄴ/ETM
경찰관을	경찰관/NNG+을/JKO
파면하고	파면/NNG+하/XSV+고/EC
해임하는데	해임/NNG+하/XSV+는데/EC
허위조사를	허위/NNG+조사/NNG+를/JKO
했겠느냐”고	하/VV+았/EP+겠/EP+느냐/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


