# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.411
metadata : {}


# id : NWRW1800000021.411.1.1
운영능력 최고 - 건설비용 최저… 한국원전 국제무대 통했다

운영능력	운영/NNG+능력/NNG
“고리	“/SS+고리/NNP
원전의	원전/NNG+의/JKG
건설비가	건설비/NNG+가/JKS
당시	당시/NNG
한국	한국/NNP
정부	정부/NNG
한	한/MMN
해	해/NNG
예산의	예산/NNG+의/JKG
4배나	4/SN+배/NNG+나/JX
됐다”며	되/VV+었/EP+다/EF+”/SS+며/EC
“무모한	“/SS+무모/NNG+하/XSA+ㄴ/ETM
일이라는	일/NNG+이/VCP+라는/ETM
비판이	비판/NNG+이/JKS
엄청났지만	엄청나/VA+았/EP+지만/EC
박	박/NNP
대통령이	대통령/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
의지로	의지/NNG+로/JKB
극복하면서	극복/NNG+하/XSV+면서/EC
오늘의	오늘/NNG+의/JKG
성공이	성공/NNG+이/JKS
가능했다”고	가능/NNG+하/XSA+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.411.5.1
기술 축적을 위한 노력도 눈물겨웠다.

기술	기술/NNG
축적을	축적/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
노력도	노력/NNG+도/JX
눈물겨웠다.	눈물겹/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.411.5.2
1985년 원자력연구소를 중심으로 한국 표준형 원전을 개발한다는 계획이 수립됐다.

1985년	1985/SN+년/NNB
원자력연구소를	원자력/NNG+연구소/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
한국	한국/NNP
표준형	표준/NNG+형/XSN
원전을	원전/NNG+을/JKO
개발한다는	개발/NNG+하/XSV+ㄴ다는/ETM
계획이	계획/NNG+이/JKS
수립됐다.	수립/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.411.5.3
장 회장은 “당시 많은 연구원이 일주일에 80시간 이상 연구했고, 일부는 외국 연구소에 파견돼 밤새 일하다 그곳 보안요원들에게 걸린 적도 있었다”고 회고했다.

장	장/NNP
회장은	회장/NNG+은/JX
“당시	“/SS+당시/NNG
많은	많/VA+은/ETM
연구원이	연구원/NNG+이/JKS
일주일에	일주일/NNG+에/JKB
80시간	80/SN+시간/NNB
이상	이상/NNG
연구했고,	연구/NNG+하/XSV+았/EP+고/EC+,/SP
일부는	일부/NNG+는/JX
외국	외국/NNG
연구소에	연구소/NNG+에/JKB
파견돼	파견/NNG+되/XSV+어/EC
밤새	밤새/NNG
일하다	일/NNG+하/XSV+다/EC
그곳	그곳/NP
보안요원들에게	보안/NNG+요원/NNG+들/XSN+에게/JKB
걸린	걸리/VV+ㄴ/ETM
적도	적/NNB+도/JX
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
회고했다.	회고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.411.5.4
결국 1996년 한국 표준형 원전을 개발하는 데 성공했고, 이 기술을 이용해 울진 원전 3호기를 우리 손으로 건설하면서 원자력 자립 시대가 열렸다.

결국	결국/MAG
1996년	1996/SN+년/NNB
한국	한국/NNP
표준형	표준/NNG+형/XSN
원전을	원전/NNG+을/JKO
개발하는	개발/NNG+하/XSV+는/ETM
데	데/NNB
성공했고,	성공/NNG+하/XSV+았/EP+고/EC+,/SP
이	이/MMD
기술을	기술/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
울진	울진/NNP
원전	원전/NNG
3호기를	3/SN+호기/NNB+를/JKO
우리	우리/NP
손으로	손/NNG+으로/JKB
건설하면서	건설/NNG+하/XSV+면서/EC
원자력	원자력/NNG
자립	자립/NNG
시대가	시대/NNG+가/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.411.6.1
○ 원전 이용률 세계 평균보다 14% 높아

○	○/SW
원전	원전/NNG
이용률	이용/NNG+률/XSN
세계	세계/NNG
평균보다	평균/NNG+보다/JKB
14%	14/SN+%/SW
높아	높/VA+아/EF


# id : NWRW1800000021.411.7.1
원자력 발전소는 기계 전기 전자 등 부문별로 약 200만 개에 이르는 기기로 구성된 첨단과학의 집합체다.

원자력	원자력/NNG
발전소는	발전소/NNG+는/JX
기계	기계/NNG
전기	전기/NNG
전자	전자/NNG
등	등/NNB
부문별로	부문/NNG+별/XSN+로/JKB
약	약/MMA
200만	200/SN+만/NR
개에	개/NNB+에/JKB
이르는	이르/VV+는/ETM
기기로	기기/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
첨단과학의	첨단/NNG+과학/NNG+의/JKG
집합체다.	집합체/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.411.7.2
또 원자로 설계와 핵심부품 원천기술, 그리고 원전 건설과 운영 능력 등 다양한 기술이 필요하다.

또	또/MAG
원자로	원자로/NNG
설계와	설계/NNG+와/JC
핵심부품	핵심/NNG+부품/NNG
원천기술,	원천/NNG+기술/NNG+,/SP
그리고	그리고/MAJ
원전	원전/NNG
건설과	건설/NNG+과/JC
운영	운영/NNG
능력	능력/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
기술이	기술/NNG+이/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000021.411.7.3
한국은 그 가운데 원전 건설과 운영 능력 부문에서 세계 최고 수준으로 꼽힌다.

한국은	한국/NNP+은/JX
그	그/MMD
가운데	가운데/NNG
원전	원전/NNG
건설과	건설/NNG+과/JC
운영	운영/NNG
능력	능력/NNG
부문에서	부문/NNG+에서/JKB
세계	세계/NNG
최고	최고/NNG
수준으로	수준/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.411.7.4
1986년 러시아 체르노빌 원전 사고 이후 세계 대부분의 국가에서 신규 건설이 유보됐지만 후발주자인 한국은 꾸준히 원전을 건설하면서 경쟁력과 전문 인력을 확보했기 때문이다.

1986년	1986/SN+년/NNB
러시아	러시아/NNP
체르노빌	체르노빌/NNP
원전	원전/NNG
사고	사고/NNG
이후	이후/NNG
세계	세계/NNG
대부분의	대/XPN+부분/NNG+의/JKG
국가에서	국가/NNG+에서/JKB
신규	신규/NNG
건설이	건설/NNG+이/JKS
유보됐지만	유보/NNG+되/XSV+었/EP+지만/EC
후발주자인	후발/NNG+주자/NNG+이/VCP+ㄴ/ETM
한국은	한국/NNP+은/JX
꾸준히	꾸준히/MAG
원전을	원전/NNG+을/JKO
건설하면서	건설/NNG+하/XSV+면서/EC
경쟁력과	경쟁력/NNG+과/JC
전문	전문/NNG
인력을	인력/NNG+을/JKO
확보했기	확보/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.411.8.1
기술 자립도도 95%로 높은 편이다.

기술	기술/NNG
자립도도	자립도/NNG+도/JX
95%로	95/SN+%/SW+로/JKB
높은	높/VA+은/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.411.8.2
한국이 원전에서 없는 5%의 기술은 원자로 설계 코드, 냉각제 펌프 기술, 원전제어계측 장비 기술 등이다.

한국이	한국/NNP+이/JKS
원전에서	원전/NNG+에서/JKB
없는	없/VA+는/ETM
5%의	5/SN+%/SW+의/JKG
기술은	기술/NNG+은/JX
원자로	원자로/NNG
설계	설계/NNG
코드,	코드/NNG+,/SP
냉각제	냉각제/NNG
펌프	펌프/NNG
기술,	기술/NNG+,/SP
원전제어계측	원전/NNG+제어/NNG+계측/NNG
장비	장비/NNG
기술	기술/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.411.8.3
그 때문에 이번 한국 컨소시엄에 미국의 웨스팅하우스가 포함됐다.

그	그/MMD
때문에	때문/NNB+에/JKB
이번	이번/NNG
한국	한국/NNP
컨소시엄에	컨소시엄/NNG+에/JKB
미국의	미국/NNP+의/JKG
웨스팅하우스가	웨스팅하우스/NNP+가/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.411.9.1
한국은 1978년 1호 원전 이후 거의 매년 1기의 원전을 건설해 현재 총 20기의 원자력발전소를 운영 중이다.

한국은	한국/NNP+은/JX
1978년	1978/SN+년/NNB
1호	1/SN+호/NNB
원전	원전/NNG
이후	이후/NNG
거의	거의/MAG
매년	매년/MAG
1기의	1/SN+기/NNB+의/JKG
원전을	원전/NNG+을/JKO
건설해	건설/NNG+하/XSV+아/EC
현재	현재/MAG
총	총/MMA
20기의	20/SN+기/NNB+의/JKG
원자력발전소를	원자력/NNG+발전소/NNG+를/JKO
운영	운영/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.411.9.2
이번 아랍에미리트(UAE) 원전사업 발주처인 UAE 원자력공사의 무함마드 함마디 사장은 “한전컨소시엄이 보여준 세계적 수준의 안전성과 UAE 원전사업의 목표를 달성할 수 있는 입증된 능력에 깊은 감명을 받았다”고 밝혔다.

이번	이번/NNG
아랍에미리트(UAE)	아랍에미리트/NNP+(/SS+UAE/SL+)/SS
원전사업	원전/NNG+사업/NNG
발주처인	발주처/NNG+이/VCP+ㄴ/ETM
UAE	UAE/SL
원자력공사의	원자력/NNG+공사/NNG+의/JKG
무함마드	무함마드/NNP
함마디	함마디/NNP
사장은	사장/NNG+은/JX
“한전컨소시엄이	“/SS+한전/NNP+컨소시엄/NNG+이/JKS
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
세계적	세계/NNG+적/XSN
수준의	수준/NNG+의/JKG
안전성과	안전/NNG+성/XSN+과/JC
원전사업의	원전/NNG+사업/NNG+의/JKG
목표를	목표/NNG+를/JKO
달성할	달성/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
입증된	입증/NNG+되/XSV+ㄴ/ETM
능력에	능력/NNG+에/JKB
깊은	깊/VA+은/ETM
감명을	감명/NNG+을/JKO
받았다”고	받/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.411.10.1
특히 원전의 운영 능력을 뜻하는 이용률(1년 중 원전이 정상 운전되는 시간의 비율) 면에서 한국은 지난해 93.3%로 세계 최고 수준이다.

특히	특히/MAG
원전의	원전/NNG+의/JKG
운영	운영/NNG
능력을	능력/NNG+을/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
이용률(1년	이용/NNG+률/XSN+(/SS+1/SN+년/NNB
중	중/NNB
원전이	원전/NNG+이/JKS
정상	정상/NNG
운전되는	운전/NNG+되/XSV+는/ETM
시간의	시간/NNG+의/JKG
비율)	비율/NNG+)/SS
면에서	면/NNG+에서/JKB
한국은	한국/NNP+은/JX
지난해	지난해/NNG
93.3%로	93/SN+./SP+3/SN+%/SW+로/JKB
세계	세계/NNG
최고	최고/NNG
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.411.10.2
미국은 89.9%, 프랑스는 76.1%, 일본은 59.2%에 불과하며 세계 평균은 79.4%다.

미국은	미국/NNP+은/JX
89.9%,	89/SN+./SP+9/SN+%/SW+,/SP
프랑스는	프랑스/NNP+는/JX
76.1%,	76/SN+./SP+1/SN+%/SW+,/SP
일본은	일본/NNP+은/JX
59.2%에	59/SN+./SP+2/SN+%/SW+에/JKB
불과하며	불과/MAG+하/XSA+며/EC
세계	세계/NNG
평균은	평균/NNG+은/JX
79.4%다.	79/SN+./SP+4/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000021.411.10.3
지난 30년간 20기의 원전을 운영하면서 단 한 건의 대형 사고도 일어나지 않아 안전성에서도 높은 평가를 받고 있다.

지난	지나/VV+ㄴ/ETM
30년간	30/SN+년/NNB+간/XSN
20기의	20/SN+기/NNB+의/JKG
원전을	원전/NNG+을/JKO
운영하면서	운영/NNG+하/XSV+면서/EC
단	단/MMA
한	한/MMN
건의	건/NNB+의/JKG
대형	대형/NNG
사고도	사고/NNG+도/JX
일어나지	일어나/VV+지/EC
않아	않/VX+아/EC
안전성에서도	안전/NNG+성/XSN+에서/JKB+도/JX
높은	높/VA+은/ETM
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.411.11.1
원전 건설비용이나 발전비용도 세계 최저 수준이다.

원전	원전/NNG
건설비용이나	건설/NNG+비용/NNG+이나/JC
발전비용도	발전/NNG+비용/NNG+도/JX
세계	세계/NNG
최저	최저/NNG
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.411.11.2
한국 원전의 건설비용은 kW당 2300달러에 불과하다.

한국	한국/NNP
원전의	원전/NNG+의/JKG
건설비용은	건설/NNG+비용/NNG+은/JX
kW당	kW/SW+당/XSN
2300달러에	2300/SN+달러/NNB+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000021.411.11.3
프랑스나 일본이 2900달러, 미국이 3582달러인 것과 비교하면 20∼35%나 낮다.

프랑스나	프랑스/NNP+나/JC
일본이	일본/NNP+이/JKS
2900달러,	2900/SN+달러/NNB+,/SP
미국이	미국/NNP+이/JKS
3582달러인	3582/SN+달러/NNB+이/VCP+ㄴ/ETM
것과	것/NNB+과/JKB
비교하면	비교/NNG+하/XSV+면/EC
20∼35%나	20/SN+∼/SO+35/SN+%/SW+나/JX
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000021.411.11.4
발전비용도 이들 국가에 비해 최대 절반이나 낮출 수 있다.

발전비용도	발전/NNG+비용/NNG+도/JX
이들	이/NP+들/XSN
국가에	국가/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
최대	최대/NNG
절반이나	절반/NNG+이나/JX
낮출	낮추/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.411.11.5
건설기간 역시 한국 표준형 원전(OPR1000)은 52개월로 경쟁국에 비해 5개월 이상 짧다.

건설기간	건설/NNG+기간/NNG
역시	역시/MAG
한국	한국/NNP
표준형	표준/NNG+형/XSN
원전(OPR1000)은	원전/NNG+(/SS+OPR/SL+1000/SN+)/SS+은/JX
52개월로	52/SN+개월/NNB+로/JKB
경쟁국에	경쟁국/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
5개월	5/SN+개월/NNB
이상	이상/NNG
짧다.	짧/VA+다/EF+./SF


# id : NWRW1800000021.411.12.1
■ ‘하청업자 설움’ 30년만에 씻은 MB… 현대건설 사장 시절 美 웨스팅하우스가 원청업체… 당시 피말린 협상깵 이번엔 컨소시엄 일원 ‘갑-을 역전’

■	■/SW
‘하청업자	‘/SS+하청/NNG+업자/NNG
설움’	설움/NNG+’/SS
30년만에	30/SN+년/NNB+만/NNB+에/JKB
씻은	씻/VV+은/ETM
MB…	MB/SL+…/SE
현대건설	현대건설/NNP
사장	사장/NNG
시절	시절/NNG
美	美/SH
웨스팅하우스가	웨스팅하우스/NNP+가/JKS
원청업체…	원청/NNG+업체/NNG+…/SE
당시	당시/NNG
피말린	피/NNG+말리/VV+ㄴ/ETM
협상깵	협상/NNG+깵/NA
이번엔	이번/NNG+에/JKB+ㄴ/JX
컨소시엄	컨소시엄/NNG
일원	일원/NNG
‘갑-을	‘/SS+갑/NNG+-/SO+을/NNG
역전’	역전/NNG+’/SS


# id : NWRW1800000021.411.13.1
27일 아랍에미리트(UAE)의 대규모 원전 프로젝트를 수주한 한전 컨소시엄에는 미국의 웨스팅하우스가 참여하고 있다.

27일	27/SN+일/NNB
아랍에미리트(UAE)의	아랍에미리트/NNP+(/SS+UAE/SL+)/SS+의/JKG
대규모	대/XPN+규모/NNG
원전	원전/NNG
프로젝트를	프로젝트/NNG+를/JKO
수주한	수주/NNG+하/XSV+ㄴ/ETM
한전	한전/NNP
컨소시엄에는	컨소시엄/NNG+에/JKB+는/JX
미국의	미국/NNP+의/JKG
웨스팅하우스가	웨스팅하우스/NNP+가/JKS
참여하고	참여/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.411.13.2
세계적인 발전 설비 건설회사인 웨스팅하우스는 당초 독자적으로 원전 사업에 응찰했으나 1차 심사에서 탈락한 뒤 한전컨소시엄에 합류했다.

세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
발전	발전/NNG
설비	설비/NNG
건설회사인	건설/NNG+회사/NNG+이/VCP+ㄴ/ETM
웨스팅하우스는	웨스팅하우스/NNP+는/JX
당초	당초/NNG
독자적으로	독자/NNG+적/XSN+으로/JKB
원전	원전/NNG
사업에	사업/NNG+에/JKB
응찰했으나	응찰/NNG+하/XSV+았/EP+으나/EC
1차	1/SN+차/NNB
심사에서	심사/NNG+에서/JKB
탈락한	탈락/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
한전컨소시엄에	한전/NNP+컨소시엄/NNG+에/JKB
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.411.14.1
이명박 대통령은 웨스팅하우스와 남다른 인연을 갖고 있다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
웨스팅하우스와	웨스팅하우스/NNP+와/JKB
남다른	남다르/VA+ㄴ/ETM
인연을	인연/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.411.14.2
이 대통령이 약 30년 전 사장으로 재직하던 현대건설이 하청업자로 웨스팅하우스의 원전 건설에 참여했기 때문이다.

이	이/NNP
대통령이	대통령/NNG+이/JKS
약	약/MMA
30년	30/SN+년/NNB
전	전/NNG
사장으로	사장/NNG+으로/JKB
재직하던	재직/NNG+하/XSV+던/ETM
현대건설이	현대건설/NNP+이/JKS
하청업자로	하청/NNG+업자/NNG+로/JKB
웨스팅하우스의	웨스팅하우스/NNP+의/JKG
원전	원전/NNG
건설에	건설/NNG+에/JKB
참여했기	참여/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.411.14.3
현대건설의 원전 18기 중 12기가 이 대통령이 사장 재임 시절 지어진 것이라고 한다.

현대건설의	현대건설/NNP+의/JKG
원전	원전/NNG
18기	18/SN+기/NNB
중	중/NNB
12기가	12/SN+기/NNB+가/JKS
이	이/NNP
대통령이	대통령/NNG+이/JKS
사장	사장/NNG
재임	재임/NNG
시절	시절/NNG
지어진	짓/VV+어/EC+지/VX+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.411.15.1
이 대통령은 저서 ‘신화는 없다’에서 현대건설 사장으로서 한국에 온 웨스팅하우스 수석부사장과 치열하게 담판을 벌인 일화를 소개한 바 있다.

이	이/NNP
대통령은	대통령/NNG+은/JX
저서	저서/NNG
‘신화는	‘/SS+신화/NNG+는/JX
없다’에서	없/VA+다/EF+’/SS+에서/JKB
현대건설	현대건설/NNP
사장으로서	사장/NNG+으로서/JKB
한국에	한국/NNP+에/JKB
온	오/VV+ㄴ/ETM
웨스팅하우스	웨스팅하우스/NNP
수석부사장과	수석/NNG+부사장/NNG+과/JKB
치열하게	치열/NNG+하/XSA+게/EC
담판을	담판/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
일화를	일화/NNG+를/JKO
소개한	소개/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.411.16.1
“협상 내용은 웨스팅하우스와 현대가 새 원자력발전소 건설에 동참하되 전에 비해 현대건설의 참여 폭이 커져야 한다는 것이었다.

“협상	“/SS+협상/NNG
내용은	내용/NNG+은/JX
웨스팅하우스와	웨스팅하우스/NNP+와/JC
현대가	현대/NNP+가/JKS
새	새/MMA
원자력발전소	원자력/NNG+발전소/NNG
건설에	건설/NNG+에/JKB
동참하되	동참/NNG+하/XSV+되/EC
전에	전/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
현대건설의	현대건설/NNP+의/JKG
참여	참여/NNG
폭이	폭/NNG+이/JKS
커져야	커지/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.411.16.2
이는 기술이전, 공사 물량, 결국에는 수익 문제와 직결되므로 매우 중대한 협상이었다.

이는	이/NP+는/JX
기술이전,	기술/NNG+이전/NNG+,/SP
공사	공사/NNG
물량,	물량/NNG+,/SP
결국에는	결국/NNG+에/JKB+는/JX
수익	수익/NNG
문제와	문제/NNG+와/JKB
직결되므로	직결/NNG+되/XSV+므로/EC
매우	매우/MAG
중대한	중대/NNG+하/XSA+ㄴ/ETM
협상이었다.	협상/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.411.16.3
점심도 거르면서 6시간 가까이 회의를 계속했으나 합의점은 나오지 않았다.

점심도	점심/NNG+도/JX
거르면서	거르/VV+면서/EC
6시간	6/SN+시간/NNB
가까이	가까이/MAG
회의를	회의/NNG+를/JKO
계속했으나	계속/NNG+하/XSV+았/EP+으나/EC
합의점은	합의점/NNG+은/JX
나오지	나오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.411.16.4
줄곧 앉아 마라톤 회의를 하고 있는데 그는 계속 블랙커피만 마셨다.

줄곧	줄곧/MAG
앉아	앉/VV+아/EC
마라톤	마라톤/NNG
회의를	회의/NNG+를/JKO
하고	하/VV+고/EC
있는데	있/VX+는데/EC
그는	그/NP+는/JX
계속	계속/MAG
블랙커피만	블랙커피/NNG+만/JX
마셨다.	마시/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.411.16.5
나는 빈속에 커피가 들어가니 속이 쓰리고 기운도 빠졌다.

나는	나/NP+는/JX
빈속에	빈속/NNG+에/JKB
커피가	커피/NNG+가/JKS
들어가니	들어가/VV+니/EC
속이	속/NNG+이/JKS
쓰리고	쓰리/VA+고/EC
기운도	기운/NNG+도/JX
