# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.322
metadata : {}


# id : NWRW1800000026.322.1.1
[만물상] MVP 여민지의 일기

[만물상]	[/SS+만물상/NNG+]/SS
그녀의 '보물 1호'가 노트북이다.

그녀의	그녀/NP+의/JKG
'보물	'/SS+보물/NNG
1호'가	1/SN+호/NNB+'/SS+가/JKS
노트북이다.	노트북/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.322.2.6
1987년 한 라운드 평균 77.57타였던 그녀가 1998년 69.99타로 '마(魔)의 70타 벽'을 깰 때까지 진화 과정이 고스란히 담겼다.

1987년	1987/SN+년/NNB
한	한/MMN
라운드	라운드/NNG
평균	평균/NNG
77.57타였던	77/SN+./SP+57/SN+타/NNG+이/VCP+었/EP+던/ETM
그녀가	그녀/NP+가/JKS
1998년	1998/SN+년/NNB
69.99타로	69/SN+./SP+99/SN+타/NNG+로/JKB
'마(魔)의	'/SS+마/NNG+(/SS+魔/SH+)/SS+의/JKG
70타	70/SN+타/NNG
벽'을	벽/NNG+'/SS+을/JKO
깰	깨/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
진화	진화/NNG
과정이	과정/NNG+이/JKS
고스란히	고스란히/MAG
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.322.3.1
▶마라톤 영웅 황영조는 1988년 강릉 명륜고 1학년 때부터 1996년 은퇴할 때까지 하루도 거르지 않고 훈련 일기를 썼다.

▶마라톤	▶/SW+마라톤/NNG
영웅	영웅/NNG
황영조는	황영조/NNP+는/JX
1988년	1988/SN+년/NNB
강릉	강릉/NNP
명륜고	명륜고/NNP
1학년	1/SN+학년/NNG
때부터	때/NNG+부터/JX
1996년	1996/SN+년/NNB
은퇴할	은퇴/NNG+하/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
하루도	하루/NNG+도/JX
거르지	거르/VV+지/EC
않고	않/VX+고/EC
훈련	훈련/NNG
일기를	일기/NNG+를/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.322.3.2
어떤 날씨에 어떤 길을 달렸고 무얼 먹었는지, 기록은 어땠는지를 그림까지 곁들여 적었다.

어떤	어떤/MMD
날씨에	날씨/NNG+에/JKB
길을	길/NNG+을/JKO
달렸고	달리/VV+었/EP+고/EC
무얼	무어/NP+ㄹ/JKO
먹었는지,	먹/VV+었/EP+는지/EC+,/SP
기록은	기록/NNG+은/JX
어땠는지를	어떻/VA+었/EP+는지/EF+를/JKO
그림까지	그림/NNG+까지/JX
곁들여	곁들이/VV+어/EC
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.322.3.3
국가대표팀을 이끌고 있는 그는 지금도 선수 시절 기록을 참고자료로 활용한다.

국가대표팀을	국가/NNG+대표/NNG+팀/NNG+을/JKO
이끌고	이끌/VV+고/EC
있는	있/VX+는/ETM
그는	그/NP+는/JX
지금도	지금/NNG+도/JX
선수	선수/NNG
시절	시절/NNG
기록을	기록/NNG+을/JKO
참고자료로	참고/NNG+자료/NNG+로/JKB
활용한다.	활용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.322.4.1
▶잉글랜드 프리미어리그 볼턴에서 뛰는 이청용은 15세 때부터 축구 일기를 쓰고 있다.

▶잉글랜드	▶/SW+잉글랜드/NNP
프리미어리그	프리미어리그/NNG
볼턴에서	볼턴/NNP+에서/JKB
뛰는	뛰/VV+는/ETM
이청용은	이청용/NNP+은/JX
15세	15/SN+세/NNB
때부터	때/NNG+부터/JX
축구	축구/NNG
일기를	일기/NNG+를/JKO
쓰고	쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.322.4.2
훈련 내용을 볼펜 색깔까지 바꿔가며 자세히 적는 과정을 통해 '이미지 트레이닝'을 한다.

훈련	훈련/NNG
내용을	내용/NNG+을/JKO
볼펜	볼펜/NNG
색깔까지	색깔/NNG+까지/JX
바꿔가며	바꾸/VV+어/EC+가/VX+며/EC
자세히	자세히/MAG
적는	적/VV+는/ETM
과정을	과정/NNG+을/JKO
통해	통하/VV+아/EC
'이미지	'/SS+이미지/NNG
트레이닝'을	트레이닝/NNG+'/SS+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.322.4.3
피겨스타 김연아 역시 매일 밤 훈련을 마친 뒤 일기 형식으로 자신의 기록을 정리했고, 그 내용은 나중에 책으로 출간됐다.

피겨스타	피겨/NNG+스타/NNG
김연아	김연아/NNP
역시	역시/MAG
매일	매일/MAG
밤	밤/NNG
훈련을	훈련/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
일기	일기/NNG
형식으로	형식/NNG+으로/JKB
자신의	자신/NNG+의/JKG
기록을	기록/NNG+을/JKO
정리했고,	정리/NNG+하/XSV+았/EP+고/EC+,/SP
그	그/MMD
내용은	내용/NNG+은/JX
나중에	나중/NNG+에/JKB
책으로	책/NNG+으로/JKB
출간됐다.	출간/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.322.5.1
▶"눈부신 유혹을 이기면 눈부신 성공을 맞이한다" "상대팀에게 악몽 같은 선수가 되어라"….

▶"눈부신	▶/SW+"/SS+눈부시/VA+ㄴ/ETM
유혹을	유혹/NNG+을/JKO
이기면	이기/VV+면/EC
눈부신	눈부시/VA+ㄴ/ETM
성공을	성공/NNG+을/JKO
맞이한다"	맞이하/VV+ㄴ다/EF+"/SS
"상대팀에게	"/SS+상대/NNG+팀/NNG+에게/JKB
악몽	악몽/NNG
같은	같/VA+은/ETM
선수가	선수/NNG+가/JKC
되어라"….	되/VV+어라/EF+"/SS+…/SE+./SF


# id : NWRW1800000026.322.5.2
U-17 여자월드컵에서 한국의 우승을 이끌며 최우수선수와 득점왕을 차지한 17세 소녀 여민지의 훈련 일기가 화제다.

U-17	U/SL+-/SO+17/SN
여자월드컵에서	여자/NNG+월드컵/NNG+에서/JKB
한국의	한국/NNP+의/JKG
우승을	우승/NNG+을/JKO
이끌며	이끌/VV+며/EC
최우수선수와	최/XPN+우수/NNG+선수/NNG+와/JKB
득점왕을	득점왕/NNG+을/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
17세	17/SN+세/NNB
소녀	소녀/NNG
여민지의	여민지/NNP+의/JKG
훈련	훈련/NNG
일기가	일기/NNG+가/JKS
화제다.	화제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.322.5.3
창원 명서초등학교 4학년 때 축구에 입문하면서 쓰기 시작해 6권을 채운 축구 일기가 초보자 교재로 써도 될 만큼 꼼꼼하게 잘 정리돼 있다.

창원	창원/NNP
명서초등학교	명서초등학교/NNP
4학년	4/SN+학년/NNG
때	때/NNG
축구에	축구/NNG+에/JKB
입문하면서	입문/NNG+하/XSV+면서/EC
쓰기	쓰/VV+기/ETN
시작해	시작/NNG+하/XSV+아/EC
6권을	6/SN+권/NNB+을/JKO
채운	채우/VV+ㄴ/ETM
축구	축구/NNG
일기가	일기/NNG+가/JKS
초보자	초보자/NNG
교재로	교재/NNG+로/JKB
써도	쓰/VV+어도/EC
될	되/VV+ㄹ/ETM
만큼	만큼/NNB
꼼꼼하게	꼼꼼/MAG+하/XSA+게/EC
잘	잘/MAG
정리돼	정리/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.322.5.4
가슴에 담고 싶은 명언이나 자기반성도 빼곡하다.

가슴에	가슴/NNG+에/JKB
담고	담/VV+고/EC
싶은	싶/VX+은/ETM
명언이나	명언/NNG+이나/JC
자기반성도	자기반성/NNG+도/JX
빼곡하다.	빼곡/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000026.322.5.5
여민지는 2008년 무릎을 크게 다친 뒤 "어두운 터널을 지나면 찬란한 햇빛이 기다리는 법"이라며 스스로를 다잡았다.

여민지는	여민지/NNP+는/JX
2008년	2008/SN+년/NNB
무릎을	무릎/NNG+을/JKO
크게	크/VA+게/EC
다친	다치/VV+ㄴ/ETM
뒤	뒤/NNG
"어두운	"/SS+어둡/VA+ㄴ/ETM
터널을	터널/NNG+을/JKO
지나면	지나/VV+면/EC
찬란한	찬란하/VA+ㄴ/ETM
햇빛이	햇빛/NNG+이/JKS
기다리는	기다리/VV+는/ETM
법"이라며	법/NNB+"/SS+이/VCP+라며/EC
스스로를	스스로/NNG+를/JKO
다잡았다.	다잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.322.6.1
▶소설 '빙점(氷點)'을 쓴 미우라 아야코(三浦綾子)는 "3년간 일기를 쓴 사람은 장래에 무슨 일이든 이룰 사람이며, 10년간 일기를 계속 쓴 사람은 이미 무언가를 이룬 사람"이라고 했다.

▶소설	▶/SW+소설/NNG
'빙점(氷點)'을	'/SS+빙점/NNP+(/SS+氷點/SH+)/SS+'/SS+을/JKO
쓴	쓰/VV+ㄴ/ETM
미우라	미우라/NNP
아야코(三浦綾子)는	아야코/NNP+(/SS+三浦綾子/SH+)/SS+는/JX
"3년간	"/SS+3/SN+년/NNB+간/XSN
일기를	일기/NNG+를/JKO
사람은	사람/NNG+은/JX
장래에	장래/NNG+에/JKB
무슨	무슨/MMD
일이든	일/NNG+이든/JX
이룰	이루/VV+ㄹ/ETM
사람이며,	사람/NNG+이/VCP+며/EC+,/SP
10년간	10/SN+년/NNB+간/XSN
계속	계속/MAG
이미	이미/MAG
무언가를	무어/NP+이/VCP+ㄴ가/EF+를/JKO
이룬	이루/VV+ㄴ/ETM
사람"이라고	사람/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.322.6.2
여민지의 일기엔 "스물한 살엔 유럽 무대에 진출해 첫 시즌에 25경기 40득점으로 득점왕이 되고 싶다"는 꿈이 담겨 있다.

여민지의	여민지/NNP+의/JKG
일기엔	일기/NNG+에/JKB+ㄴ/JX
"스물한	"/SS+스물한/MMN
살엔	살/NNB+에/JKB+ㄴ/JX
유럽	유럽/NNP
무대에	무대/NNG+에/JKB
진출해	진출/NNG+하/XSV+아/EC
첫	첫/MMN
시즌에	시즌/NNG+에/JKB
25경기	25/SN+경기/NNG
40득점으로	40/SN+득점/NNG+으로/JKB
득점왕이	득점왕/NNG+이/JKC
되고	되/VV+고/EC
싶다"는	싶/VX+다/EF+"/SS+는/ETM
꿈이	꿈/NNG+이/JKS
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.322.6.3
여민지의 당찬 꿈이 4년 뒤 현실로 이뤄져 또 한 번 국민을 즐겁게 해 주길 기대한다.

여민지의	여민지/NNP+의/JKG
당찬	당차/VA+ㄴ/ETM
꿈이	꿈/NNG+이/JKS
4년	4/SN+년/NNB
뒤	뒤/NNG
현실로	현실/NNG+로/JKB
이뤄져	이뤄지/VV+어/EC
또	또/MAG
한	한/MMN
번	번/NNB
국민을	국민/NNG+을/JKO
즐겁게	즐겁/VA+게/EC
해	하/VX+아/EC
주길	주/VX+기/ETN+ㄹ/JKO
기대한다.	기대/NNG+하/XSV+ㄴ다/EF+./SF


