# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.393
metadata : {}


# id : NWRW1800000049.393.1.1
[수도권]경기도 ‘준예산 사태’ 장기화 조짐

[수도권]경기도	[/SS+수도/NNG+권/XSN+]/SS+경기도/NNP
조속한	조속하/VA+ㄴ/ETM
임시회	임시회/NNG
개최	개최/NNG
등을	등/NNB+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.393.5.2
강 의장은 해법 모색을 위해 적극 협력한다는 원칙적인 입장만 표명했다.

강	강/NNP
의장은	의장/NNG+은/JX
해법	해법/NNG
모색을	모색/NNG+을/JKO
위해	위하/VV+아/EC
적극	적극/NNG
협력한다는	협력/NNG+하/XSV+ㄴ다는/ETM
원칙적인	원칙/NNG+적/XSN+이/VCP+ㄴ/ETM
입장만	입장/NNG+만/JX
표명했다.	표명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.393.5.3
앞서 남 지사는 이재정 경기도교육감과 더불어민주당 김현삼 대표와도 면담을 추진했으나 성사되지 않았다.

앞서	앞서/MAG
남	남/NNP
지사는	지사/NNG+는/JX
이재정	이재정/NNP
경기도교육감과	경기도/NNP+교육감/NNG+과/JKB
더불어민주당	더불어민주당/NNP
김현삼	김현삼/NNP
대표와도	대표/NNG+와/JKB+도/JX
면담을	면담/NNG+을/JKO
추진했으나	추진/NNG+하/XSV+았/EP+으나/EC
성사되지	성사/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.393.5.4
이 교육감은 “당장 만나기에는 아직 더 시간이 필요하다”며 거부한 것으로 알려졌다.

이	이/NNP
교육감은	교육감/NNG+은/JX
“당장	“/SS+당장/NNG
만나기에는	만나/VV+기에/EC+는/JX
아직	아직/MAG
더	더/MAG
시간이	시간/NNG+이/JKS
필요하다”며	필요/NNG+하/XSA+다/EF+”/SS+며/EC
거부한	거부/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.393.6.1
경기도의회 여야 3선 원로 의원들도 이날 따로 모여 대책을 논의했다.

경기도의회	경기도의회/NNP
여야	여야/NNG
3선	3/SN+선/NNB
원로	원로/NNG
의원들도	의원/NNG+들/XSN+도/JX
이날	이날/NNG
따로	따로/MAG
모여	모이/VV+어/EC
대책을	대책/NNG+을/JKO
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.393.6.2
새누리당에선 이승철 대표와 천동현 염동식 의원, 더민주당에선 강 의장과 정기열 송순택 의원이 참석했다.

새누리당에선	새누리당/NNP+에서/JKB+ㄴ/JX
이승철	이승철/NNP
대표와	대표/NNG+와/JC
천동현	천동현/NNP
염동식	염동식/NNP
의원,	의원/NNG+,/SP
더민주당에선	더민주당/NNP+에서/JKB+ㄴ/JX
강	강/NNP
의장과	의장/NNG+과/JC
정기열	정기열/NNP
송순택	송순택/NNP
의원이	의원/NNG+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.393.6.3
양측은 한 발씩 양보해 사태 해결의 실마리를 마련하자는 데 합의하고 소속 정당 의원들을 설득하기로 했다.

양측은	양측/NNG+은/JX
한	한/MMN
발씩	발/NNG+씩/XSN
양보해	양보/NNG+하/XSV+아/EC
사태	사태/NNG
해결의	해결/NNG+의/JKG
실마리를	실마리/NNG+를/JKO
마련하자는	마련/NNG+하/XSV+자는/ETM
데	데/NNB
합의하고	합의/NNG+하/XSV+고/EC
소속	소속/NNG
정당	정당/NNG
의원들을	의원/NNG+들/XSN+을/JKO
설득하기로	설득/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.393.6.4
하지만 예산안 처리 과정에서 물리적 충돌까지 겪은 의원들 사이에 감정의 골이 깊어진 상황이라 얼마나 성과를 거둘지는 미지수다.

하지만	하지만/MAJ
예산안	예산안/NNG
처리	처리/NNG
과정에서	과정/NNG+에서/JKB
물리적	물리/NNG+적/XSN
충돌까지	충돌/NNG+까지/JX
겪은	겪/VV+은/ETM
의원들	의원/NNG+들/XSN
사이에	사이/NNG+에/JKB
감정의	감정/NNG+의/JKG
골이	골/NNG+이/JKS
깊어진	깊어지/VV+ㄴ/ETM
상황이라	상황/NNG+이/VCP+라/EC
얼마나	얼마나/MAG
성과를	성과/NNG+를/JKO
거둘지는	거두/VV+ㄹ지/EC+는/JX
미지수다.	미지수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.393.6.5
더민주당은 이날 “여야 대표 간 협상에 끼어들어 가이드라인을 제시한 남 지사의 사과가 없으면 협상을 하지 않겠다.

더민주당은	더민주당/NNP+은/JX
이날	이날/NNG
“여야	“/SS+여야/NNG
대표	대표/NNG
간	간/NNB
협상에	협상/NNG+에/JKB
끼어들어	끼어들/VV+어/EC
가이드라인을	가이드라인/NNG+을/JKO
제시한	제시/NNG+하/XSV+ㄴ/ETM
남	남/NNP
지사의	지사/NNG+의/JKG
사과가	사과/NNG+가/JKS
없으면	없/VA+으면/EC
협상을	협상/NNG+을/JKO
하지	하/VV+지/EC
않겠다.	않/VX+겠/EP+다/EF+./SF


# id : NWRW1800000049.393.6.6
의장석을 점거한 새누리당도 사과해야 한다”고 촉구하고 나섰다.

의장석을	의장석/NNG+을/JKO
점거한	점거/NNG+하/XSV+ㄴ/ETM
새누리당도	새누리당/NNP+도/JX
사과해야	사과/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
촉구하고	촉구/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.393.7.1
경기도의회 여야가 극적으로 타협해 보육예산을 일부 편성해도 실제 집행은 어려울 수 있다는 전망도 나온다.

경기도의회	경기도의회/NNP
여야가	여야/NNG+가/JKS
극적으로	극/NNG+적/XSN+으로/JKB
타협해	타협/NNG+하/XSV+아/EC
보육예산을	보육/NNG+예산/NNG+을/JKO
일부	일부/NNG
편성해도	편성/NNG+하/XSV+아도/EC
실제	실제/NNG
집행은	집행/NNG+은/JX
어려울	어렵/VA+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
전망도	전망/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.393.7.2
누리과정 예산 집행 당사자인 이 교육감이 유치원 과정만 편성하거나 유치원과 어린이집 예산 일부만 편성할 경우 예산 집행을 하지 않을 방침인 것으로 알려졌기 때문이다.

누리과정	누리/NNG+과정/NNG
예산	예산/NNG
집행	집행/NNG
당사자인	당사자/NNG+이/VCP+ㄴ/ETM
이	이/NNP
교육감이	교육감/NNG+이/JKS
유치원	유치원/NNG
과정만	과정/NNG+만/JX
편성하거나	편성/NNG+하/XSV+거나/EC
유치원과	유치원/NNG+과/JC
어린이집	어린이집/NNG
일부만	일부/NNG+만/JX
편성할	편성/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
집행을	집행/NNG+을/JKO
하지	하/VV+지/EC
않을	않/VX+을/ETM
방침인	방침/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌기	알려지/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.393.7.3
이은미 경기도교육청 부대변인은 “이 교육감은 부족한 누리과정 예산 전체를 정부가 책임지라는 것이 당초 입장이고 아직 변함이 없다”며 “이제 와서 한쪽이나 일부만 편성한다면 집행하기가 쉽지 않을 것으로 보인다”고 말했다.

이은미	이은미/NNP
경기도교육청	경기도교육청/NNP
부대변인은	부대변인/NNG+은/JX
“이	“/SS+이/NNP
교육감은	교육감/NNG+은/JX
부족한	부족/NNG+하/XSA+ㄴ/ETM
누리과정	누리/NNG+과정/NNG
예산	예산/NNG
전체를	전체/NNG+를/JKO
정부가	정부/NNG+가/JKS
책임지라는	책임지/VV+라는/ETM
것이	것/NNB+이/JKS
당초	당초/NNG
입장이고	입장/NNG+이/VCP+고/EC
아직	아직/MAG
변함이	변하/VV+ㅁ/ETN+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“이제	“/SS+이제/MAG
와서	오/VV+아서/EC
한쪽이나	한쪽/NNG+이나/JC
일부만	일부/NNG+만/JX
편성한다면	편성/NNG+하/XSV+ㄴ다면/EC
집행하기가	집행/NNG+하/XSV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.393.8.1
경기도는 도정 혼란을 막기 위해 4일부터 예산안 의결 때까지 준예산 체제에 돌입한다.

경기도는	경기도/NNP+는/JX
도정	도정/NNG
혼란을	혼란/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
4일부터	4/SN+일/NNB+부터/JX
예산안	예산안/NNG
의결	의결/NNG
때까지	때/NNG+까지/JX
준예산	준/XPN+예산/NNG
체제에	체제/NNG+에/JKB
돌입한다.	돌입/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.393.8.2
올해 예산안 15조5253억 원 중 법령이나 조례상 지출 의무가 없는 6003억 원(4%)을 제외한 14조9250억 원(96%)의 편성 지출이 가능하다.

올해	올해/NNG
예산안	예산안/NNG
15조5253억	15/SN+조/NR+5253/SN+억/NR
원	원/NNB
중	중/NNB
법령이나	법령/NNG+이나/JC
조례상	조례/NNG+상/XSN
지출	지출/NNG
의무가	의무/NNG+가/JKS
없는	없/VA+는/ETM
6003억	6003/SN+억/NR
원(4%)을	원/NNB+(/SS+4/SN+%/SW+)/SS+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
14조9250억	14/SN+조/NR+9250/SN+억/NR
원(96%)의	원/NNB+(/SS+96/SN+%/SW+)/SS+의/JKG
편성	편성/NNG
지출이	지출/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.393.8.3
집행이 불가능한 예산은 도시주거환경정비기금(45억 원)과 여성발전기금(25억 원), 포상금(32억 원), 광교신청사 건립기금(108억 원) 등이다.

집행이	집행/NNG+이/JKS
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
예산은	예산/NNG+은/JX
도시주거환경정비기금(45억	도시/NNG+주거/NNG+환경/NNG+정비/NNG+기금/NNG+(/SS+45/SN+억/NR
원)과	원/NNB+)/SS+과/JC
여성발전기금(25억	여성/NNG+발전/NNG+기금/NNG+(/SS+25/SN+억/NR
원),	원/NNB+)/SS+,/SP
포상금(32억	포상금/NNG+(/SS+32/SN+억/NR
광교신청사	광교/NNP+신/XPN+청사/NNG
건립기금(108억	건립/NNG+기금/NNG+(/SS+108/SN+억/NR
원)	원/NNB+)/SS
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.393.8.4
그나마 경기도교육청은 지자체와 달리 가이드라인이 될 예규나 지침은 물론이고 준예산 사례도 없어 집행 대상을 정하는 데 애를 먹고 있다.

그나마	그나마/MAG
경기도교육청은	경기도교육청/NNP+은/JX
지자체와	지자체/NNG+와/JKB
달리	달리/MAG
가이드라인이	가이드라인/NNG+이/JKC
될	되/VV+ㄹ/ETM
예규나	예규/NNG+나/JC
지침은	지침/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
준예산	준/XPN+예산/NNG
사례도	사례/NNG+도/JX
없어	없/VA+어/EC
집행	집행/NNG
대상을	대상/NNG+을/JKO
정하는	정하/VV+는/ETM
데	데/NNB
애를	애/NNG+를/JKO
먹고	먹/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.393.9.1
한편 남 지사는 이날 ‘연정(聯政)’이 흔들린다는 우려에 대해서 “살다 보면 가족은 물론이고 사랑하는 사람끼리도 다툼과 위기가 올 수 있다.

한편	한편/MAG
남	남/NNP
지사는	지사/NNG+는/JX
이날	이날/NNG
‘연정(聯政)’이	‘/SS+연정/NNG+(/SS+聯政/SH+)/SS+’/SS+이/JKS
흔들린다는	흔들리/VV+ㄴ다는/ETM
우려에	우려/NNG+에/JKB
대해서	대하/VV+아서/EC
“살다	“/SS+살/VV+다/EC
보면	보/VX+면/EC
가족은	가족/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
사랑하는	사랑/NNG+하/XSV+는/ETM
사람끼리도	사람/NNG+끼리/XSN+도/JX
다툼과	다툼/NNG+과/JKB
위기가	위기/NNG+가/JKS
올	오/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.393.9.2
이게 다 파국으로 가지는 않는다”고 강조했다.

이게	이거/NP+이/JKS
다	다/MAG
파국으로	파국/NNG+으로/JKB
가지는	가/VV+지/EC+는/JX
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


