# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.186
metadata : {}


# id : NWRW1800000052.186.1.1
“청소년들에게 부끄럽지 않게 ‘작은 선행’이나마…”

“청소년들에게	“/SS+청소년/NNG+들/XSN+에게/JKB
청소	청소/NNG
봉사를	봉사/NNG+를/JKO
하며	하/VV+며/EC
팔순을	팔순/NNG+을/JKO
바라보는	바라보/VV+는/ETM
노인이	노인/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.186.5.2
전북 장수군 천천면 연평리에 사는 권호석(78)씨는 ‘거리의 천사’로 불린다.

전북	전북/NNP
장수군	장수군/NNP
천천면	천천면/NNP
연평리에	연평리/NNP+에/JKB
사는	살/VV+는/ETM
권호석(78)씨는	권호석/NNP+(/SS+78/SN+)/SS+씨/NNB+는/JX
‘거리의	‘/SS+거리/NNG+의/JKG
천사’로	천사/NNG+’/SS+로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.186.5.3
그는 1969년부터 무보수로 쓰레기 줍기를 계속했다.

그는	그/NP+는/JX
1969년부터	1969/SN+년/NNB+부터/JX
무보수로	무/XPN+보수/NNG+로/JKB
쓰레기	쓰레기/NNG
줍기를	줍/VV+기/ETN+를/JKO
계속했다.	계속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.186.6.1
8남매의 장남에 5남매를 키우느라 넉넉치 않은 생활이었지만 그는 ‘먹고 사는 데 큰 걱정이 없다’는 생각에 청소 봉사를 시작했다.

8남매의	8/SN+남매/NNG+의/JKG
장남에	장남/NNG+에/JKB
5남매를	5/SN+남매/NNG+를/JKO
키우느라	키우/VV+느라/EC
넉넉치	넉넉하/VA+지/EC
않은	않/VX+은/ETM
생활이었지만	생활/NNG+이/VCP+었/EP+지만/EC
그는	그/NP+는/JX
‘먹고	‘/SS+먹/VV+고/EC
사는	살/VV+는/ETM
데	데/NNB
큰	크/VA+ㄴ/ETM
걱정이	걱정/NNG+이/JKS
없다’는	없/VA+다/EF+’/SS+는/ETM
생각에	생각/NNG+에/JKB
청소	청소/NNG
봉사를	봉사/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.186.6.2
그는 시골장터 뿐만 아니라 서울올림픽, 대전엑스포, 월드컵경기장, 전국체전 등 전국의 행사장을 찾아다녔다.

그는	그/NP+는/JX
시골장터	시골/NNG+장터/NNG
뿐만	뿐/JX+만/JX
아니라	아니/VCN+라/EC
서울올림픽,	서울/NNP+올림픽/NNG+,/SP
대전엑스포,	대전/NNP+엑스포/NNG+,/SP
월드컵경기장,	월드컵/NNG+경기장/NNG+,/SP
전국체전	전국/NNG+체전/NNG
등	등/NNB
전국의	전국/NNG+의/JKG
행사장을	행사장/NNG+을/JKO
찾아다녔다.	찾아다니/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.186.7.1
그는 늘 “서로 양보하고 기초질서 지켜서 문화국민 됩시다”, “내가 지킨 기초질서 아들딸이 본받는다.

그는	그/NP+는/JX
늘	늘/MAG
“서로	“/SS+서로/MAG
양보하고	양보/NNG+하/XSV+고/EC
기초질서	기초/NNG+질서/NNG
지켜서	지키/VV+어서/EC
문화국민	문화/NNG+국민/NNG
됩시다”,	되/VV+ㅂ시다/EF+”/SS+,/SP
“내가	“/SS+내/NP+가/JKS
지킨	지키/VV+ㄴ/ETM
아들딸이	아들딸/NNG+이/JKS
본받는다.	본받/VV+는다/EF+./SF


# id : NWRW1800000052.186.7.2
모든 질서는 내가 먼저”라는 내용이 적힌 조끼를 입고 일한다.

모든	모든/MMN
질서는	질서/NNG+는/JX
내가	내/NP+가/JKS
먼저”라는	먼저/MAG+”/SS+이/VCP+라는/ETM
내용이	내용/NNG+이/JKS
적힌	적히/VV+ㄴ/ETM
조끼를	조끼/NNG+를/JKO
입고	입/VV+고/EC
일한다.	일/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.186.7.3
그 덕분에 어디서나 그를 알아보는 이들이 많다.

그	그/MMD
덕분에	덕분/NNG+에/JKB
어디서나	어디/NP+서/JKB+나/JX
그를	그/NP+를/JKO
알아보는	알아보/VV+는/ETM
이들이	이/NNB+들/XSN+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000052.186.8.1
그는 지난해 말 장수지역 백화여고(60만원), 장수고(50만원), 천천중(30만원)에 장학금을 내놓았다.

그는	그/NP+는/JX
지난해	지난해/NNG
말	말/NNB
장수지역	장수/NNP+지역/NNG
백화여고(60만원),	백화여고/NNP+(/SS+60/SN+만/NR+원/NNB+)/SS+,/SP
장수고(50만원),	장수고/NNP+(/SS+50/SN+만/NR+원/NNB+)/SS+,/SP
천천중(30만원)에	천천중/NNP+(/SS+30/SN+만/NR+원/NNB+)/SS+에/JKB
장학금을	장학금/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.186.8.2
그는 한푼 두푼 모은 30만6280원을 최근 장수군청에 기탁하는 등 해마다 이웃돕기(20~40만원)도 하고 있다.

그는	그/NP+는/JX
한푼	한/MMN+푼/NNB
두푼	두/MMN+푼/NNB
모은	모으/VV+ㄴ/ETM
30만6280원을	30/SN+만/NR+6280/SN+원/NNB+을/JKO
최근	최근/MAG
장수군청에	장수군청/NNP+에/JKB
기탁하는	기탁/NNG+하/XSV+는/ETM
등	등/NNB
해마다	해마다/MAG
이웃돕기(20~40만원)도	이웃/NNG+돕/VV+기/ETN+(/SS+20/SN+~/SO+40/SN+만/NR+원/NNB+)/SS+도/JX
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


