# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.16
metadata : {}


# id : NWRW1800000026.16.1.1
어린이집 실내 공간 발암물질 오염 심각;사용 금지된 살충제 쓰기도

어린이집	어린이집/NNG
살충제	살충제/NNG
용도로	용도/NNG+로/JKB
쓰이는	쓰이/VV+는/ETM
화학물질이다.	화학/NNG+물질/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.16.4.2
디클로르보스는 2007년부터 사용 금지 물질로 지정됐지만 지금까지 대부분 어린이 시설에서 계속 사용돼 온 것으로 나타났다.

디클로르보스는	디클로르보스/NNG+는/JX
2007년부터	2007/SN+년/NNB+부터/JX
사용	사용/NNG
금지	금지/NNG
물질로	물질/NNG+로/JKB
지정됐지만	지정/NNG+되/XSV+었/EP+지만/EC
지금까지	지금/NNG+까지/JX
대부분	대/XPN+부분/NNG
어린이	어린이/NNG
시설에서	시설/NNG+에서/JKB
계속	계속/MAG
사용돼	사용/NNG+되/XSV+어/EC
온	오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.16.5.1
환경부 관계자는 "아이들이 이번에 검출된 것과 같은 농도의 오염된 공기를 평생(70년) 동안 들이마실 경우 1만명당 1명꼴로 암에 걸릴 가능성이 있는 것으로 조사됐다"며 "5~6년을 놀이방 등에 머문다고 해서 당장 건강에 문제가 생긴다고 볼 수는 없지만 유해물질에 취약한 어린이의 특성을 감안해 놀이방 등에서 실내 공기 관리를 더 철저히 해야 할 것"이라고 말했다.

환경부	환경부/NNG
관계자는	관계자/NNG+는/JX
"아이들이	"/SS+아이/NNG+들/XSN+이/JKS
이번에	이번/NNG+에/JKB
검출된	검출/NNG+되/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
같은	같/VA+은/ETM
농도의	농도/NNG+의/JKG
오염된	오염/NNG+되/XSV+ㄴ/ETM
공기를	공기/NNG+를/JKO
평생(70년)	평생/NNG+(/SS+70/SN+년/NNB+)/SS
동안	동안/NNG
들이마실	들이마시/VV+ㄹ/ETM
경우	경우/NNG
1만명당	1/SN+만/NR+명/NNB+당/XSN
1명꼴로	1/SN+명/NNB+꼴/XSN+로/JKB
암에	암/NNG+에/JKB
걸릴	걸리/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
조사됐다"며	조사/NNG+되/XSV+었/EP+다/EF+"/SS+며/EC
"5~6년을	"/SS+5/SN+~/SO+6/SN+년/NNB+을/JKO
놀이방	놀이방/NNG
등에	등/NNB+에/JKB
머문다고	머물/VV+ㄴ다고/EC
해서	하/VV+아서/EC
당장	당장/NNG
건강에	건강/NNG+에/JKB
문제가	문제/NNG+가/JKS
생긴다고	생기/VV+ㄴ다고/EC
볼	보/VV+ㄹ/ETM
수는	수/NNB+는/JX
없지만	없/VA+지만/EC
유해물질에	유해/NNG+물질/NNG+에/JKB
취약한	취약/NNG+하/XSA+ㄴ/ETM
어린이의	어린이/NNG+의/JKG
특성을	특성/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
등에서	등/NNB+에서/JKB
실내	실내/NNG
공기	공기/NNG
관리를	관리/NNG+를/JKO
더	더/MAG
철저히	철저히/MAG
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.16.5.2
3년 전부터 사용이 금지된 디클로르보스가 든 살충제가 지금까지 계속 유통돼 온 것과 관련해 환경부는 "관련 정부 부처와 해당 지자체에 경위 파악과 향후 철저한 단속을 요청했다"고 말했다.

3년	3/SN+년/NNB
전부터	전/NNG+부터/JX
사용이	사용/NNG+이/JKS
금지된	금지/NNG+되/XSV+ㄴ/ETM
디클로르보스가	디클로르보스/NNG+가/JKS
든	들/VV+ㄴ/ETM
살충제가	살충제/NNG+가/JKS
지금까지	지금/NNG+까지/JX
계속	계속/MAG
유통돼	유통/NNG+되/XSV+어/EC
온	오/VX+ㄴ/ETM
것과	것/NNB+과/JKB
관련해	관련/NNG+하/XSV+아/EC
환경부는	환경부/NNG+는/JX
"관련	"/SS+관련/NNG
정부	정부/NNG
부처와	부처/NNG+와/JC
해당	해당/NNG
지자체에	지자체/NNG+에/JKB
경위	경위/NNG
파악과	파악/NNG+과/JC
향후	향후/NNG
철저한	철저/NNG+하/XSA+ㄴ/ETM
단속을	단속/NNG+을/JKO
요청했다"고	요청/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


