# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.180
metadata : {}


# id : NWRW1800000044.180.1.1
고양서 한국전쟁 민간인 희생자 파악나서

고양서	고양/NNP+서/JKB
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.180.7.6
문의 070-8223-2700.

문의	문의/NNG
070-8223-2700.	070/SN+-/SO+8223/SN+-/SO+2700/SN+./SF


