# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.313
metadata : {}


# id : NWRW1800000026.313.1.1
'후계자 단독 출마, 97% 찬성'은 북한과 시리아뿐;'3代 세습' 북한 통해 본 '세습 독재' 7개국 연구

'후계자	'/SS+후계자/NNG
단명할	단명/NNG+하/XSV+ㄹ/ETM
것"이라는	것/NNB+"/SS+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000026.313.4.5
하지만 집권 10년이 지난 지금 아버지 세대는 대부분 2선으로 후퇴했고 바샤르의 권력 기반은 갈수록 공고해지고 있다.

하지만	하지만/MAJ
집권	집권/NNG
10년이	10/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
지금	지금/MAG
아버지	아버지/NNG
세대는	세대/NNG+는/JX
대부분	대/XPN+부분/NNG
2선으로	2/SN+선/NNG+으로/JKB
후퇴했고	후퇴/NNG+하/XSV+았/EP+고/EC
바샤르의	바샤르/NNP+의/JKG
권력	권력/NNG
기반은	기반/NNG+은/JX
갈수록	갈수록/MAG
공고해지고	공고하/VA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.313.4.6
무자비한 반대파 탄압도 여전히 진행 중이다.

무자비한	무/XPN+자비/NNG+하/XSA+ㄴ/ETM
반대파	반대파/NNG
탄압도	탄압/NNG+도/JX
여전히	여전히/MAG
진행	진행/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.313.4.7
그는 서방 언론과 인터뷰를 할 때마다 "시리아가 완벽하진 않지만 모든 나라는 거쳐야 할 단계가 있고 시리아도 조금씩 전진하고 있다"며 자신의 통치를 정당화한다.

그는	그/NP+는/JX
서방	서방/NNG
언론과	언론/NNG+과/JKB
인터뷰를	인터뷰/NNG+를/JKO
할	하/VX+ㄹ/ETM
때마다	때/NNG+마다/JX
"시리아가	"/SS+시리아/NNP+가/JKS
완벽하진	완벽/NNG+하/XSA+지/EC+ㄴ/JX
않지만	않/VX+지만/EC
모든	모든/MMN
나라는	나라/NNG+는/JX
거쳐야	거치/VV+어야/EC
단계가	단계/NNG+가/JKS
있고	있/VA+고/EC
시리아도	시리아/NNP+도/JX
조금씩	조금/NNG+씩/XSN
전진하고	전진/NNG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
자신의	자신/NNG+의/JKG
통치를	통치/NNG+를/JKO
정당화한다.	정당화/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.313.5.1
콩고민주공화국의 조지프 카빌라 현 대통령은 2001년 군벌 지도자 출신의 아버지 로랑 카빌라(Kabila) 전 대통령이 암살된 직후 대통령직을 맡았다.

콩고민주공화국의	콩고민주공화국/NNP+의/JKG
조지프	조지프/NNP
카빌라	카빌라/NNP
현	현/MMD
대통령은	대통령/NNG+은/JX
2001년	2001/SN+년/NNB
군벌	군벌/NNG
지도자	지도자/NNG
출신의	출신/NNG+의/JKG
아버지	아버지/NNG
로랑	로랑/NNP
카빌라(Kabila)	카빌라/NNP+(/SS+Kabila/SL+)/SS
전	전/MMD
대통령이	대통령/NNG+이/JKS
암살된	암살/NNG+되/XSV+ㄴ/ETM
직후	직후/NNG
대통령직을	대통령직/NNG+을/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.313.5.2
2005년 '35세 이상'인 헌법상 대통령 출마 나이 제한을 '30세 이상'으로 고친 뒤 이듬해 대선에 출마해 당선됐다.

2005년	2005/SN+년/NNB
'35세	'/SS+35/SN+세/NNB
이상'인	이상/NNG+'/SS+이/VCP+ㄴ/ETM
헌법상	헌법/NNG+상/XSN
대통령	대통령/NNG
출마	출마/NNG
나이	나이/NNG
제한을	제한/NNG+을/JKO
'30세	'/SS+30/SN+세/NNB
이상'으로	이상/NNG+'/SS+으로/JKB
고친	고치/VV+ㄴ/ETM
뒤	뒤/NNG
이듬해	이듬해/NNG
대선에	대선/NNG+에/JKB
출마해	출마/NNG+하/XSV+아/EC
당선됐다.	당선/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.313.5.3
아버지 카빌라의 친자(親子)가 아니라는 소문이 파다했고 반군 시절 아동 병사의 징병과 운용을 주도했다는 의혹이 잇따랐다.

아버지	아버지/NNG
카빌라의	카빌라/NNP+의/JKG
친자(親子)가	친자/NNG+(/SS+親子/SH+)/SS+가/JKC
아니라는	아니/VCN+라는/ETM
소문이	소문/NNG+이/JKS
파다했고	파다하/VA+았/EP+고/EC
반군	반군/NNG
시절	시절/NNG
아동	아동/NNG
병사의	병사/NNG+의/JKG
징병과	징병/NNG+과/JC
운용을	운용/NNG+을/JKO
주도했다는	주도/NNG+하/XSV+았/EP+다는/ETM
의혹이	의혹/NNG+이/JKS
잇따랐다.	잇따르/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.313.5.4
프랑스 르 몽드는 지난주 "현 콩고 대통령이 인접국 르완다군과 협력해 반군들의 학살 사건을 방치했다"고 보도했다.

프랑스	프랑스/NNP
르	르/NNP
몽드는	몽드/NNP+는/JX
지난주	지난주/NNG
"현	"/SS+현/MMD
콩고	콩고/NNP
대통령이	대통령/NNG+이/JKS
인접국	인접국/NNG
르완다군과	르완다군/NNG+과/JKB
협력해	협력/NNG+하/XSV+아/EC
반군들의	반군/NNG+들/XSN+의/JKG
학살	학살/NNG
사건을	사건/NNG+을/JKO
방치했다"고	방치/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.313.5.5
카빌라는 지난해 뉴욕타임스와 인터뷰에서 "통제 불능인 상황을 통제해야 하는 것이 가장 큰 문제"라고 말했다.

카빌라는	카빌라/NNP+는/JX
지난해	지난해/NNG
뉴욕타임스와	뉴욕타임스/NNP+와/JKB
인터뷰에서	인터뷰/NNG+에서/JKB
"통제	"/SS+통제/NNG
불능인	불능/NNG+이/VCP+ㄴ/ETM
상황을	상황/NNG+을/JKO
통제해야	통제/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
것이	것/NNB+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
문제"라고	문제/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.313.6.1
◆선거부정 만연… 비난엔 '모르쇠'

◆선거부정	◆/SW+선거/NNG+부정/NNG
만연…	만연/NNG+…/SE
비난엔	비난/NNG+에/JKB+ㄴ/JX
'모르쇠'	'/SS+모르쇠/NNG+'/SS


# id : NWRW1800000026.313.7.1
아버지 헤이다르 알리예프 대통령이 통치하는 아제르바이잔에서 아들 일함이 존재감을 나타내기 시작한 것은 1994년 아제르바이잔 국영석유회사(SOCAR)의 부사장으로 서방 에너지기업들과 석유개발 계약을 마무리하면서부터다.

아버지	아버지/NNG
헤이다르	헤이다르/NNP
알리예프	알리예프/NNP
대통령이	대통령/NNG+이/JKS
통치하는	통치/NNG+하/XSV+는/ETM
아제르바이잔에서	아제르바이잔/NNP+에서/JKB
아들	아들/NNG
일함이	일함/NNP+이/JKS
존재감을	존재감/NNG+을/JKO
나타내기	나타내/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
1994년	1994/SN+년/NNB
아제르바이잔	아제르바이잔/NNP
국영석유회사(SOCAR)의	국영/NNG+석유/NNG+회사/NNG+(/SS+SOCAR/SL+)/SS+의/JKG
부사장으로	부사장/NNG+으로/JKB
서방	서방/NNG
에너지기업들과	에너지/NNG+기업/NNG+들/XSN+과/JKB
석유개발	석유/NNG+개발/NNG
계약을	계약/NNG+을/JKO
마무리하면서부터다.	마무리/NNG+하/XSV+면서/EC+부터/JX+이/VCP+다/EF+./SF


# id : NWRW1800000026.313.7.2
이후 일함은 국회의원, 유럽 주재 대표, 총리 등으로 후계자 코스를 밟았다.

이후	이후/NNG
일함은	일함/NNP+은/JX
국회의원,	국회/NNG+의원/NNG+,/SP
유럽	유럽/NNP
주재	주재/NNG
대표,	대표/NNG+,/SP
총리	총리/NNG
등으로	등/NNB+으로/JKB
후계자	후계자/NNG
코스를	코스/NNG+를/JKO
밟았다.	밟/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.313.7.3
2003년 10월 대선에서 당선됐을 때 득표율은 77%다.

2003년	2003/SN+년/NNB
10월	10/SN+월/NNB
대선에서	대선/NNG+에서/JKB
당선됐을	당선/NNG+되/XSV+었/EP+을/ETM
때	때/NNG
득표율은	득표/NNG+율/XSN+은/JX
77%다.	77/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000026.313.7.4
국제기구들은 "불공정한 선거운동, 투표 방해 등이 만연했다"는 보고서를 내놨지만 일함 대통령은 끄떡도 하지 않았다.

국제기구들은	국제기구/NNG+들/XSN+은/JX
"불공정한	"/SS+불/XPN+공정/NNG+하/XSA+ㄴ/ETM
선거운동,	선거/NNG+운동/NNG+,/SP
투표	투표/NNG
방해	방해/NNG
등이	등/NNB+이/JKS
만연했다"는	만연/NNG+하/XSV+았/EP+다/EF+"/SS+는/ETM
보고서를	보고서/NNG+를/JKO
내놨지만	내놓/VV+았/EP+지만/EC
일함	일함/NNP
대통령은	대통령/NNG+은/JX
끄떡도	끄떡/MAG+도/JX
하지	하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.313.7.5
2006년 4월엔 미국을 방문해 외교협회(CFR)에서 연설하고 조지 W 부시 당시 대통령과 회담했다.

2006년	2006/SN+년/NNB
4월엔	4/SN+월/NNB+에/JKB+ㄴ/JX
미국을	미국/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
외교협회(CFR)에서	외교협회/NNP+(/SS+CFR/SL+)/SS+에서/JKB
연설하고	연설/NNG+하/XSV+고/EC
조지	조지/NNP
W	W/SL
부시	부시/NNP
당시	당시/NNG
대통령과	대통령/NNG+과/JKB
회담했다.	회담/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.313.7.6
당시 미국언론들조차 "선거 부정과 권력 세습에 면죄부를 준다"는 비난을 쏟아냈다.

당시	당시/NNG
미국언론들조차	미국/NNP+언론/NNG+들/XSN+조차/JX
"선거	"/SS+선거/NNG
부정과	부정/NNG+과/JC
권력	권력/NNG
세습에	세습/NNG+에/JKB
면죄부를	면죄부/NNG+를/JKO
준다"는	주/VV+ㄴ다/EF+"/SS+는/ETM
비난을	비난/NNG+을/JKO
쏟아냈다.	쏟/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.313.8.1
'공산혁명 1세대' 간의 권력 이동이라는 특수성이 있으나, 쿠바 역시 부자(父子)가 아닌 형제간 권력 세습의 드문 사례로 꼽을 수 있다.

'공산혁명	'/SS+공산혁명/NNG
1세대'	1/SN+세대/NNG+'/SS
간의	간/NNB+의/JKG
권력	권력/NNG
이동이라는	이동/NNG+이/VCP+라는/ETM
특수성이	특수/NNG+성/XSN+이/JKS
있으나,	있/VA+으나/EC+,/SP
쿠바	쿠바/NNP
역시	역시/MAG
부자(父子)가	부자/NNG+(/SS+父子/SH+)/SS+가/JKC
아닌	아니/VCN+ㄴ/ETM
형제간	형제간/NNG
세습의	세습/NNG+의/JKG
드문	드물/VA+ㄴ/ETM
사례로	사례/NNG+로/JKB
꼽을	꼽/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.313.8.2
라울 카스트로(79) 쿠바 국가평의회 의장은 형 피델(84)의 뒤를 이어 국가의 최고 지위에 올랐다.

라울	라울/NNP
카스트로(79)	카스트로/NNP+(/SS+79/SN+)/SS
쿠바	쿠바/NNP
국가평의회	국가평의회/NNP
의장은	의장/NNG+은/JX
형	형/NNG
피델(84)의	피델/NNP+(/SS+84/SN+)/SS+의/JKG
뒤를	뒤/NNG+를/JKO
이어	잇/VV+어/EC
국가의	국가/NNG+의/JKG
최고	최고/NNG
지위에	지위/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.313.8.3
라울은 쿠바 국가평의회에 형 피델의 자리를 비워 놓고 자신은 항상 두 번째 자리에 앉으며 깍듯이 존경을 표하는 동시에, 형과 자신이 만든 소비에트식 계획경제의 개혁 작업도 진행 중이다.

라울은	라울/NNP+은/JX
쿠바	쿠바/NNP
국가평의회에	국가평의회/NNP+에/JKB
형	형/NNG
피델의	피델/NNP+의/JKG
자리를	자리/NNG+를/JKO
비워	비우/VV+어/EC
놓고	놓/VX+고/EC
자신은	자신/NNG+은/JX
항상	항상/MAG
두	두/MMN
번째	번/NNB+째/XSN
자리에	자리/NNG+에/JKB
앉으며	앉/VV+으며/EC
깍듯이	깍듯이/MAG
존경을	존경/NNG+을/JKO
표하는	표/NNG+하/XSV+는/ETM
동시에,	동시/NNG+에/JKB+,/SP
형과	형/NNG+과/JC
자신이	자신/NNG+이/JKS
만든	만들/VV+ㄴ/ETM
소비에트식	소비에트식/NNG
계획경제의	계획/NNG+경제/NNG+의/JKG
개혁	개혁/NNG
작업도	작업/NNG+도/JX
진행	진행/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.313.9.1
◆잠재적 후계자들 치밀한 '대권 행보'

◆잠재적	◆/SW+잠재/NNG+적/XSN
후계자들	후계자/NNG+들/XSN
치밀한	치밀하/VA+ㄴ/ETM
'대권	'/SS+대권/NNG
행보'	행보/NNG+'/SS


# id : NWRW1800000026.313.10.1
사이프 알 이슬람 무아마르 알 카다피(38)는 카다피(68) 리비아 국가원수의 차남이다.

사이프	사이프/NNP
알	알/NNP
이슬람	이슬람/NNG
무아마르	무아마르/NNP
카다피(38)는	카다피/NNP+(/SS+38/SN+)/SS+는/JX
카다피(68)	카다피/NNP+(/SS+68/SN+)/SS
리비아	리비아/NNP
국가원수의	국가/NNG+원수/NNG+의/JKG
차남이다.	차남/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.313.10.2
일곱 아들 중 권력 승계 경쟁에서 가장 앞서 있다는 분석이 많다.

일곱	일곱/NR
아들	아들/NNG
중	중/NNB
권력	권력/NNG
승계	승계/NNG
경쟁에서	경쟁/NNG+에서/JKB
가장	가장/MAG
앞서	앞서/VV+어/EC
있다는	있/VX+다는/ETM
분석이	분석/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000026.313.10.3
그런 그가 지난 1월 영국 런던 기자회견에서 "새로운 헌법과 투명한 선거가 실현되기 전에는 어떤 공직도 맡지 않겠다. 권력은 독점해선 안 되며 공직 진출 기회는 평등하게 보장돼야 한다"고 발언했다.

그런	그런/MMD
그가	그/NP+가/JKS
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
영국	영국/NNP
런던	런던/NNP
기자회견에서	기자/NNG+회견/NNG+에서/JKB
"새로운	"/SS+새롭/VA+ㄴ/ETM
헌법과	헌법/NNG+과/JC
투명한	투명/NNG+하/XSA+ㄴ/ETM
선거가	선거/NNG+가/JKS
실현되기	실현/NNG+되/XSV+기/ETN
전에는	전/NNG+에/JKB+는/JX
어떤	어떤/MMD
공직도	공직/NNG+도/JX
맡지	맡/VV+지/EC
않겠다.	않/VX+겠/EP+다/EF+./SF
권력은	권력/NNG+은/JX
독점해선	독점/NNG+하/XSV+아서/EC+ㄴ/JX
안	안/MAG
되며	되/VV+며/EC
공직	공직/NNG
진출	진출/NNG
기회는	기회/NNG+는/JX
평등하게	평등/NNG+하/XSA+게/EC
보장돼야	보장/NNG+되/XSV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
발언했다.	발언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.313.10.4
듣기에 따라서는 1969년 이후 42년째 권력을 독점하는 아버지에 대한 '도전'으로 해석될 수도 있다.

듣기에	듣/VV+기/ETN+에/JKB
따라서는	따르/VV+아서/EC+는/JX
1969년	1969/SN+년/NNB
이후	이후/NNG
42년째	42/SN+년/NNB+째/XSN
권력을	권력/NNG+을/JKO
독점하는	독점/NNG+하/XSV+는/ETM
아버지에	아버지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
'도전'으로	'/SS+도전/NNG+'/SS+으로/JKB
해석될	해석/NNG+되/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.313.10.5
외신들은 이를 "집권 세력 내의 '아웃사이더' 이미지를 만들어 국민적 지지 기반을 확보하려는 고도의 정치적 전략"이라는 분석을 내놨다.

외신들은	외신/NNG+들/XSN+은/JX
이를	이/NP+를/JKO
"집권	"/SS+집권/NNG
세력	세력/NNG
내의	내/NNB+의/JKG
'아웃사이더'	'/SS+아웃사이더/NNG+'/SS
이미지를	이미지/NNG+를/JKO
만들어	만들/VV+어/EC
국민적	국민/NNG+적/XSN
지지	지지/NNG
기반을	기반/NNG+을/JKO
확보하려는	확보/NNG+하/XSV+려는/ETM
고도의	고도/NNG+의/JKG
정치적	정치/NNG+적/XSN
전략"이라는	전략/NNG+"/SS+이/VCP+라는/ETM
분석을	분석/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.313.10.6
사이프는 자연재해나 분쟁으로 고통받는 이슬람권 국가들에 막대한 지원을 하는 '카다피 국제 자선재단'도 설립해 운용하고 있다.

사이프는	사이프/NNP+는/JX
자연재해나	자연재해/NNG+나/JC
분쟁으로	분쟁/NNG+으로/JKB
고통받는	고통/NNG+받/XSV+는/ETM
이슬람권	이슬람/NNG+권/XSN
국가들에	국가/NNG+들/XSN+에/JKB
막대한	막대하/VA+ㄴ/ETM
지원을	지원/NNG+을/JKO
하는	하/VV+는/ETM
'카다피	'/SS+카다피/NNP
국제	국제/NNG
자선재단'도	자선/NNG+재단/NNG+'/SS+도/JX
설립해	설립/NNG+하/XSV+아/EC
운용하고	운용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.313.11.1
이집트에선 호스니 무바라크(82) 대통령의 차남 가말이 후계자의 길을 걷고 있다.

이집트에선	이집트/NNP+에서/JKB+ㄴ/JX
호스니	호스니/NNP
무바라크(82)	무바라크/NNP+(/SS+82/SN+)/SS
대통령의	대통령/NNG+의/JKG
차남	차남/NNG
가말이	가말/NNP+이/JKS
후계자의	후계자/NNG+의/JKG
길을	길/NNG+을/JKO
걷고	걷/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.313.11.2
중동의 명문인 카이로 아메리칸대(AUC) MBA 출신으로 뱅크 오브 아메리카 런던 지점에서 근무했고 투자은행 경영진으로도 활동했다.

중동의	중동/NNP+의/JKG
명문인	명문/NNG+이/VCP+ㄴ/ETM
카이로	카이로/NNP
아메리칸대(AUC)	아메리칸대/NNP+(/SS+AUC/SL+)/SS
MBA	MBA/SL
출신으로	출신/NNG+으로/JKB
뱅크	뱅크/NNP
오브	오브/NNP
아메리카	아메리카/NNP
런던	런던/NNP
지점에서	지점/NNG+에서/JKB
근무했고	근무/NNG+하/XSV+았/EP+고/EC
투자은행	투자/NNG+은행/NNG
경영진으로도	경영진/NNG+으로/JKB+도/JX
활동했다.	활동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.313.11.3
중동의 젊은이들이 선망하는 '서방 대학 출신의 고학력 전문직'이다.

중동의	중동/NNP+의/JKG
젊은이들이	젊은이/NNG+들/XSN+이/JKS
선망하는	선망/NNG+하/XSV+는/ETM
'서방	'/SS+서방/NNG
대학	대학/NNG
출신의	출신/NNG+의/JKG
고학력	고/XPN+학력/NNG
전문직'이다.	전문직/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000026.313.11.4
그는 자신의 경력을 십분 활용해 고학력 청년 실업자들의 마음을 파고들었다.

그는	그/NP+는/JX
자신의	자신/NNG+의/JKG
경력을	경력/NNG+을/JKO
십분	십분/MAG
활용해	활용/NNG+하/XSV+아/EC
