# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.243
metadata : {}


# id : NWRW1800000024.243.1.1
감옥에서 자란 교육민주화 씨앗

감옥에서	감옥/NNG+에서/JKB
옥중	옥중/NNG
서간집’이다.	서간집/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000024.243.3.5
1922년 경북 의성에서 난 지은이는 대구의 한 고등학교에서 교편을 잡고 있던 1960년 4·19혁명 때 어린 제자들의 의기와 희생을 목격하고 “구구한 변명과 고식적인 자괴보다 실천적 행동으로써만 그들에게 보답할 수 있다”는 믿음으로 우리나라 최초의 교원노동조합 결성에 앞장섰다.

1922년	1922/SN+년/NNB
경북	경북/NNP
의성에서	의성/NNP+에서/JKB
난	나/VV+ㄴ/ETM
지은이는	지은이/NNG+는/JX
대구의	대구/NNP+의/JKG
한	한/MMN
고등학교에서	고등학교/NNG+에서/JKB
교편을	교편/NNG+을/JKO
잡고	잡/VV+고/EC
있던	있/VX+던/ETM
1960년	1960/SN+년/NNB
4·19혁명	4/SN+·/SP+19/SN+혁명/NNG
때	때/NNG
어린	어리/VA+ㄴ/ETM
제자들의	제자/NNG+들/XSN+의/JKG
의기와	의기/NNG+와/JC
희생을	희생/NNG+을/JKO
목격하고	목격/NNG+하/XSV+고/EC
“구구한	“/SS+구구하/VA+ㄴ/ETM
변명과	변명/NNG+과/JC
고식적인	고식/NNG+적/XSN+이/VCP+ㄴ/ETM
자괴보다	자괴/NNG+보다/JKB
실천적	실천/NNG+적/XSN
행동으로써만	행동/NNG+으로써/JKB+만/JX
그들에게	그/NP+들/XSN+에게/JKB
보답할	보답/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”는	있/VA+다/EF+”/SS+는/ETM
믿음으로	믿음/NNG+으로/JKB
우리나라	우리나라/NNG
최초의	최초/NNG+의/JKG
교원노동조합	교원/NNG+노동조합/NNG
결성에	결성/NNG+에/JKB
앞장섰다.	앞장서/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.243.3.6
“올바른 민주학원을 건설해 이 나라 민주주의의 교두보를 구축”하기 위해서였다.

“올바른	“/SS+올바르/VA+ㄴ/ETM
민주학원을	민주/NNG+학원/NNG+을/JKO
건설해	건설/NNG+하/XSV+아/EC
이	이/MMD
나라	나라/NNG
민주주의의	민주주의/NNG+의/JKG
교두보를	교두보/NNG+를/JKO
구축”하기	구축/NNG+”/SS+하/XSV+기/ETN
위해서였다.	위하/VV+아서/EC+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.243.3.7
1961년 5·16 쿠데타 세력은 그를 ‘특수 반국가행위’로 기소해 10년형을 선고했다.

1961년	1961/SN+년/NNB
5·16	5/SN+·/SP+16/SN
쿠데타	쿠데타/NNG
세력은	세력/NNG+은/JX
그를	그/NP+를/JKO
‘특수	‘/SS+특수/NNG
반국가행위’로	반/XPN+국가/NNG+행위/NNG+’/SS+로/JKB
기소해	기소/NNG+하/XSV+아/EC
10년형을	10/SN+년/NNB+형/NNG+을/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.243.3.8
지은이는 5년 동안 감옥에 갇혔지만, 그가 주도한 한교조는 오늘날 전국교직원노조(전교조)로 명맥이 이어졌다.

지은이는	지은이/NNG+는/JX
5년	5/SN+년/NNB
동안	동안/NNG
감옥에	감옥/NNG+에/JKB
갇혔지만,	갇히/VV+었/EP+지만/EC+,/SP
그가	그/NP+가/JKS
주도한	주도/NNG+하/XSV+ㄴ/ETM
한교조는	한교조/NNP+는/JX
오늘날	오늘날/NNG
전국교직원노조(전교조)로	전국교직원노조/NNP+(/SS+전교조/NNP+)/SS+로/JKB
명맥이	명맥/NNG+이/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.243.4.1
이 책은 단순히 감옥 담장을 넘어온 사신이라기보다, 50년 세월을 뛰어넘은 산 역사이자 어언 미수(米壽)에 이른 선구적 지식인의 뜨거웠던 삶의 단면이다.

이	이/MMD
책은	책/NNG+은/JX
단순히	단순히/MAG
감옥	감옥/NNG
담장을	담장/NNG+을/JKO
넘어온	넘어오/VV+ㄴ/ETM
사신이라기보다,	사신/NNG+이/VCP+라기/ETN+보다/JKB+,/SP
50년	50/SN+년/NNB
세월을	세월/NNG+을/JKO
뛰어넘은	뛰어넘/VV+은/ETM
산	살/VV+ㄴ/ETM
역사이자	역사/NNG+이/VCP+자/EC
어언	어언/MAG
미수(米壽)에	미수/NNG+(/SS+米壽/SH+)/SS+에/JKB
이른	이르/VV+ㄴ/ETM
선구적	선구/NNG+적/XSN
지식인의	지식인/NNG+의/JKG
뜨거웠던	뜨겁/VA+었/EP+던/ETM
삶의	삶/NNG+의/JKG
단면이다.	단면/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.243.4.2
다섯 자녀와 아내, 장모와 주고받은 편지들에는 공인으로서의 철학과 한 개인으로서의 진솔한 감정들도 오롯이 녹아 있다.

다섯	다섯/NR
자녀와	자녀/NNG+와/JC
아내,	아내/NNG+,/SP
장모와	장모/NNG+와/JKB
주고받은	주고받/VV+은/ETM
편지들에는	편지/NNG+들/XSN+에/JKB+는/JX
공인으로서의	공인/NNG+으로서/JKB+의/JKG
철학과	철학/NNG+과/JC
한	한/MMN
개인으로서의	개인/NNG+으로서/JKB+의/JKG
진솔한	진솔하/VA+ㄴ/ETM
감정들도	감정/NNG+들/XSN+도/JX
오롯이	오롯이/MAG
녹아	녹/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.243.4.3
정해숙 전 전교조 위원장은 “한 시대가 다른 시대 속에서 찾아내는 주목할 만한 기록”이라고 헌사했다.

정해숙	정해숙/NNP
전	전/MMD
전교조	전교조/NNP
위원장은	위원장/NNG+은/JX
“한	“/SS+한/MMN
시대가	시대/NNG+가/JKS
다른	다른/MMD
시대	시대/NNG
속에서	속/NNG+에서/JKB
찾아내는	찾아내/VV+는/ETM
주목할	주목/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
기록”이라고	기록/NNG+”/SS+이라고/JKQ
헌사했다.	헌사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.243.4.4
엄혹한 현실은, 50년 전 군사쿠데타 집단의 으름장이 반세기가 흐른 지금도 집권세력과 교육부 관료들과 검찰 같은 이른바 ‘엘리트 집단’ 일부에서 시퍼렇다는 것.

엄혹한	엄혹하/VA+ㄴ/ETM
현실은,	현실/NNG+은/JX+,/SP
50년	50/SN+년/NNB
전	전/NNG
군사쿠데타	군사/NNG+쿠데타/NNG
집단의	집단/NNG+의/JKG
으름장이	으름장/NNG+이/JKS
반세기가	반세기/NNG+가/JKS
흐른	흐르/VV+ㄴ/ETM
지금도	지금/NNG+도/JX
집권세력과	집권/NNG+세력/NNG+과/JC
교육부	교육부/NNG
관료들과	관료/NNG+들/XSN+과/JC
검찰	검찰/NNG
같은	같/VA+은/ETM
이른바	이른바/MAG
‘엘리트	‘/SS+엘리트/NNG
집단’	집단/NNG+’/SS
일부에서	일부/NNG+에서/JKB
시퍼렇다는	시퍼렇/VA+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000024.243.4.5
/우리교육·1만8000원.

/우리교육·1만8000원.	//SP+우리교육/NNP+·/SP+1/SN+만/NR+8000/SN+원/NNB+./SF


