# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.421
metadata : {}


# id : NWRW1800000054.421.1.1
文대통령 추석 후 첫 메시지는 '적폐청산과 민생'

文대통령	文/SH+대통령/NNG
대통령은	대통령/NNG+은/JX
이와	이/NP+와/JKB
함께	함께/MAG
2019년을	2019/SN+년/NNB+을/JKO
'대한민국	'/SS+대한민국/NNP
100년의	100/SN+년/NNB+의/JKG
해'로	해/NNG+'/SS+로/JKB
규정하면서	규정/NNG+하/XSV+면서/EC
내년부터	내년/NNG+부터/JX
관련	관련/NNG
준비에	준비/NNG+에/JKB
착수할	착수/NNG+하/XSV+ㄹ/ETM
것도	것/NNB+도/JX
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.421.3.4
1919년 임시정부 수립을 건국 기준으로 보고 관련 행사를 준비하겠다는 뜻으로 해석됐다.

1919년	1919/SN+년/NNB
임시정부	임시/NNG+정부/NNG
수립을	수립/NNG+을/JKO
건국	건국/NNG
기준으로	기준/NNG+으로/JKB
보고	보/VV+고/EC
관련	관련/NNG
행사를	행사/NNG+를/JKO
준비하겠다는	준비/NNG+하/XSV+겠/EP+다는/ETM
뜻으로	뜻/NNG+으로/JKB
해석됐다.	해석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.421.4.1
◇"적폐 청산은 관행의 혁신"

◇"적폐	◇/SW+"/SS+적폐/NNG
청산은	청산/NNG+은/JX
관행의	관행/NNG+의/JKG
혁신"	혁신/NNG+"/SS


# id : NWRW1800000054.421.5.1
문 대통령은 10일 청와대 수석·보좌관 회의에서 "추석 기간 다시금 확인할 수 있었던 것은 민생과 개혁을 더욱 속도감 있게 추진하라는 엄중한 민심"이라며 "정부는 민심을 받들어 더 비상한 각오로 민생과 개혁에 임해야 한다"고 말했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
10일	10/SN+일/NNB
청와대	청와대/NNP
수석·보좌관	수석/NNG+·/SP+보좌관/NNG
회의에서	회의/NNG+에서/JKB
"추석	"/SS+추석/NNG
기간	기간/NNG
다시금	다시금/MAG
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
것은	것/NNB+은/JX
민생과	민생/NNG+과/JC
개혁을	개혁/NNG+을/JKO
더욱	더욱/MAG
속도감	속도감/NNG
있게	있/VA+게/EC
추진하라는	추진/NNG+하/XSV+라는/ETM
엄중한	엄중/NNG+하/XSA+ㄴ/ETM
민심"이라며	민심/NNG+"/SS+이/VCP+라며/EC
"정부는	"/SS+정부/NNG+는/JX
민심을	민심/NNG+을/JKO
받들어	받들/VV+어/EC
더	더/MAG
비상한	비상/NNG+하/XSA+ㄴ/ETM
각오로	각오/NNG+로/JKB
개혁에	개혁/NNG+에/JKB
임해야	임하/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.421.5.2
추석 이후 대통령이 주재한 첫 수석·보좌관 회의였다.

추석	추석/NNG
이후	이후/NNG
대통령이	대통령/NNG+이/JKS
주재한	주재/NNG+하/XSV+ㄴ/ETM
첫	첫/MMN
수석·보좌관	수석/NNG+·/SP+보좌관/NNG
회의였다.	회의/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.421.6.1
문 대통령은 '적폐 청산은 정치 보복'이라는 정치권의 논란을 의식한 듯 "적폐 청산과 개혁은 사정(司正)이 아니라 권력기관과 경제, 사회 등 전 분야에 걸쳐 누적된 관행을 혁신해 나라다운 나라, 정의로운 대한민국을 만드는 것"이라며 "그것은 대한민국의 경쟁력을 높이는 일이기도 하다"고 말했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
'적폐	'/SS+적폐/NNG
청산은	청산/NNG+은/JX
정치	정치/NNG
보복'이라는	보복/NNG+'/SS+이/VCP+라는/ETM
정치권의	정치/NNG+권/XSN+의/JKG
논란을	논란/NNG+을/JKO
의식한	의식/NNG+하/XSV+ㄴ/ETM
듯	듯/NNB
"적폐	"/SS+적폐/NNG
청산과	청산/NNG+과/JC
개혁은	개혁/NNG+은/JX
사정(司正)이	사정/NNG+(/SS+司正/SH+)/SS+이/JKC
아니라	아니/VCN+라/EC
권력기관과	권력/NNG+기관/NNG+과/JC
경제,	경제/NNG+,/SP
사회	사회/NNG
등	등/NNB
전	전/MMN
분야에	분야/NNG+에/JKB
걸쳐	걸치/VV+어/EC
누적된	누적/NNG+되/XSV+ㄴ/ETM
관행을	관행/NNG+을/JKO
혁신해	혁신/NNG+하/XSV+아/EC
나라다운	나라/NNG+답/XSA+ㄴ/ETM
나라,	나라/NNG+,/SP
정의로운	정의/NNG+롭/XSA+ㄴ/ETM
대한민국을	대한민국/NNP+을/JKO
만드는	만들/VV+는/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"그것은	"/SS+그것/NP+은/JX
대한민국의	대한민국/NNP+의/JKG
경쟁력을	경쟁력/NNG+을/JKO
높이는	높이/VV+는/ETM
일이기도	일/NNG+이/VCP+기/ETN+도/JX
하다"고	하/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.421.6.2
문 대통령은 지난달 26일 열린 반부패정책협의회 첫 회의에서도 "지난 수년간 국민의 삶을 옥죄고 국민의 세금을 자기 주머니 속의 돈인 양 탕진했다"며 지난 정부에 대한 강도 높은 사정을 예고했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
지난달	지난달/NNG
26일	26/SN+일/NNB
열린	열리/VV+ㄴ/ETM
반부패정책협의회	반/XPN+부패/NNG+정책/NNG+협의회/NNG
첫	첫/MMN
회의에서도	회의/NNG+에서/JKB+도/JX
"지난	"/SS+지나/VV+ㄴ/ETM
수년간	수년/NNG+간/XSN
국민의	국민/NNG+의/JKG
삶을	삶/NNG+을/JKO
옥죄고	옥죄/VV+고/EC
세금을	세금/NNG+을/JKO
자기	자기/NNG
주머니	주머니/NNG
속의	속/NNG+의/JKG
돈인	돈/NNG+이/VCP+ㄴ/ETM
양	양/NNB
탕진했다"며	탕진/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
지난	지나/VV+ㄴ/ETM
정부에	정부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
강도	강도/NNG
높은	높/VA+은/ETM
사정을	사정/NNG+을/JKO
예고했다.	예고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.421.7.1
문 대통령은 '적폐 청산'과 함께 '민생'도 강조했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
'적폐	'/SS+적폐/NNG
청산'과	청산/NNG+'/SS+과/JKB
함께	함께/MAG
'민생'도	'/SS+민생/NNG+'/SS+도/JX
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.421.7.2
추석 민심을 접한 여야(與野) 의원들이 한결같이 강조한 것도 안보 문제와 민생이었다.

추석	추석/NNG
민심을	민심/NNG+을/JKO
접한	접하/VV+ㄴ/ETM
여야(與野)	여야/NNG+(/SS+與野/SH+)/SS
의원들이	의원/NNG+들/XSN+이/JKS
한결같이	한결같이/MAG
강조한	강조/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
안보	안보/NNG
문제와	문제/NNG+와/JC
민생이었다.	민생/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.421.7.3
문 대통령은 "민생에서도 새 정부의 경제정책 기조와 성과에 대해 자신감을 갖고 임해주길 바란다"며 "북핵 위기가 발목을 잡는 가운데서도 우리 경제의 기초는 아주 튼튼하고 굳건하다"고 했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
"민생에서도	"/SS+민생/NNG+에서/JKB+도/JX
새	새/MMA
정부의	정부/NNG+의/JKG
경제정책	경제/NNG+정책/NNG
기조와	기조/NNG+와/JC
성과에	성과/NNG+에/JKB
대해	대하/VV+아/EC
자신감을	자신감/NNG+을/JKO
갖고	갖/VV+고/EC
임해주길	임하/VV+아/EC+주/VX+기/ETN+ㄹ/JKO
바란다"며	바라/VV+ㄴ다/EF+"/SS+며/EC
"북핵	"/SS+북핵/NNG
위기가	위기/NNG+가/JKS
발목을	발목/NNG+을/JKO
잡는	잡/VV+는/ETM
가운데서도	가운데/NNG+서/JKB+도/JX
우리	우리/NP
경제의	경제/NNG+의/JKG
기초는	기초/NNG+는/JX
아주	아주/MAG
튼튼하고	튼튼하/VA+고/EC
굳건하다"고	굳건하/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.421.7.4
문 대통령은 "지난달 수출이 551억달러로 사상 최대 실적을 기록해 작년보다 35% 증가했다"며 "박근혜 정부에서 2%대로 추락한 경제성장률을 끌어올리는 한편, 성장이 일자리로 이어져 성장 혜택이 국민에게 소득으로 돌아가도록 하는 데 사명감과 자신감을 가져달라"고 했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
"지난달	"/SS+지난달/NNG
수출이	수출/NNG+이/JKS
551억달러로	551/SN+억/NR+달러/NNB+로/JKB
사상	사상/NNG
최대	최대/NNG
실적을	실적/NNG+을/JKO
기록해	기록/NNG+하/XSV+아/EC
작년보다	작년/NNG+보다/JKB
35%	35/SN+%/SW
증가했다"며	증가/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"박근혜	"/SS+박근혜/NNP
정부에서	정부/NNG+에서/JKB
2%대로	2/SN+%/SW+대/XSN+로/JKB
추락한	추락/NNG+하/XSV+ㄴ/ETM
경제성장률을	경제/NNG+성장/NNG+률/XSN+을/JKO
끌어올리는	끌어올리/VV+는/ETM
한편,	한편/NNG+,/SP
성장이	성장/NNG+이/JKS
일자리로	일자리/NNG+로/JKB
이어져	이어지/VV+어/EC
성장	성장/NNG
혜택이	혜택/NNG+이/JKS
국민에게	국민/NNG+에게/JKB
소득으로	소득/NNG+으로/JKB
돌아가도록	돌아가/VV+도록/EC
하는	하/VX+는/ETM
데	데/NNB
사명감과	사명감/NNG+과/JC
자신감을	자신감/NNG+을/JKO
가져달라"고	가지/VV+어/EC+달/VX+라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.421.8.1
문 대통령은 취임 이후 비정규직의 정규직화, 최저임금 인상 등 '소득 주도 성장'에 초점을 맞춰왔지만, 일자리 문제 등에서 가시적 성과가 나오지 않으면서 지난달부터 "혁신 성장에 속도를 내라"고 주문해왔다.

문	문/NNP
대통령은	대통령/NNG+은/JX
취임	취임/NNG
이후	이후/NNG
비정규직의	비/XPN+정규직/NNG+의/JKG
정규직화,	정규직/NNG+화/XSN+,/SP
최저임금	최저/NNG+임금/NNG
인상	인상/NNG
등	등/NNB
'소득	'/SS+소득/NNG
주도	주도/NNG
성장'에	성장/NNG+'/SS+에/JKB
초점을	초점/NNG+을/JKO
맞춰왔지만,	맞추/VV+어/EC+오/VX+았/EP+지만/EC+,/SP
일자리	일자리/NNG
문제	문제/NNG
등에서	등/NNB+에서/JKB
가시적	가시/NNG+적/XSN
성과가	성과/NNG+가/JKS
나오지	나오/VV+지/EC
않으면서	않/VX+으면서/EC
지난달부터	지난달/NNG+부터/JX
"혁신	"/SS+혁신/NNG
성장에	성장/NNG+에/JKB
속도를	속도/NNG+를/JKO
내라"고	내/VV+어라/EF+"/SS+고/JKQ
주문해왔다.	주문/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.421.8.2
문 대통령은 이날 장병규 4차산업혁명위원회 위원장에게 위촉장을 수여하는 자리에서도 "우리 정부의 핵심적 성장 방안 중 하나인 혁신 성장 방안도 함께 이끌어 달라"고 말했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
장병규	장병규/NNP
4차산업혁명위원회	4/SN+차/NNB+산업/NNG+혁명/NNG+위원회/NNG
위원장에게	위원장/NNG+에게/JKB
위촉장을	위촉장/NNG+을/JKO
수여하는	수여/NNG+하/XSV+는/ETM
자리에서도	자리/NNG+에서/JKB+도/JX
"우리	"/SS+우리/NP
정부의	정부/NNG+의/JKG
핵심적	핵심/NNG+적/XSN
성장	성장/NNG
방안	방안/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
혁신	혁신/NNG
방안도	방안/NNG+도/JX
함께	함께/MAG
이끌어	이끌/VV+어/EC
달라"고	달/VX+라/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.421.8.3
문 대통령은 "벤처, 창업 등을 통해 우리가 신(新)산업 분야, 신(新)성장 분야까지 이끌어나가는 핵심적 역할을 해달라"고 말했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
"벤처,	"/SS+벤처/NNG+,/SP
창업	창업/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
우리가	우리/NP+가/JKS
신(新)산업	신/XPN+(/SS+新/SH+)/SS+산업/NNG
분야,	분야/NNG+,/SP
신(新)성장	신/XPN+(/SS+新/SH+)/SS+성장/NNG
분야까지	분야/NNG+까지/JX
이끌어나가는	이끌/VV+어/EC+나가/VX+는/ETM
핵심적	핵심/NNG+적/XSN
역할을	역할/NNG+을/JKO
해달라"고	하/VV+아/EC+달/VX+라/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.421.9.1
한편 문 대통령은 신고리 5·6호기 문제와 관련해 "정부는 그동안 공론화 과정에 대해 어떤 간섭과 개입 없이 공정한 중립 원칙을 지켜왔고, 어떤 결과가 나오든 그 결과를 존중해 결정을 내릴 것"이라고 말했다.

한편	한편/MAG
문	문/NNP
대통령은	대통령/NNG+은/JX
신고리	신/XPN+고리/NNP
5·6호기	5/SN+·/SP+6/SN+호기/NNB
문제와	문제/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
"정부는	"/SS+정부/NNG+는/JX
그동안	그동안/NNG
공론화	공론/NNG+화/XSN
과정에	과정/NNG+에/JKB
대해	대하/VV+아/EC
어떤	어떤/MMD
간섭과	간섭/NNG+과/JC
개입	개입/NNG
없이	없이/MAG
공정한	공정/NNG+하/XSA+ㄴ/ETM
중립	중립/NNG
원칙을	원칙/NNG+을/JKO
지켜왔고,	지키/VV+어/EC+오/VX+았/EP+고/EC+,/SP
결과가	결과/NNG+가/JKS
나오든	나오/VV+든/EC
그	그/MMD
결과를	결과/NNG+를/JKO
존중해	존중/NNG+하/XSV+아/EC
결정을	결정/NNG+을/JKO
내릴	내리/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.421.9.2
공론 조사 시민참여단은 오는 13일부터 15일까지 최종 찬반 조사를 하는데, 이를 통해 신고리 5·6호기 건설 중단 여부가 사실상 결정될 예정이다.

공론	공론/NNG
조사	조사/NNG
시민참여단은	시민/NNG+참여단/NNG+은/JX
오는	오/VV+는/ETM
13일부터	13/SN+일/NNB+부터/JX
15일까지	15/SN+일/NNB+까지/JX
최종	최종/NNG
찬반	찬반/NNG
조사를	조사/NNG+를/JKO
하는데,	하/VV+는데/EC+,/SP
이를	이/NP+를/JKO
통해	통하/VV+아/EC
신고리	신/XPN+고리/NNP
5·6호기	5/SN+·/SP+6/SN+호기/NNB
건설	건설/NNG
중단	중단/NNG
여부가	여부/NNG+가/JKS
사실상	사실/NNG+상/XSN
결정될	결정/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.421.10.1
◇"2019년은 대한민국 100년"

◇"2019년은	◇/SW+"/SS+2019/SN+년/NNB+은/JX
대한민국	대한민국/NNP
100년"	100/SN+년/NNB+"/SS


# id : NWRW1800000054.421.11.1
문 대통령은 신인령 국가교육회의 의장, 정해구 정책기획위원회 위원장에 대한 위촉장 수여식에서 "2019년은 대한민국 100년의 해이고, 내년부터는 대한민국 100년을 돌아보고, 앞으로의 100년을 설계하는 일이 본격적으로 시작되어야 한다"고 말했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
신인령	신인령/NNP
국가교육회의	국가교육회의/NNP
의장,	의장/NNG+,/SP
정해구	정해구/NNP
정책기획위원회	정책/NNG+기획/NNG+위원회/NNG
위원장에	위원장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
위촉장	위촉장/NNG
수여식에서	수여식/NNG+에서/JKB
"2019년은	"/SS+2019/SN+년/NNB+은/JX
대한민국	대한민국/NNP
100년의	100/SN+년/NNB+의/JKG
해이고,	해/NNG+이/VCP+고/EC+,/SP
내년부터는	내년/NNG+부터/JX+는/JX
100년을	100/SN+년/NNB+을/JKO
돌아보고,	돌아보/VV+고/EC+,/SP
앞으로의	앞/NNG+으로/JKB+의/JKG
설계하는	설계/NNG+하/XSV+는/ETM
일이	일/NNG+이/JKS
본격적으로	본격/NNG+적/XSN+으로/JKB
시작되어야	시작/NNG+되/XSV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.421.11.2
박수현 대변인은 "문 대통령이 대한민국 100년과 관련한 구상을 위원장들에게 당부했다"고 밝혔다.

박수현	박수현/NNP
대변인은	대변인/NNG+은/JX
"문	"/SS+문/NNP
대통령이	대통령/NNG+이/JKS
대한민국	대한민국/NNP
100년과	100/SN+년/NNB+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
구상을	구상/NNG+을/JKO
위원장들에게	위원장/NNG+들/XSN+에게/JKB
당부했다"고	당부/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.421.11.3
정치권과 학계에선 대한민국 건국 시기를 놓고 1919년 임시정부를 기준으로 해야 한다는 주장과 1948년 공식 정부 수립을 기준으로 해야 한다는 주장이 대립하고 있다.

정치권과	정치/NNG+권/XSN+과/JC
학계에선	학계/NNG+에서/JKB+ㄴ/JX
대한민국	대한민국/NNP
건국	건국/NNG
시기를	시기/NNG+를/JKO
놓고	놓/VV+고/EC
1919년	1919/SN+년/NNB
임시정부를	임시/NNG+정부/NNG+를/JKO
기준으로	기준/NNG+으로/JKB
해야	하/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
주장과	주장/NNG+과/JC
1948년	1948/SN+년/NNB
공식	공식/NNG
정부	정부/NNG
수립을	수립/NNG+을/JKO
주장이	주장/NNG+이/JKS
대립하고	대립/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


