# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.4
metadata : {}


# id : NWRW1800000030.4.1.1
껑충 뛴 외식값 때문에 물가 전망치 4%로 올려

껑충	껑충/MAG
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.4.5.1
지난 4월과 비교했을 때 다른 여건은 크게 변하지 않았지만, 외식값이 뛴 게 영향을 미친 것으로 분석됐다.

지난	지나/VV+ㄴ/ETM
4월과	4/SN+월/NNB+과/JKB
비교했을	비교/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
다른	다른/MMD
여건은	여건/NNG+은/JX
크게	크/VA+게/EC
변하지	변하/VV+지/EC
않았지만,	않/VX+았/EP+지만/EC+,/SP
외식값이	외식/NNG+값/NNG+이/JKS
뛴	뛰/VV+ㄴ/ETM
게	거/NNB+이/JKS
영향을	영향/NNG+을/JKO
미친	미치/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석됐다.	분석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.4.5.2
지난 1분기에 작년 동기 대비 3.0% 오른 외식값은 한은 예상과 달리 2분기에 3.4% 뛰었다.

지난	지나/VV+ㄴ/ETM
1분기에	1/SN+분기/NNG+에/JKB
작년	작년/NNG
동기	동기/NNG
대비	대비/NNG
3.0%	3/SN+./SP+0/SN+%/SW
오른	오르/VV+ㄴ/ETM
외식값은	외식/NNG+값/NNG+은/JX
한은	한은/NNP
예상과	예상/NNG+과/JKB
달리	달리/MAG
2분기에	2/SN+분기/NNG+에/JKB
3.4%	3/SN+./SP+4/SN+%/SW
뛰었다.	뛰/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.4.5.3
외식값은 전체 물가에서 차지하는 비중이 13%로 가장 큰 편에 속한다.

외식값은	외식/NNG+값/NNG+은/JX
전체	전체/NNG
물가에서	물가/NNG+에서/JKB
차지하는	차지/NNG+하/XSV+는/ETM
비중이	비중/NNG+이/JKS
13%로	13/SN+%/SW+로/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
편에	편/NNB+에/JKB
속한다.	속하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.4.5.4
이에 따라 2분기 물가는 작년 동기 대비 4.2%를 기록했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
2분기	2/SN+분기/NNG
물가는	물가/NNG+는/JX
작년	작년/NNG
동기	동기/NNG
대비	대비/NNG
4.2%를	4/SN+./SP+2/SN+%/SW+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.4.5.5
한은이 지난 4월에 예상(4.0%)한 것보다 0.2%포인트 더 높다.

한은이	한은/NNP+이/JKS
지난	지나/VV+ㄴ/ETM
4월에	4/SN+월/NNB+에/JKB
예상(4.0%)한	예상/NNG+(/SS+4/SN+./SP+0/SN+%/SW+)/SS+하/XSV+ㄴ/ETM
것보다	것/NNB+보다/JKB
0.2%포인트	0/SN+./SP+2/SN+%포인트/NNG
더	더/MAG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000030.4.5.6
이상우 한은 조사국장은 "외식값이 하반기에나 오를 걸로 봤는데 돼지고기 등 원료값 상승분이 2분기부터 빠르게 반영됐다"며 "한번 오른 외식값은 잘 떨어지지 않으므로 높은 가격 수준이 이어져 올해 전체 물가를 끌어올릴 것"이라고 말했다.

이상우	이상우/NNP
한은	한은/NNP
조사국장은	조사국장/NNG+은/JX
"외식값이	"/SS+외식/NNG+값/NNG+이/JKS
하반기에나	하반기/NNG+에/JKB+나/JX
오를	오르/VV+ㄹ/ETM
걸로	거/NNB+ㄹ로/JKB
봤는데	보/VV+았/EP+는데/EC
돼지고기	돼지고기/NNG
등	등/NNB
원료값	원료/NNG+값/NNG
상승분이	상승/NNG+분/XSN+이/JKS
2분기부터	2/SN+분기/NNG+부터/JX
빠르게	빠르/VA+게/EC
반영됐다"며	반영/NNG+되/XSV+었/EP+다/EF+"/SS+며/EC
"한번	"/SS+한번/MAG
오른	오르/VV+ㄴ/ETM
외식값은	외식/NNG+값/NNG+은/JX
잘	잘/MAG
떨어지지	떨어지/VV+지/EC
않으므로	않/VX+으므로/EC
높은	높/VA+은/ETM
가격	가격/NNG
수준이	수준/NNG+이/JKS
이어져	이어지/VV+어/EC
올해	올해/NNG
전체	전체/NNG
물가를	물가/NNG+를/JKO
끌어올릴	끌어올리/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.4.5.7
물가에 큰 영향을 미치는 원유 도입단가 예상치는 지난 4월과 같은 배럴당 105달러였다.

물가에	물가/NNG+에/JKB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
원유	원유/NNG
도입단가	도입/NNG+단가/NNG
예상치는	예상/NNG+치/XSN+는/JX
지난	지나/VV+ㄴ/ETM
4월과	4/SN+월/NNB+과/JKB
같은	같/VA+은/ETM
배럴당	배럴/NNG+당/XSN
105달러였다.	105/SN+달러/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.4.6.1
한은은 내년 물가 상승률은 올해보다 0.6%포인트 낮아진 3.4%로 전망했지만, 물가 상승세는 이어질 것으로 진단했다.

한은은	한은/NNP+은/JX
내년	내년/NNG
물가	물가/NNG
상승률은	상승/NNG+률/XSN+은/JX
올해보다	올해/NNG+보다/JKB
0.6%포인트	0/SN+./SP+6/SN+%포인트/NNG
낮아진	낮/VA+아/EC+지/VX+ㄴ/ETM
3.4%로	3/SN+./SP+4/SN+%/SW+로/JKB
전망했지만,	전망/NNG+하/XSV+았/EP+지만/EC+,/SP
상승세는	상승세/NNG+는/JX
이어질	이어지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
진단했다.	진단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.4.6.2
이 국장은 "기름 및 농산물을 제외한 근원물가 상승률은 올해 3.5%, 내년 3.7%로 높아지는 등 수요가 늘어나 물가 상승이 이어질 것"이라고 말했다.

이	이/NNP
국장은	국장/NNG+은/JX
"기름	"/SS+기름/NNG
및	및/MAG
농산물을	농산물/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
근원물가	근원/NNG+물가/NNG
상승률은	상승/NNG+률/XSN+은/JX
올해	올해/NNG
3.5%,	3/SN+./SP+5/SN+%/SW+,/SP
내년	내년/NNG
3.7%로	3/SN+./SP+7/SN+%/SW+로/JKB
높아지는	높아지/VV+는/ETM
등	등/NNB
수요가	수요/NNG+가/JKS
늘어나	늘어나/VV+아/EC
물가	물가/NNG
상승이	상승/NNG+이/JKS
이어질	이어지/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


