# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.7
metadata : {}


# id : NWRW1800000038.7.1.1
알자지라, 고어가 만든 케이블채널 인수… 美 안방시장 진출

알자지라,	알자지라/NNP+,/SP
미디어그룹	미디어/NNG+그룹/NNG
회장은	회장/NNG+은/JX
"알자지라가	"/SS+알자지라/NNP+가/JKS
미국에서,	미국/NNP+에서/JKB+,/SP
미국에	미국/NNP+에/JKB
대해	대하/VV+아/EC
보도해야	보도/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
일정한	일정/NNG+하/XSA+ㄴ/ETM
역할이	역할/NNG+이/JKS
있다고	있/VA+다고/EC
오랫동안	오랫동안/NNG
확신해	확신/NNG+하/XSV+아/EC
왔다"며	오/VX+았/EP+다/EF+"/SS+며/EC
"이번	"/SS+이번/NNG
인수로	인수/NNG+로/JKB
알자지라의	알자지라/NNP+의/JKG
영향력이	영향력/NNG+이/JKS
크게	크/VA+게/EC
확대되고	확대/NNG+되/XSV+고/EC
의미	의미/NNG
있는	있/VA+는/ETM
'발자국'을	'/SS+발자국/NNG+'/SS+을/JKO
남길	남기/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.7.3.3
알자지라는 한때 일부 미국인들로부터 '알카에다' 등 국제 테러 단체의 메시지를 전파하는 도구라는 비난을 받기도 했다.

알자지라는	알자지라/NNP+는/JX
한때	한때/MAG
일부	일부/NNG
미국인들로부터	미국인/NNG+들/XSN+로부터/JKB
'알카에다'	'/SS+알카에다/NNP+'/SS
등	등/NNB
국제	국제/NNG
테러	테러/NNG
단체의	단체/NNG+의/JKG
메시지를	메시지/NNG+를/JKO
전파하는	전파/NNG+하/XSV+는/ETM
도구라는	도구/NNG+이/VCP+라는/ETM
비난을	비난/NNG+을/JKO
받기도	받/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.7.4.1
뉴욕타임스(NYT)는 알자지라의 미국 진출로 CNN 등 뉴스 채널 간 '보도 전쟁'이 더욱 치열해질 것이라고 전망했다.

뉴욕타임스(NYT)는	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS+는/JX
알자지라의	알자지라/NNP+의/JKG
미국	미국/NNP
진출로	진출/NNG+로/JKB
CNN	CNN/SL
등	등/NNB
뉴스	뉴스/NNG
채널	채널/NNG
간	간/NNB
'보도	'/SS+보도/NNG
전쟁'이	전쟁/NNG+'/SS+이/JKS
더욱	더욱/MAG
치열해질	치열/NNG+하/XSA+아/EC+지/VX+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.7.4.2
알자지라는 중동·아프리카 지역을 중심으로 세계 130여개국, 2억6000만 가구를 시청권에 두고 있으나, 미국에서는 큰 활약을 하지 못했다.

알자지라는	알자지라/NNP+는/JX
중동·아프리카	중동/NNP+·/SP+아프리카/NNP
지역을	지역/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
세계	세계/NNG
130여개국,	130/SN+여/XSN+개국/NNB+,/SP
2억6000만	2/SN+억/NR+6000/SN+만/NR
가구를	가구/NNG+를/JKO
시청권에	시청/NNG+권/XSN+에/JKB
두고	두/VV+고/EC
있으나,	있/VX+으나/EC+,/SP
미국에서는	미국/NNP+에서/JKB+는/JX
큰	크/VA+ㄴ/ETM
활약을	활약/NNG+을/JKO
하지	하/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.7.4.3
미 케이블 및 위성방송 배급 업체들이 아랍권 시각이 반영된 보도를 꺼려 뉴욕 등 일부 도시 외에는 시청할 수 없도록 제한했기 때문이다.

미	미/NNP
케이블	케이블/NNG
및	및/MAG
위성방송	위성/NNG+방송/NNG
배급	배급/NNG
업체들이	업체/NNG+들/XSN+이/JKS
아랍권	아랍/NNP+권/XSN
시각이	시각/NNG+이/JKS
반영된	반영/NNG+되/XSV+ㄴ/ETM
보도를	보도/NNG+를/JKO
꺼려	꺼리/VV+어/EC
뉴욕	뉴욕/NNP
등	등/NNB
일부	일부/NNG
도시	도시/NNG
외에는	외/NNB+에/JKB+는/JX
시청할	시청/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
제한했기	제한/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.7.4.4
하지만 알자지라는 미 전역의 6000만 가구가 볼 수 있는 커런트TV를 인수해 접근성을 확보하게 됐다.

하지만	하지만/MAJ
알자지라는	알자지라/NNP+는/JX
미	미/NNP
전역의	전역/NNG+의/JKG
6000만	6000/SN+만/NR
가구가	가구/NNG+가/JKS
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
커런트TV를	커런트TV/NNP+를/JKO
인수해	인수/NNG+하/XSV+아/EC
접근성을	접근/NNG+성/XSN+을/JKO
확보하게	확보/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.7.5.1
커런트TV는 고어 전 부통령과 사업가 조엘 하야트 등이 공동 창업주로 나서 2005년 8월 설립했다.

커런트TV는	커런트TV/NNP+는/JX
고어	고어/NNP
전	전/MMD
부통령과	부통령/NNG+과/JC
사업가	사업가/NNG
조엘	조엘/NNP
하야트	하야트/NNP
등이	등/NNB+이/JKS
공동	공동/NNG
창업주로	창업주/NNG+로/JKB
나서	나서/VV+어/EC
2005년	2005/SN+년/NNB
8월	8/SN+월/NNB
설립했다.	설립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.7.5.2
기존 방송과 차별되는 형식과 논조로 젊은 층에서 잠시 인기를 끌었으나, 최근 경영난을 겪어왔다.

기존	기존/NNG
방송과	방송/NNG+과/JKB
차별되는	차별/NNG+되/XSV+는/ETM
형식과	형식/NNG+과/JC
논조로	논조/NNG+로/JKB
젊은	젊/VA+은/ETM
층에서	층/NNG+에서/JKB
잠시	잠시/MAG
인기를	인기/NNG+를/JKO
끌었으나,	끌/VV+었/EP+으나/EC+,/SP
최근	최근/MAG
경영난을	경영난/NNG+을/JKO
겪어왔다.	겪/VV+어/EC+오/VX+았/EP+다/EF+./SF


