# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.89
metadata : {}


# id : NWRW1800000026.89.1.1
팬택 박병엽부회장, 경영권 되찾을까;1억6400만주 스톡옵션 받아

팬택	팬택/NNP
주당	주당/NNG
가치는	가치/NNG+는/JX
280~410원	280/SN+~/SO+410/SN+원/NNB
안팎이다.	안팎/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.89.5.1
따라서 박 부회장이 회사 가치를 적어도 지금보다 2~3배 정도 올려놓아야 은행 대출을 통해서라도 지분을 인수할 수 있는 여건이 마련된다.

따라서	따라서/MAJ
박	박/NNP
부회장이	부회장/NNG+이/JKS
회사	회사/NNG
가치를	가치/NNG+를/JKO
적어도	적어도/MAG
지금보다	지금/NNG+보다/JKB
2~3배	2/SN+~/SO+3/SN+배/NNG
정도	정도/NNG
올려놓아야	올려놓/VV+아야/EC
은행	은행/NNG
대출을	대출/NNG+을/JKO
통해서라도	통하/VV+아서/EC+라도/JX
지분을	지분/NNG+을/JKO
인수할	인수/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
여건이	여건/NNG+이/JKS
마련된다.	마련/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.89.5.2
유동성 위기로 2007년 3분기 워크아웃에 들어간 팬택은 이후 작년 말까지 매출 5조900억원, 영업이익 4270억원(평균 영업이익률 8.4%)을 기록하며 10분기 연속 흑자를 내고 있다.

유동성	유동/NNG+성/XSN
위기로	위기/NNG+로/JKB
2007년	2007/SN+년/NNB
3분기	3/SN+분기/NNG
워크아웃에	워크아웃/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
팬택은	팬택/NNP+은/JX
이후	이후/NNG
작년	작년/NNG
말까지	말/NNB+까지/JX
매출	매출/NNG
5조900억원,	5/SN+조/NR+900/SN+억/NR+원/NNB+,/SP
영업이익	영업/NNG+이익/NNG
4270억원(평균	4270/SN+억/NR+원/NNB+(/SS+평균/NNG
영업이익률	영업/NNG+이익/NNG+률/XSN
8.4%)을	8/SN+./SP+4/SN+%/SW+)/SS+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
10분기	10/SN+분기/NNG
연속	연속/NNG
흑자를	흑자/NNG+를/JKO
내고	내/VV+고/EC
있다.	있/VX+다/EF+./SF


