# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.106
metadata : {}


# id : NWRW1800000054.106.1.1
한국서 미운오리, 독일서 백조됐다

한국서	한국/NNP+서/JKB
게	거/NNB+이/JKS
어색하고	어색하/VA+고/EC
미안했는데	미안/NNG+하/XSA+았/EP+는데/EC
요즘엔	요즘/NNG+에/JKB+ㄴ/JX
발레	발레/NNG
마스터	마스터/NNG
선생님과	선생/NNG+님/XSN+과/JKB
수시로	수시로/MAG
대화하며	대화/NNG+하/XSV+며/EC
동작도	동작/NNG+도/JX
만들어가지요."	만들/VV+어/EC+가/VX+지요/EF+./SF+"/SS


# id : NWRW1800000054.106.7.1
초등학교 4학년 때 무용을 시작한 이상은은 2007년 유니버설발레단에 입단한 뒤 2010년 젬퍼오퍼발레단으로 이적했다.

초등학교	초등학교/NNG
4학년	4/SN+학년/NNG
때	때/NNG
무용을	무용/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
이상은은	이상은/NNP+은/JX
2007년	2007/SN+년/NNB
유니버설발레단에	유니버설발레단/NNP+에/JKB
입단한	입단/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
2010년	2010/SN+년/NNB
젬퍼오퍼발레단으로	젬퍼오퍼발레단/NNP+으로/JKB
이적했다.	이적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.106.7.2
젬퍼오퍼 입단 1년 후인 2011년 '라 바야데르' 감자티 역에 발탁되는 등 실력을 인정받았다.

젬퍼오퍼	젬퍼오퍼/NNP
입단	입단/NNG
1년	1/SN+년/NNB
후인	후/NNG+이/VCP+ㄴ/ETM
2011년	2011/SN+년/NNB
'라	'/SS+라/NNP
바야데르'	바야데르/NNP+'/SS
감자티	감자티/NNP
역에	역/NNG+에/JKB
발탁되는	발탁/NNG+되/XSV+는/ETM
등	등/NNB
실력을	실력/NNG+을/JKO
인정받았다.	인정/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.106.7.3
2013년 퍼스트 솔리스트로 승급했고 다시 3년 만인 지난해 수석무용수가 됐다.

2013년	2013/SN+년/NNB
퍼스트	퍼스트/NNG
솔리스트로	솔리스트/NNG+로/JKB
승급했고	승급/NNG+하/XSV+았/EP+고/EC
다시	다시/MAG
3년	3/SN+년/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
지난해	지난해/NNG
수석무용수가	수석/NNG+무용수/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.106.7.4
이 발레단의 유일한 한국인이다.

이	이/MMD
발레단의	발레단/NNG+의/JKG
유일한	유일/NNG+하/XSA+ㄴ/ETM
한국인이다.	한국인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.106.8.1
그는 무용에 집중하려고 대학 진학도 포기했다.

그는	그/NP+는/JX
무용에	무용/NNG+에/JKB
집중하려고	집중/NNG+하/XSV+려고/EC
대학	대학/NNG
진학도	진학/NNG+도/JX
포기했다.	포기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.106.8.2
"너무 재밌어서 자꾸 더 하고 싶은 거예요.

"너무	"/SS+너무/MAG
재밌어서	재밌/VA+어서/EC
자꾸	자꾸/MAG
더	더/MAG
하고	하/VV+고/EC
싶은	싶/VX+은/ETM
거예요.	거/NNB+이/VCP+에요/EF+./SF


# id : NWRW1800000054.106.8.3
매년 7~8㎝씩 키가 크는데 중 3 때 1m70㎝를 훌쩍 넘겨서 펑펑 울었어요.

매년	매년/MAG
7~8㎝씩	7/SN+~/SO+8/SN+㎝/SW+씩/XSN
키가	키/NNG+가/JKS
크는데	크/VA+는데/EC
중	중/NNG
3	3/SN
때	때/NNG
1m70㎝를	1/SN+m/SW+70/SN+㎝/SW+를/JKO
훌쩍	훌쩍/MAG
넘겨서	넘기/VV+어서/EC
펑펑	펑펑/MAG
울었어요.	울/VV+었/EP+어요/EF+./SF


# id : NWRW1800000054.106.8.4
'너무 커서 이제 무용 못한다'고 하셔서요.

'너무	'/SS+너무/MAG
커서	크/VA+어서/EC
이제	이제/MAG
무용	무용/NNG
못한다'고	못/MAG+하/VV+ㄴ다/EF+'/SS+고/JKQ
하셔서요.	하/VV+시/EP+어서/EC+요/JX+./SF


# id : NWRW1800000054.106.8.5
남자 배역과 맞추기도 어려울 거라며…."

남자	남자/NNG
배역과	배역/NNG+과/JKB
맞추기도	맞추/VV+기/ETN+도/JX
어려울	어렵/VA+ㄹ/ETM
거라며…."	거/NNB+이/VCP+라며/EC+…/SE+./SF+"/SS


# id : NWRW1800000054.106.9.1
클래식과 현대 창작품도 다양하게 소화하는 젬퍼오퍼엔 체형이 큰 무용수가 많다.

클래식과	클래식/NNG+과/JC
현대	현대/NNG
창작품도	창작품/NNG+도/JX
다양하게	다양/NNG+하/XSA+게/EC
소화하는	소화/NNG+하/XSV+는/ETM
젬퍼오퍼엔	젬퍼오퍼/NNP+에/JKB+ㄴ/JX
체형이	체형/NNG+이/JKS
큰	크/VA+ㄴ/ETM
무용수가	무용수/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000054.106.9.2
한국에서와는 달리 상대 역을 찾는 게 어렵지 않았다.

한국에서와는	한국/NNP+에서/JKB+와/JKB+는/JX
달리	달리/MAG
상대	상대/NNG
역을	역/NNG+을/JKO
찾는	찾/VV+는/ETM
게	거/NNB+이/JKS
어렵지	어렵/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.106.9.3
큰 키에서 나오는 아름다운 선과 정확한 동작이 보여주는 완벽한 균형, 고난도 동작도 쉽게 소화하는 기술은 물론 민첩성도 뛰어나다는 평가를 받는다.

큰	크/VA+ㄴ/ETM
키에서	키/NNG+에서/JKB
나오는	나오/VV+는/ETM
아름다운	아름답/VA+ㄴ/ETM
선과	선/NNG+과/JC
정확한	정확/NNG+하/XSA+ㄴ/ETM
동작이	동작/NNG+이/JKS
보여주는	보이/VV+어/EC+주/VX+는/ETM
완벽한	완벽/NNG+하/XSA+ㄴ/ETM
균형,	균형/NNG+,/SP
고난도	고/XPN+난도/NNG
동작도	동작/NNG+도/JX
쉽게	쉽/VA+게/EC
소화하는	소화/NNG+하/XSV+는/ETM
기술은	기술/NNG+은/JX
물론	물론/MAG
민첩성도	민첩성/NNG+도/JX
뛰어나다는	뛰어나/VA+다는/ETM
평가를	평가/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000054.106.9.4
코어 운동(배부터 허벅지까지를 강화하는 것)을 열심히 하며 근육을 단련했다.

코어	코어/NNG
운동(배부터	운동/NNG+(/SS+배/NNG+부터/JX
허벅지까지를	허벅지/NNG+까지/JX+를/JKO
강화하는	강화/NNG+하/XSV+는/ETM
것)을	것/NNB+)/SS+을/JKO
열심히	열심히/MAG
하며	하/VV+며/EC
근육을	근육/NNG+을/JKO
단련했다.	단련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.106.9.5
유연성과 근력을 키우기 위해 필라테스, 자이로토닉(발레와 필라테스를 접목해 운동)도 수시로 한다.

유연성과	유연성/NNG+과/JC
근력을	근력/NNG+을/JKO
키우기	키우/VV+기/ETN
위해	위하/VV+아/EC
필라테스,	필라테스/NNG+,/SP
자이로토닉(발레와	자이로토닉/NNG+(/SS+발레/NNG+와/JC
필라테스를	필라테스/NNG+를/JKO
접목해	접목/NNG+하/XSV+아/EC
운동)도	운동/NNG+)/SS+도/JX
수시로	수시로/MAG
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.106.10.1
이상은의 아버지는 '조선을 뒤흔든 16가지 살인 사건' '나는 조선의 국모다' 등을 쓴 소설가 이수광씨.

이상은의	이상은/NNP+의/JKG
아버지는	아버지/NNG+는/JX
'조선을	'/SS+조선/NNP+을/JKO
뒤흔든	뒤흔들/VV+ㄴ/ETM
16가지	16/SN+가지/NNB
살인	살인/NNG
사건'	사건/NNG+'/SS
'나는	'/SS+나/NP+는/JX
조선의	조선/NNP+의/JKG
국모다'	국모/NNG+이/VCP+다/EF+'/SS
등을	등/NNB+을/JKO
쓴	쓰/VV+ㄴ/ETM
소설가	소설가/NNG
이수광씨.	이수광/NNP+씨/NNB+./SF


# id : NWRW1800000054.106.10.2
예술적 기질을 물려받은 걸까.

예술적	예술/NNG+적/XSN
기질을	기질/NNG+을/JKO
물려받은	물려받/VV+은/ETM
걸까.	거/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000054.106.10.3
"잘은 모르겠는데 어린 시절부터 집에 항상 책이 많았어요."

"잘은	"/SS+잘/MAG+은/JX
모르겠는데	모르/VV+겠/EP+는데/EC
어린	어리/VA+ㄴ/ETM
시절부터	시절/NNG+부터/JX
집에	집/NNG+에/JKB
항상	항상/MAG
책이	책/NNG+이/JKS
많았어요."	많/VA+았/EP+어요/EF+./SF+"/SS


# id : NWRW1800000054.106.11.1
뛰어난 해석력과 아름다운 표현에 현지에선 호평이 이어진다.

뛰어난	뛰어나/VA+ㄴ/ETM
해석력과	해석력/NNG+과/JC
아름다운	아름답/VA+ㄴ/ETM
표현에	표현/NNG+에/JKB
현지에선	현지/NNG+에서/JKB+ㄴ/JX
호평이	호평/NNG+이/JKS
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.106.11.2
"작은 동네라서 길을 걷다가도 주민들께서 많이들 알아봐 주세요.

"작은	"/SS+작/VA+은/ETM
동네라서	동네/NNG+이/VCP+라서/EC
길을	길/NNG+을/JKO
걷다가도	걷/VV+다가/EC+도/JX
주민들께서	주민/NNG+들/XSN+께서/JKS
많이들	많이/MAG+들/XSN
알아봐	알아보/VV+아/EC
주세요.	주/VX+시/EP+어요/EF+./SF


# id : NWRW1800000054.106.11.3
문화가 일상에 녹아있는 걸 느껴요.

문화가	문화/NNG+가/JKS
일상에	일상/NNG+에/JKB
녹아있는	녹/VV+아/EC+있/VX+는/ETM
걸	거/NNB+ㄹ/JKO
느껴요.	느끼/VV+어요/EF+./SF


# id : NWRW1800000054.106.11.4
옆집 친구처럼 반겨주다가도 공연이 끝나면 '스페셜하다'며 박수를 보내주는데 정말 기분이 좋더라고요.

옆집	옆집/NNG
친구처럼	친구/NNG+처럼/JKB
반겨주다가도	반기/VV+어/EC+주/VX+다가/EC+도/JX
공연이	공연/NNG+이/JKS
끝나면	끝나/VV+면/EC
'스페셜하다'며	'/SS+스페셜/NNG+하/XSA+다/EF+'/SS+며/EC
박수를	박수/NNG+를/JKO
보내주는데	보내/VV+어/EC+주/VX+는데/EC
정말	정말/MAG
기분이	기분/NNG+이/JKS
좋더라고요.	좋/VA+더라고/EF+요/JX+./SF


# id : NWRW1800000054.106.11.5
가까운 미래에 발레단과 함께 한국을 찾아 꼭 공연하고 싶습니다."

가까운	가깝/VA+ㄴ/ETM
미래에	미래/NNG+에/JKB
발레단과	발레단/NNG+과/JKB
함께	함께/MAG
한국을	한국/NNP+을/JKO
찾아	찾/VV+아/EC
꼭	꼭/MAG
공연하고	공연/NNG+하/XSV+고/EC
싶습니다."	싶/VX+습니다/EF+./SF+"/SS


