# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.228
metadata : {}


# id : NWRW1800000032.228.1.1
경쟁 내몰린 학생들 “행복은 성적순 맞다”

경쟁	경쟁/NNG
서울형 학생 행복지수는 ‘학교생활 만족도’와 ‘가정생활 만족도’, ‘자신에 대한 만족도’와 ‘전반적인 행복 정도’를 묻는 문항에 대해 1점(전혀 그렇지 않다)~5점(매우 그렇다) 등 5개 척도로 설문한 결과를 통해 산출된다.

서울형	서울/NNP+형/XSN
학생	학생/NNG
행복지수는	행복/NNG+지수/NNG+는/JX
‘학교생활	‘/SS+학교생활/NNG
만족도’와	만족도/NNG+’/SS+와/JC
‘가정생활	‘/SS+가정생활/NNG
만족도’,	만족도/NNG+’/SS+,/SP
‘자신에	‘/SS+자신/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘전반적인	‘/SS+전반/NNG+적/XSN+이/VCP+ㄴ/ETM
행복	행복/NNG
정도’를	정도/NNG+’/SS+를/JKO
묻는	묻/VV+는/ETM
문항에	문항/NNG+에/JKB
대해	대하/VV+아/EC
1점(전혀	1/SN+점/NNB+(/SS+전혀/MAG
그렇지	그렇/VA+지/EC
않다)~5점(매우	않/VX+다/EF+)/SS+~/SO+5/SN+점/NNB+(/SS+매우/MAG
그렇다)	그렇/VA+다/EF+)/SS
등	등/NNB
5개	5/SN+개/NNB
척도로	척도/NNG+로/JKB
설문한	설문/NNG+하/XSV+ㄴ/ETM
결과를	결과/NNG+를/JKO
통해	통하/VV+아/EC
산출된다.	산출/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.228.7.1
초등학생의 행복지수가 75.1점, 중학생 61.8점, 고등학생 56.4점으로 상급생이 될수록 행복지수가 떨어졌다.

초등학생의	초등학생/NNG+의/JKG
행복지수가	행복/NNG+지수/NNG+가/JKS
75.1점,	75/SN+./SP+1/SN+점/NNB+,/SP
중학생	중학/NNG+생/XSN
61.8점,	61/SN+./SP+8/SN+점/NNB+,/SP
고등학생	고등학생/NNG
56.4점으로	56/SN+./SP+4/SN+점/NNB+으로/JKB
상급생이	상급/NNG+생/XSN+이/JKC
될수록	되/VV+ㄹ수록/EC
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.228.7.2
특히 고등학생의 ‘자신에 대한 만족도’가 46.3점으로 초등학생(70.2점)의 66% 수준에 머물렀다.

특히	특히/MAG
고등학생의	고등학생/NNG+의/JKG
‘자신에	‘/SS+자신/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
만족도’가	만족도/NNG+’/SS+가/JKS
46.3점으로	46/SN+./SP+3/SN+점/NNB+으로/JKB
초등학생(70.2점)의	초등학생/NNG+(/SS+70/SN+./SP+2/SN+점/NNB+)/SS+의/JKG
66%	66/SN+%/SW
수준에	수준/NNG+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.228.7.3
대학 진학 등 입시 스트레스가 자존감 형성에 부정적인 영향을 끼치고 있는 것으로 보인다.

대학	대학/NNG
진학	진학/NNG
등	등/NNB
입시	입시/NNG
스트레스가	스트레스/NNG+가/JKS
자존감	자존감/NNG
형성에	형성/NNG+에/JKB
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
영향을	영향/NNG+을/JKO
끼치고	끼치/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.228.8.1
또 서울 지역 교육지원청별로 본 행복지수에선, 성동 지역이 65.2점으로 가장 높았고, 강동(64.2점), 강서(64.0점) 등이 뒤를 이었다.

또	또/MAG
서울	서울/NNP
지역	지역/NNG
교육지원청별로	교육/NNG+지원청/NNG+별/XSN+로/JKB
본	보/VV+ㄴ/ETM
행복지수에선,	행복/NNG+지수/NNG+에서/JKB+ㄴ/JX+,/SP
성동	성동/NNP
지역이	지역/NNG+이/JKS
65.2점으로	65/SN+./SP+2/SN+점/NNB+으로/JKB
가장	가장/MAG
높았고,	높/VA+았/EP+고/EC+,/SP
강동(64.2점),	강동/NNP+(/SS+64/SN+./SP+2/SN+점/NNB+)/SS+,/SP
강서(64.0점)	강서/NNP+(/SS+64/SN+./SP+0/SN+점/NNB+)/SS
등이	등/NNB+이/JKS
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.228.8.2
반면 강남은 62.2점으로 11개 지역 가운데 8위에 그쳤다.

반면	반면/NNG
강남은	강남/NNP+은/JX
62.2점으로	62/SN+./SP+2/SN+점/NNB+으로/JKB
11개	11/SN+개/NNB
지역	지역/NNG
가운데	가운데/NNG
8위에	8/SN+위/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.228.8.3
가장 낮은 곳은 남부(58.7점)였고, 평균은 62.5점이었다.

가장	가장/MAG
낮은	낮/VA+은/ETM
곳은	곳/NNG+은/JX
남부(58.7점)였고,	남부/NNG+(/SS+58/SN+./SP+7/SN+점/NNB+)/SS+이/VCP+었/EP+고/EC+,/SP
평균은	평균/NNG+은/JX
62.5점이었다.	62/SN+./SP+5/SN+점/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.228.8.4
최병갑 시교육청 책임교육과장은 “행복지수는 학생들의 눈높이에서 학생들의 삶에 주목하자는 의미로 개발한 것으로, 앞으로 정책 개발을 위한 과학적 자료로 쓰일 수 있을 것”이라고 말했다.

최병갑	최병갑/NNP
시교육청	시/NNG+교육청/NNG
책임교육과장은	책임/NNG+교육/NNG+과장/NNG+은/JX
“행복지수는	“/SS+행복/NNG+지수/NNG+는/JX
학생들의	학생/NNG+들/XSN+의/JKG
눈높이에서	눈높이/NNG+에서/JKB
삶에	삶/NNG+에/JKB
주목하자는	주목/NNG+하/XSV+자는/ETM
의미로	의미/NNG+로/JKB
개발한	개발/NNG+하/XSV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
앞으로	앞/NNG+으로/JKB
정책	정책/NNG
개발을	개발/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
과학적	과학/NNG+적/XSN
자료로	자료/NNG+로/JKB
쓰일	쓰이/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


