# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.276
metadata : {}


# id : NWRW1800000036.276.1.1
민주당·환경단체 “칠곡보 물받이공 균열 확인

민주당·환경단체	민주당/NNP+·/SP+환경/NNG+단체/NNG
시작된	시작/NNG+되/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
경고하고	경고/NNG+하/XSV+고/EC
나섰지만,	나서/VV+었/EP+지만/EC+,/SP
정부는	정부/NNG+는/JX
“균열이	“/SS+균열/NNG+이/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
지점은	지점/NNG+은/JX
물받이공이	물받이공/NNG+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
반박해	반박/NNG+하/XSV+아/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.276.5.1
민주통합당 4대강조사특별위원회와 환경단체인 4대강복원범국민대책위원회·시민환경연구소 등은 19일 오전 서울 중구 정동 환경재단에서 기자회견을 열어 “지난 12일 칠곡보 하류 수중을 조사한 결과 칠곡보 하류 쪽의 콘크리트 물받이공(폭 400m, 길이 40m, 두께 1m)의 왼쪽 끝단에 길이 60m, 최대 폭 50㎝, 깊이 230㎝의 균열이 나 있는 것을 확인했다.

민주통합당	민주통합당/NNP
4대강조사특별위원회와	4/SN+대/NNG+강/NNG+조사/NNG+특별/NNG+위원회/NNG+와/JC
환경단체인	환경/NNG+단체/NNG+이/VCP+ㄴ/ETM
4대강복원범국민대책위원회·시민환경연구소	4/SN+대/NNG+강/NNG+복원/NNG+범/XPN+국민/NNG+대책/NNG+위원회/NNG+·/SP+시민/NNG+환경/NNG+연구소/NNG
등은	등/NNB+은/JX
19일	19/SN+일/NNB
오전	오전/NNG
서울	서울/NNP
중구	중구/NNP
정동	정동/NNP
환경재단에서	환경/NNG+재단/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“지난	“/SS+지나/VV+ㄴ/ETM
12일	12/SN+일/NNB
칠곡보	칠곡보/NNP
하류	하류/NNG
수중을	수중/NNG+을/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
쪽의	쪽/NNB+의/JKG
콘크리트	콘크리트/NNG
물받이공(폭	물받이공/NNG+(/SS+폭/NNG
400m,	400/SN+m/SW+,/SP
길이	길이/NNG
40m,	40/SN+m/SW+,/SP
두께	두께/NNG
1m)의	1/SN+m/SW+)/SS+의/JKG
왼쪽	왼쪽/NNG
끝단에	끝단/NNG+에/JKB
60m,	60/SN+m/SW+,/SP
최대	최대/NNG
폭	폭/NNG
50㎝,	50/SN+㎝/SW+,/SP
깊이	깊이/NNG
230㎝의	230/SN+㎝/SW+의/JKG
균열이	균열/NNG+이/JKS
나	나/VV+아/EC
있는	있/VX+는/ETM
것을	것/NNB+을/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.276.5.2
이는 아래쪽의 모래가 강물에 쓸려나가면서 물받이공이 물 위에 떠 있는 상태로 있다가 자체 무게에 의해 주저앉으면서 만들어진 것이다”라고 밝혔다.

이는	이/NP+는/JX
아래쪽의	아래쪽/NNG+의/JKG
모래가	모래/NNG+가/JKS
강물에	강물/NNG+에/JKB
쓸려나가면서	쓸리/VV+어/EC+나가/VX+면서/EC
물받이공이	물받이공/NNG+이/JKS
물	물/NNG
위에	위/NNG+에/JKB
떠	뜨/VV+어/EC
있는	있/VX+는/ETM
상태로	상태/NNG+로/JKB
있다가	있/VA+다가/EC
자체	자체/NNG
무게에	무게/NNG+에/JKB
의해	의하/VV+아/EC
주저앉으면서	주저앉/VV+으면서/EC
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
것이다”라고	것/NNB+이/VCP+다/EF+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.276.6.1
박창근 시민환경연구소장(관동대 교수)은 “물받이공은 보를 보호하기 위한 매우 중요한 시설인데, 모래가 쓸려나가면서 물받이공이 허공에 떠서 부러지기 시작했다는 것은 공학적으로 볼 때 보의 붕괴가 시작된 것이라 할 수 있다”고 말했다.

박창근	박창근/NNP
시민환경연구소장(관동대	시민/NNG+환경/NNG+연구소장/NNG+(/SS+관동대/NNP
교수)은	교수/NNG+)/SS+은/JX
“물받이공은	“/SS+물받이공/NNG+은/JX
보를	보/NNG+를/JKO
보호하기	보호/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
매우	매우/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
시설인데,	시설/NNG+이/VCP+ㄴ데/EC+,/SP
모래가	모래/NNG+가/JKS
쓸려나가면서	쓸리/VV+어/EC+나가/VX+면서/EC
물받이공이	물받이공/NNG+이/JKS
허공에	허공/NNG+에/JKB
떠서	뜨/VV+어서/EC
부러지기	부러지/VV+기/ETN
시작했다는	시작/NNG+하/XSV+았/EP+다는/ETM
것은	것/NNB+은/JX
공학적으로	공학/NNG+적/XSN+으로/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
보의	보/NNG+의/JKG
붕괴가	붕괴/NNG+가/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
것이라	것/NNB+이/VCP+라/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.276.6.2
이미경 민주당 4대강조사특별위원장은 “함께 조사한 합천보와 함안보의 물받이공과 바닥보호공에서도 유사한 현상이 확인됐다”며, 정부에 △민관합동조사단 구성 △4대강 16개 보 안전성 조사 소위원회 구성 등을 요구했다.

이미경	이미경/NNP
민주당	민주당/NNP
4대강조사특별위원장은	4/SN+대/NNG+강/NNG+조사/NNG+특별/NNG+위원장/NNG+은/JX
“함께	“/SS+함께/MAG
조사한	조사/NNG+하/XSV+ㄴ/ETM
합천보와	합천보/NNP+와/JC
함안보의	함안보/NNP+의/JKG
물받이공과	물받이공/NNG+과/JC
바닥보호공에서도	바닥/NNG+보호공/NNG+에서/JKB+도/JX
유사한	유사/NNG+하/XSA+ㄴ/ETM
현상이	현상/NNG+이/JKS
확인됐다”며,	확인/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC+,/SP
정부에	정부/NNG+에/JKB
△민관합동조사단	△/SW+민관/NNG+합동/NNG+조사단/NNG
구성	구성/NNG
△4대강	△/SW+4/SN+대/NNG+강/NNG
16개	16/SN+개/NNB
보	보/NNG
안전성	안전/NNG+성/XSN
조사	조사/NNG
소위원회	소/XPN+위원회/NNG
등을	등/NNB+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.276.7.1
이에 대해 국토해양부는 해명자료를 내어 “민주당 등이 현장조사를 한 뒤 수자원공사에서 같은 지점을 정밀조사한 결과 물받이공에는 균열 등의 피해가 없고, 바닥보호공 보강을 위해 설치한 콘크리트 슬래브에 일부 균열이 발생한 것을 확인했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
국토해양부는	국토/NNG+해양부/NNG+는/JX
해명자료를	해명/NNG+자료/NNG+를/JKO
내어	내/VV+어/EC
“민주당	“/SS+민주당/NNP
등이	등/NNB+이/JKS
현장조사를	현장/NNG+조사/NNG+를/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
수자원공사에서	수자원공사/NNP+에서/JKB
같은	같/VA+은/ETM
지점을	지점/NNG+을/JKO
정밀조사한	정밀/NNG+조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
물받이공에는	물받이공/NNG+에/JKB+는/JX
균열	균열/NNG
등의	등/NNB+의/JKG
피해가	피해/NNG+가/JKS
없고,	없/VA+고/EC+,/SP
바닥보호공	바닥/NNG+보호공/NNG
보강을	보강/NNG+을/JKO
위해	위하/VV+아/EC
설치한	설치/NNG+하/XSV+ㄴ/ETM
콘크리트	콘크리트/NNG
슬래브에	슬래브/NNG+에/JKB
일부	일부/NNG
균열이	균열/NNG+이/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.276.7.2
이런 변형은 보 본체의 안정성에 직접적인 영향을 미치지는 않는다”고 밝혔다.

이런	이런/MMD
변형은	변형/NNG+은/JX
보	보/NNG
본체의	본체/NNG+의/JKG
안정성에	안정/NNG+성/XSN+에/JKB
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
영향을	영향/NNG+을/JKO
미치지는	미치/VV+지/EC+는/JX
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


