# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.205
metadata : {}


# id : NWRW1800000046.205.1.1
선발진 탄탄해졌지만 '허술한 뒷문' 불안

선발진	선발진/NNG
곳에서	곳/NNG+에서/JKB
전지훈련을	전지훈련/NNG+을/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.205.4.4
'명가 재건'을 꿈꾸는 KIA를 SWOT(강점·약점·기회·위협) 분석으로 살펴봤다.

'명가	'/SS+명가/NNG
재건'을	재건/NNG+'/SS+을/JKO
꿈꾸는	꿈꾸/VV+는/ETM
KIA를	KIA/SL+를/JKO
SWOT(강점·약점·기회·위협)	SWOT/SL+(/SS+강점/NNG+·/SP+약점/NNG+·/SP+기회/NNG+·/SP+위협/NNG+)/SS
분석으로	분석/NNG+으로/JKB
살펴봤다.	살펴보/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.205.4.5
KIA의 강점(Strength)은 탄탄해진 선발진이다.

KIA의	KIA/SL+의/JKG
강점(Strength)은	강점/NNG+(/SS+Strength/SL+)/SS+은/JX
탄탄해진	탄탄하/VA+아/EC+지/VX+ㄴ/ETM
선발진이다.	선발진/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.205.4.6
해외 진출을 모색하던 지난 시즌 다승 2위(16승) 양현종이 잔류했고, 걸출한 외국인 투수 2명을 영입했다.

해외	해외/NNG
진출을	진출/NNG+을/JKO
모색하던	모색/NNG+하/XSV+던/ETM
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
다승	다승/NNG
2위(16승)	2/SN+위/NNB+(/SS+16/SN+승/NNB+)/SS
양현종이	양현종/NNP+이/JKS
잔류했고,	잔류/NNG+하/XSV+았/EP+고/EC+,/SP
걸출한	걸출/NNG+하/XSA+ㄴ/ETM
외국인	외국인/NNG
투수	투수/NNG
2명을	2/SN+명/NNB+을/JKO
영입했다.	영입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.205.4.7
우완 투수인 필립 험버는 메이저리그에서 역대 21번째로 퍼펙트게임(perfect game·선발투수가 9이닝 동안 안타, 볼넷, 몸에 맞는 볼은 물론 실책 등 어떤 이유로도 상대 타자를 1루로 내보내지 않고 승리하는 것)을 달성한 경력이 있다.

우완	우완/NNG
투수인	투수/NNG+이/VCP+ㄴ/ETM
필립	필립/NNP
험버는	험버/NNP+는/JX
메이저리그에서	메이저리그/NNG+에서/JKB
역대	역대/NNG
21번째로	21/SN+번/NNB+째/XSN+로/JKB
퍼펙트게임(perfect	퍼펙트게임/NNG+(/SS+perfect/SL
game·선발투수가	game/SL+·/SP+선발/NNG+투수/NNG+가/JKS
9이닝	9/SN+이닝/NNG
동안	동안/NNG
안타,	안타/NNG+,/SP
볼넷,	볼넷/NNG+,/SP
몸에	몸/NNG+에/JKB
맞는	맞/VV+는/ETM
볼은	볼/NNG+은/JX
물론	물론/MAG
실책	실책/NNG
등	등/NNB
어떤	어떤/MMD
이유로도	이유/NNG+로/JKB+도/JX
상대	상대/NNG
타자를	타자/NNG+를/JKO
1루로	1루/NNG+로/JKB
내보내지	내보내/VV+지/EC
않고	않/VX+고/EC
승리하는	승리/NNG+하/XSV+는/ETM
것)을	것/NNB+)/SS+을/JKO
달성한	달성/NNG+하/XSV+ㄴ/ETM
경력이	경력/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.205.4.8
시속 150㎞가 넘는 직구를 던지는 오른손 투수 조쉬 스틴슨도 역시 메이저리그 출신이다.

시속	시속/NNG
150㎞가	150/SN+㎞/SW+가/JKS
넘는	넘/VV+는/ETM
직구를	직구/NNG+를/JKO
던지는	던지/VV+는/ETM
오른손	오른손/NNG
투수	투수/NNG
조쉬	조쉬/NNP
스틴슨도	스틴슨/NNP+도/JX
역시	역시/MAG
메이저리그	메이저리그/NNG
출신이다.	출신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.205.4.9
군 복무를 마치고 돌아온 임기준도 현지 연습경기에서 호투하며 선발 투수로서의 가능성을 보여주고 있다.

군	군/NNG
복무를	복무/NNG+를/JKO
마치고	마치/VV+고/EC
돌아온	돌아오/VV+ㄴ/ETM
임기준도	임기준/NNP+도/JX
현지	현지/NNG
연습경기에서	연습/NNG+경기/NNG+에서/JKB
호투하며	호투/NNG+하/XSV+며/EC
선발	선발/NNG
투수로서의	투수/NNG+로서/JKB+의/JKG
가능성을	가능/NNG+성/XSN+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.205.5.1
'불안한 뒷문'은 약점(Weakness)이다.

'불안한	'/SS+불안/NNG+하/XSA+ㄴ/ETM
뒷문'은	뒷문/NNG+'/SS+은/JX
약점(Weakness)이다.	약점/NNG+(/SS+Weakness/SL+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.205.5.2
KIA는 지난 시즌 KBO리그 최다인 21번의 블론 세이브(blown save·구원투수가 세이브 상황을 지켜내지 못하고 동점이나 역전을 허용하는 것)를 기록했다.

KIA는	KIA/SL+는/JX
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
KBO리그	KBO/SL+리그/NNG
최다인	최다/NNG+이/VCP+ㄴ/ETM
21번의	21/SN+번/NNB+의/JKG
블론	블론/NNG
세이브(blown	세이브/NNG+(/SS+blown/SL
save·구원투수가	save/SL+·/SP+구원/NNG+투수/NNG+가/JKS
세이브	세이브/NNG
상황을	상황/NNG+을/JKO
지켜내지	지키/VV+어/EC+내/VX+지/EC
못하고	못하/VX+고/EC
동점이나	동점/NNG+이나/JC
역전을	역전/NNG+을/JKO
허용하는	허용/NNG+하/XSV+는/ETM
것)를	것/NNB+)/SS+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.205.5.3
25일까지 전지훈련 중 일본 프로야구팀이나 국내팀과 벌인 8번의 연습경기에서 모두 패한 가장 큰 이유도 허술한 뒷문 때문이었다.

25일까지	25/SN+일/NNB+까지/JX
전지훈련	전지훈련/NNG
중	중/NNB
일본	일본/NNP
프로야구팀이나	프로/NNG+야구/NNG+팀/NNG+이나/JC
국내팀과	국내/NNG+팀/NNG+과/JKB
벌인	벌이/VV+ㄴ/ETM
8번의	8/SN+번/NNB+의/JKG
연습경기에서	연습/NNG+경기/NNG+에서/JKB
모두	모두/MAG
패한	패/NNG+하/XSV+ㄴ/ETM
가장	가장/MAG
큰	크/VA+ㄴ/ETM
이유도	이유/NNG+도/JX
허술한	허술하/VA+ㄴ/ETM
뒷문	뒷문/NNG
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.205.5.4
지난 24일 일본 프로야구 히로시마 도요카프와 벌인 경기에서는 5회까지 4-2로 앞서다가 나머지 4이닝 동안 불펜투수 4명이 17점을 내주며 6대19로 역전패했다.

지난	지나/VV+ㄴ/ETM
24일	24/SN+일/NNB
일본	일본/NNP
프로야구	프로/NNG+야구/NNG
히로시마	히로시마/NNP
도요카프와	도요카프/NNP+와/JKB
벌인	벌이/VV+ㄴ/ETM
경기에서는	경기/NNG+에서/JKB+는/JX
5회까지	5/SN+회/NNB+까지/JX
4-2로	4/SN+-/SO+2/SN+로/JKB
앞서다가	앞서/VV+다가/EC
나머지	나머지/NNG
4이닝	4/SN+이닝/NNG
동안	동안/NNG
불펜투수	불펜/NNG+투수/NNG
4명이	4/SN+명/NNB+이/JKS
17점을	17/SN+점/NNB+을/JKO
내주며	내주/VV+며/EC
6대19로	6/SN+대/NNB+19/SN+로/JKB
역전패했다.	역전패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.205.6.1
기회(Opportunity) 요인은 부상 선수들의 복귀다.

기회(Opportunity)	기회/NNG+(/SS+Opportunity/SL+)/SS
요인은	요인/NNG+은/JX
부상	부상/NNG
선수들의	선수/NNG+들/XSN+의/JKG
복귀다.	복귀/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.205.6.2
지난 시즌을 통째로 쉬었던 1루수 최희섭은 올 시즌 1군 복귀에 대한 강한 의지를 보이며 구슬땀을 흘리고 있다.

지난	지나/VV+ㄴ/ETM
시즌을	시즌/NNG+을/JKO
통째로	통/NNG+째/XSN+로/JKB
쉬었던	쉬/VV+었/EP+던/ETM
1루수	1루수/NNG
최희섭은	최희섭/NNP+은/JX
올	올/NNG
시즌	시즌/NNG
1군	1/SN+군/NNG
복귀에	복귀/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
강한	강하/VA+ㄴ/ETM
의지를	의지/NNG+를/JKO
보이며	보이/VV+며/EC
구슬땀을	구슬땀/NNG+을/JKO
흘리고	흘리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.205.6.3
오랫동안 재활에 매달린 투수 한기주·이범석·곽정철도 이번 시즌에는 복귀할 가능성이 높다는 전망이 나온다.

오랫동안	오랫동안/NNG
재활에	재활/NNG+에/JKB
매달린	매달리/VV+ㄴ/ETM
투수	투수/NNG
한기주·이범석·곽정철도	한기주/NNP+·/SP+이범석/NNP+·/SP+곽정철/NNP+도/JX
이번	이번/NNG
시즌에는	시즌/NNG+에/JKB+는/JX
복귀할	복귀/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다는	높/VA+다는/ETM
전망이	전망/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.205.7.1
'센터라인' 붕괴는 위협(Threat) 요인이다.

'센터라인'	'/SS+센터/NNG+라인/NNG+'/SS
붕괴는	붕괴/NNG+는/JX
위협(Threat)	위협/NNG+(/SS+Threat/SL+)/SS
요인이다.	요인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.205.7.2
주전 키스톤 콤비였던 안치홍(2루수)과 김선빈(유격수) 모두 군입대로 팀을 떠났다.

주전	주전/NNG
키스톤	키스톤/NNG
콤비였던	콤비/NNG+이/VCP+었/EP+던/ETM
안치홍(2루수)과	안치홍/NNP+(/SS+2루수/NNG+)/SS+과/JC
김선빈(유격수)	김선빈/NNP+(/SS+유격수/NNG+)/SS
모두	모두/MAG
군입대로	군/NNG+입대/NNG+로/JKB
팀을	팀/NNG+을/JKO
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.205.7.3
주전 중견수였던 이대형도 신생팀 KT의 특별지명을 받아 팀을 옮겼다.

주전	주전/NNG
중견수였던	중견수/NNG+이/VCP+었/EP+던/ETM
이대형도	이대형/NNP+도/JX
신생팀	신생/NNG+팀/NNG
KT의	KT/SL+의/JKG
특별지명을	특별/NNG+지명/NNG+을/JKO
받아	받/VV+아/EC
팀을	팀/NNG+을/JKO
옮겼다.	옮기/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.205.7.4
작년에 은퇴한 베테랑 김상훈의 뒤를 이어 '안방'을 차지할 주전 포수도 아직 정해지지 않았다.

작년에	작년/NNG+에/JKB
은퇴한	은퇴/NNG+하/XSV+ㄴ/ETM
베테랑	베테랑/NNG
김상훈의	김상훈/NNP+의/JKG
뒤를	뒤/NNG+를/JKO
이어	잇/VV+어/EC
'안방'을	'/SS+안방/NNG+'/SS+을/JKO
차지할	차지/NNG+하/XSV+ㄹ/ETM
주전	주전/NNG
포수도	포수/NNG+도/JX
아직	아직/MAG
정해지지	정하/VV+아/EC+지/VX+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


