# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.353
metadata : {}


# id : NWRW1800000022.353.1.1
'용산참사' 재판부 현장검증_옥상에 소주병 100여개… '발화 원인' 공방

'용산참사'	'/SS+용산/NNP+참사/NNG+'/SS
꽂혀	꽂히/VV+어/EC
있는	있/VX+는/ETM
깨진	깨지/VV+ㄴ/ETM
화염병이	화염병/NNG+이/JKS
발화	발화/NNG
원인"이라고	원인/NNG+"/SS+이라고/JKQ
주장했고,	주장/NNG+하/XSV+았/EP+고/EC+,/SP
변호인	변호인/NNG
"화염병이	"/SS+화염병/NNG+이/JKS
실제	실제/NNG
사용된	사용/NNG+되/XSV+ㄴ/ETM
것인지,	것/NNB+이/VCP+ㄴ지/EF+,/SP
건물이	건물/NNG+이/JKS
무너지면서	무너지/VV+면서/EC
것인지	것/NNB+이/VCP+ㄴ지/EF
알	알/VV+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.353.7.1
'용산 참사'는 지난 1월 철거민들이 남일당 건물 옥상에서 농성을 벌이다 경찰 진압과정에서 화재가 발생해 경찰관 1명과 철거민 5명이 사망한 사건이다.

'용산	'/SS+용산/NNP
참사'는	참사/NNG+'/SS+는/JX
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
철거민들이	철거민/NNG+들/XSN+이/JKS
남일당	남일당/NNP
건물	건물/NNG
옥상에서	옥상/NNG+에서/JKB
농성을	농성/NNG+을/JKO
벌이다	벌이/VV+다/EC
경찰	경찰/NNG
진압과정에서	진압/NNG+과정/NNG+에서/JKB
화재가	화재/NNG+가/JKS
발생해	발생/NNG+하/XSV+아/EC
경찰관	경찰관/NNG
1명과	1/SN+명/NNB+과/JC
철거민	철거민/NNG
5명이	5/SN+명/NNB+이/JKS
사망한	사망/NNG+하/XSV+ㄴ/ETM
사건이다.	사건/NNG+이/VCP+다/EF+./SF


